Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	16/124	1.839762e-15	3.771512e-13	0	0	2.118948e+01	7.189408e+02	RB1;SMAD2;YWHAE;PCNA;YWHAB;HDAC1;YWHAZ;CHEK2;MYC;RAD21;CHEK1;ATM;MCM5;YWHAG;ATR;YWHAH
KEGG_2019_Human	Hepatitis B	17/163	8.775142e-15	8.994521e-13	0	0	1.674333e+01	5.419288e+02	RB1;SMAD2;MAP2K3;MAP2K4;JUN;PCNA;PRKCB;YWHAB;SRC;PRKCA;MAPK14;YWHAZ;NFKB1;MYC;TRAF6;AKT1;JAK1
KEGG_2019_Human	Cellular senescence	15/160	1.707372e-12	1.166704e-10	0	0	1.466212e+01	3.972857e+02	RB1;SMAD2;MAP2K3;PTEN;MAPK14;SIRT1;NFKB1;CHEK2;MYC;CHEK1;AKT1;ATM;NBN;CALM1;ATR
KEGG_2019_Human	Viral carcinogenesis	16/201	3.760264e-12	1.927135e-10	0	0	1.232182e+01	3.241443e+02	RB1;YWHAE;USP7;JUN;YWHAB;SRC;HDAC1;YWHAZ;NFKB1;CDC42;KAT2B;HIST4H4;CHEK1;YWHAG;YWHAH;JAK1
KEGG_2019_Human	Hepatitis C	13/155	2.236255e-10	9.168645e-09	0	0	1.279353e+01	2.842856e+02	RB1;YWHAE;YWHAB;YWHAZ;NFKB1;PPP2CA;MYC;TRAF6;AKT1;CTNNB1;YWHAG;YWHAH;JAK1
KEGG_2019_Human	Pathways in cancer	21/530	8.059593e-10	2.753694e-08	0	0	5.998449e+00	1.256015e+02	RB1;SMAD2;JUN;HSP90AB1;PRKCB;HDAC1;F2R;PTEN;PRKCA;BRCA2;PML;NFKB1;CDC42;MSH2;MYC;TRAF6;GNAS;AKT1;CTNNB1;CALM1;JAK1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.602813e-09	4.693953e-08	0	0	9.580976e+00	1.940292e+02	RB1;SMAD2;MAP2K4;JUN;PTEN;NFKB1;KAT2B;CHEK2;MYC;CHEK1;AKT1;ATM;ATR;JAK1
KEGG_2019_Human	GnRH signaling pathway	10/93	2.551848e-09	6.539112e-08	0	0	1.653531e+01	3.271750e+02	MAP2K3;CDC42;MAP2K4;JUN;PRKCB;SRC;GNAS;PRKCA;MAPK14;CALM1
KEGG_2019_Human	Epstein-Barr virus infection	13/201	5.467647e-09	1.245409e-07	0	0	9.640637e+00	1.834075e+02	RB1;MAP2K3;MAP2K4;USP7;JUN;HDAC1;MAPK14;NFKB1;MYC;TRAF6;NEDD4;AKT1;JAK1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	13/212	1.038201e-08	2.128312e-07	0	0	9.102641e+00	1.673356e+02	MAP2K3;JUN;PRKCB;PRKCA;MAPK14;NFKB1;CUL4A;TRAF6;CHEK1;AKT1;ATM;CALM1;ATR
