Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	27/530	8.342709e-16	1.693570e-13	0	0	8.955885e+00	3.109481e+02	HDAC2;HSP90AB1;GLI2;GNGT1;CDC42;GNG2;GNG4;CDH1;MYC;GNA12;AKT1;MAPK1;HRAS;CAMK2G;SMAD2;CREBBP;SMAD4;SMAD3;AXIN1;ESR1;SP1;CDK4;GNB2;GNB1;CDK2;GNAS;CALM1
KEGG_2019_Human	Chemokine signaling pathway	18/190	1.998912e-15	2.028896e-13	0	0	1.648047e+01	5.578007e+02	ITK;ARRB1;ARRB2;FOXO3;GRK1;GNGT1;CDC42;PAK1;GNG2;GRK5;GNG4;GNB2;GRK7;GNB1;GRK6;AKT1;MAPK1;HRAS
KEGG_2019_Human	Cellular senescence	15/160	5.726008e-13	3.874599e-11	0	0	1.593103e+01	4.490734e+02	SMAD2;SMAD3;RRAS2;FOXO3;CDK4;CHEK2;MYC;CHEK1;CDK2;AKT1;MAPK1;CALM1;BTRC;HRAS;ATR
KEGG_2019_Human	Apelin signaling pathway	14/137	1.068280e-12	5.421521e-11	0	0	1.741199e+01	4.799609e+02	SMAD2;SMAD4;SMAD3;RRAS2;GNGT1;GNG2;CDH1;GNG4;GNB2;GNB1;AKT1;MAPK1;CALM1;HRAS
KEGG_2019_Human	TGF-beta signaling pathway	12/90	1.900486e-12	7.715975e-11	0	0	2.322842e+01	6.269098e+02	SMAD2;PPP2CB;SMAD1;CREBBP;SMAD4;BMPR2;SMAD3;SMURF2;SP1;MYC;MAPK1;ACVR1B
KEGG_2019_Human	Hippo signaling pathway	14/160	9.036042e-12	2.725064e-10	0	0	1.465191e+01	3.725950e+02	SMAD2;SMAD1;SMAD4;SMAD3;BMPR2;AXIN1;CSNK1D;ACTB;GLI2;PPP2CB;PAK1;CDH1;MYC;BTRC
KEGG_2019_Human	Relaxin signaling pathway	13/130	9.396772e-12	2.725064e-10	0	0	1.687179e+01	4.283859e+02	SMAD2;SMAD3;ARRB1;ARRB2;GNGT1;GNG2;GNG4;GNB2;GNB1;GNAS;AKT1;MAPK1;HRAS
KEGG_2019_Human	Dopaminergic synapse	12/131	1.716312e-10	4.355142e-09	0	0	1.519379e+01	3.416426e+02	GNGT1;PPP2CB;GNG2;GNG4;GNB2;GNB1;GNAS;AKT1;ARRB2;DRD2;CALM1;CAMK2G
KEGG_2019_Human	Endocytosis	15/244	2.452929e-10	5.532717e-09	0	0	1.004435e+01	2.222671e+02	SMAD2;HSPA8;SMAD3;SMURF2;CAV1;AP2A1;ARRB1;AP2B1;ARRB2;GRK1;CDC42;GRK5;GRK7;GRK6;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	6.014734e-10	1.220991e-08	0	0	1.040378e+01	2.208893e+02	SMAD2;CREBBP;SMAD4;SMAD3;XPO1;CDK4;CHEK2;MYC;CHEK1;CDK2;AKT1;MAPK1;HRAS;ATR
