Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	4.537220e-19	9.074439e-17	0	0	1.121218e+01	4.735664e+02	GSK3B;CDKN1A;NOTCH1;CAMK2A;HIF1A;FOXO1;LRP6;IKBKB;NRAS;CDH1;AKT1;EP300;PLCG1;HRAS;JAK3;APPL1;JAK1;CREBBP;HSP90AA1;CHUK;NCOA4;ARNT;ESR1;ESR2;AR;PIK3CA;GNB1;MDM2;CTNNB1
KEGG_2019_Human	Thyroid hormone signaling pathway	17/116	1.167796e-18	1.167796e-16	0	0	3.031421e+01	1.251717e+03	GSK3B;CREBBP;NOTCH1;THRB;HIF1A;ESR1;ACTB;FOXO1;KAT2B;NRAS;PIK3CA;MDM2;AKT1;EP300;CTNNB1;PLCG1;HRAS
KEGG_2019_Human	Ras signaling pathway	20/232	3.949926e-17	2.633284e-15	0	0	1.701489e+01	6.426565e+02	NGFR;CHUK;GAB1;FOXO4;GAB2;GRIN1;IKBKB;AFDN;NRAS;PAK1;GRIN2A;PIK3CA;GNB1;NF1;AKT1;PAK6;SHOC2;PLCG1;RGL2;HRAS
KEGG_2019_Human	Prostate cancer	15/97	5.974594e-17	2.987297e-15	0	0	3.175385e+01	1.186211e+03	GSK3B;CREBBP;CDKN1A;HSP90AA1;CHUK;FOXO1;IKBKB;AR;NRAS;PIK3CA;MDM2;AKT1;EP300;CTNNB1;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	23/354	7.564956e-17	3.025983e-15	0	0	1.280910e+01	4.754791e+02	NGFR;GSK3B;HSP90AA1;CDKN1A;CHUK;IRS1;NOS3;BRCA1;PPP2CA;GYS2;IKBKB;PPP2CB;NRAS;PIK3CA;ERBB3;PPP2R1B;PPP2R5E;GNB1;MDM2;AKT1;HRAS;JAK3;JAK1
KEGG_2019_Human	Proteoglycans in cancer	18/201	8.414217e-16	2.804739e-14	0	0	1.744617e+01	6.055816e+02	DDX5;CDKN1A;CAMK2A;GAB1;MAPK14;ESR1;HIF1A;ACTB;NRAS;PAK1;PIK3CA;ERBB3;CTTN;MDM2;AKT1;CTNNB1;PLCG1;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	17/186	3.974065e-15	1.135447e-13	0	0	1.769516e+01	5.867536e+02	MAP2K4;GSK3B;CREBBP;CDKN1A;CHUK;MAPK14;HIF1A;IKBKB;NRAS;PIK3CA;GNB1;AKT1;CTNNB1;EP300;PLCG1;HRAS;JAK1
KEGG_2019_Human	ErbB signaling pathway	13/85	8.988378e-15	2.247095e-13	0	0	3.081741e+01	9.967227e+02	GSK3B;MAP2K4;CDKN1A;CAMK2A;GAB1;NRAS;PAK1;PIK3CA;ERBB3;AKT1;PAK6;PLCG1;HRAS
KEGG_2019_Human	Renal cell carcinoma	12/69	1.985584e-14	4.412408e-13	0	0	3.565272e+01	1.124853e+03	CDKN1A;NRAS;PAK1;CREBBP;PIK3CA;GAB1;AKT1;EP300;ARNT;PAK6;HRAS;HIF1A
KEGG_2019_Human	Hepatitis C	15/155	7.691229e-14	1.538246e-12	0	0	1.854417e+01	5.599619e+02	GSK3B;CDKN1A;CHUK;CD81;PIAS1;PPP2CA;IKBKB;PPP2CB;NRAS;PIK3CA;PPP2R1B;AKT1;CTNNB1;HRAS;JAK1
KEGG_2019_Human	FoxO signaling pathway	14/132	1.510536e-13	2.746429e-12	0	0	2.037892e+01	6.016091e+02	CREBBP;CDKN1A;CHUK;IRS1;FOXO4;MAPK14;FOXO1;IKBKB;NRAS;PIK3CA;MDM2;AKT1;EP300;HRAS
KEGG_2019_Human	Human papillomavirus infection	19/330	4.028374e-13	6.713956e-12	0	0	1.086349e+01	3.100467e+02	GSK3B;CREBBP;CDKN1A;NOTCH1;CHUK;FOXO1;PPP2CA;IKBKB;PPP2CB;NRAS;PIK3CA;PPP2R1B;PPP2R5E;MDM2;AKT1;CTNNB1;EP300;HRAS;JAK1
KEGG_2019_Human	T cell receptor signaling pathway	12/101	2.257599e-12	3.473229e-11	0	0	2.279689e+01	6.113378e+02	IKBKB;GSK3B;NRAS;PAK1;CHUK;PIK3CA;AKT1;PAK6;FYN;PLCG1;MAPK14;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	1.199266e-11	1.713237e-10	0	0	1.268511e+01	3.189891e+02	MAP2K4;CREBBP;CD40;CDKN1A;CHUK;IKBKB;KAT2B;NRAS;PIK3CA;CANX;AKT1;EP300;HRAS;JAK3;JAK1
KEGG_2019_Human	Neurotrophin signaling pathway	12/119	1.629925e-11	2.037406e-10	0	0	1.894464e+01	4.705831e+02	IKBKB;NGFR;GSK3B;NRAS;PIK3CA;IRS1;CAMK2A;GAB1;AKT1;PLCG1;MAPK14;HRAS
KEGG_2019_Human	Sphingolipid signaling pathway	12/119	1.629925e-11	2.037406e-10	0	0	1.894464e+01	4.705831e+02	PPP2CA;PPP2CB;NRAS;PPP2R1B;PIK3CA;PPP2R5E;NOS3;AKT1;FYN;GAB2;MAPK14;HRAS
KEGG_2019_Human	Hepatitis B	13/163	4.494198e-11	5.046012e-10	0	0	1.473408e+01	3.510490e+02	MAP2K4;CREBBP;CDKN1A;CHUK;MAPK14;IKBKB;NRAS;PIK3CA;AKT1;EP300;HRAS;JAK3;JAK1
KEGG_2019_Human	HIF-1 signaling pathway	11/100	4.541411e-11	5.046012e-10	0	0	2.072005e+01	4.934522e+02	CREBBP;CDKN1A;PIK3CA;NOS3;CAMK2A;AKT1;EP300;ARNT;PLCG1;ALDOA;HIF1A
KEGG_2019_Human	Rap1 signaling pathway	14/206	6.693452e-11	7.045739e-10	0	0	1.247763e+01	2.923172e+02	NGFR;MAPK14;ACTB;GRIN1;AFDN;NRAS;GRIN2A;PIK3CA;CDH1;AKT1;CTNNB1;PLCG1;HRAS;BCAR1
KEGG_2019_Human	VEGF signaling pathway	9/59	1.394264e-10	1.394264e-09	0	0	2.973150e+01	6.747113e+02	NRAS;PIK3CA;MAPKAPK3;NOS3;HSPB1;AKT1;PLCG1;MAPK14;HRAS
KEGG_2019_Human	Breast cancer	12/147	1.977867e-10	1.883683e-09	0	0	1.499411e+01	3.350259e+02	GSK3B;NRAS;CDKN1A;NOTCH1;PIK3CA;AKT1;CTNNB1;BRCA1;ESR1;HRAS;ESR2;LRP6
KEGG_2019_Human	Human cytomegalovirus infection	14/225	2.159559e-10	1.963235e-09	0	0	1.134309e+01	2.524511e+02	GSK3B;CDKN1A;CHUK;MAPK14;IKBKB;NRAS;PIK3CA;GNB1;MDM2;AKT1;CTNNB1;HRAS;BCAR1;JAK1
KEGG_2019_Human	Fc epsilon RI signaling pathway	9/68	5.208125e-10	4.528804e-09	0	0	2.518475e+01	5.383398e+02	MAP2K4;NRAS;PIK3CA;AKT1;FYN;GAB2;PLCG1;MAPK14;HRAS
KEGG_2019_Human	MAPK signaling pathway	15/295	7.895888e-10	6.579907e-09	0	0	9.206297e+00	1.929595e+02	MAP2K4;NGFR;HSPA8;CHUK;HSPB1;ARRB2;MAPK14;IKBKB;NRAS;PAK1;MAPKAPK3;ERBB3;NF1;AKT1;HRAS
KEGG_2019_Human	Dopaminergic synapse	11/131	8.597627e-10	6.878102e-09	0	0	1.534329e+01	3.202815e+02	PPP2CA;GSK3B;PPP2CB;GRIN2A;PPP2R1B;PPP2R5E;GNB1;CAMK2A;AKT1;ARRB2;MAPK14
KEGG_2019_Human	MicroRNAs in cancer	15/299	9.503860e-10	7.310662e-09	0	0	9.074778e+00	1.885208e+02	CREBBP;CDKN1A;NOTCH1;IRS1;BRCA1;IKBKB;NRAS;PIK3CA;ERBB3;MDM2;EP300;MDM4;PLCG1;HRAS;EZH2
KEGG_2019_Human	Influenza A	12/171	1.139088e-09	8.437686e-09	0	0	1.271537e+01	2.618481e+02	IKBKB;MAP2K4;HSPA8;GSK3B;DNAJB1;CREBBP;PIK3CA;AKT1;EP300;MAPK14;ACTB;JAK1
KEGG_2019_Human	Chronic myeloid leukemia	9/76	1.441864e-09	1.029903e-08	0	0	2.216866e+01	4.512946e+02	IKBKB;CDKN1A;NRAS;CHUK;PIK3CA;MDM2;AKT1;GAB2;HRAS
KEGG_2019_Human	Endometrial cancer	8/58	3.518556e-09	2.426590e-08	0	0	2.620959e+01	5.101752e+02	GSK3B;CDKN1A;NRAS;PIK3CA;CDH1;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Chemokine signaling pathway	12/190	3.787685e-09	2.525123e-08	0	0	1.134716e+01	2.200386e+02	IKBKB;GSK3B;NRAS;PAK1;PIK3CA;CHUK;GNB1;AKT1;ARRB2;HRAS;JAK3;BCAR1
KEGG_2019_Human	AMPK signaling pathway	10/120	5.579936e-09	3.599959e-08	0	0	1.509626e+01	2.868906e+02	GYS2;PPP2CA;PPP2CB;PPP2R1B;PIK3CA;IRS1;PPP2R5E;AKT1;ELAVL1;FOXO1
KEGG_2019_Human	Epstein-Barr virus infection	12/201	7.150652e-09	4.469158e-08	0	0	1.068078e+01	2.003293e+02	NCOR2;IKBKB;MAP2K4;CD40;CDKN1A;PIK3CA;CHUK;MDM2;AKT1;MAPK14;JAK3;JAK1
KEGG_2019_Human	JAK-STAT signaling pathway	11/162	8.177952e-09	4.956335e-08	0	0	1.217421e+01	2.267059e+02	CREBBP;CDKN1A;PIK3CA;AKT1;EP300;IL13RA2;HRAS;JAK3;PIAS2;PIAS1;JAK1
KEGG_2019_Human	Hepatocellular carcinoma	11/168	1.196008e-08	7.035343e-08	0	0	1.170539e+01	2.135261e+02	GSK3B;NRAS;CDKN1A;PIK3CA;GAB1;AKT1;CTNNB1;PLCG1;HRAS;ACTB;LRP6
KEGG_2019_Human	Prolactin signaling pathway	8/70	1.624476e-08	9.282718e-08	0	0	2.112397e+01	3.788688e+02	GSK3B;NRAS;PIK3CA;AKT1;MAPK14;HRAS;ESR1;ESR2
KEGG_2019_Human	B cell receptor signaling pathway	8/71	1.820928e-08	1.011626e-07	0	0	2.078762e+01	3.704631e+02	IKBKB;GSK3B;NRAS;CHUK;PIK3CA;CD81;AKT1;HRAS
KEGG_2019_Human	Estrogen signaling pathway	10/137	2.010234e-08	1.072391e-07	0	0	1.306425e+01	2.315302e+02	HSPA8;NRAS;HSP90AA1;PIK3CA;NOS3;AKT1;KRT10;ESR1;HRAS;ESR2
KEGG_2019_Human	Adherens junction	8/72	2.037544e-08	1.072391e-07	0	0	2.046178e+01	3.623563e+02	AFDN;CREBBP;CDH1;EP300;CTNNB1;FYN;BAIAP2;ACTB
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	9/103	2.194799e-08	1.125538e-07	0	0	1.577952e+01	2.782654e+02	IKBKB;PPP2CA;MAP2K4;PPP2CB;PPP2R1B;CHUK;PIK3CA;AKT1;MAPK14
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	2.310094e-08	1.126875e-07	0	0	1.286040e+01	2.261295e+02	IKBKB;MAP2K4;HSP90AA1;PIK3CA;CHUK;NOS3;AKT1;CTNNB1;MAPK14;ACTB
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	10/139	2.310094e-08	1.126875e-07	0	0	1.286040e+01	2.261295e+02	GSK3B;NRAS;PIK3CA;KAT6A;AKT1;CTNNB1;MAPK14;HRAS;JAK3;JAK1
KEGG_2019_Human	C-type lectin receptor signaling pathway	9/104	2.389765e-08	1.137983e-07	0	0	1.561263e+01	2.739937e+02	IKBKB;NRAS;PAK1;CHUK;PIK3CA;MDM2;AKT1;MAPK14;HRAS
KEGG_2019_Human	Bacterial invasion of epithelial cells	8/74	2.538211e-08	1.180563e-07	0	0	1.983972e+01	3.469812e+02	PIK3CA;CTTN;CDH1;GAB1;CTNNB1;ACTB;BCAR1;CD2AP
KEGG_2019_Human	Glioma	8/75	2.826026e-08	1.284557e-07	0	0	1.954262e+01	3.396861e+02	CDKN1A;NRAS;PIK3CA;CAMK2A;MDM2;AKT1;PLCG1;HRAS
KEGG_2019_Human	Gastric cancer	10/149	4.483974e-08	1.992877e-07	0	0	1.192915e+01	2.018432e+02	GSK3B;NRAS;CDKN1A;PIK3CA;CDH1;GAB1;AKT1;CTNNB1;HRAS;LRP6
KEGG_2019_Human	Colorectal cancer	8/86	8.376988e-08	3.642169e-07	0	0	1.677728e+01	2.733891e+02	GSK3B;CDKN1A;NRAS;PIK3CA;AKT1;CTNNB1;HRAS;APPL1
