Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Human cytomegalovirus infection	26/225	2.754126e-25	4.059333e-23	0	0	2.471231e+01	1.397519e+03	PIK3R3;PIK3R2;PIK3R1;RELA;GNG2;AKT3;RAC3;MAPK1;HRAS;MAPK3;JAK1;MAP2K1;CDKN2A;HLA-B;NFKB1;PTK2;HLA-E;TNFRSF1A;PIK3CA;GNAQ;GNB1;GRB2;ARHGEF1;CALM1;TP53;CRK
KEGG_2019_Human	Proteoglycans in cancer	25/201	3.811580e-25	4.059333e-23	0	0	2.664232e+01	1.498006e+03	DDX5;PIK3R3;PIK3R2;PIK3R1;CBL;IGF1R;ERBB3;ERBB4;AKT3;KDR;MAPK1;FLNB;HRAS;MAPK3;MAP2K1;PDPK1;CAV1;GAB1;ESR1;PTK2;PIK3CA;GRB2;ARHGEF1;EZR;TP53
KEGG_2019_Human	Ras signaling pathway	26/232	6.180182e-25	4.387929e-23	0	0	2.386408e+01	1.330262e+03	FLT1;FLT4;PIK3R3;PIK3R2;PIK3R1;RELA;IGF1R;GNG2;AKT3;KDR;RAC3;MAPK1;HRAS;MAPK3;NTRK1;NGFR;MAP2K1;GAB1;GAB2;NFKB1;PIK3CA;GNB1;KIT;GRB2;CALM1;ARF6
KEGG_2019_Human	Neurotrophin signaling pathway	21/119	1.493998e-24	7.955539e-23	0	0	3.887025e+01	2.132445e+03	NTRK1;NGFR;MAP2K1;PDPK1;PRKCD;GAB1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IRAK1;PIK3CA;AKT3;MAPK1;GRB2;CALM1;TP53;HRAS;CRK;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	29/354	7.597941e-24	3.236723e-22	0	0	1.726748e+01	9.192198e+02	FLT1;FLT4;PIK3R3;PIK3R2;PIK3R1;RELA;IGF1R;GNG2;ERBB3;ERBB4;CD19;AKT3;KDR;MAPK1;HRAS;YWHAH;MAPK3;JAK1;NTRK1;NGFR;MAP2K1;PDPK1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GRB2;TP53
KEGG_2019_Human	Chronic myeloid leukemia	18/76	1.156418e-23	4.105282e-22	0	0	5.489778e+01	2.899379e+03	MAP2K1;HDAC1;CDKN2A;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;AKT3;MAPK1;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	23/212	8.608803e-22	2.619536e-20	0	0	2.238357e+01	1.085695e+03	MAP2K1;HLA-B;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;HLA-E;TNFRSF1A;GNG2;PIK3CA;IRAK1;GNAQ;AKT3;GNB1;RAC3;MAPK1;CALM1;CRK;HRAS;ATR;MAPK3
KEGG_2019_Human	Pathways in cancer	31/530	4.097729e-21	1.091020e-19	0	0	1.215564e+01	5.706328e+02	NOTCH1;HDAC1;FLT4;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;IGF1R;GNG2;AKT3;RAC3;MAPK1;HRAS;MAPK3;JAK1;NTRK1;MAP2K1;CDKN2A;ESR1;NFKB1;PTK2;PIK3CA;GNAQ;GNB1;KIT;GRB2;ARHGEF1;CALM1;TP53;CRK
KEGG_2019_Human	Focal adhesion	21/199	1.050550e-19	2.486303e-18	0	0	2.131389e+01	9.314126e+02	MAP2K1;FLT1;PDPK1;CAV1;FLT4;ILK;PIK3R3;PIK3R2;PIK3R1;PTK2;IGF1R;PIK3CA;AKT3;KDR;RAC3;MAPK1;FLNB;GRB2;CRK;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	16/85	2.115392e-19	4.505786e-18	0	0	4.027663e+01	1.731890e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;MAPK1;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	15/71	4.577823e-19	8.864330e-18	0	0	4.615062e+01	1.948844e+03	MAP2K1;CD81;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;CD19;AKT3;RAC3;MAPK1;GRB2;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	20/186	5.714090e-19	1.014251e-17	0	0	2.158160e+01	9.065606e+02	MAP2K1;HLA-B;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;HLA-E;TNFRSF1A;HCK;GNG2;PIK3CA;AKT3;GNB1;MAPK1;CALM1;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Human papillomavirus infection	24/330	1.345673e-18	2.204834e-17	0	0	1.447577e+01	5.956726e+02	ATP6V1A;BCAP31;MAP2K1;NOTCH1;HDAC1;HLA-B;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;HLA-E;TNFRSF1A;PIK3CA;AKT3;ATP6V1H;MAPK1;GRB2;TP53;HRAS;ATR;MAPK3;JAK1
KEGG_2019_Human	MAPK signaling pathway	23/295	1.597522e-18	2.430516e-17	0	0	1.548770e+01	6.346561e+02	NTRK1;NGFR;MAP2K1;FLT1;FLT4;RELA;NFKB1;IGF1R;TNFRSF1A;IRAK1;ERBB3;ERBB4;AKT3;KIT;KDR;RAC3;MAPK1;FLNB;GRB2;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Sphingolipid signaling pathway	17/119	2.098422e-18	2.979759e-17	0	0	2.915634e+01	1.186819e+03	MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;GAB2;NFKB1;RELA;TNFRSF1A;PIK3CA;GNAQ;AKT3;RAC3;MAPK1;TP53;HRAS;MAPK3
