Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endometrial cancer	8/58	2.116952e-08	4.424429e-06	0	0	2.055896e+01	3.632913e+02	TCF7L2;MAP2K1;CDH1;PTEN;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Cellular senescence	11/160	7.687016e-08	7.694890e-06	0	0	9.626161e+00	1.576876e+02	MAP2K1;CDKN2A;HLA-B;PTEN;AKT1;MAPK1;RAF1;CALM1;TP53;SIRT1;ATR
KEGG_2019_Human	Melanoma	8/72	1.200979e-07	7.694890e-06	0	0	1.605032e+01	2.557613e+02	MAP2K1;CDH1;CDKN2A;PTEN;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Glioma	8/75	1.658424e-07	7.694890e-06	0	0	1.532933e+01	2.393249e+02	MAP2K1;CDKN2A;PTEN;AKT1;MAPK1;RAF1;CALM1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	8/76	1.840883e-07	7.694890e-06	0	0	1.510313e+01	2.342171e+02	BCR;MAP2K1;CDKN2A;AKT1;MAPK1;RAF1;TP53;CRK
KEGG_2019_Human	Colorectal cancer	8/86	4.837428e-07	1.620845e-05	0	0	1.316017e+01	1.913715e+02	TCF7L2;MAP2K1;CASP3;AKT1;MAPK1;RAF1;TP53;RHOA
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	5.428666e-07	1.620845e-05	0	0	1.054973e+01	1.521947e+02	MAP2K1;IRAK1;AKT1;MAPK1;RAF1;CALM1;TP53;CRK;RHOA
KEGG_2019_Human	Bladder cancer	6/41	9.152890e-07	2.365824e-05	0	0	2.176154e+01	3.025730e+02	MAP2K1;CDH1;CDKN2A;MAPK1;RAF1;TP53
KEGG_2019_Human	MicroRNAs in cancer	13/299	1.018776e-06	2.365824e-05	0	0	5.964613e+00	8.229322e+01	MAP2K1;CDKN2A;PTEN;SIRT1;RHOA;HNRNPK;CASP3;STMN1;FSCN1;MAPK1;RAF1;TP53;CRK
KEGG_2019_Human	Human cytomegalovirus infection	11/225	2.308882e-06	4.817701e-05	0	0	6.680201e+00	8.670063e+01	MAP2K1;CDKN2A;CASP3;HLA-B;AKT1;MAPK1;RAF1;CALM1;TP53;CRK;RHOA
KEGG_2019_Human	Apoptosis	9/143	2.535632e-06	4.817701e-05	0	0	8.649693e+00	1.114519e+02	MAP2K1;TUBA1A;AIFM1;CASP3;AKT1;XIAP;MAPK1;RAF1;TP53
KEGG_2019_Human	Pathways in cancer	16/530	6.705036e-06	1.167794e-04	0	0	4.120036e+00	4.908056e+01	TCF7L2;MAP2K1;FH;CDKN2A;PTEN;XIAP;RHOA;BCR;CDH1;CASP3;AKT1;MAPK1;RAF1;CALM1;TP53;CRK
KEGG_2019_Human	Protein processing in endoplasmic reticulum	9/165	8.181302e-06	1.315302e-04	0	0	7.421569e+00	8.693373e+01	BCAP31;HSPA8;VCP;UBE2D3;RPN1;UBE2D1;SSR1;STUB1;PDIA4
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	9.230931e-06	1.378046e-04	0	0	6.395258e+00	7.413991e+01	MAP2K1;IRAK1;CASP3;HLA-B;AKT1;MAPK1;RAF1;CALM1;CRK;ATR
KEGG_2019_Human	Thyroid cancer	5/37	1.158550e-05	1.600993e-04	0	0	1.971139e+01	2.240348e+02	TCF7L2;MAP2K1;CDH1;MAPK1;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	1.225641e-05	1.600993e-04	0	0	6.178859e+00	6.987957e+01	MAP2K1;CDC23;CDKN2A;HLA-B;PTEN;AKT1;XIAP;MAPK1;TP53;ATR
KEGG_2019_Human	Prostate cancer	7/97	1.400542e-05	1.663208e-04	0	0	9.909391e+00	1.107480e+02	TCF7L2;MAP2K1;PTEN;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	1.432428e-05	1.663208e-04	0	0	1.289374e+01	1.438111e+02	MAP2K1;PTEN;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Non-small cell lung cancer	6/66	1.565198e-05	1.680200e-04	0	0	1.267821e+01	1.402832e+02	MAP2K1;CDKN2A;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	8/137	1.607847e-05	1.680200e-04	0	0	7.936776e+00	8.760637e+01	CDC23;UBE3C;UBE2D3;UBE2N;UBE2D1;XIAP;STUB1;UBE2K
KEGG_2019_Human	Renal cell carcinoma	6/69	2.024201e-05	2.014562e-04	0	0	1.207265e+01	1.304782e+02	MAP2K1;FH;AKT1;MAPK1;RAF1;CRK
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	2.135239e-05	2.028477e-04	0	0	6.534064e+00	7.026960e+01	MAP2K1;UBB;CASP3;HLA-B;AKT1;MAPK1;RAF1;CALM1;TP53
KEGG_2019_Human	Pancreatic cancer	6/75	3.266811e-05	2.968537e-04	0	0	1.101951e+01	1.138217e+02	MAP2K1;CDKN2A;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Toxoplasmosis	7/113	3.778967e-05	3.270960e-04	0	0	8.406817e+00	8.561061e+01	HSPA8;IRAK1;CASP3;PPIF;AKT1;XIAP;MAPK1
KEGG_2019_Human	Hepatitis C	8/155	3.912632e-05	3.270960e-04	0	0	6.958565e+00	7.062050e+01	MAP2K1;MAVS;PSME3;CASP3;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Sphingolipid signaling pathway	7/119	5.263629e-05	4.231148e-04	0	0	7.954032e+00	7.836396e+01	MAP2K1;PTEN;AKT1;MAPK1;RAF1;TP53;RHOA
KEGG_2019_Human	Hepatitis B	8/163	5.592465e-05	4.328982e-04	0	0	6.596732e+00	6.459194e+01	MAP2K1;MAVS;IRAK1;CASP3;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	8/168	6.919371e-05	5.164816e-04	0	0	6.388961e+00	6.119731e+01	TCF7L2;MAP2K1;CDKN2A;PTEN;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Human papillomavirus infection	11/330	8.161748e-05	5.882087e-04	0	0	4.457410e+00	4.195969e+01	BCAP31;TCF7L2;MAP2K1;CASP3;HLA-B;PTEN;AKT1;MAPK1;RAF1;TP53;ATR
KEGG_2019_Human	Citrate cycle (TCA cycle)	4/30	9.644488e-05	6.554348e-04	0	0	1.929114e+01	1.783763e+02	CS;FH;IDH2;DLST
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	6/91	9.721760e-05	6.554348e-04	0	0	8.938009e+00	8.257432e+01	MAP2K1;AKT1;MAPK1;ARPC5;RAF1;CRK
KEGG_2019_Human	Tuberculosis	8/179	1.077590e-04	7.038011e-04	0	0	5.974634e+00	5.458194e+01	HSPA9;IRAK1;CASP3;AKT1;MAPK1;RAF1;CALM1;RHOA
KEGG_2019_Human	MAPK signaling pathway	10/295	1.506619e-04	9.541921e-04	0	0	4.513620e+00	3.972198e+01	HSPA8;MAP2K1;IRAK1;CASP3;STMN1;AKT1;MAPK1;RAF1;TP53;CRK
KEGG_2019_Human	Acute myeloid leukemia	5/66	1.966214e-04	1.182653e-03	0	0	1.032526e+01	8.811814e+01	TCF7L2;MAP2K1;AKT1;MAPK1;RAF1
KEGG_2019_Human	Breast cancer	7/147	1.980519e-04	1.182653e-03	0	0	6.354194e+00	5.418209e+01	TCF7L2;MAP2K1;PTEN;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Gastric cancer	7/149	2.152138e-04	1.249436e-03	0	0	6.264062e+00	5.289298e+01	TCF7L2;MAP2K1;CDH1;AKT1;MAPK1;RAF1;TP53
KEGG_2019_Human	Focal adhesion	8/199	2.230263e-04	1.259797e-03	0	0	5.343578e+00	4.492998e+01	MAP2K1;PTEN;AKT1;XIAP;MAPK1;RAF1;CRK;RHOA
KEGG_2019_Human	Proteoglycans in cancer	8/201	2.386803e-04	1.312742e-03	0	0	5.287666e+00	4.410117e+01	MAP2K1;CASP3;AKT1;MAPK1;IQGAP1;RAF1;TP53;RHOA
KEGG_2019_Human	Prolactin signaling pathway	5/70	2.594437e-04	1.390352e-03	0	0	9.687898e+00	7.999269e+01	MAP2K1;ELF5;AKT1;MAPK1;RAF1
KEGG_2019_Human	Rap1 signaling pathway	8/206	2.817912e-04	1.472359e-03	0	0	5.152827e+00	4.212098e+01	MAP2K1;CDH1;AKT1;MAPK1;RAF1;CALM1;CRK;RHOA
KEGG_2019_Human	Adherens junction	5/72	2.960544e-04	1.473223e-03	0	0	9.397756e+00	7.635646e+01	TCF7L2;CDH1;MAPK1;IQGAP1;RHOA
KEGG_2019_Human	p53 signaling pathway	5/72	2.960544e-04	1.473223e-03	0	0	9.397756e+00	7.635646e+01	CDKN2A;CASP3;PTEN;TP53;ATR
KEGG_2019_Human	Regulation of actin cytoskeleton	8/214	3.638719e-04	1.768587e-03	0	0	4.950700e+00	3.920315e+01	MAP2K1;ARHGEF4;MAPK1;ARPC5;IQGAP1;RAF1;CRK;RHOA
KEGG_2019_Human	Pertussis	5/76	3.808947e-04	1.809250e-03	0	0	8.866511e+00	6.980593e+01	IRAK1;CASP3;MAPK1;CALM1;RHOA
KEGG_2019_Human	cGMP-PKG signaling pathway	7/166	4.150421e-04	1.927640e-03	0	0	5.589491e+00	4.352609e+01	MAP2K1;PPIF;AKT1;MAPK1;RAF1;CALM1;RHOA
KEGG_2019_Human	Proteasome	4/45	4.771241e-04	2.167803e-03	0	0	1.222414e+01	9.348700e+01	PSMB7;PSMD4;PSMB3;PSME3
KEGG_2019_Human	Influenza A	7/171	4.958620e-04	2.205003e-03	0	0	5.417703e+00	4.122445e+01	HSPA8;MAP2K1;MAVS;DDX39B;AKT1;MAPK1;RAF1
KEGG_2019_Human	Cell cycle	6/124	5.231835e-04	2.278028e-03	0	0	6.427640e+00	4.856454e+01	CDC23;MCM7;PRKDC;CDKN2A;TP53;ATR
KEGG_2019_Human	Autophagy	6/128	6.188300e-04	2.639500e-03	0	0	6.215637e+00	4.591914e+01	MAP2K1;STX17;PTEN;AKT1;MAPK1;RAF1
KEGG_2019_Human	ErbB signaling pathway	5/85	6.379138e-04	2.666480e-03	0	0	7.865446e+00	5.786850e+01	MAP2K1;AKT1;MAPK1;RAF1;CRK
KEGG_2019_Human	FoxO signaling pathway	6/132	7.275194e-04	2.924068e-03	0	0	6.017094e+00	4.347874e+01	MAP2K1;PTEN;AKT1;MAPK1;RAF1;SIRT1
KEGG_2019_Human	Vascular smooth muscle contraction	6/132	7.275194e-04	2.924068e-03	0	0	6.017094e+00	4.347874e+01	MAP2K1;MYL6;MAPK1;RAF1;CALM1;RHOA
KEGG_2019_Human	Apelin signaling pathway	6/137	8.835114e-04	3.357343e-03	0	0	5.785966e+00	4.068464e+01	MAP2K1;CDH1;AKT1;MAPK1;RAF1;CALM1
KEGG_2019_Human	Estrogen signaling pathway	6/137	8.835114e-04	3.357343e-03	0	0	5.785966e+00	4.068464e+01	HSPA8;MAP2K1;AKT1;MAPK1;RAF1;CALM1
KEGG_2019_Human	Insulin signaling pathway	6/137	8.835114e-04	3.357343e-03	0	0	5.785966e+00	4.068464e+01	MAP2K1;AKT1;MAPK1;RAF1;CALM1;CRK
KEGG_2019_Human	Measles	6/138	9.175834e-04	3.424553e-03	0	0	5.741841e+00	4.015710e+01	HSPA8;MAVS;IRAK1;CASP3;AKT1;TP53
KEGG_2019_Human	Small cell lung cancer	5/93	9.596777e-04	3.518818e-03	0	0	7.147510e+00	4.966743e+01	CASP3;PTEN;AKT1;XIAP;TP53
