Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	31/530	4.924053e-24	9.454182e-22	0	0	1.606533e+01	8.621927e+02	CAMK2B;CEBPA;HSP90AB1;CAMK2A;PIK3R1;CBL;EGFR;CDC42;ABL1;AKT1;RAC1;JAK1;IFNAR2;STAT5A;NTRK1;HSP90AA1;STAT3;PRKCA;FOS;ESR1;PML;RHOA;TGFBR2;BCR;MDM2;RARA;CTNNB1;RAF1;CALM1;IL7R;TP53
KEGG_2019_Human	Proteoglycans in cancer	20/201	3.867172e-20	3.712485e-18	0	0	2.532828e+01	1.132153e+03	CAMK2B;CAV1;STAT3;CAMK2A;PLAUR;PRKCA;PTPN11;PIK3R1;CBL;ESR1;EGFR;ACTB;RHOA;CDC42;MDM2;AKT1;CTNNB1;RAC1;RAF1;TP53
KEGG_2019_Human	Viral carcinogenesis	17/201	4.896844e-16	3.133980e-14	0	0	2.046104e+01	7.213084e+02	STAT5A;YWHAE;RANBP1;SYK;YWHAB;ACTN1;STAT3;ACTN4;PIK3R1;YWHAZ;RHOA;CDC42;MDM2;RAC1;TP53;YWHAG;JAK1
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	2.123463e-15	9.771424e-14	0	0	2.867971e+01	9.689649e+02	YWHAE;NTRK1;CAMK2B;CAMK2A;PTPN11;PIK3R1;RHOA;CDC42;ABL1;AKT1;RAC1;RAF1;CALM1;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	20/354	2.600582e-15	9.771424e-14	0	0	1.361927e+01	4.573766e+02	IFNAR2;YWHAE;NTRK1;HSP90AA1;HSP90AB1;SYK;YWHAB;INSR;PRKCA;PIK3R1;YWHAZ;EGFR;MDM2;AKT1;RAC1;RAF1;IL7R;TP53;YWHAG;JAK1
KEGG_2019_Human	Adherens junction	12/72	3.053570e-15	9.771424e-14	0	0	4.220000e+01	1.410428e+03	CDC42;FER;ACTN1;INSR;CTNNB1;FYN;RAC1;ACTN4;ACTB;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Focal adhesion	15/199	1.597879e-13	4.382754e-12	0	0	1.765707e+01	5.202644e+02	ACTN1;CAV1;PRKCA;ACTN4;PIK3R1;EGFR;ACTB;RHOA;CDC42;AKT1;CTNNB1;FYN;RAC1;RAF1;BCAR1
KEGG_2019_Human	Chronic myeloid leukemia	11/76	2.341576e-13	5.619782e-12	0	0	3.532291e+01	1.027289e+03	BCR;STAT5A;ABL1;MDM2;AKT1;PTPN11;PIK3R1;RAF1;CBL;TP53;TGFBR2
KEGG_2019_Human	Leukocyte transendothelial migration	12/112	7.375910e-13	1.573528e-11	0	0	2.526894e+01	7.058975e+02	CDC42;ACTN1;CTNNB1;PTK2B;PRKCA;PTPN11;ACTN4;PIK3R1;RAC1;ACTB;RHOA;BCAR1
KEGG_2019_Human	ErbB signaling pathway	11/85	8.386825e-13	1.610270e-11	0	0	3.101280e+01	8.623713e+02	CAMK2B;STAT5A;CAMK2A;ABL1;AKT1;CBLB;PRKCA;PIK3R1;RAF1;CBL;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	15/225	9.609007e-13	1.677209e-11	0	0	1.545055e+01	4.275307e+02	STAT3;PRKCA;PIK3R1;EGFR;RHOA;MDM2;AKT1;CTNNB1;PTK2B;RAC1;RAF1;CALM1;TP53;BCAR1;JAK1
KEGG_2019_Human	Hepatitis C	13/155	1.870994e-12	2.993591e-11	0	0	1.944389e+01	5.250735e+02	IFNAR2;YWHAE;YWHAB;STAT3;PIK3R1;YWHAZ;EGFR;AKT1;CTNNB1;RAF1;TP53;YWHAG;JAK1
KEGG_2019_Human	JAK-STAT signaling pathway	13/162	3.297804e-12	4.870603e-11	0	0	1.852385e+01	4.897292e+02	IFNAR2;STAT5A;STAT3;PTPN11;STAM;PIK3R1;EGFR;AKT1;RAF1;IL7R;STAM2;IL9R;JAK1
KEGG_2019_Human	Hepatitis B	13/163	3.568083e-12	4.893371e-11	0	0	1.839943e+01	4.849903e+02	STAT5A;YWHAB;STAT3;PRKCA;PIK3R1;FOS;YWHAZ;TGFBR2;AKT1;PTK2B;RAF1;TP53;JAK1
KEGG_2019_Human	Glioma	10/75	7.053917e-12	8.464701e-11	0	0	3.177724e+01	8.159582e+02	CAMK2B;CAMK2A;MDM2;AKT1;PRKCA;PIK3R1;RAF1;CALM1;TP53;EGFR
KEGG_2019_Human	Pancreatic cancer	10/75	7.053917e-12	8.464701e-11	0	0	3.177724e+01	8.159582e+02	CDC42;STAT3;AKT1;RAC1;PIK3R1;RAF1;TP53;EGFR;JAK1;TGFBR2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	12/139	9.892228e-12	1.117240e-10	0	0	1.986966e+01	5.034827e+02	HSP90AA1;HSP90AB1;CAV1;AKT1;CTNNB1;PIK3R1;FOS;RAC1;CALM1;TP53;ACTB;RHOA
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	13/186	1.911036e-11	2.038439e-10	0	0	1.593468e+01	3.932804e+02	IFNAR2;SYK;STAT3;PIK3R1;FOS;HCK;AKT1;CTNNB1;RAC1;RAF1;CALM1;TP53;JAK1
KEGG_2019_Human	Colorectal cancer	10/86	2.871606e-11	2.901834e-10	0	0	2.716283e+01	6.593387e+02	AKT1;CTNNB1;RAC1;FOS;PIK3R1;RAF1;TP53;RHOA;EGFR;TGFBR2
