Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	14/201	5.353911e-11	7.957051e-09	0	0	1.270339e+01	3.004430e+02	YWHAE;DDX3X;YWHAB;STAT3;YWHAZ;HDAC6;CDC42;HIST4H4;MDM2;EP300;HIST1H2BH;HIST1H2BG;IKBKG;YWHAG
KEGG_2019_Human	Mismatch repair	7/23	9.361236e-11	7.957051e-09	0	0	7.061890e+01	1.630722e+03	EXO1;MSH3;RPA3;RPA2;PMS2;SSBP1;MLH1
KEGG_2019_Human	Adherens junction	8/72	2.164971e-08	1.226817e-06	0	0	2.029303e+01	3.581370e+02	CDC42;TCF7L2;AFDN;CSNK2B;EP300;CTNNB1;BAIAP2;ACTB
KEGG_2019_Human	Fanconi anemia pathway	7/54	5.722540e-08	2.432080e-06	0	0	2.400294e+01	4.002795e+02	TOP3B;SLX4;RPA3;PMS2;RPA2;BRCA1;MLH1
KEGG_2019_Human	Homologous recombination	6/41	2.505330e-07	8.518121e-06	0	0	2.742166e+01	4.168003e+02	TOP3B;BARD1;RPA3;RPA2;BRCA1;SSBP1
KEGG_2019_Human	Bacterial invasion of epithelial cells	7/74	5.221410e-07	1.479400e-05	0	0	1.682090e+01	2.433198e+02	CDC42;MAD2L2;CTTN;CTNNB1;ARPC5;ACTB;BCAR1
KEGG_2019_Human	Hepatitis C	9/155	7.914212e-07	1.922023e-05	0	0	1.004845e+01	1.411751e+02	YWHAE;CD81;YWHAB;MYC;STAT3;CTNNB1;IKBKG;YWHAZ;YWHAG
KEGG_2019_Human	Pathogenic Escherichia coli infection	6/55	1.499486e-06	2.836830e-05	0	0	1.957307e+01	2.624825e+02	CDC42;CTTN;CTNNB1;ARPC5;YWHAZ;ACTB
KEGG_2019_Human	Cell cycle	8/124	1.501851e-06	2.836830e-05	0	0	1.116676e+01	1.497330e+02	YWHAE;MAD2L2;YWHAB;MYC;MDM2;EP300;YWHAZ;YWHAG
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	3.540540e-06	6.018917e-05	0	0	9.880616e+00	1.240139e+02	HSP90AA1;CTSL;SUMO2;CTNNB1;IKBKG;CALM1;ACTB;ICAM1
KEGG_2019_Human	Shigellosis	6/65	4.051526e-06	6.261449e-05	0	0	1.624740e+01	2.017345e+02	CDC42;MAD2L2;CTTN;IKBKG;ARPC5;ACTB
KEGG_2019_Human	Leukocyte transendothelial migration	7/112	8.569303e-06	1.213985e-04	0	0	1.071274e+01	1.249890e+02	CDC42;AFDN;CTNNB1;ARHGAP35;ACTB;BCAR1;ICAM1
KEGG_2019_Human	Pathways in cancer	14/530	9.301526e-06	1.215386e-04	0	0	4.526798e+00	5.244445e+01	TCF7L2;CEBPA;HSP90AA1;STAT3;MLH1;BCR;CDC42;MSH3;MYC;MDM2;CTNNB1;EP300;IKBKG;CALM1
KEGG_2019_Human	Hippo signaling pathway	8/160	1.000906e-05	1.215386e-04	0	0	8.506471e+00	9.792667e+01	YWHAE;TCF7L2;YWHAB;MYC;CTNNB1;YWHAZ;ACTB;YWHAG
KEGG_2019_Human	Tight junction	8/170	1.556410e-05	1.763931e-04	0	0	7.977333e+00	8.831341e+01	ACTR3;CDC42;ACTR2;AFDN;CTTN;HSPA4;ARHGAP17;ACTB
KEGG_2019_Human	Oocyte meiosis	7/125	1.759019e-05	1.868958e-04	0	0	9.526251e+00	1.042950e+02	YWHAE;MAD2L2;YWHAB;FBXO5;CALM1;YWHAZ;YWHAG
KEGG_2019_Human	Alcoholism	8/180	2.351258e-05	2.351258e-04	0	0	7.509722e+00	8.003843e+01	HIST1H3A;HIST4H4;HIST1H2AE;HIST2H2AB;HIST1H2BH;HIST1H2BG;CALM1;HDAC6
KEGG_2019_Human	Prostate cancer	6/97	4.090872e-05	3.863602e-04	0	0	1.051702e+01	1.062657e+02	TCF7L2;HSP90AA1;MDM2;EP300;CTNNB1;IKBKG
KEGG_2019_Human	Proteoglycans in cancer	8/201	5.159515e-05	4.616408e-04	0	0	6.685467e+00	6.599948e+01	CDC42;CTTN;CTSL;MYC;STAT3;MDM2;CTNNB1;ACTB
KEGG_2019_Human	Acute myeloid leukemia	5/66	6.986159e-05	5.938235e-04	0	0	1.298951e+01	1.242965e+02	CEBPA;TCF7L2;MYC;STAT3;IKBKG
KEGG_2019_Human	Regulation of actin cytoskeleton	8/214	8.009389e-05	6.483791e-04	0	0	6.259430e+00	5.904089e+01	CDC42;DIAPH3;ARPC5;BAIAP2;IQGAP2;ARHGAP35;ACTB;BCAR1
