Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Bladder cancer	10/41	8.296091e-13	8.108261e-11	0	0	4.203523e+01	1.169329e+03	SRC;DAPK1;CDK4;MYC;ARAF;MAPK1;BRAF;THBS1;HRAS;TP53
KEGG_2019_Human	Prostate cancer	13/97	1.028256e-12	8.108261e-11	0	0	2.051790e+01	5.663587e+02	HSP90AB1;ARAF;TMPRSS2;BRAF;RELA;MTOR;IGF1R;HSP90B1;CDK2;AKT1;MAPK1;TP53;HRAS
KEGG_2019_Human	Progesterone-mediated oocyte maturation	13/99	1.345890e-12	8.108261e-11	0	0	2.003871e+01	5.477373e+02	HSP90AB1;ARAF;BRAF;IGF1R;MAPK10;FZR1;RPS6KA1;CDK2;CDK1;AKT1;MAPK1;ANAPC1;ANAPC2
KEGG_2019_Human	Cell cycle	14/124	1.494610e-12	8.108261e-11	0	0	1.696511e+01	4.619456e+02	PRKDC;BUB1B;YWHAZ;FZR1;PTTG1;CDK4;MYC;CDK2;CDK1;TP53;ANAPC1;YWHAG;ANAPC2;ATR
KEGG_2019_Human	Proteoglycans in cancer	16/201	8.214128e-12	3.564931e-10	0	0	1.164191e+01	2.971617e+02	DDX5;SRC;ARAF;PRKCA;BRAF;THBS1;MTOR;IGF1R;CDC42;PPP1CC;MYC;PLCE1;AKT1;MAPK1;TP53;HRAS
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	1.478650e-11	5.347783e-10	0	0	1.624136e+01	4.050157e+02	NGFR;MAP3K1;PRKCD;BRAF;RELA;RAP1B;CDC42;MAPK10;RPS6KA1;AKT1;MAPK1;TP53;HRAS
KEGG_2019_Human	MAPK signaling pathway	18/295	3.338363e-11	1.034893e-09	0	0	8.827166e+00	2.129373e+02	NGFR;MAP3K1;RASGRF1;ARAF;PRKCA;BRAF;RELA;IGF1R;MAPK10;RAP1B;CDC42;MYC;RPS6KA1;AKT1;MAPK1;TP53;HRAS;MAP4K4
KEGG_2019_Human	Hepatitis B	14/163	6.325860e-11	1.715889e-09	0	0	1.249982e+01	2.935431e+02	MAP3K1;SRC;ARAF;PRKCA;BRAF;YWHAZ;RELA;MAPK10;MYC;CDK2;AKT1;MAPK1;TP53;HRAS
KEGG_2019_Human	ErbB signaling pathway	11/85	8.902055e-11	2.063540e-09	0	0	1.945624e+01	4.502592e+02	MAPK10;SRC;MYC;ARAF;AKT1;MAPK1;PRKCA;BRAF;HRAS;MTOR;PAK4
KEGG_2019_Human	Viral carcinogenesis	15/201	9.509400e-11	2.063540e-09	0	0	1.078122e+01	2.487890e+02	LYN;HDAC5;USP7;SRC;YWHAZ;RELA;CDC42;PKM;CDK4;CDK2;CDK1;MAPK1;TP53;HRAS;YWHAG
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	3.178055e-10	6.269436e-09	0	0	9.820928e+00	2.147796e+02	MAP3K1;BUB1B;RELA;MAPK10;PTTG1;CDK4;MYC;CDK2;AKT1;MAPK1;TP53;HRAS;ANAPC1;ATR;ANAPC2
