Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	10/124	3.273458e-08	3.980499e-06	0	0	1.236591e+01	2.131245e+02	SMAD2;GSK3B;SMAD4;PCNA;YWHAQ;CHEK2;CDK1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Viral carcinogenesis	12/201	3.921673e-08	3.980499e-06	0	0	9.045779e+00	1.542682e+02	GSN;HIST1H2BO;YWHAQ;HLA-B;CDK1;EIF2AK2;UBE3A;HIST1H2BH;RAC1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Colorectal cancer	8/86	2.686080e-07	1.817581e-05	0	0	1.428097e+01	2.160712e+02	SMAD2;GSK3B;MAP2K1;SMAD4;BCL2;CTNNB1;RAC1;TP53
KEGG_2019_Human	Cellular senescence	10/160	3.626205e-07	1.840299e-05	0	0	9.380952e+00	1.391187e+02	SMAD2;MAP2K1;CHEK2;HLA-B;CDK1;HIPK1;CALM1;SLC25A5;SQSTM1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	10/168	5.691803e-07	2.310872e-05	0	0	8.902351e+00	1.280075e+02	SMAD2;GSK3B;SMAD4;MAP2K1;SMARCB1;GSTP1;ACTL6A;CTNNB1;BRD7;TP53
KEGG_2019_Human	Pathways in cancer	16/530	2.458690e-06	8.318566e-05	0	0	4.491782e+00	5.801533e+01	SMAD2;GSK3B;SMAD4;MAP2K1;TPM3;CTBP1;ZBTB16;GSTP1;ESR2;RUNX1;AR;BCL2;CTNNB1;RAC1;CALM1;TP53
KEGG_2019_Human	RNA transport	9/165	4.370636e-06	1.181345e-04	0	0	8.058101e+00	9.944182e+01	PNN;UBE2I;SUMO1;EIF4A3;SAP18;RNPS1;PABPC1;RANGAP1;KPNB1
KEGG_2019_Human	Oocyte meiosis	8/125	4.655546e-06	1.181345e-04	0	0	9.501866e+00	1.166587e+02	AR;MAP2K1;YWHAQ;CDK1;CALM1;YWHAZ;YWHAG;AURKA
KEGG_2019_Human	Prostate cancer	7/97	8.476055e-06	1.911821e-04	0	0	1.074747e+01	1.255119e+02	AR;GSK3B;MAP2K1;GSTP1;BCL2;CTNNB1;TP53
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	1.020197e-05	2.071001e-04	0	0	8.480378e+00	9.746439e+01	SUMO1;GSTP1;BCL2;CTNNB1;RAC1;CALM1;SQSTM1;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	1.153553e-05	2.128830e-04	0	0	7.094483e+00	8.066482e+01	GSK3B;BECN1;MAP2K1;HLA-B;EIF2AK2;CTNNB1;RAC1;CALM1;TP53
KEGG_2019_Human	Hepatitis C	8/155	2.253288e-05	3.811812e-04	0	0	7.551212e+00	8.080201e+01	GSK3B;MAP2K1;YWHAQ;EIF2AK2;CTNNB1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Hepatitis B	8/163	3.234268e-05	5.050435e-04	0	0	7.158564e+00	7.401327e+01	SMAD2;SMAD4;MAP2K1;PCNA;YWHAQ;BCL2;TP53;YWHAZ
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	5/51	3.948408e-05	5.676368e-04	0	0	1.484558e+01	1.505284e+02	CAT;BCL2;RAC1;TP53;RAB5A
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	4.194360e-05	5.676368e-04	0	0	5.969605e+00	6.016875e+01	SMAD2;SMAD4;MAP2K1;KAT5;CHEK2;HLA-B;CALR;SLC25A5;TP53
KEGG_2019_Human	mRNA surveillance pathway	6/91	6.350739e-05	8.057500e-04	0	0	9.688725e+00	9.363528e+01	PNN;DAZAP1;EIF4A3;SAP18;RNPS1;PABPC1
KEGG_2019_Human	Gastric cancer	7/149	1.337964e-04	1.587983e-03	0	0	6.793854e+00	6.059568e+01	SMAD2;GSK3B;MAP2K1;SMAD4;BCL2;CTNNB1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	8/201	1.408063e-04	1.587983e-03	0	0	5.738014e+00	5.088542e+01	NCOR2;NEDD4;HLA-B;BCL2;EIF2AK2;CALR;RAC1;TP53
KEGG_2019_Human	Thyroid cancer	4/37	1.655807e-04	1.769099e-03	0	0	1.645247e+01	1.432361e+02	MAP2K1;TPM3;CTNNB1;TP53
KEGG_2019_Human	Human immunodeficiency virus 1 infection	8/212	2.027546e-04	2.008569e-03	0	0	5.425573e+00	4.613644e+01	MAP2K1;HLA-B;CDK1;BCL2;CALR;RAC1;CALM1;PAK4
KEGG_2019_Human	Hippo signaling pathway	7/160	2.077830e-04	2.008569e-03	0	0	6.301888e+00	5.343381e+01	SMAD2;GSK3B;SMAD4;YWHAQ;CTNNB1;YWHAZ;YWHAG
KEGG_2019_Human	Pancreatic cancer	5/75	2.511215e-04	2.317167e-03	0	0	9.743842e+00	8.077230e+01	SMAD2;MAP2K1;SMAD4;RAC1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	5/76	2.671977e-04	2.355151e-03	0	0	9.606119e+00	7.903456e+01	MAP2K1;SMAD4;CTBP1;TP53;RUNX1
KEGG_2019_Human	Neurotrophin signaling pathway	6/119	2.784414e-04	2.355151e-03	0	0	7.277655e+00	5.957709e+01	GSK3B;MAP2K1;BCL2;RAC1;CALM1;TP53
KEGG_2019_Human	Human cytomegalovirus infection	8/225	3.031944e-04	2.461938e-03	0	0	5.097164e+00	4.129282e+01	GSK3B;MAP2K1;HLA-B;CTNNB1;CALR;RAC1;CALM1;TP53
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	6/139	6.375393e-04	4.977711e-03	0	0	6.177005e+00	4.544975e+01	SMAD2;GSK3B;MAP2K1;SMAD4;CTNNB1;BMI1
KEGG_2019_Human	Endometrial cancer	4/58	9.416182e-04	7.079574e-03	0	0	1.004363e+01	6.998314e+01	GSK3B;MAP2K1;CTNNB1;TP53
KEGG_2019_Human	Wnt signaling pathway	6/158	1.240978e-03	8.997094e-03	0	0	5.399671e+00	3.613382e+01	GSK3B;SMAD4;CTBP1;CTNNB1;RAC1;TP53
KEGG_2019_Human	Necroptosis	6/162	1.410465e-03	9.475883e-03	0	0	5.260150e+00	3.452676e+01	HIST1H2AE;BCL2;CHMP4B;EIF2AK2;SLC25A5;SQSTM1
KEGG_2019_Human	Central carbon metabolism in cancer	4/65	1.442965e-03	9.475883e-03	0	0	8.887941e+00	5.813651e+01	MAP2K1;PGAM1;IDH1;TP53
KEGG_2019_Human	Citrate cycle (TCA cycle)	3/30	1.447056e-03	9.475883e-03	0	0	1.498337e+01	9.796464e+01	MDH2;IDH1;DLST
KEGG_2019_Human	Thyroid hormone signaling pathway	5/116	1.825983e-03	1.158358e-02	0	0	6.132029e+00	3.866635e+01	GSK3B;MAP2K1;NCOR1;CTNNB1;TP53
KEGG_2019_Human	Adherens junction	4/72	2.105740e-03	1.221329e-02	0	0	7.970185e+00	4.912095e+01	SMAD2;SMAD4;CTNNB1;RAC1
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	4/72	2.105740e-03	1.221329e-02	0	0	7.970185e+00	4.912095e+01	DES;LMNA;CTNNB1;EMD
KEGG_2019_Human	p53 signaling pathway	4/72	2.105740e-03	1.221329e-02	0	0	7.970185e+00	4.912095e+01	CHEK2;BCL2;CDK1;TP53
KEGG_2019_Human	Spliceosome	5/134	3.414538e-03	1.925420e-02	0	0	5.271585e+00	2.994109e+01	PUF60;PCBP1;EIF4A3;DDX23;HNRNPU
KEGG_2019_Human	Apelin signaling pathway	5/137	3.753111e-03	1.949877e-02	0	0	5.150993e+00	2.876917e+01	SMAD2;BECN1;MAP2K1;SMAD4;CALM1
KEGG_2019_Human	Estrogen signaling pathway	5/137	3.753111e-03	1.949877e-02	0	0	5.150993e+00	2.876917e+01	MAP2K1;KRT17;BCL2;CALM1;ESR2
KEGG_2019_Human	Tryptophan metabolism	3/42	3.831851e-03	1.949877e-02	0	0	1.036682e+01	5.768523e+01	ECHS1;CAT;DLST
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	4/85	3.845166e-03	1.949877e-02	0	0	6.686623e+00	3.718390e+01	DES;TPM3;LMNA;EMD
KEGG_2019_Human	Focal adhesion	6/199	3.938175e-03	1.949877e-02	0	0	4.243739e+00	2.349774e+01	GSK3B;MAP2K1;BCL2;CTNNB1;RAC1;PAK4
KEGG_2019_Human	Apoptosis	5/143	4.501419e-03	2.175686e-02	0	0	4.925537e+00	2.661446e+01	BECN1;MAP2K1;LMNA;BCL2;TP53
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	4/91	4.903382e-03	2.314852e-02	0	0	6.223587e+00	3.309598e+01	DES;TPM3;LMNA;EMD
KEGG_2019_Human	Breast cancer	5/147	5.055796e-03	2.332561e-02	0	0	4.785818e+00	2.530367e+01	GSK3B;MAP2K1;CTNNB1;TP53;ESR2
KEGG_2019_Human	PI3K-Akt signaling pathway	8/354	5.327482e-03	2.403286e-02	0	0	3.175771e+00	1.662477e+01	GSK3B;MAP2K1;YWHAQ;BCL2;RAC1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Phagosome	5/152	5.814800e-03	2.566097e-02	0	0	4.621863e+00	2.379034e+01	DYNC1H1;HLA-B;CALR;RAC1;RAB5A
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	4/100	6.831782e-03	2.950748e-02	0	0	5.637557e+00	2.810982e+01	SMAD2;SMAD4;BCL2;RAC1
KEGG_2019_Human	Melanogenesis	4/101	7.072835e-03	2.991220e-02	0	0	5.579155e+00	2.762515e+01	GSK3B;MAP2K1;CTNNB1;CALM1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	5/165	8.158338e-03	3.312399e-02	0	0	4.243534e+00	2.040595e+01	VCP;BAG2;BCL2;EIF2AK2;CALR
KEGG_2019_Human	Pathogenic Escherichia coli infection	3/55	8.158619e-03	3.312399e-02	0	0	7.770016e+00	3.736352e+01	YWHAQ;CTNNB1;YWHAZ
KEGG_2019_Human	Lysine degradation	3/59	9.892644e-03	3.861936e-02	0	0	7.213557e+00	3.329752e+01	ECHS1;KMT2C;DLST
KEGG_2019_Human	VEGF signaling pathway	3/59	9.892644e-03	3.861936e-02	0	0	7.213557e+00	3.329752e+01	MAP2K1;HSPB1;RAC1
KEGG_2019_Human	Endocytosis	6/244	1.033745e-02	3.959440e-02	0	0	3.433473e+00	1.569778e+01	SMAD2;PDCD6IP;NEDD4;HLA-B;CHMP4B;RAB5A
KEGG_2019_Human	Alcoholism	5/180	1.159580e-02	4.359161e-02	0	0	3.876847e+00	1.727954e+01	MAP2K1;HIST1H2BO;HIST1H2AE;HIST1H2BH;CALM1
KEGG_2019_Human	Basal cell carcinoma	3/63	1.182515e-02	4.364555e-02	0	0	6.731293e+00	2.987029e+01	GSK3B;CTNNB1;TP53
KEGG_2019_Human	Human papillomavirus infection	7/330	1.238584e-02	4.419651e-02	0	0	2.959341e+00	1.299506e+01	GSK3B;MAP2K1;HLA-B;EIF2AK2;CTNNB1;UBE3A;TP53
KEGG_2019_Human	Sphingolipid signaling pathway	4/119	1.240986e-02	4.419651e-02	0	0	4.701608e+00	2.063660e+01	MAP2K1;BCL2;RAC1;TP53
KEGG_2019_Human	Mismatch repair	2/23	1.275005e-02	4.427118e-02	0	0	1.275997e+01	5.566181e+01	PCNA;RPA1
KEGG_2019_Human	Mitophagy	3/65	1.286699e-02	4.427118e-02	0	0	6.513496e+00	2.835383e+01	BECN1;SQSTM1;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	5/186	1.321092e-02	4.461669e-02	0	0	3.747190e+00	1.621301e+01	NCOR1;ZBTB16;BMI1;TP53;RUNX1
KEGG_2019_Human	Acute myeloid leukemia	3/66	1.340699e-02	4.461669e-02	0	0	6.409783e+00	2.763885e+01	MAP2K1;ZBTB16;RUNX1
KEGG_2019_Human	Renal cell carcinoma	3/69	1.510372e-02	4.894481e-02	0	0	6.117502e+00	2.564955e+01	MAP2K1;RAC1;PAK4
KEGG_2019_Human	Huntington disease	5/193	1.527974e-02	4.894481e-02	0	0	3.606383e+00	1.507911e+01	ATP5PD;SLC25A5;TP53;TGM2;COX6B1
KEGG_2019_Human	Osteoclast differentiation	4/127	1.543087e-02	4.894481e-02	0	0	4.394031e+00	1.832919e+01	MAP2K1;FHL2;RAC1;SQSTM1
KEGG_2019_Human	Prolactin signaling pathway	3/70	1.569500e-02	4.901668e-02	0	0	6.025891e+00	2.503404e+01	GSK3B;MAP2K1;ESR2
KEGG_2019_Human	B cell receptor signaling pathway	3/71	1.629918e-02	5.013232e-02	0	0	5.936975e+00	2.444039e+01	GSK3B;MAP2K1;RAC1
KEGG_2019_Human	FoxO signaling pathway	4/132	1.753487e-02	5.312805e-02	0	0	4.221318e+00	1.706917e+01	SMAD2;MAP2K1;SMAD4;CAT
KEGG_2019_Human	Proteoglycans in cancer	5/201	1.789746e-02	5.342918e-02	0	0	3.457776e+00	1.391097e+01	SMAD2;MAP2K1;CTNNB1;RAC1;TP53
KEGG_2019_Human	Glioma	3/75	1.884538e-02	5.544366e-02	0	0	5.606009e+00	2.226419e+01	MAP2K1;CALM1;TP53
KEGG_2019_Human	Measles	4/138	2.028549e-02	5.882792e-02	0	0	4.031077e+00	1.571253e+01	GSK3B;BCL2;EIF2AK2;TP53
KEGG_2019_Human	Glyoxylate and dicarboxylate metabolism	2/30	2.118648e-02	5.973412e-02	0	0	9.566602e+00	3.687343e+01	MDH2;CAT
KEGG_2019_Human	Pentose phosphate pathway	2/30	2.118648e-02	5.973412e-02	0	0	9.566602e+00	3.687343e+01	ALDOA;TKT
KEGG_2019_Human	Parkinson disease	4/142	2.225883e-02	6.189783e-02	0	0	3.913441e+00	1.489071e+01	ATP5PD;LRRK2;SLC25A5;COX6B1
KEGG_2019_Human	Peroxisome	3/83	2.456214e-02	6.737993e-02	0	0	5.043367e+00	1.869349e+01	ACOX1;IDH1;CAT
KEGG_2019_Human	MicroRNAs in cancer	6/299	2.544262e-02	6.886469e-02	0	0	2.781143e+00	1.021049e+01	MAP2K1;UBE2I;BCL2;BMI1;TP53;PAK4
KEGG_2019_Human	ErbB signaling pathway	3/85	2.612158e-02	6.977213e-02	0	0	4.919861e+00	1.793286e+01	GSK3B;MAP2K1;PAK4
KEGG_2019_Human	Ribosome	4/153	2.827423e-02	7.454114e-02	0	0	3.622506e+00	1.291715e+01	MRPL2;MRPS11;MRPS12;UBA52
KEGG_2019_Human	DNA replication	2/36	2.980273e-02	7.756352e-02	0	0	7.875994e+00	2.766959e+01	PCNA;RPA1
KEGG_2019_Human	Ras signaling pathway	5/232	3.078360e-02	7.894535e-02	0	0	2.980860e+00	1.037570e+01	MAP2K1;RAC1;CALM1;RAB5A;PAK4
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	3/91	3.111147e-02	7.894535e-02	0	0	4.583024e+00	1.590391e+01	MAP2K1;GSN;RAC1
KEGG_2019_Human	Ferroptosis	2/40	3.619095e-02	9.070079e-02	0	0	7.045519e+00	2.338370e+01	PCBP1;TP53
KEGG_2019_Human	Bladder cancer	2/41	3.786344e-02	9.373509e-02	0	0	6.864518e+00	2.247285e+01	MAP2K1;TP53
KEGG_2019_Human	Progesterone-mediated oocyte maturation	3/99	3.848529e-02	9.412668e-02	0	0	4.199405e+00	1.367947e+01	MAP2K1;CDK1;AURKA
KEGG_2019_Human	Tight junction	4/170	3.930791e-02	9.424996e-02	0	0	3.248721e+00	1.051393e+01	PCNA;NEDD4;RAC1;RUNX1
KEGG_2019_Human	HIF-1 signaling pathway	3/100	3.946427e-02	9.424996e-02	0	0	4.155902e+00	1.343337e+01	MAP2K1;BCL2;ALDOA
KEGG_2019_Human	Alzheimer disease	4/171	4.002345e-02	9.439697e-02	0	0	3.229103e+00	1.039219e+01	GSK3B;ATP5PD;CALM1;COX6B1
KEGG_2019_Human	T cell receptor signaling pathway	3/101	4.045585e-02	9.439697e-02	0	0	4.113286e+00	1.319355e+01	GSK3B;MAP2K1;PAK4
KEGG_2019_Human	Glucagon signaling pathway	3/103	4.247663e-02	9.710932e-02	0	0	4.030612e+00	1.273190e+01	PGAM1;PPP4R3B;CALM1
KEGG_2019_Human	Fatty acid degradation	2/44	4.305339e-02	9.710932e-02	0	0	6.373230e+00	2.004581e+01	ECHS1;ACOX1
KEGG_2019_Human	Vasopressin-regulated water reabsorption	2/44	4.305339e-02	9.710932e-02	0	0	6.373230e+00	2.004581e+01	DYNC1H1;RAB5A
KEGG_2019_Human	Tuberculosis	4/179	4.601470e-02	1.026482e-01	0	0	3.080235e+00	9.483409e+00	HSPA9;BCL2;CALM1;RAB5A
KEGG_2019_Human	Th17 cell differentiation	3/107	4.666749e-02	1.029728e-01	0	0	3.874804e+00	1.187514e+01	SMAD2;SMAD4;RUNX1
KEGG_2019_Human	Hedgehog signaling pathway	2/47	4.849130e-02	1.047206e-01	0	0	5.947447e+00	1.799918e+01	GSK3B;BCL2
KEGG_2019_Human	Nucleotide excision repair	2/47	4.849130e-02	1.047206e-01	0	0	5.947447e+00	1.799918e+01	PCNA;RPA1
KEGG_2019_Human	Notch signaling pathway	2/48	5.035669e-02	1.076043e-01	0	0	5.817861e+00	1.738740e+01	NCOR2;CTBP1
KEGG_2019_Human	Glutathione metabolism	2/56	6.616007e-02	1.399010e-01	0	0	4.953954e+00	1.345334e+01	GSTP1;IDH1
KEGG_2019_Human	Rap1 signaling pathway	4/206	6.970754e-02	1.458828e-01	0	0	2.664858e+00	7.097708e+00	MAP2K1;CTNNB1;RAC1;CALM1
KEGG_2019_Human	Autophagy	3/128	7.180777e-02	1.485784e-01	0	0	3.220408e+00	8.481791e+00	BECN1;MAP2K1;BCL2
KEGG_2019_Human	Viral myocarditis	2/59	7.245942e-02	1.485784e-01	0	0	4.692508e+00	1.231656e+01	HLA-B;RAC1
KEGG_2019_Human	cAMP signaling pathway	4/212	7.568462e-02	1.523678e-01	0	0	2.587197e+00	6.678022e+00	MAP2K1;ACOX1;RAC1;CALM1
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	3/131	7.580863e-02	1.523678e-01	0	0	3.144452e+00	8.111248e+00	MAP2K1;HLA-B;RAC1
KEGG_2019_Human	Regulation of actin cytoskeleton	4/214	7.773292e-02	1.547037e-01	0	0	2.562296e+00	6.545325e+00	MAP2K1;GSN;RAC1;PAK4
KEGG_2019_Human	Systemic lupus erythematosus	3/133	7.852971e-02	1.547721e-01	0	0	3.095761e+00	7.876479e+00	HIST1H2BO;HIST1H2AE;HIST1H2BH
KEGG_2019_Human	Insulin signaling pathway	3/137	8.409835e-02	1.625902e-01	0	0	3.002741e+00	7.434092e+00	GSK3B;MAP2K1;CALM1
KEGG_2019_Human	Ubiquitin mediated proteolysis	3/137	8.409835e-02	1.625902e-01	0	0	3.002741e+00	7.434092e+00	UBE2I;NEDD4;UBE3A
KEGG_2019_Human	Non-small cell lung cancer	2/66	8.785800e-02	1.682564e-01	0	0	4.177787e+00	1.016052e+01	MAP2K1;TP53
KEGG_2019_Human	Long-term potentiation	2/67	9.013180e-02	1.709977e-01	0	0	4.113306e+00	9.898597e+00	MAP2K1;CALM1
