Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	29/134	4.165752e-35	6.873490e-33	0	0	4.743511e+01	3.755134e+03	DDX5;RBM25;SF3B3;SF3B6;EIF4A3;DDX23;HNRNPU;SNU13;U2AF1;PRPF8;EFTUD2;SART1;SNRPD2;SNRPD1;SNRNP70;PCBP1;TRA2B;SF3B1;BCAS2;SF3A1;CDC5L;PRPF40A;HNRNPM;PRPF6;HNRNPK;SRSF2;SRSF3;SRSF5;SRSF7
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	7/101	8.473910e-06	6.990975e-04	0	0	1.074189e+01	1.254493e+02	NOP56;FBL;NXF1;NOP58;SNU13;RIOK1;RAN
KEGG_2019_Human	RNA transport	8/165	2.632748e-05	1.448012e-03	0	0	7.380667e+00	7.782837e+01	EEF1A1;NXF1;SUMO3;NUP62;EIF4A3;SAP18;RNPS1;RAN
KEGG_2019_Human	mRNA surveillance pathway	6/91	5.058917e-05	2.016692e-03	0	0	1.011304e+01	1.000359e+02	NXF1;DAZAP1;EIF4A3;SAP18;RNPS1;GSPT2
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	6.111187e-05	2.016692e-03	0	0	7.753060e+00	7.522643e+01	CUL7;HERC2;SMURF1;UBR5;CUL1;UBE3A;WWP2
KEGG_2019_Human	Ribosome	7/153	1.223653e-04	3.365045e-03	0	0	6.897810e+00	6.213892e+01	RPS4X;RPS14;RPL37A;RPL15;RPS2;RPS24;RPS13
KEGG_2019_Human	Citrate cycle (TCA cycle)	3/30	1.286950e-03	3.033524e-02	0	0	1.562569e+01	1.039965e+02	MDH2;IDH1;DLST
KEGG_2019_Human	Purine metabolism	5/129	2.431003e-03	5.013944e-02	0	0	5.724066e+00	3.445574e+01	ADSL;AK1;AK2;NME2;ADSS
KEGG_2019_Human	Thiamine metabolism	2/15	5.083278e-03	9.319342e-02	0	0	2.149837e+01	1.135501e+02	AK1;AK2
KEGG_2019_Human	Lysine degradation	3/59	8.854304e-03	1.460960e-01	0	0	7.522796e+00	3.555914e+01	ECHS1;DLST;EZH2
KEGG_2019_Human	Mitophagy	3/65	1.153144e-02	1.729716e-01	0	0	6.792725e+00	3.031374e+01	GABARAPL2;CALCOCO2;SRC
KEGG_2019_Human	Bacterial invasion of epithelial cells	3/74	1.633298e-02	2.245785e-01	0	0	5.928978e+00	2.439519e+01	SRC;FN1;SEPT2
KEGG_2019_Human	Alanine, aspartate and glutamate metabolism	2/35	2.622915e-02	3.211982e-01	0	0	8.460521e+00	3.080377e+01	ADSL;ADSS
KEGG_2019_Human	TGF-beta signaling pathway	3/90	2.725318e-02	3.211982e-01	0	0	4.834678e+00	1.741734e+01	SMURF1;CUL1;TGFBR2
KEGG_2019_Human	Hepatitis B	4/163	3.035783e-02	3.339361e-01	0	0	3.539443e+00	1.236929e+01	SRC;ARAF;TYK2;TGFBR2
KEGG_2019_Human	Ferroptosis	2/40	3.359417e-02	3.367853e-01	0	0	7.345441e+00	2.492604e+01	TF;PCBP1
KEGG_2019_Human	Bladder cancer	2/41	3.515339e-02	3.367853e-01	0	0	7.156735e+00	2.396100e+01	SRC;ARAF
KEGG_2019_Human	Tryptophan metabolism	2/42	3.674021e-02	3.367853e-01	0	0	6.977465e+00	2.305273e+01	ECHS1;DLST
KEGG_2019_Human	Hedgehog signaling pathway	2/47	4.507214e-02	3.678313e-01	0	0	6.200626e+00	1.921878e+01	SMURF1;CUL1
KEGG_2019_Human	Transcriptional misregulation in cancer	4/186	4.566647e-02	3.678313e-01	0	0	3.088540e+00	9.532442e+00	DDX5;EWSR1;BMI1;TGFBR2
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	2/48	4.681489e-02	3.678313e-01	0	0	6.065524e+00	1.856993e+01	ATP1A1;AP2B1
KEGG_2019_Human	Mineral absorption	2/51	5.218788e-02	3.725355e-01	0	0	5.693303e+00	1.681178e+01	TF;ATP1A1
KEGG_2019_Human	Viral carcinogenesis	4/201	5.759217e-02	3.725355e-01	0	0	2.851197e+00	8.138366e+00	HNRNPK;HIST4H4;SRC;UBE3A
KEGG_2019_Human	Proteoglycans in cancer	4/201	5.759217e-02	3.725355e-01	0	0	2.851197e+00	8.138366e+00	DDX5;SRC;ARAF;FN1
KEGG_2019_Human	Legionellosis	2/55	5.967360e-02	3.725355e-01	0	0	5.262556e+00	1.483444e+01	EEF1A1;VCP
KEGG_2019_Human	Pathogenic Escherichia coli infection	2/55	5.967360e-02	3.725355e-01	0	0	5.262556e+00	1.483444e+01	TUBA1B;NCL
KEGG_2019_Human	Glutathione metabolism	2/56	6.159970e-02	3.725355e-01	0	0	5.164841e+00	1.439492e+01	IDH1;PGD
KEGG_2019_Human	Osteoclast differentiation	3/127	6.400830e-02	3.725355e-01	0	0	3.385724e+00	9.306484e+00	FHL2;TYK2;TGFBR2
KEGG_2019_Human	Herpes simplex virus 1 infection	7/492	6.547594e-02	3.725355e-01	0	0	2.040740e+00	5.563206e+00	NXF1;SRC;SRSF2;SRSF3;SRSF5;TYK2;SRSF7
KEGG_2019_Human	FoxO signaling pathway	3/132	7.013403e-02	3.799790e-01	0	0	3.253670e+00	8.646130e+00	GABARAPL2;ARAF;TGFBR2
KEGG_2019_Human	Systemic lupus erythematosus	3/133	7.139000e-02	3.799790e-01	0	0	3.228478e+00	8.521882e+00	SNRPD1;HIST4H4;HIST1H2AE
KEGG_2019_Human	Shigellosis	2/65	7.983538e-02	4.116512e-01	0	0	4.424994e+00	1.118545e+01	SRC;U2AF1
KEGG_2019_Human	Adherens junction	2/72	9.502098e-02	4.751049e-01	0	0	3.981087e+00	9.370115e+00	SRC;TGFBR2
KEGG_2019_Human	Endocytosis	4/244	9.996680e-02	4.768530e-01	0	0	2.335238e+00	5.377860e+00	SMURF1;SRC;AP2B1;TGFBR2
KEGG_2019_Human	Pancreatic cancer	2/75	1.017641e-01	4.768530e-01	0	0	3.816901e+00	8.721995e+00	ARAF;TGFBR2
KEGG_2019_Human	Chronic myeloid leukemia	2/76	1.040407e-01	4.768530e-01	0	0	3.765131e+00	8.520393e+00	ARAF;TGFBR2
KEGG_2019_Human	Cardiac muscle contraction	2/78	1.086353e-01	4.844545e-01	0	0	3.665678e+00	8.136923e+00	ACTC1;ATP1A1
KEGG_2019_Human	Primary bile acid biosynthesis	1/17	1.156406e-01	4.893250e-01	0	0	8.671329e+00	1.870638e+01	HSD17B4
KEGG_2019_Human	Peroxisome	2/83	1.203490e-01	4.893250e-01	0	0	3.438532e+00	7.280610e+00	IDH1;HSD17B4
KEGG_2019_Human	Hepatocellular carcinoma	3/168	1.212384e-01	4.893250e-01	0	0	2.539136e+00	5.357568e+00	ARAF;BRD7;TGFBR2
KEGG_2019_Human	ErbB signaling pathway	2/85	1.251191e-01	4.893250e-01	0	0	3.355337e+00	6.974033e+00	SRC;ARAF
KEGG_2019_Human	Influenza A	3/171	1.259905e-01	4.893250e-01	0	0	2.493414e+00	5.165229e+00	NXF1;FDPS;TYK2
KEGG_2019_Human	Colorectal cancer	2/86	1.275210e-01	4.893250e-01	0	0	3.315225e+00	6.827619e+00	ARAF;TGFBR2
KEGG_2019_Human	Gap junction	2/88	1.323576e-01	4.942355e-01	0	0	3.237799e+00	6.547633e+00	TUBA1B;SRC
KEGG_2019_Human	GABAergic synapse	2/89	1.347915e-01	4.942355e-01	0	0	3.200421e+00	6.413727e+00	GABARAPL2;SRC
KEGG_2019_Human	Alcoholism	3/180	1.406373e-01	5.044598e-01	0	0	2.365549e+00	4.640192e+00	HIST4H4;ARAF;HIST1H2AE
KEGG_2019_Human	Terpenoid backbone biosynthesis	1/22	1.470517e-01	5.158766e-01	0	0	6.605062e+00	1.266171e+01	FDPS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	3/186	1.507063e-01	5.158766e-01	0	0	2.287292e+00	4.328523e+00	GABARAPL2;SRC;TYK2
KEGG_2019_Human	Proximal tubule bicarbonate reclamation	1/23	1.531997e-01	5.158766e-01	0	0	6.304514e+00	1.182735e+01	ATP1A1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	1.621742e-01	5.246814e-01	0	0	2.839609e+00	5.165487e+00	FN1;TGFBR2
KEGG_2019_Human	HIF-1 signaling pathway	2/100	1.621742e-01	5.246814e-01	0	0	2.839609e+00	5.165487e+00	TF;ENO2
KEGG_2019_Human	Biosynthesis of unsaturated fatty acids	1/27	1.773547e-01	5.490920e-01	0	0	5.333513e+00	9.224864e+00	HSD17B4
KEGG_2019_Human	Fatty acid elongation	1/27	1.773547e-01	5.490920e-01	0	0	5.333513e+00	9.224864e+00	ECHS1
