Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	17/153	1.925515e-15	3.735499e-13	0	0	1.852820e+01	6.278016e+02	RPL5;RPS9;RPL31;RPL23;RPL12;RPS5;RPL11;RPL23A;MRPL12;RPS4X;RPS14;RPS15A;RPS20;RPS11;RPS27A;RPS24;RPS13
KEGG_2019_Human	Adherens junction	10/72	1.498831e-10	1.453866e-08	0	0	2.279724e+01	5.157000e+02	TJP1;PTPN1;AFDN;CTNNA1;CTNNB1;ACTN4;IQGAP1;SSX2IP;ACTB;ACTG1
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	1.722067e-08	1.113603e-06	0	0	1.330458e+01	2.378481e+02	NRAS;THRB;PIK3CA;SIN3A;MDM2;CTNNB1;ATP1A1;ESR1;ACTB;ACTG1
KEGG_2019_Human	Proteoglycans in cancer	11/201	3.541466e-07	1.717611e-05	0	0	8.188565e+00	1.216293e+02	PPP1CB;CAMK2B;NRAS;PIK3CA;CAMK2A;MDM2;CTNNB1;IQGAP1;ESR1;ACTB;ACTG1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	1.020197e-05	3.958366e-04	0	0	8.480378e+00	9.746439e+01	ACVR1;MEF2A;PIK3CA;NOS3;GSTP1;CTNNB1;ACTB;ACTG1
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	6/72	1.673047e-05	4.692159e-04	0	0	1.248990e+01	1.373674e+02	LMNA;CTNNA1;CTNNB1;EMD;ACTB;ACTG1
KEGG_2019_Human	Bacterial invasion of epithelial cells	6/74	1.959448e-05	4.692159e-04	0	0	1.212132e+01	1.313983e+02	PIK3CA;CTNNA1;CTNNB1;ACTB;ACTG1;CD2AP
KEGG_2019_Human	Glioma	6/75	2.116771e-05	4.692159e-04	0	0	1.194505e+01	1.285650e+02	CAMK2B;NRAS;PIK3CA;CDKN2A;CAMK2A;MDM2
KEGG_2019_Human	Leukocyte transendothelial migration	7/112	2.176775e-05	4.692159e-04	0	0	9.205128e+00	9.881780e+01	AFDN;PIK3CA;CTNNA1;CTNNB1;ACTN4;ACTB;ACTG1
KEGG_2019_Human	Hippo signaling pathway	8/160	2.831323e-05	5.492766e-04	0	0	7.300964e+00	7.645702e+01	PPP1CB;PPP2CB;CTNNA1;DVL3;CTNNB1;BMP7;ACTB;ACTG1
KEGG_2019_Human	Hepatocellular carcinoma	8/168	4.012165e-05	7.019806e-04	0	0	6.933099e+00	7.018788e+01	NRAS;PIK3CA;CDKN2A;GSTP1;DVL3;CTNNB1;ACTB;ACTG1
