Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	1.094427e-11	2.123189e-09	0	0	1.966313e+01	4.962621e+02	NOTCH1;NCOR1;HDAC3;SIN3A;HDAC1;MYC;MAPK1;CTNNB1;ITGAV;ATP1B1;ESR1;ACTG1
KEGG_2019_Human	Wnt signaling pathway	13/158	2.743990e-11	2.661670e-09	0	0	1.537937e+01	3.740113e+02	CAMK2B;JUN;SMAD3;CTBP1;LEF1;SIAH1;CAMK2A;NFATC2;NFATC1;CACYBP;MYC;RUVBL1;CTNNB1
KEGG_2019_Human	Pathways in cancer	20/530	1.720993e-10	1.112909e-08	0	0	7.030501e+00	1.580664e+02	SMAD2;CAMK2B;JUN;SMAD3;NOTCH1;CTBP1;ITGA3;HDAC1;LEF1;CAMK2A;FOS;ESR1;RUNX1;SP1;MYC;TRAF6;CTNNB1;MAPK1;ITGAV;CTNNA3
KEGG_2019_Human	Proteoglycans in cancer	13/201	5.562051e-10	2.655118e-08	0	0	1.183589e+01	2.522215e+02	SMAD2;CAMK2B;ITGB5;CAMK2A;IQGAP1;ESR1;ACTG1;PPP1CB;MYC;CTNNB1;MAPK1;FLNB;ITGAV
KEGG_2019_Human	Adherens junction	9/72	8.211704e-10	2.655118e-08	0	0	2.378031e+01	4.974910e+02	SMAD2;SMAD3;LEF1;MAPK1;CTNNB1;CTNNA3;ACTN4;IQGAP1;ACTG1
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	9/72	8.211704e-10	2.655118e-08	0	0	2.378031e+01	4.974910e+02	ITGB5;ITGA3;LEF1;LMNA;CTNNB1;ITGAV;CTNNA3;EMD;ACTG1
KEGG_2019_Human	Hippo signaling pathway	11/160	6.612343e-09	1.832564e-07	0	0	1.244496e+01	2.343925e+02	PPP1CB;YAP1;SMAD2;SOX2;SMAD1;SMAD3;MYC;LEF1;CTNNB1;CTNNA3;ACTG1
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	3.166969e-08	7.679900e-07	0	0	1.058203e+01	1.827294e+02	SMAD1;CEBPB;HIST1H3A;NCOR1;SP1;HDAC1;SIN3A;MYC;PAX5;RUNX2;RUNX1
KEGG_2019_Human	Colorectal cancer	8/86	7.884821e-08	1.585705e-06	0	0	1.691795e+01	2.767056e+02	SMAD2;JUN;SMAD3;MYC;LEF1;MAPK1;CTNNB1;FOS
KEGG_2019_Human	Cellular senescence	10/160	8.173737e-08	1.585705e-06	0	0	1.114237e+01	1.818408e+02	PPP1CB;SMAD2;SMAD3;MYC;CDK1;NFATC2;MAPK1;NFATC1;HIPK1;HIPK2
KEGG_2019_Human	Th17 cell differentiation	8/107	4.330129e-07	7.177345e-06	0	0	1.331515e+01	1.951002e+02	SMAD2;JUN;SMAD3;NFATC2;MAPK1;NFATC1;FOS;RUNX1
