Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	27/201	7.306424e-27	1.505123e-24	0	0	2.632982e+01	1.584556e+03	HDAC5;HDAC2;SRC;TRADD;RBPJ;RELA;CDC20;YWHAQ;PRKACG;CASP3;CHEK1;EP300;RAC1;IKBKG;LYN;CREBBP;JUN;NFKB1;HNRNPK;PKM;HIST4H4;REL;CDK1;BAX;GRB2;KRAS;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	22/186	9.155868e-21	9.430544e-19	0	0	2.183259e+01	1.007354e+03	LYN;CREBBP;JUN;CHUK;IFNGR1;SRC;TRADD;RELA;NFKB1;TBK1;UBB;CASP3;PLCG2;BAX;AKT1;CTNNB1;EP300;KRAS;RAC1;IKBKG;CALM1;TP53
KEGG_2019_Human	Pathways in cancer	31/530	8.389264e-20	5.760628e-18	0	0	1.073751e+01	4.716425e+02	HDAC2;HSP90AB1;RELA;CDH1;PRKACG;CASP3;PLCG2;AKT1;EP300;RAC1;IKBKG;PDGFRB;TCF7L2;CREBBP;JUN;HSP90AA1;CHUK;IFNGR1;PML;NFKB1;MSH2;BAX;CTNNB1;GRB2;PPARG;KRAS;CALM1;TP53;CRK;FGFR1;BIRC3
KEGG_2019_Human	Epstein-Barr virus infection	21/201	1.009975e-18	5.201370e-17	0	0	1.881680e+01	7.797045e+02	LYN;JUN;HDAC2;PSMD14;CHUK;TRADD;TNFAIP3;RBPJ;RELA;NFKB1;TBK1;PSMC3;SIN3A;CASP3;NEDD4;PLCG2;BAX;AKT1;RAC1;IKBKG;TP53
KEGG_2019_Human	Prostate cancer	16/97	9.568856e-18	3.942369e-16	0	0	3.075882e+01	1.205377e+03	PDGFRB;TCF7L2;CREBBP;HSP90AA1;HSP90AB1;CHUK;NFKB1;RELA;AKT1;EP300;CTNNB1;GRB2;KRAS;IKBKG;TP53;FGFR1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	16/139	3.546852e-15	1.217752e-13	0	0	2.021279e+01	6.725344e+02	JUN;HSP90AA1;HSP90AB1;CHUK;SRC;CAV1;ACTB;NFKB1;RELA;AKT1;CTNNB1;RAC1;IKBKG;CALM1;TP53;BMPR1A
KEGG_2019_Human	Apoptosis	16/143	5.595772e-15	1.646756e-13	0	0	1.957220e+01	6.422963e+02	JUN;CHUK;TRADD;TNFRSF10B;CFLAR;ACTB;NFKB1;RELA;AIFM1;CASP3;AKT1;BAX;KRAS;IKBKG;TP53;BIRC3
KEGG_2019_Human	Neurotrophin signaling pathway	15/119	6.776060e-15	1.744836e-13	0	0	2.225774e+01	7.261672e+02	JUN;PRKCD;NFKB1;RELA;RPS6KA3;RPS6KA1;PLCG2;AKT1;BAX;GRB2;KRAS;RAC1;CALM1;TP53;CRK
KEGG_2019_Human	Human immunodeficiency virus 1 infection	18/212	1.376414e-14	3.150459e-13	0	0	1.459522e+01	4.658313e+02	JUN;CHUK;FBXW11;TRADD;RELA;NFKB1;TBK1;CASP3;CHEK1;PLCG2;CDK1;BAX;AKT1;KRAS;RAC1;IKBKG;CALM1;CRK
KEGG_2019_Human	Human papillomavirus infection	21/330	2.418470e-14	4.982049e-13	0	0	1.088938e+01	3.414155e+02	PDGFRB;TCF7L2;CREBBP;HDAC2;CHUK;TRADD;RBPJ;RELA;NFKB1;TBK1;PKM;PRKACG;CASP3;BAX;AKT1;CTNNB1;EP300;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	Human cytomegalovirus infection	18/225	3.884908e-14	7.275372e-13	0	0	1.366957e+01	4.221038e+02	CHUK;SRC;TRADD;RELA;NFKB1;TBK1;PRKACG;CASP3;BAX;AKT1;CTNNB1;GRB2;KRAS;RAC1;IKBKG;CALM1;TP53;CRK
KEGG_2019_Human	Hepatitis B	16/163	4.500128e-14	7.725220e-13	0	0	1.689217e+01	5.191317e+02	CREBBP;JUN;CHUK;SRC;RELA;NFKB1;TBK1;YWHAQ;CASP3;BAX;AKT1;EP300;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	3.391193e-13	5.038209e-12	0	0	1.312804e+01	3.769380e+02	NRP1;CREBBP;JUN;CHUK;TRRAP;RELA;NFKB1;CDC20;PRKACG;CHEK1;CDC27;BAX;AKT1;EP300;KRAS;IKBKG;TP53
KEGG_2019_Human	Hepatitis C	15/155	3.583779e-13	5.038209e-12	0	0	1.650419e+01	4.729635e+02	CHUK;TRADD;CFLAR;RELA;NFKB1;TBK1;YWHAQ;CASP3;BAX;AKT1;CTNNB1;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	MAPK signaling pathway	19/295	3.668599e-13	5.038209e-12	0	0	1.087070e+01	3.112695e+02	PDGFRB;HSPA8;JUN;CHUK;TRADD;RELA;NFKB1;RPS6KA3;PRKACG;CASP3;RPS6KA1;AKT1;GRB2;KRAS;RAC1;IKBKG;TP53;CRK;FGFR1
KEGG_2019_Human	Longevity regulating pathway	13/102	3.981432e-13	5.126094e-12	0	0	2.221124e+01	6.341744e+02	HSPA8;HDAC2;EHMT2;IRS4;EHMT1;NFKB1;RELA;PRKACG;AKT1;BAX;PPARG;KRAS;TP53
KEGG_2019_Human	Shigellosis	11/65	1.087860e-12	1.318231e-11	0	0	3.056019e+01	8.418356e+02	MAD2L2;CHUK;FBXW11;SRC;HCLS1;RAC1;IKBKG;CRK;ACTB;RELA;NFKB1
KEGG_2019_Human	IL-17 signaling pathway	12/93	2.838361e-12	3.248346e-11	0	0	2.236472e+01	5.946285e+02	HSP90AA1;JUN;HSP90AB1;TBK1;CHUK;TRADD;CASP3;TNFAIP3;IKBKG;ELAVL1;RELA;NFKB1
KEGG_2019_Human	B cell receptor signaling pathway	11/71	3.000800e-12	3.253498e-11	0	0	2.749583e+01	7.295234e+02	LYN;JUN;CHUK;PLCG2;AKT1;KRAS;GRB2;RAC1;IKBKG;RELA;NFKB1
KEGG_2019_Human	Chronic myeloid leukemia	11/76	6.511265e-12	6.706603e-11	0	0	2.537436e+01	6.535797e+02	HDAC2;CHUK;AKT1;BAX;KRAS;GRB2;IKBKG;TP53;CRK;RELA;NFKB1
KEGG_2019_Human	Proteoglycans in cancer	15/201	1.577240e-11	1.547198e-10	0	0	1.239352e+01	3.082611e+02	SRC;CAV1;ACTB;TFAP4;PRKACG;CASP3;PLCG2;AKT1;HCLS1;CTNNB1;GRB2;KRAS;RAC1;TP53;FGFR1
KEGG_2019_Human	Measles	13/138	2.019228e-11	1.890732e-10	0	0	1.578560e+01	3.887318e+02	HSPA8;JUN;CHUK;TRADD;TNFAIP3;NFKB1;RELA;TBK1;CASP3;AKT1;BAX;IKBKG;TP53
KEGG_2019_Human	Influenza A	14/171	2.229043e-11	1.996448e-10	0	0	1.361774e+01	3.340003e+02	HSPA8;CREBBP;JUN;IFNGR1;TNFRSF10B;PML;RELA;ACTB;NFKB1;DNAJB1;TBK1;AKT1;EP300;KPNA2
KEGG_2019_Human	Colorectal cancer	11/86	2.617587e-11	2.246762e-10	0	0	2.198000e+01	5.355687e+02	TCF7L2;JUN;MSH2;CASP3;AKT1;BAX;CTNNB1;KRAS;GRB2;RAC1;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	4.075679e-11	3.358360e-10	0	0	1.739841e+01	4.162292e+02	CREBBP;HDAC2;SIN3A;SRC;PRKACG;PLCG2;AKT1;EP300;CTNNB1;KRAS;TP53;ACTB
