Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	48/530	6.307182e-43	1.210979e-40	0	0	2.475838e+01	2.405759e+03	CAMK2B;LEF1;ARAF;PDGFB;LPAR1;PIK3CD;PIK3R2;PIK3CB;GNAI1;IGF1R;GNAI2;NRAS;RASSF5;ERBB2;PLCG2;RAC2;AKT1;MAPK1;PLCG1;PRKACA;JAK2;PRKACB;RALGDS;HRAS;MAPK3;APPL1;JAK1;EGLN1;CDKN2B;ARNT;BRAF;IGF1;PTK2;PIK3CA;RPS6KB1;CDK4;TRAF6;MDM2;CTNNB1;KRAS;RAF1;FGFR4;TP53;FGFR3;SOS2;CRK;FGFR1;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	34/201	1.914640e-39	1.838055e-37	0	0	4.361091e+01	3.887969e+03	CAMK2B;DDX5;PXN;ARAF;PIK3CD;PIK3R2;PIK3CB;IGF1R;NRAS;ERBB3;ERBB2;PLCG2;AKT1;MAPK1;PLCG1;PRKACA;PRKACB;HRAS;MAPK3;CAV1;BRAF;IGF1;HSPG2;PTK2;PIK3CA;RPS6KB1;MDM2;CTNNB1;PTPN6;KRAS;RAF1;TP53;SOS2;FGFR1
KEGG_2019_Human	Glioma	24/75	2.981938e-35	1.908440e-33	0	0	9.145559e+01	7.270528e+03	CAMK2B;SHC1;ARAF;PDGFB;PIK3CD;PIK3R2;BRAF;PIK3CB;IGF1;IGF1R;NRAS;PIK3CA;CDK4;PLCG2;MDM2;AKT1;MAPK1;KRAS;PLCG1;RAF1;HRAS;SOS2;TP53;MAPK3
KEGG_2019_Human	ErbB signaling pathway	23/85	7.345137e-32	3.525666e-30	0	0	7.135547e+01	5.115379e+03	CAMK2B;SHC1;ARAF;PIK3CD;PIK3R2;BRAF;PIK3CB;PTK2;NRAS;PIK3CA;ERBB3;RPS6KB1;ERBB2;PLCG2;AKT1;MAPK1;KRAS;PLCG1;RAF1;HRAS;SOS2;CRK;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	29/206	3.664412e-31	1.381561e-29	0	0	3.327002e+01	2.331612e+03	PDGFB;LPAR1;PIK3CD;PIK3R2;PIK3CB;GNAI1;IGF1R;GNAI2;NRAS;RASSF5;RAC2;AKT1;MAPK1;PLCG1;RALGDS;HRAS;MAPK3;INSR;BRAF;IGF1;PIK3CA;CTNNB1;KRAS;PRKD1;RAF1;FGFR4;FGFR3;CRK;FGFR1
KEGG_2019_Human	Ras signaling pathway	30/232	4.317377e-31	1.381561e-29	0	0	3.043317e+01	2.127811e+03	SHC1;PDGFB;PIK3CD;PIK3R2;PIK3CB;IGF1R;NRAS;RASSF5;PLCG2;RAC2;AKT1;MAPK1;PLCG1;PRKACA;PRKACB;RALGDS;HRAS;MAPK3;KSR1;INSR;IGF1;PIK3CA;RASA1;KRAS;RAF1;FGFR4;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Prostate cancer	23/97	2.248541e-30	6.167428e-29	0	0	5.974810e+01	4.078840e+03	LEF1;ARAF;PDGFB;PIK3CD;PIK3R2;BRAF;IGF1;PIK3CB;IGF1R;NRAS;PIK3CA;ERBB2;MDM2;AKT1;MAPK1;CTNNB1;KRAS;RAF1;TP53;HRAS;SOS2;FGFR1;MAPK3
KEGG_2019_Human	MAPK signaling pathway	31/295	2.790023e-29	6.696055e-28	0	0	2.423884e+01	1.593677e+03	PTPRR;ARAF;PDGFB;ARRB2;IGF1R;NRAS;DUSP10;ERBB3;ERBB2;RAC2;AKT1;MAPK1;PRKACA;PRKACB;HRAS;MAP3K5;MAPK3;INSR;BRAF;IGF1;PPM1A;TRAF6;RASA1;KRAS;RAF1;FGFR4;TP53;FGFR3;SOS2;CRK;FGFR1
KEGG_2019_Human	Non-small cell lung cancer	20/66	6.403386e-29	1.366056e-27	0	0	8.132896e+01	5.279725e+03	ARAF;PIK3CD;PIK3R2;BRAF;PIK3CB;NRAS;PIK3CA;CDK4;RASSF5;ERBB2;PLCG2;AKT1;MAPK1;KRAS;PLCG1;RAF1;HRAS;SOS2;TP53;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	32/354	3.907211e-28	7.501846e-27	0	0	2.067081e+01	1.304526e+03	PDGFB;LPAR1;PIK3CD;PIK3R2;PIK3CB;PIK3CG;IGF1R;NRAS;ERBB3;ERBB2;AKT1;MAPK1;JAK2;HRAS;MAPK3;JAK1;INSR;IGF1;PTK2;PIK3CA;RPS6KB1;CDK4;CDC37;MDM2;KRAS;RAF1;FGFR4;TP53;FGFR3;SOS2;FGFR1;BCL2L1
