Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	2.500147e-18	4.425261e-16	0	0	9.840000e+00	3.988170e+02	CAMK2B;CTBP2;CTBP1;HDAC1;CUL2;RELA;GNAI1;GNAI2;RASSF5;DVL2;RAC2;PMAIP1;DVL3;MAPK1;RALGDS;HRAS;TCF7L2;SMAD3;ARNT;TRAF2;TRAF1;AR;TRAF6;CTNNB1;GRB2;KRAS;RAF1;FGFR3;FGFR1;BCL2L1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	14/139	2.099745e-12	1.858274e-10	0	0	1.648824e+01	4.433556e+02	ZFHX3;SMAD3;HNF1A;MAPK14;DVL2;DVL3;MAPK1;CTNNB1;GRB2;KRAS;RAF1;FGFR3;HRAS;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	11/76	9.490262e-12	5.599255e-10	0	0	2.444211e+01	6.203592e+02	SMAD3;CTBP2;HDAC1;CTBP1;MAPK1;KRAS;GRB2;RAF1;HRAS;RELA;BCL2L1
KEGG_2019_Human	Ras signaling pathway	16/232	1.802660e-11	7.976772e-10	0	0	1.101908e+01	2.726029e+02	RELA;RASSF5;REL;RAC2;MAPK1;SHOC2;GRB2;KRAS;RIN1;RAF1;RGL2;FGFR3;RALGDS;HRAS;FGFR1;BCL2L1
KEGG_2019_Human	Viral carcinogenesis	15/201	2.595856e-11	8.406845e-10	0	0	1.192457e+01	2.906557e+02	HDAC4;HDAC5;HDAC1;TRAF2;CHD4;TRAF1;RELA;HDAC7;SNW1;REL;PMAIP1;MAPK1;GRB2;KRAS;HRAS
KEGG_2019_Human	Apelin signaling pathway	13/137	2.849778e-11	8.406845e-10	0	0	1.532043e+01	3.719984e+02	HDAC4;HDAC5;PRKAA1;SMAD3;PRKAA2;GABARAP;PIK3CG;GNAI1;GNAI2;MAPK1;KRAS;RAF1;HRAS
KEGG_2019_Human	Colorectal cancer	11/86	3.806405e-11	9.624766e-10	0	0	2.117246e+01	5.079643e+02	TCF7L2;SMAD3;RAC2;MAPK1;PMAIP1;CTNNB1;KRAS;GRB2;RAF1;HRAS;RALGDS
KEGG_2019_Human	Autophagy	12/128	1.953878e-10	4.322955e-09	0	0	1.501217e+01	3.356126e+02	PRKAA1;PRKAA2;ATG16L1;TRAF6;MAPK1;TSC1;KRAS;HMGB1;RAF1;HRAS;GABARAP;BCL2L1
KEGG_2019_Human	Melanogenesis	11/101	2.249957e-10	4.424916e-09	0	0	1.763033e+01	3.916568e+02	CAMK2B;TCF7L2;DVL2;DVL3;MAPK1;CTNNB1;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Prostate cancer	10/97	2.630366e-09	4.655748e-08	0	0	1.646260e+01	3.252375e+02	AR;TCF7L2;MAPK1;CTNNB1;GRB2;KRAS;RAF1;HRAS;RELA;FGFR1
KEGG_2019_Human	FoxO signaling pathway	11/132	4.030159e-09	6.484892e-08	0	0	1.309290e+01	2.530787e+02	PRKAA1;SMAD3;PRKAA2;BCL6;MAPK1;GRB2;KRAS;RAF1;MAPK14;HRAS;GABARAP
KEGG_2019_Human	Rap1 signaling pathway	13/206	4.530439e-09	6.682397e-08	0	0	9.808751e+00	1.884501e+02	MAPK14;GNAI1;GNAI2;RASSF5;RAC2;CTNNB1;MAPK1;KRAS;RAF1;FGFR3;RALGDS;HRAS;FGFR1
KEGG_2019_Human	Human cytomegalovirus infection	13/225	1.308161e-08	1.781111e-07	0	0	8.921034e+00	1.619351e+02	TSC1;TRAF2;MAPK14;RELA;GNAI1;GNAI2;RAC2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;HRAS
KEGG_2019_Human	mTOR signaling pathway	11/152	1.776742e-08	2.246309e-07	0	0	1.122436e+01	2.003088e+02	PRKAA1;PRKAA2;DVL2;DVL3;MAPK1;TSC1;GRB2;KRAS;RAF1;EIF4E2;HRAS
KEGG_2019_Human	Sphingolipid signaling pathway	10/119	1.937770e-08	2.286569e-07	0	0	1.312525e+01	2.330932e+02	RAC2;MAPK1;TRAF2;KRAS;RAF1;MAPK14;HRAS;RELA;GNAI1;GNAI2
KEGG_2019_Human	Cellular senescence	11/160	3.026947e-08	3.348560e-07	0	0	1.061740e+01	1.838204e+02	SMAD3;RBBP4;IGFBP3;RASSF5;MAPK1;TSC1;KRAS;MAPK14;RAF1;HRAS;RELA
KEGG_2019_Human	Relaxin signaling pathway	10/130	4.527713e-08	4.714148e-07	0	0	1.191546e+01	2.014959e+02	SMAD3;MAPK1;GRB2;KRAS;RAF1;MAPK14;HRAS;RELA;GNAI1;GNAI2
KEGG_2019_Human	Hepatocellular carcinoma	11/168	5.007569e-08	4.924110e-07	0	0	1.007230e+01	1.693126e+02	TCF7L2;SMAD3;DVL2;DVL3;CTNNB1;MAPK1;GRB2;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Notch signaling pathway	7/48	6.017651e-08	5.141710e-07	0	0	2.398841e+01	3.988309e+02	NCOR2;SNW1;CTBP2;HDAC1;CTBP1;DVL2;DVL3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	12/212	6.076232e-08	5.141710e-07	0	0	8.670000e+00	1.440633e+02	TRAF6;RAC2;MAPK1;TRAF2;KRAS;MAPK14;RAF1;HRAS;RELA;GNAI1;BCL2L1;GNAI2
KEGG_2019_Human	PI3K-Akt signaling pathway	15/354	6.100334e-08	5.141710e-07	0	0	6.491783e+00	1.078437e+02	PRKAA1;PRKAA2;TSC1;RELA;PIK3CG;ERBB3;MAPK1;GRB2;KRAS;RAF1;EIF4E2;FGFR3;HRAS;FGFR1;BCL2L1
KEGG_2019_Human	Pancreatic cancer	8/75	8.250519e-08	6.637917e-07	0	0	1.687420e+01	2.752250e+02	SMAD3;RAC2;MAPK1;KRAS;RAF1;RALGDS;RELA;BCL2L1
