Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	32/530	4.384397e-20	9.382610e-18	0	0	1.044906e+01	4.657526e+02	NOTCH1;HSP90AB1;HDAC1;PIK3R3;XIAP;CBL;FGF2;EGFR;HSP90B1;CASP8;CDH1;PLCG2;AKT1;VHL;RAC1;IKBKG;PRKACA;HRAS;PDGFRB;TCF7L2;MAP2K1;GADD45A;PRKCB;PRKCA;NFKB2;TRAF3;CCNE1;CTNNB1;IL7R;TP53;SOS2;CRK
KEGG_2019_Human	Proteoglycans in cancer	20/201	5.631067e-17	6.025242e-15	0	0	1.658977e+01	6.207169e+02	MAP2K1;PRKCB;CAV1;PIK3R3;PRKCA;CBL;TNF;FGF2;THBS1;EGFR;ACTB;GPC1;PLCG2;AKT1;CTNNB1;RAC1;PRKACA;TP53;SOS2;HRAS
KEGG_2019_Human	Human papillomavirus infection	23/330	5.996831e-16	4.277739e-14	0	0	1.143796e+01	4.009019e+02	PDGFRB;TCF7L2;MAP2K1;NOTCH1;TBP;HDAC1;EIF2AK2;PIK3R3;TUBG1;TNF;THBS1;EGFR;CASP8;TRAF3;CCNE1;AKT1;CTNNB1;IKBKG;ATP6V0D1;PRKACA;TP53;SOS2;HRAS
KEGG_2019_Human	MAPK signaling pathway	21/295	8.022941e-15	4.292273e-13	0	0	1.154057e+01	3.745661e+02	PDGFRB;HSPA8;MAP2K1;GADD45A;PRKCB;PRKCA;TNF;FGF2;EGFR;NFKB2;RPS6KA3;RPS6KA2;RPS6KA1;AKT1;RAC1;IKBKG;PRKACA;TP53;SOS2;CRK;HRAS
KEGG_2019_Human	Focal adhesion	18/199	1.197735e-14	5.126304e-13	0	0	1.470627e+01	4.714206e+02	PDGFRB;MAP2K1;PRKCB;CAV1;PIK3R3;XIAP;PRKCA;THBS1;EGFR;ACTB;AKT1;CTNNB1;FYN;RAC1;SOS2;CRK;HRAS;VCL
KEGG_2019_Human	Prostate cancer	14/97	1.730742e-14	6.172978e-13	0	0	2.433594e+01	7.711486e+02	PDGFRB;TCF7L2;MAP2K1;HSP90AB1;PIK3R3;EGFR;HSP90B1;CCNE1;AKT1;CTNNB1;IKBKG;TP53;HRAS;SOS2
KEGG_2019_Human	Hepatocellular carcinoma	16/168	1.715047e-13	5.243144e-12	0	0	1.535828e+01	4.514440e+02	TCF7L2;MAP2K1;GADD45A;PRKCB;PIK3R3;PRKCA;EGFR;ACTB;SMARCA4;PLCG2;AKT1;CTNNB1;BRD7;TP53;SOS2;HRAS
KEGG_2019_Human	Viral carcinogenesis	17/201	2.059306e-13	5.272606e-12	0	0	1.355877e+01	3.960684e+02	USP7;TBP;HDAC1;EIF2AK2;PIK3R3;NFKB2;CASP8;TRAF3;CCNE1;HIST4H4;CDK1;RAC1;IKBKG;ATP6V0D1;PRKACA;TP53;HRAS
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	2.217451e-13	5.272606e-12	0	0	1.978374e+01	5.764438e+02	NCOA2;MAP2K1;NOTCH1;PRKCB;HDAC1;PIK3R3;PRKCA;ACTB;PLCG2;AKT1;CTNNB1;PRKACA;TP53;HRAS
KEGG_2019_Human	Glioma	12/75	3.824626e-13	8.184699e-12	0	0	2.711339e+01	7.752301e+02	PDGFRB;MAP2K1;PRKCB;GADD45A;PLCG2;AKT1;PIK3R3;PRKCA;HRAS;SOS2;TP53;EGFR
KEGG_2019_Human	Endometrial cancer	11/58	5.276364e-13	1.026493e-11	0	0	3.310365e+01	9.358523e+02	TCF7L2;MAP2K1;CDH1;GADD45A;AKT1;PIK3R3;CTNNB1;HRAS;SOS2;TP53;EGFR
KEGG_2019_Human	ErbB signaling pathway	12/85	1.806072e-12	3.220828e-11	0	0	2.338741e+01	6.323923e+02	MAP2K1;PRKCB;PLCG2;AKT1;PIK3R3;CBLB;PRKCA;CBL;HRAS;SOS2;CRK;EGFR
KEGG_2019_Human	Non-small cell lung cancer	11/66	2.364087e-12	3.891651e-11	0	0	2.827714e+01	7.569969e+02	MAP2K1;PRKCB;GADD45A;PLCG2;AKT1;PIK3R3;PRKCA;HRAS;SOS2;TP53;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	11/76	1.181981e-11	1.804705e-10	0	0	2.391473e+01	6.017242e+02	MAP2K1;HDAC1;GADD45A;AKT1;PIK3R3;IKBKG;CBL;HRAS;SOS2;TP53;CRK
KEGG_2019_Human	MicroRNAs in cancer	18/299	1.264980e-11	1.804705e-10	0	0	9.424558e+00	2.364940e+02	PDGFRB;MAP2K1;UBE2I;NOTCH1;PRKCB;HDAC1;PRKCA;BMI1;THBS1;EGFR;SOCS1;CCNE1;PLCG2;TP53;SOS2;CRK;HRAS;EZH2
KEGG_2019_Human	Human cytomegalovirus infection	16/225	1.544601e-11	2.065904e-10	0	0	1.113734e+01	2.772492e+02	MAP2K1;PRKCB;PIK3R3;PRKCA;TNF;EGFR;CASP8;AKT1;CTNNB1;RAC1;IKBKG;PRKACA;TP53;SOS2;CRK;HRAS
KEGG_2019_Human	Epstein-Barr virus infection	15/201	3.468384e-11	4.366083e-10	0	0	1.165975e+01	2.808221e+02	USP7;GADD45A;HDAC1;EIF2AK2;PIK3R3;TNF;NFKB2;CASP8;TRAF3;CCNE1;PLCG2;AKT1;RAC1;IKBKG;TP53
KEGG_2019_Human	Colorectal cancer	11/86	4.734212e-11	5.542312e-10	0	0	2.071562e+01	4.924853e+02	TCF7L2;MAP2K1;GADD45A;AKT1;PIK3R3;CTNNB1;RAC1;HRAS;SOS2;TP53;EGFR
