Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	4.536094e-18	8.754661e-16	0	0	9.594545e+00	3.831530e+02	ITGB1;CAMK2B;ARAF;GNAI1;GNAI2;IKBKB;NRAS;FRAT2;RXRA;RASSF5;ERBB2;RAC2;MAPK1;HRAS;JAK1;EGLN1;CREBBP;SMAD4;BRAF;MLH1;TGFBR1;BMP4;TRAF6;CTNNB1;KRAS;RAF1;FGFR3;SOS2;BCL2L1;FGFR1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	17/139	4.185566e-16	4.039072e-14	0	0	2.051376e+01	7.263866e+02	ACVR1;SMAD1;SMAD4;INHBA;SMAD5;ACVR2A;BMP4;NRAS;MAPK1;CTNNB1;KRAS;RAF1;FGFR3;HRAS;FGFR1;BMPR1A;JAK1
KEGG_2019_Human	TGF-beta signaling pathway	14/90	5.850991e-15	3.764138e-13	0	0	2.658682e+01	8.713078e+02	ACVR1;SMAD1;CREBBP;SMAD4;SMURF2;SMURF1;FST;INHBA;SMAD5;TGFBR1;ACVR2A;BMP4;MAPK1;BMPR1A
KEGG_2019_Human	Colorectal cancer	13/86	8.312075e-14	4.010576e-12	0	0	2.551995e+01	7.686222e+02	SMAD4;ARAF;BRAF;MLH1;TGFBR1;NRAS;RAC2;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Proteoglycans in cancer	17/201	2.059306e-13	7.948923e-12	0	0	1.355877e+01	3.960684e+02	ITGB1;CAMK2B;PXN;ARAF;RRAS2;BRAF;NRAS;PAK1;ERBB3;ERBB2;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Pancreatic cancer	12/75	3.824626e-13	9.677012e-12	0	0	2.711339e+01	7.752301e+02	IKBKB;SMAD4;ERBB2;ARAF;RAC2;MAPK1;BRAF;KRAS;RAF1;TGFBR1;JAK1;BCL2L1
KEGG_2019_Human	Prostate cancer	13/97	4.147132e-13	9.677012e-12	0	0	2.216572e+01	6.319710e+02	CREBBP;ARAF;BRAF;IKBKB;NRAS;ERBB2;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Gastric cancer	15/149	4.476975e-13	9.677012e-12	0	0	1.622723e+01	4.614157e+02	SMAD4;ARAF;BRAF;MLH1;TGFBR1;NRAS;FRAT2;RXRA;ERBB2;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Chronic myeloid leukemia	12/76	4.512596e-13	9.677012e-12	0	0	2.668840e+01	7.586640e+02	IKBKB;NRAS;SMAD4;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;SOS2;TGFBR1;BCL2L1
KEGG_2019_Human	Endometrial cancer	11/58	5.276364e-13	1.018338e-11	0	0	3.310365e+01	9.358523e+02	NRAS;ERBB2;ARAF;MAPK1;CTNNB1;BRAF;KRAS;RAF1;MLH1;HRAS;SOS2
KEGG_2019_Human	MAPK signaling pathway	19/295	9.949363e-13	1.745661e-11	0	0	1.020770e+01	2.821011e+02	ARAF;RRAS2;BRAF;ARRB2;TGFBR1;IKBKB;NRAS;PAK1;ERBB3;TRAF6;ERBB2;RAC2;MAPK1;KRAS;RAF1;FGFR3;SOS2;HRAS;FGFR1
KEGG_2019_Human	ErbB signaling pathway	12/85	1.806072e-12	2.904766e-11	0	0	2.338741e+01	6.323923e+02	CAMK2B;NRAS;PAK1;ERBB3;ERBB2;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Non-small cell lung cancer	11/66	2.364087e-12	3.509760e-11	0	0	2.827714e+01	7.569969e+02	NRAS;RXRA;RASSF5;ERBB2;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Renal cell carcinoma	11/69	3.937489e-12	5.428109e-11	0	0	2.681047e+01	7.040557e+02	EGLN1;NRAS;PAK1;CREBBP;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Chemokine signaling pathway	15/190	1.550049e-11	1.994396e-10	0	0	1.239958e+01	3.086274e+02	PXN;BRAF;ARRB2;GNAI1;PIK3CG;GNAI2;IKBKB;NRAS;PAK1;RAC2;MAPK1;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	Bladder cancer	9/41	1.786608e-11	2.155096e-10	0	0	3.925022e+01	9.713690e+02	NRAS;ERBB2;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR3
KEGG_2019_Human	FoxO signaling pathway	13/132	2.288083e-11	2.597648e-10	0	0	1.561868e+01	3.826690e+02	CREBBP;SMAD4;PRKAA2;ARAF;BRAF;TGFBR1;IKBKB;NRAS;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Hepatitis B	14/163	2.444177e-11	2.620701e-10	0	0	1.351100e+01	3.301376e+02	CREBBP;SMAD4;ARAF;BRAF;TGFBR1;IKBKB;NRAS;TRAF6;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Regulation of actin cytoskeleton	15/214	8.444785e-11	8.578123e-10	0	0	1.089085e+01	2.526121e+02	ITGB1;PXN;ARAF;RRAS2;BRAF;NRAS;PAK1;RAC2;MAPK1;KRAS;RAF1;FGFR3;SOS2;HRAS;FGFR1
KEGG_2019_Human	Axon guidance	14/181	1.000401e-10	9.653871e-10	0	0	1.204371e+01	2.773118e+02	ITGB1;CAMK2B;RHOD;GNAI1;GNAI2;NRAS;PAK1;RAC2;MAPK1;KRAS;FYN;RAF1;EPHB2;HRAS
KEGG_2019_Human	Hepatitis C	13/155	1.747678e-10	1.606200e-09	0	0	1.307364e+01	2.937328e+02	ARAF;BRAF;IKBKB;NRAS;RXRA;TRAF6;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Autophagy	12/128	2.469046e-10	2.166026e-09	0	0	1.468593e+01	3.248825e+02	NRAS;PRKAA2;STX17;ATG16L1;TRAF6;RRAS2;MAPK1;KRAS;RAF1;HRAS;BCL2L1;RAB33B
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	12/131	3.238359e-10	2.717405e-09	0	0	1.431352e+01	3.127617e+02	NRAS;PAK1;ARAF;RAC2;TNFRSF10B;MAPK1;BRAF;FYN;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Hepatocellular carcinoma	13/168	4.771381e-10	3.836986e-09	0	0	1.196924e+01	2.568983e+02	SMAD4;ARAF;BRAF;TGFBR1;NRAS;FRAT2;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;BCL2L1
KEGG_2019_Human	Apelin signaling pathway	12/137	5.458802e-10	4.124150e-09	0	0	1.362233e+01	2.905455e+02	SMAD4;NRAS;PRKAA2;RRAS2;MAPK1;KRAS;RAF1;HRAS;PIK3CG;TGFBR1;GNAI1;GNAI2
