Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	22/85	6.484633e-32	1.219111e-29	0	0	8.343928e+01	5.992049e+03	CAMK2B;SHC1;ARAF;CBLB;PIK3R2;BRAF;PIK3R1;CBL;EGFR;ERBB3;ERBB4;ERBB2;ABL1;PLCG2;ABL2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2;CRK
KEGG_2019_Human	Pathways in cancer	36/530	1.661463e-30	1.561775e-28	0	0	2.049041e+01	1.405024e+03	CAMK2B;HSP90AB1;ARAF;PIK3R2;PIK3R1;CBL;EGFR;GNAI1;GNAI2;CASP9;FRAT2;ERBB2;PLCG2;ABL1;DVL2;RAC2;MAPK1;HRAS;JAK1;HSP90AA1;ARNT;BRAF;DDB2;BCR;AR;TRAF6;CTNNB1;GRB2;KRAS;RAF1;FGFR3;SOS2;MET;CRK;FGFR1;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	24/201	4.105516e-26	2.572790e-24	0	0	3.300774e+01	1.929464e+03	CAMK2B;DDX5;CAV1;ARAF;BRAF;PIK3R2;PIK3R1;IQGAP1;CBL;EGFR;ERBB3;ERBB4;ERBB2;PLCG2;CTNNB1;MAPK1;GRB2;KRAS;FLNC;RAF1;SOS2;MET;HRAS;FGFR1
KEGG_2019_Human	Prostate cancer	19/97	4.347274e-25	2.043219e-23	0	0	5.613044e+01	3.148642e+03	HSP90AA1;HSP90AB1;ARAF;PIK3R2;BRAF;PIK3R1;EGFR;CASP9;AR;CREB1;ERBB2;MAPK1;CTNNB1;GRB2;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	17/76	1.336546e-23	5.025414e-22	0	0	6.494838e+01	3.420790e+03	SHC1;ARAF;PIK3R2;BRAF;PIK3R1;CBL;DDB2;BCR;ABL1;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2;CRK;BCL2L1
KEGG_2019_Human	Endometrial cancer	15/58	5.531558e-22	1.733222e-20	0	0	7.694574e+01	3.766217e+03	ARAF;PIK3R2;BRAF;PIK3R1;EGFR;DDB2;CASP9;ERBB2;MAPK1;CTNNB1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Non-small cell lung cancer	15/66	4.823633e-21	1.295490e-19	0	0	6.484967e+01	3.033717e+03	ARAF;PIK3R2;BRAF;PIK3R1;EGFR;DDB2;CASP9;ERBB2;PLCG2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Estrogen signaling pathway	18/137	1.690379e-20	3.972390e-19	0	0	3.438308e+01	1.565350e+03	HSP90AA1;HSP90AB1;HSPA1L;SHC1;PIK3R2;PIK3R1;EGFR;GNAI1;GNAI2;CREB1;KRT17;MAPK1;GRB2;KRAS;RAF1;SOS2;HRAS;HSPA1A
KEGG_2019_Human	Ras signaling pathway	21/232	2.442001e-20	4.766997e-19	0	0	2.332227e+01	1.053208e+03	KSR1;SHC1;PIK3R2;PIK3R1;EGFR;PLCG2;ABL1;RAC2;ABL2;MAPK1;GRB2;KRAS;RIN1;RAF1;FGFR3;SOS2;MET;HRAS;EPHA2;FGFR1;BCL2L1
KEGG_2019_Human	Hepatocellular carcinoma	19/168	2.535637e-20	4.766997e-19	0	0	2.927845e+01	1.321080e+03	SHC1;ARAF;BRAF;PIK3R2;PIK3R1;EGFR;DDB2;FRAT2;PLCG2;DVL2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS2;MET;HRAS;BCL2L1
KEGG_2019_Human	Glioma	15/75	3.945092e-20	6.742521e-19	0	0	5.509722e+01	2.461701e+03	CAMK2B;SHC1;ARAF;PIK3R2;BRAF;PIK3R1;EGFR;DDB2;PLCG2;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	Breast cancer	18/147	6.261911e-20	9.810327e-19	0	0	3.170168e+01	1.401760e+03	SHC1;ARAF;BRAF;PIK3R2;PIK3R1;EGFR;DDB2;FRAT2;ERBB2;DVL2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Gastric cancer	18/149	8.041516e-20	1.162927e-18	0	0	3.121453e+01	1.372412e+03	SHC1;ARAF;BRAF;PIK3R2;PIK3R1;EGFR;DDB2;FRAT2;ERBB2;DVL2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS2;MET;HRAS
KEGG_2019_Human	Axon guidance	19/181	1.071657e-19	1.439083e-18	0	0	2.691121e+01	1.175479e+03	CAMK2B;EPHA7;PIK3R2;PIK3R1;RHOD;GNAI1;GNAI2;CDK5;PLCG2;ABL1;RAC2;MAPK1;KRAS;RAF1;EPHB2;MET;HRAS;EPHA3;EPHA2
KEGG_2019_Human	MAPK signaling pathway	22/295	1.913456e-19	2.398198e-18	0	0	1.905133e+01	8.211161e+02	HSPA1L;ARAF;BRAF;EGFR;ERBB3;ERBB4;TRAF6;ERBB2;RAC2;MAPK1;GRB2;KRAS;FLNC;RAF1;FGFR3;SOS2;MET;CRK;HRAS;HSPA1A;EPHA2;FGFR1
KEGG_2019_Human	Colorectal cancer	15/86	3.597878e-19	4.227506e-18	0	0	4.653521e+01	1.976293e+03	ARAF;PIK3R2;BRAF;PIK3R1;EGFR;DDB2;CASP9;RAC2;MAPK1;CTNNB1;KRAS;GRB2;RAF1;HRAS;SOS2
KEGG_2019_Human	PI3K-Akt signaling pathway	23/354	5.825654e-19	6.442488e-18	0	0	1.657844e+01	6.960764e+02	HSP90AA1;HSP90AB1;PIK3R2;PIK3R1;EGFR;PIK3CG;CASP9;CREB1;ERBB3;ERBB4;ERBB2;MAPK1;GRB2;KRAS;RAF1;FGFR3;SOS2;MET;HRAS;EPHA2;FGFR1;BCL2L1;JAK1
KEGG_2019_Human	Pancreatic cancer	14/75	2.118378e-18	2.212528e-17	0	0	5.002270e+01	2.035718e+03	ARAF;PIK3R2;BRAF;PIK3R1;EGFR;DDB2;CASP9;ERBB2;RAC2;MAPK1;KRAS;RAF1;JAK1;BCL2L1
KEGG_2019_Human	Renal cell carcinoma	13/69	3.236967e-17	3.202894e-16	0	0	5.005959e+01	1.900728e+03	ARAF;ARNT;PIK3R2;BRAF;PIK3R1;MAPK1;KRAS;GRB2;RAF1;HRAS;SOS2;MET;CRK
KEGG_2019_Human	Neurotrophin signaling pathway	15/119	5.944491e-17	5.587821e-16	0	0	3.171635e+01	1.184970e+03	CAMK2B;SHC1;BRAF;PIK3R2;PIK3R1;TRAF6;PLCG2;ABL1;MAPK1;GRB2;KRAS;RAF1;SOS2;CRK;HRAS
KEGG_2019_Human	Focal adhesion	17/199	3.503327e-16	3.136312e-15	0	0	2.092414e+01	7.446409e+02	SHC1;CAV1;BRAF;PIK3R2;PIK3R1;EGFR;ERBB2;RAC2;CTNNB1;MAPK1;GRB2;FLNC;RAF1;SOS2;MET;CRK;HRAS
