Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	8.928670e-19	1.723233e-16	0	0	1.088392e+01	4.523341e+02	NOTCH3;CDKN1A;CDKN1B;HSP90AB1;PIK3R1;BRCA2;EGFR;CDC42;CCND2;MYC;ERBB2;ABL1;IKBKG;JAK2;JAK1;NTRK1;JUN;HSP90AA1;NCOA3;MLH1;DDB2;BCR;NFKBIA;AR;MSH3;MDM2;CTNNB1;GRB2;CRK
KEGG_2019_Human	ErbB signaling pathway	13/85	1.217527e-14	1.174914e-12	0	0	3.003595e+01	9.623328e+02	CDKN1A;JUN;CDKN1B;CBLB;PIK3R1;EGFR;ERBB3;ERBB4;MYC;ERBB2;ABL1;GRB2;CRK
KEGG_2019_Human	Prostate cancer	13/97	7.186569e-14	4.292146e-12	0	0	2.572949e+01	7.786768e+02	CDKN1A;HSP90AA1;CDKN1B;HSP90AB1;PIK3R1;EGFR;NFKBIA;AR;ERBB2;MDM2;CTNNB1;GRB2;IKBKG
KEGG_2019_Human	Chronic myeloid leukemia	12/76	8.895640e-14	4.292146e-12	0	0	3.094375e+01	9.298792e+02	BCR;NFKBIA;CDKN1A;CDKN1B;MYC;ABL1;MDM2;GRB2;IKBKG;PIK3R1;CRK;DDB2
KEGG_2019_Human	PI3K-Akt signaling pathway	20/354	2.050475e-13	7.914833e-12	0	0	1.044376e+01	3.051199e+02	NTRK1;HSP90AA1;CDKN1A;CDKN1B;HSP90AB1;PIK3R1;BRCA1;EGFR;CCND2;ERBB3;ERBB4;MYC;CD19;ERBB2;MDM2;GRB2;IKBKG;JAK2;EPHA2;JAK1
KEGG_2019_Human	Viral carcinogenesis	16/201	3.364653e-13	1.082297e-11	0	0	1.467512e+01	4.214735e+02	JUN;CDKN1A;DDX3X;CDKN1B;PIK3R1;HDAC6;NFKBIA;CDC42;CCND2;HIST4H4;MDM2;GRB2;HIST1H2BH;HIST1H2BG;IKBKG;JAK1
KEGG_2019_Human	Proteoglycans in cancer	15/201	4.895140e-12	1.349660e-10	0	0	1.356631e+01	3.533044e+02	DDX5;CDKN1A;CAV1;ITPR1;PIK3R1;IQGAP1;EGFR;CDC42;ERBB3;ERBB4;MYC;ERBB2;MDM2;CTNNB1;GRB2
KEGG_2019_Human	Breast cancer	13/147	1.625837e-11	3.922333e-10	0	0	1.608817e+01	3.996690e+02	NOTCH3;JUN;CDKN1A;NCOA3;PIK3R1;BRCA1;BRCA2;EGFR;DDB2;MYC;ERBB2;CTNNB1;GRB2
KEGG_2019_Human	Endometrial cancer	9/58	1.461059e-10	3.133160e-09	0	0	2.959532e+01	6.702360e+02	CDKN1A;MYC;ERBB2;CTNNB1;GRB2;PIK3R1;MLH1;EGFR;DDB2
KEGG_2019_Human	Colorectal cancer	10/86	2.570764e-10	4.961575e-09	0	0	2.134599e+01	4.713546e+02	CDKN1A;JUN;MSH3;MYC;CTNNB1;GRB2;PIK3R1;MLH1;EGFR;DDB2
KEGG_2019_Human	MAPK signaling pathway	15/295	1.093061e-09	1.917825e-08	0	0	8.968864e+00	1.850661e+02	MAP4K1;NTRK1;HSPA8;JUN;EGFR;CDC42;ERBB3;ERBB4;MYC;ERBB2;GRB2;MAPT;IKBKG;CRK;EPHA2
KEGG_2019_Human	Pancreatic cancer	9/75	1.568165e-09	2.522131e-08	0	0	2.195344e+01	4.450699e+02	CDC42;CDKN1A;ERBB2;IKBKG;PIK3R1;BRCA2;EGFR;JAK1;DDB2
KEGG_2019_Human	Estrogen signaling pathway	11/137	1.775531e-09	2.635981e-08	0	0	1.424387e+01	2.870020e+02	HSPA8;JUN;HSP90AA1;HSP90AB1;KRT17;NCOA3;KRT14;ITPR1;GRB2;PIK3R1;EGFR
KEGG_2019_Human	Epstein-Barr virus infection	12/201	9.292184e-09	1.280994e-07	0	0	1.041217e+01	1.925636e+02	NFKBIA;JUN;CDKN1A;CCND2;CDKN1B;MYC;CD19;MDM2;PIK3R1;IKBKG;DDB2;JAK1
KEGG_2019_Human	Hepatitis B	11/163	1.111222e-08	1.429772e-07	0	0	1.179187e+01	2.159706e+02	NFKBIA;JUN;CDKN1A;DDX3X;MYC;GRB2;PIK3R1;IKBKG;JAK2;DDB2;JAK1
KEGG_2019_Human	B cell receptor signaling pathway	8/71	2.181411e-08	2.631327e-07	0	0	2.028162e+01	3.577821e+02	NFKBIA;IFITM1;JUN;CD19;INPPL1;GRB2;IKBKG;PIK3R1
KEGG_2019_Human	Human cytomegalovirus infection	12/225	3.263657e-08	3.705211e-07	0	0	9.227700e+00	1.590655e+02	NFKBIA;CDKN1A;MYC;MDM2;ITPR1;CTNNB1;GRB2;PIK3R1;IKBKG;CRK;EGFR;JAK1
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	4.361701e-08	4.676713e-07	0	0	1.023013e+01	1.733784e+02	NTRK1;DDX5;CDKN1A;CCND2;HIST1H3A;CDKN1B;FUS;MYC;LMO2;MDM2;DDB2
KEGG_2019_Human	Gastric cancer	10/149	5.583098e-08	5.671253e-07	0	0	1.163404e+01	1.942993e+02	CDKN1A;CDKN1B;MYC;ERBB2;CTNNB1;GRB2;PIK3R1;MLH1;EGFR;DDB2
KEGG_2019_Human	Endocytosis	12/244	7.952390e-08	7.674056e-07	0	0	8.463793e+00	1.383594e+02	CDC42;HSPA8;ACAP1;CAV1;MDM2;CBLC;CBLB;AP2B1;EPS15;EGFR;AP2M1;DNM2
KEGG_2019_Human	MicroRNAs in cancer	13/299	9.439271e-08	8.675140e-07	0	0	7.479756e+00	1.209910e+02	NOTCH3;CDKN1A;CDKN1B;BRCA1;EGFR;CCND2;ERBB3;MYC;ERBB2;MDM2;ABL1;GRB2;CRK
KEGG_2019_Human	Homologous recombination	6/41	2.742357e-07	2.405795e-06	0	0	2.698367e+01	4.077038e+02	TOP3B;BARD1;RPA3;RPA2;BRCA1;BRCA2
KEGG_2019_Human	Measles	9/138	3.374294e-07	2.831473e-06	0	0	1.119626e+01	1.668456e+02	NFKBIA;HSPA8;JUN;CCND2;CDKN1B;CBLB;PIK3R1;IKBKG;JAK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	10/186	4.445791e-07	3.575157e-06	0	0	9.171013e+00	1.341365e+02	NFKBIA;JUN;CDKN1A;MYC;ITPR1;CTNNB1;PIK3R1;IKBKG;JAK2;JAK1
KEGG_2019_Human	Bacterial invasion of epithelial cells	7/74	5.790987e-07	4.470642e-06	0	0	1.655009e+01	2.376890e+02	CDC42;MAD2L2;CAV1;CTNNB1;PIK3R1;CRK;DNM2
KEGG_2019_Human	Focal adhesion	10/199	8.261698e-07	6.132722e-06	0	0	8.534565e+00	1.195391e+02	CDC42;JUN;CCND2;CAV1;ERBB2;CTNNB1;GRB2;PIK3R1;CRK;EGFR
KEGG_2019_Human	Hepatitis C	9/155	9.000758e-07	6.433875e-06	0	0	9.884063e+00	1.375939e+02	NFKBIA;CDKN1A;MYC;CTNNB1;GRB2;PIK3R1;IKBKG;EGFR;JAK1
KEGG_2019_Human	Cellular senescence	9/160	1.173856e-06	8.091220e-06	0	0	9.554353e+00	1.304668e+02	CDKN1A;CCND2;MYC;MDM2;ITPR1;RAD1;PIK3R1;RAD9A;SLC25A6
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	1.234060e-06	8.212879e-06	0	0	1.148329e+01	1.562325e+02	NFKBIA;CDC42;NTRK1;JUN;ABL1;GRB2;PIK3R1;CRK
KEGG_2019_Human	Fanconi anemia pathway	6/54	1.468447e-06	9.447007e-06	0	0	1.966270e+01	2.640957e+02	TOP3B;RPA3;RPA2;BRCA1;BRCA2;MLH1
KEGG_2019_Human	Pathogenic Escherichia coli infection	6/55	1.639387e-06	1.020650e-05	0	0	1.926045e+01	2.565720e+02	CDC42;TUBA1B;TUBB3;TUBB;ABL1;CTNNB1
KEGG_2019_Human	Human papillomavirus infection	12/330	1.983379e-06	1.192869e-05	0	0	6.147799e+00	8.072495e+01	CDC42;NOTCH3;CDKN1A;CCND2;CDKN1B;MDM2;CTNNB1;GRB2;PIK3R1;IKBKG;EGFR;JAK1
KEGG_2019_Human	Influenza A	9/171	2.039621e-06	1.192869e-05	0	0	8.900632e+00	1.166227e+02	NFKBIA;NXF1;HSPA8;JUN;FURIN;PIK3R1;JAK2;SLC25A6;JAK1
KEGG_2019_Human	Small cell lung cancer	7/93	2.747907e-06	1.559841e-05	0	0	1.288130e+01	1.649408e+02	NFKBIA;CDKN1A;CDKN1B;MYC;IKBKG;PIK3R1;DDB2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	3.967669e-06	2.187886e-05	0	0	9.720266e+00	1.208942e+02	JUN;HSP90AA1;HSP90AB1;CAV1;SUMO2;CTNNB1;PIK3R1;IKBKG
KEGG_2019_Human	Thyroid cancer	5/37	4.269528e-06	2.288942e-05	0	0	2.440453e+01	3.017378e+02	NTRK1;CDKN1A;MYC;CTNNB1;DDB2
KEGG_2019_Human	Shigellosis	6/65	4.425752e-06	2.308568e-05	0	0	1.598789e+01	1.970999e+02	CDC42;NFKBIA;MAD2L2;ABL1;IKBKG;CRK
KEGG_2019_Human	T cell receptor signaling pathway	7/101	4.775616e-06	2.363604e-05	0	0	1.178026e+01	1.443315e+02	NFKBIA;CDC42;JUN;CBLB;GRB2;PIK3R1;IKBKG
KEGG_2019_Human	Non-small cell lung cancer	6/66	4.842149e-06	2.363604e-05	0	0	1.572063e+01	1.923915e+02	CDKN1A;ERBB2;GRB2;PIK3R1;EGFR;DDB2
KEGG_2019_Human	Apoptosis	8/143	4.898660e-06	2.363604e-05	0	0	9.430346e+00	1.153006e+02	NFKBIA;NTRK1;JUN;TUBA1B;PARP1;ITPR1;PIK3R1;IKBKG
KEGG_2019_Human	C-type lectin receptor signaling pathway	7/104	5.802562e-06	2.731450e-05	0	0	1.141419e+01	1.376232e+02	NFKBIA;JUN;ITPR1;MDM2;CBLB;PIK3R1;IKBKG
KEGG_2019_Human	Renal cell carcinoma	6/69	6.286157e-06	2.888639e-05	0	0	1.496977e+01	1.792953e+02	CDC42;CDKN1A;JUN;GRB2;PIK3R1;CRK
KEGG_2019_Human	Th17 cell differentiation	7/107	7.006882e-06	3.144949e-05	0	0	1.107008e+01	1.313865e+02	NFKBIA;JUN;HSP90AA1;HSP90AB1;IKBKG;JAK2;JAK1
KEGG_2019_Human	Bladder cancer	5/41	7.186652e-06	3.152327e-05	0	0	2.168854e+01	2.568635e+02	CDKN1A;MYC;ERBB2;MDM2;EGFR
KEGG_2019_Human	Glioma	6/75	1.022297e-05	4.384519e-05	0	0	1.366391e+01	1.570102e+02	CDKN1A;MDM2;GRB2;PIK3R1;EGFR;DDB2
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	1.192876e-05	5.004893e-05	0	0	1.015141e+01	1.150821e+02	NOTCH3;MYC;NCOA3;MDM2;CTNNB1;PIK3R1;PLCD3
KEGG_2019_Human	JAK-STAT signaling pathway	8/162	1.225760e-05	5.033441e-05	0	0	8.258902e+00	9.340293e+01	CDKN1A;CCND2;MYC;GRB2;PIK3R1;JAK2;EGFR;JAK1
KEGG_2019_Human	Mismatch repair	4/23	1.456305e-05	5.855560e-05	0	0	3.264638e+01	3.635835e+02	MSH3;RPA3;RPA2;MLH1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	1.519990e-05	5.986898e-05	0	0	6.849477e+00	7.598962e+01	NFKBIA;JUN;CDKN1A;CCND2;MYC;PIK3R1;IKBKG;SLC25A6;JAK1
KEGG_2019_Human	Cell cycle	7/124	1.843538e-05	7.116057e-05	0	0	9.453470e+00	1.030545e+02	MAD2L2;CDKN1A;CCND2;CDKN1B;MYC;ABL1;MDM2
KEGG_2019_Human	Gap junction	6/88	2.565344e-05	9.708067e-05	0	0	1.149013e+01	1.214602e+02	TUBA1B;TUBB3;TUBB;ITPR1;GRB2;EGFR
KEGG_2019_Human	FoxO signaling pathway	7/132	2.763046e-05	1.025515e-04	0	0	8.844864e+00	9.284093e+01	CDKN1A;CCND2;CDKN1B;MDM2;GRB2;PIK3R1;EGFR
KEGG_2019_Human	Th1 and Th2 cell differentiation	6/92	3.303573e-05	1.202999e-04	0	0	1.095349e+01	1.130172e+02	NFKBIA;NOTCH3;JUN;IKBKG;JAK2;JAK1
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	3.509010e-05	1.254146e-04	0	0	8.502523e+00	8.721541e+01	CUL7;HUWE1;MDM2;CBLC;CBLB;BRCA1;DDB2
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	7/139	3.850346e-05	1.351121e-04	0	0	8.372848e+00	8.510802e+01	MYC;SMARCAD1;CTNNB1;GRB2;PIK3R1;JAK2;JAK1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	5.290050e-05	1.823178e-04	0	0	1.001722e+01	9.864058e+01	CDC42;JUN;CDKN1B;PIK3R1;JAK2;PLCD3
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	6.978826e-05	2.363006e-04	0	0	1.299738e+01	1.243855e+02	NTRK1;MYC;ERBB2;PIK3R1;EGFR
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	5/68	8.669279e-05	2.884777e-04	0	0	1.237658e+01	1.157599e+02	CDC42;NFKBIA;JUN;IKBKG;EGFR
KEGG_2019_Human	Necroptosis	7/162	1.014378e-04	3.318220e-04	0	0	7.122116e+00	6.549544e+01	HSP90AA1;HSP90AB1;PARP1;HIST1H2AE;JAK2;SLC25A6;JAK1
KEGG_2019_Human	Adherens junction	5/72	1.139356e-04	3.604848e-04	0	0	1.163533e+01	1.056473e+02	CDC42;ERBB2;CTNNB1;IQGAP1;EGFR
KEGG_2019_Human	Melanoma	5/72	1.139356e-04	3.604848e-04	0	0	1.163533e+01	1.056473e+02	CDKN1A;MDM2;PIK3R1;EGFR;DDB2
