Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	35/354	2.251063e-36	4.322040e-34	0	0	3.357024e+01	2.755501e+03	CSF1R;FLT1;HSP90AB1;IRS1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;EGFR;IGF1R;ERBB3;ERBB4;CD19;KDR;JAK2;HRAS;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;PTK2;PIK3CA;GNB1;KIT;GRB2;PIK3AP1;TP53;MET;EPHA2
KEGG_2019_Human	Ras signaling pathway	30/232	1.284114e-34	1.232749e-32	0	0	4.239991e+01	3.308797e+03	CSF1R;FLT1;SHC1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;EGFR;IGF1R;KDR;PLCG2;ABL1;RAC3;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;GAB1;GAB2;PIK3CA;GNB1;KIT;GRB2;MET;EPHA2
KEGG_2019_Human	Pathways in cancer	38/530	2.562207e-34	1.639813e-32	0	0	2.457490e+01	1.900796e+03	CSF1R;NOTCH1;HSP90AB1;HDAC1;FLT4;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;EGFR;IGF1R;PLCG2;ABL1;RAC3;JAK2;HRAS;MAPK3;APPL1;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;ESR1;PTK2;PLCB3;PIK3CA;GNAQ;GNB1;KIT;GRB2;PLCB1;TP53;CRK;MET
KEGG_2019_Human	MAPK signaling pathway	29/295	6.847753e-30	3.286921e-28	0	0	3.058083e+01	2.053614e+03	CSF1R;FLT1;FLT4;FASLG;RELA;EGFR;IGF1R;ERBB3;ERBB4;KDR;RAC3;FLNC;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;HSPA8;MAP2K1;HSPA6;TNFRSF1A;KIT;GRB2;TP53;CRK;MET;HSPA1A;EPHA2
KEGG_2019_Human	Proteoglycans in cancer	25/201	2.341937e-28	8.993039e-27	0	0	3.786279e+01	2.408884e+03	DDX5;PIK3R3;FASLG;PIK3R2;PIK3R1;IQGAP1;CBL;EGFR;IGF1R;ERBB3;ERBB4;KDR;PLCG2;FLNC;HRAS;MAPK3;MAP2K1;CAV1;GAB1;ESR1;PTK2;PIK3CA;GRB2;TP53;MET
KEGG_2019_Human	Rap1 signaling pathway	24/206	1.600244e-26	5.120779e-25	0	0	3.467077e+01	2.059342e+03	PDGFRB;PDGFRA;NGFR;CSF1R;MAP2K1;FLT1;FLT4;PIK3R3;PIK3R2;PIK3R1;EGFR;IGF1R;PLCB3;PIK3CA;GNAQ;KIT;KDR;RAC3;PLCB1;CRK;MET;HRAS;EPHA2;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	20/119	1.693474e-25	4.644956e-24	0	0	5.063803e+01	2.888284e+03	NTRK1;NGFR;MAP2K1;IRS1;SHC1;PRKCD;GAB1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;PIK3CA;PLCG2;ABL1;GRB2;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Focal adhesion	23/199	2.412249e-25	5.789397e-24	0	0	3.391709e+01	1.922559e+03	PDGFRB;PDGFRA;MAP2K1;FLT1;SHC1;CAV1;FLT4;ILK;PIK3R3;PIK3R2;PIK3R1;EGFR;PTK2;IGF1R;PIK3CA;KDR;RAC3;GRB2;FLNC;CRK;MET;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	18/85	5.758973e-25	1.228581e-23	0	0	6.578441e+01	3.671682e+03	MAP2K1;SHC1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;EGFR;PTK2;PIK3CA;ERBB3;ERBB4;ABL1;PLCG2;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	22/225	1.257167e-22	2.413760e-21	0	0	2.772414e+01	1.398073e+03	PDGFRA;MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;EGFR;PTK2;TNFRSF1A;PLCB3;PIK3CA;GNAQ;GNB1;RAC3;GRB2;PLCB1;TP53;CRK;HRAS;MAPK3;JAK1
