Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	25/85	5.101193e-36	9.845303e-34	0	0	8.512887e+01	6.917877e+03	CDKN1A;SRC;PIK3CD;PIK3R3;PIK3R2;PIK3R1;EGFR;MAPK9;ERBB3;ERBB4;MYC;ERBB2;ABL1;ABL2;PLCG1;HRAS;NCK1;MAPK3;STAT5B;GAB1;PIK3CA;KRAS;GRB2;SOS1;CRK
KEGG_2019_Human	Proteoglycans in cancer	26/201	2.329877e-27	2.248331e-25	0	0	3.049274e+01	1.869936e+03	CDKN1A;SRC;PIK3R3;PIK3CD;PIK3R2;PIK3R1;EGFR;ERBB3;ERBB4;MYC;ERBB2;PLCG1;HRAS;MAPK3;CAV1;STAT3;GAB1;MAPK14;ESR1;PIK3CA;CTTN;MDM2;PTPN6;GRB2;KRAS;SOS1
KEGG_2019_Human	Prolactin signaling pathway	19/70	9.462620e-27	6.087619e-25	0	0	7.171388e+01	4.297271e+03	STAT5B;SRC;STAT3;PIK3CD;PIK3R3;PIK3R2;PIK3R1;MAPK14;ESR1;ESR2;SOCS3;MAPK9;PIK3CA;KRAS;GRB2;JAK2;SOS1;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	34/530	1.792676e-25	8.649663e-24	0	0	1.509778e+01	8.602855e+02	CDKN1A;HSP90AB1;FLT3;PIK3R3;PIK3CD;CXCR4;CSF2RB;PIK3R2;PIK3R1;EGFR;MAPK9;MYC;ERBB2;ABL1;RAC2;PLCG1;JAK2;HRAS;MAPK3;JAK1;PDGFRB;PDGFRA;STAT5B;HSP90AA1;STAT3;ESR1;ESR2;PIK3CA;IL3RA;MDM2;GRB2;KRAS;SOS1;CRK
KEGG_2019_Human	JAK-STAT signaling pathway	22/162	1.055929e-23	4.075887e-22	0	0	3.101686e+01	1.640948e+03	PDGFRB;PDGFRA;STAT5B;CDKN1A;STAT3;PIK3R3;PIK3CD;CSF2RB;PIK3R2;PIK3R1;TYK2;EGFR;SOCS3;PIK3CA;MYC;IL3RA;PTPN6;GRB2;SOS1;JAK2;HRAS;JAK1
KEGG_2019_Human	Fc epsilon RI signaling pathway	17/68	2.442880e-23	7.857929e-22	0	0	6.294286e+01	3.277200e+03	PIK3CD;PLA2G4A;PIK3R3;PIK3R2;PIK3R1;MAPK14;VAV1;MAPK9;PIK3CA;RAC2;FYN;KRAS;GRB2;PLCG1;SOS1;HRAS;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	27/354	3.521072e-22	8.892508e-21	0	0	1.699266e+01	8.394053e+02	CDKN1A;HSP90AB1;FLT3;PIK3R3;PIK3CD;PIK3R2;PIK3R1;BRCA1;EGFR;ERBB3;ERBB4;MYC;MYB;ERBB2;JAK2;HRAS;MAPK3;JAK1;PDGFRB;PDGFRA;HSP90AA1;PIK3CA;IL3RA;MDM2;GRB2;KRAS;SOS1
KEGG_2019_Human	Hepatitis B	21/163	3.686014e-22	8.892508e-21	0	0	2.889806e+01	1.426187e+03	STAT5B;CDKN1A;MAP3K1;SRC;STAT3;PIK3R3;PIK3CD;PIK3R2;PIK3R1;TYK2;MAPK14;MAPK9;PIK3CA;MYC;GRB2;KRAS;SOS1;JAK2;HRAS;MAPK3;JAK1
KEGG_2019_Human	Prostate cancer	18/97	4.181907e-22	8.967866e-21	0	0	4.337658e+01	2.135260e+03	PDGFRB;PDGFRA;CDKN1A;HSP90AA1;HSP90AB1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;EGFR;PIK3CA;ERBB2;MDM2;GRB2;KRAS;SOS1;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	5.753898e-22	1.110502e-20	0	0	3.648369e+01	1.784308e+03	MAP3K1;GAB1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;MAPK14;RAP1B;MAPK9;PIK3CA;ABL1;GRB2;KRAS;PLCG1;SOS1;HRAS;CRK;SH2B2;MAPK3
