Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	27/201	3.531256e-29	6.320948e-27	0	0	3.323894e+01	2.177593e+03	SRC;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;ACTG1;IGF1R;ERBB3;ERBB4;MYC;CASP3;ERBB2;PLCG2;PLCG1;HRAS;MAPK3;CAV1;STAT3;MAPK14;ESR1;PIK3CA;CTTN;MDM2;PTPN6;GRB2;KRAS
KEGG_2019_Human	Pathways in cancer	35/530	4.442798e-27	2.651142e-25	0	0	1.631818e+01	9.901630e+02	HSP90AB1;LEF1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;IGF1R;MAPK9;MYC;CASP3;ERBB2;PLCG2;RAC2;ELOB;PLCG1;JAK2;HRAS;MAPK3;JAK1;NTRK1;PDGFRA;HSP90AA1;STAT1;STAT3;MLH1;ESR1;MSH6;BCR;MSH2;PIK3CA;MDM2;GRB2;KRAS;CRK
KEGG_2019_Human	Prolactin signaling pathway	19/70	5.709625e-27	2.651142e-25	0	0	7.387647e+01	4.464181e+03	SRC;STAT1;STAT3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;MAPK14;ESR1;SOCS2;SOCS3;MAPK9;PIK3CA;KRAS;GRB2;JAK2;HRAS;SOCS5;MAPK3
KEGG_2019_Human	ErbB signaling pathway	20/85	5.924339e-27	2.651142e-25	0	0	6.158819e+01	3.719356e+03	SRC;PIK3CD;PIK3R2;PIK3CB;PIK3R1;EGFR;MAPK9;PIK3CA;ERBB3;ERBB4;MYC;ERBB2;PLCG2;ABL2;KRAS;GRB2;PLCG1;HRAS;CRK;MAPK3
KEGG_2019_Human	Colorectal cancer	18/86	2.498584e-23	8.944931e-22	0	0	5.192691e+01	2.702470e+03	LEF1;PIK3CD;PIK3R2;PIK3CB;PIK3R1;MLH1;EGFR;MSH6;MAPK9;MSH2;PIK3CA;MYC;CASP3;RAC2;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	26/354	3.006410e-21	8.969122e-20	0	0	1.666595e+01	7.875249e+02	HSP90AB1;IRS1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;BRCA1;EGFR;PIK3CG;IGF1R;PPP2CB;ERBB3;ERBB4;MYC;ERBB2;JAK2;HRAS;MAPK3;JAK1;NTRK1;PDGFRA;HSP90AA1;PIK3CA;MDM2;GRB2;KRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	21/186	3.622215e-21	9.262521e-20	0	0	2.560519e+01	1.205165e+03	STAT1;SRC;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;PIK3CG;HCK;MAPK9;PIK3CA;MYC;CASP3;PLCG2;KRAS;PLCG1;JAK2;HRAS;MAPK3;JAK1
KEGG_2019_Human	Prostate cancer	17/97	1.141640e-20	2.554418e-19	0	0	4.125208e+01	1.894264e+03	PDGFRA;HSP90AA1;HSP90AB1;LEF1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;IGF1R;PIK3CA;ERBB2;MDM2;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	18/119	1.290848e-20	2.567353e-19	0	0	3.490246e+01	1.598407e+03	NTRK1;MAP3K1;IRS1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;MAPK9;PIK3CA;PLCG2;GRB2;KRAS;PLCG1;HRAS;CRK;SH2B2;MAPK3
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	17/100	1.980210e-20	3.544575e-19	0	0	3.975502e+01	1.803626e+03	STAT1;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;PRKCZ;MAPK9;PIK3CA;CASP3;PLCG2;KRAS;PLCG1;JAK2;HRAS;MAPK3
KEGG_2019_Human	Hepatitis B	19/163	1.712894e-19	2.787346e-18	0	0	2.604188e+01	1.125294e+03	MAP3K1;STAT1;SRC;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;MAPK9;PIK3CA;MYC;CASP3;GRB2;KRAS;JAK2;HRAS;MAPK3;JAK1
KEGG_2019_Human	Endometrial cancer	14/58	2.579806e-19	3.848211e-18	0	0	6.011212e+01	2.572883e+03	LEF1;PIK3CD;PIK3R2;PIK3CB;PIK3R1;MLH1;EGFR;PIK3CA;MYC;ERBB2;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Glioma	15/75	2.820093e-19	3.883051e-18	0	0	4.764663e+01	2.035100e+03	PDGFRA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;EGFR;IGF1R;PIK3CA;PLCG2;MDM2;KRAS;GRB2;PLCG1;HRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	14/66	1.893115e-18	2.420482e-17	0	0	5.084359e+01	2.074841e+03	STAT3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;EGFR;PIK3CA;ERBB2;PLCG2;KRAS;GRB2;PLCG1;HRAS;MAPK3
KEGG_2019_Human	FoxO signaling pathway	17/132	2.741114e-18	3.271063e-17	0	0	2.864638e+01	1.158407e+03	IRS1;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;EGFR;IGF1R;MAPK9;PIK3CA;CAT;MDM2;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Fc epsilon RI signaling pathway	14/68	2.984170e-18	3.338540e-17	0	0	4.895556e+01	1.975514e+03	PIK3CD;PIK3R2;PIK3CB;PIK3R1;MAPK14;MAPK9;PIK3CA;RAC2;PLCG2;KRAS;GRB2;PLCG1;HRAS;MAPK3
KEGG_2019_Human	JAK-STAT signaling pathway	18/162	3.931515e-18	4.111282e-17	0	0	2.442698e+01	9.789725e+02	PDGFRA;STAT1;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;SOCS2;SOCS3;PIK3CA;MYC;PTPN6;GRB2;JAK2;HRAS;SOCS5;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	20/225	4.134250e-18	4.111282e-17	0	0	1.939000e+01	7.761278e+02	PDGFRA;SRC;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;EGFR;PIK3CA;MYC;CASP3;MDM2;RAC2;GRB2;KRAS;CRK;HRAS;MAPK3;JAK1
KEGG_2019_Human	Thyroid hormone signaling pathway	16/116	9.219961e-18	8.686174e-17	0	0	3.072777e+01	1.205302e+03	SRC;STAT1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;ESR1;ACTG1;PIK3CA;MYC;PLCG2;MDM2;KRAS;PLCG1;HRAS;MAPK3
KEGG_2019_Human	Pancreatic cancer	14/75	1.311748e-17	1.174015e-16	0	0	4.332240e+01	1.684054e+03	STAT1;STAT3;PIK3CD;PIK3R2;PIK3CB;PIK3R1;EGFR;MAPK9;PIK3CA;ERBB2;RAC2;KRAS;JAK1;MAPK3
KEGG_2019_Human	Breast cancer	17/147	1.780805e-17	1.517925e-16	0	0	2.532179e+01	9.765826e+02	CSNK1A1;LEF1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;BRCA1;ESR1;EGFR;IGF1R;PIK3CA;MYC;ERBB2;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	VEGF signaling pathway	13/59	1.920522e-17	1.562606e-16	0	0	5.288249e+01	2.035518e+03	SRC;PIK3CD;PIK3R2;PIK3CB;PIK3R1;MAPK14;PIK3CA;RAC2;PLCG2;KRAS;PLCG1;HRAS;MAPK3
KEGG_2019_Human	Hepatitis C	17/155	4.440165e-17	3.455607e-16	0	0	2.384420e+01	8.978119e+02	STAT1;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;SOCS3;PPP2CB;PIK3CA;MYC;CASP3;GRB2;KRAS;HRAS;MAPK3;JAK1
KEGG_2019_Human	Chemokine signaling pathway	18/190	7.031169e-17	5.244080e-16	0	0	2.042148e+01	7.595483e+02	STAT1;SRC;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PRKCZ;PIK3CG;HCK;PIK3CA;RAC2;GRB2;KRAS;JAK2;CRK;HRAS;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	13/65	7.564693e-17	5.416321e-16	0	0	4.676651e+01	1.735994e+03	NTRK1;PDGFRA;PIK3CD;PIK3R2;PIK3CB;PIK3R1;EGFR;PIK3CA;MYC;ERBB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Insulin signaling pathway	16/137	1.417723e-16	9.760477e-16	0	0	2.536789e+01	9.257329e+02	IRS1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PRKCZ;SOCS2;SOCS3;MAPK9;PIK3CA;GRB2;KRAS;CRK;HRAS;SH2B2;MAPK3
KEGG_2019_Human	Focal adhesion	18/199	1.609876e-16	1.067288e-15	0	0	1.939719e+01	7.053827e+02	PDGFRA;SRC;CAV1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;ACTG1;IGF1R;MAPK9;PIK3CA;ERBB2;RAC2;GRB2;CRK;HRAS;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	17/168	1.763181e-16	1.107745e-15	0	0	2.177704e+01	7.899457e+02	CSNK1A1;LEF1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;ACTG1;IGF1R;PIK3CA;MYC;PLCG2;GRB2;KRAS;PLCG1;HRAS;MAPK3
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	16/139	1.794671e-16	1.107745e-15	0	0	2.495288e+01	9.047050e+02	SMAD1;STAT3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;IGF1R;PIK3CA;MYC;GRB2;KRAS;JAK2;HRAS;MAPK3;JAK1
KEGG_2019_Human	Rap1 signaling pathway	18/206	2.981390e-16	1.778896e-15	0	0	1.866832e+01	6.673731e+02	PDGFRA;SRC;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;PRKCZ;EGFR;ACTG1;IGF1R;PIK3CA;RAC2;KRAS;PLCG1;CRK;HRAS;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	13/76	6.663737e-16	3.847771e-15	0	0	3.857951e+01	1.348149e+03	PIK3CD;PIK3R2;PIK3CB;PIK3R1;BCR;PIK3CA;MYC;MDM2;KRAS;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Choline metabolism in cancer	14/99	7.900982e-16	4.419612e-15	0	0	3.105255e+01	1.079833e+03	PDGFRA;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;MAPK9;PIK3CA;RAC2;GRB2;KRAS;PLCG1;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	20/295	8.240045e-16	4.469600e-15	0	0	1.440294e+01	5.002480e+02	NTRK1;PDGFRA;HSPA8;MAP3K1;MAPK14;EGFR;IGF1R;MAPK9;ERBB3;ERBB4;MYC;CASP3;ERBB2;RAC2;GRB2;KRAS;MAPT;CRK;HRAS;MAPK3
KEGG_2019_Human	C-type lectin receptor signaling pathway	14/104	1.613073e-15	8.492353e-15	0	0	2.932000e+01	9.986578e+02	SRC;STAT1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;MAPK14;MAPK9;PIK3CA;PLCG2;MDM2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Type II diabetes mellitus	11/46	2.309082e-15	1.180931e-14	0	0	5.775291e+01	1.946384e+03	SOCS2;SOCS3;MAPK9;PIK3CA;IRS1;PIK3CD;PIK3R2;PIK3CB;PIK3R1;PRKCZ;MAPK3
KEGG_2019_Human	Ras signaling pathway	18/232	2.439280e-15	1.212864e-14	0	0	1.637855e+01	5.510903e+02	NTRK1;PDGFRA;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EGFR;IGF1R;MAPK9;PIK3CA;PLCG2;RAC2;ABL2;GRB2;KRAS;PLCG1;HRAS;MAPK3
