Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	45/530	1.368520e-37	2.490707e-35	0	0	2.043557e+01	1.734610e+03	NOTCH2;NOTCH3;CAMK2D;NOTCH1;HSP90AB1;CTBP2;CUL2;PIK3R3;PIK3CD;PIK3R1;PIK3CB;HIF1A;EGFR;MAPK9;CDH1;ERBB2;ABL1;DVL2;CTNNA1;RAC2;DVL3;E2F3;HES1;PLCG1;JAK2;HRAS;MAPK3;JAK1;PDGFRB;JAG2;NTRK1;HSP90AA1;EGLN3;JAG1;IFNGR1;STAT1;STAT3;ESR2;CCNA1;MDM2;GRB2;KRAS;SOS1;CRK;IFNAR1
KEGG_2019_Human	ErbB signaling pathway	21/85	1.116352e-27	1.015880e-25	0	0	5.801660e+01	3.600495e+03	CAMK2D;SRC;GAB1;PIK3CD;PIK3R3;PIK3CB;PIK3R1;EGFR;MAPK9;ERBB4;ERBB2;ABL1;ABL2;KRAS;GRB2;PLCG1;SOS1;HRAS;CRK;NCK1;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	19/70	5.402256e-26	3.277369e-24	0	0	6.475817e+01	3.767656e+03	SRC;STAT1;STAT3;PIK3CD;PIK3R3;PIK3CB;PIK3R1;MAPK14;ESR2;SOCS2;SOCS3;MAPK9;KRAS;GRB2;JAK2;SOS1;HRAS;SOCS7;MAPK3
KEGG_2019_Human	Breast cancer	22/147	8.506952e-24	3.870663e-22	0	0	3.130263e+01	1.662832e+03	JAG2;NOTCH2;NOTCH3;JAG1;NOTCH1;PIK3R3;PIK3CD;PIK3R1;PIK3CB;BRCA1;EGFR;ESR2;ERBB2;DVL2;DVL3;E2F3;HES1;GRB2;KRAS;SOS1;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	20/119	9.211139e-23	3.352854e-21	0	0	3.534102e+01	1.793170e+03	NTRK1;CAMK2D;MAP3K1;IRS1;GAB1;PIK3R3;PIK3CD;PIK3R1;PSEN1;PIK3CB;MAPK14;MAPK9;ABL1;GRB2;KRAS;PLCG1;SOS1;HRAS;CRK;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	23/201	4.316231e-22	1.309257e-20	0	0	2.312804e+01	1.137772e+03	CAMK2D;SRC;CAV1;STAT3;GAB1;PIK3R3;PIK3CD;PIK3R1;PIK3CB;MAPK14;HIF1A;EGFR;ERBB4;ERBB2;MDM2;FLNA;GRB2;KRAS;PLCG1;PPP1R12B;SOS1;HRAS;MAPK3
KEGG_2019_Human	Human papillomavirus infection	27/330	6.324912e-22	1.644477e-20	0	0	1.644648e+01	8.027917e+02	NOTCH2;NOTCH3;NOTCH1;MAML1;PIK3R3;PIK3CD;PIK3R1;PSEN1;PIK3CB;PRKCZ;EGFR;DVL2;DVL3;HES1;HRAS;MAPK3;JAK1;PDGFRB;JAG1;STAT1;CCNA1;PKM;MDM2;GRB2;KRAS;SOS1;IFNAR1
KEGG_2019_Human	Notch signaling pathway	15/48	8.855361e-22	2.014595e-20	0	0	7.640216e+01	3.703659e+03	NOTCH2;JAG2;NOTCH3;NOTCH1;JAG1;CTBP2;MAML1;PSEN1;KAT2B;NCSTN;ADAM17;SNW1;DVL2;DVL3;HES1
KEGG_2019_Human	Hepatitis B	20/163	6.318578e-20	1.277757e-18	0	0	2.441240e+01	1.079229e+03	MAP3K1;STAT1;SRC;STAT3;PIK3R3;PIK3CD;PIK3R1;PIK3CB;MAPK14;CCNA1;MAPK9;E2F3;GRB2;KRAS;SOS1;JAK2;HRAS;IFNAR1;MAPK3;JAK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	20/186	9.133747e-19	1.662342e-17	0	0	2.100544e+01	8.725058e+02	IFNGR1;STAT1;SRC;STAT3;PIK3R3;PIK3CD;PIK3R1;PIK3CB;MAPK14;HIF1A;PIK3CG;MAPK9;E2F3;KRAS;PLCG1;JAK2;HRAS;IFNAR1;MAPK3;JAK1
