Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	41/354	2.081528e-44	3.830011e-42	0	0	3.946036e+01	3.968948e+03	CSF3R;IRS1;YWHAB;FLT4;PIK3R2;BRCA1;EGFR;IGF1R;GNGT1;YWHAQ;ERBB3;ERBB4;AKT2;ERBB2;KDR;AKT1;RAC1;JAK2;JAK3;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;IL4R;ITGA4;PDPK1;IGF1;PTK2;GNB2;IL3RA;IL2RB;GNB3;GRB2;KRAS;SOS1;PIK3AP1;FGFR2;EPHA2;FGFR1;IFNAR1
KEGG_2019_Human	Pathways in cancer	43/530	5.980139e-40	5.501728e-38	0	0	2.719928e+01	2.456502e+03	CSF3R;FLT4;CXCR4;CSF2RB;PIK3R2;EGFR;GNAI1;IGF1R;GNAI2;GNGT1;CDC42;MAPK9;AKT2;ERBB2;ABL1;AKT1;RAC1;PRKACA;JAK2;JAK3;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;SMAD4;IL4R;IFNGR1;STAT3;IGF1;ESR1;PTK2;RHOA;GNB2;IL3RA;IL2RB;GNB3;GRB2;KRAS;SOS1;FGFR2;FGFR1;IFNAR1
KEGG_2019_Human	Ras signaling pathway	30/232	1.336162e-33	8.195127e-32	0	0	3.848098e+01	2.912837e+03	FLT4;PIK3R2;EGFR;IGF1R;GNGT1;CDC42;MAPK9;AKT2;KDR;ABL1;AKT1;ABL2;RAC1;PRKACA;MAPK3;PDGFRB;NTRK1;PDGFRA;GAB1;IGF1;RHOA;GNB2;GNB3;GRB2;KRAS;SOS1;FGFR2;EPHA2;FGFR1;ARF6
KEGG_2019_Human	Proteoglycans in cancer	28/201	2.800424e-32	1.288195e-30	0	0	4.092100e+01	2.973032e+03	SRC;PIK3R2;EGFR;IGF1R;CDC42;ERBB3;ERBB4;AKT2;ERBB2;KDR;AKT1;RAC1;PRKACA;MAPK3;PDPK1;CAV1;STAT3;GAB1;FRS2;IGF1;MAPK14;ESR1;PTK2;RHOA;GRB2;KRAS;SOS1;FGFR1
KEGG_2019_Human	MAPK signaling pathway	29/295	6.337121e-29	2.332061e-27	0	0	2.779084e+01	1.804419e+03	FLT4;ARRB1;EGFR;IGF1R;CDC42;MAPK9;ERBB3;ERBB4;AKT2;RPS6KA2;ERBB2;KDR;AKT1;RAC1;PRKACA;MAPK3;PDGFRB;NTRK1;PDGFRA;MAP3K1;IGF1;MAPK14;GRB2;KRAS;SOS1;MAP3K11;FGFR2;EPHA2;FGFR1
KEGG_2019_Human	Chemokine signaling pathway	25/190	3.597652e-28	1.103280e-26	0	0	3.690423e+01	2.332056e+03	SRC;CXCR4;PIK3R2;ARRB1;GNAI1;GNAI2;GNGT1;CDC42;AKT2;AKT1;RAC1;PRKACA;JAK2;JAK3;MAPK3;LYN;STAT3;PTK2;RHOA;FGR;GNB2;GNB3;GRB2;KRAS;SOS1
KEGG_2019_Human	Neurotrophin signaling pathway	20/119	7.430411e-25	1.931362e-23	0	0	4.649988e+01	2.583489e+03	NTRK1;MAP3K1;IRS1;PDPK1;GAB1;FRS2;PIK3R2;MAPK14;RHOA;CDC42;MAPK9;AKT2;RPS6KA2;ABL1;AKT1;GRB2;KRAS;RAC1;SOS1;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	24/225	8.397228e-25	1.931362e-23	0	0	2.867565e+01	1.589684e+03	PDGFRA;SRC;IL10RA;STAT3;CXCR4;PIK3R2;MAPK14;EGFR;PTK2;RHOA;GNAI1;GNAI2;GNGT1;AKT2;GNB2;AKT1;GNB3;GRB2;KRAS;RAC1;PRKACA;SOS1;MAPK3;JAK1
KEGG_2019_Human	Focal adhesion	23/199	1.334215e-24	2.727729e-23	0	0	3.104559e+01	1.706691e+03	PDGFRB;PDGFRA;ITGA4;PDPK1;SRC;CAV1;FLT4;PIK3R2;IGF1;EGFR;PTK2;RHOA;IGF1R;CDC42;MAPK9;AKT2;ERBB2;KDR;AKT1;GRB2;RAC1;SOS1;MAPK3
KEGG_2019_Human	ErbB signaling pathway	18/85	2.162062e-24	3.978195e-23	0	0	6.053019e+01	3.298349e+03	SRC;GAB1;CBLB;PIK3R2;EGFR;PTK2;MAPK9;ERBB3;ERBB4;AKT2;ERBB2;ABL1;AKT1;ABL2;KRAS;GRB2;SOS1;MAPK3
KEGG_2019_Human	JAK-STAT signaling pathway	21/162	1.396658e-23	2.336227e-22	0	0	3.461101e+01	1.821418e+03	PDGFRB;PDGFRA;IL4R;CSF3R;IFNGR1;IL10RA;STAT3;CSF2RB;PIK3R2;EGFR;AKT2;IL3RA;IL2RB;AKT1;GRB2;SOS1;SOCS6;JAK2;JAK3;IFNAR1;JAK1
KEGG_2019_Human	Rap1 signaling pathway	22/206	8.849765e-23	1.356964e-21	0	0	2.805512e+01	1.424613e+03	PDGFRB;PDGFRA;SRC;FLT4;PIK3R2;IGF1;MAPK14;EGFR;RHOA;GNAI1;IGF1R;GNAI2;CDC42;AKT2;KDR;AKT1;KRAS;RAC1;FGFR2;EPHA2;FGFR1;MAPK3
KEGG_2019_Human	Relaxin signaling pathway	18/130	7.593634e-21	1.074791e-19	0	0	3.612784e+01	1.673694e+03	SRC;PIK3R2;ARRB1;MAPK14;EGFR;GNAI1;GNAI2;GNGT1;MAPK9;AKT2;GNB2;AKT1;GNB3;GRB2;KRAS;PRKACA;SOS1;MAPK3
KEGG_2019_Human	FoxO signaling pathway	18/132	1.010813e-20	1.328498e-19	0	0	3.549043e+01	1.634013e+03	SMAD4;IRS1;PDPK1;STAT3;IRS4;IRS2;PIK3R2;IGF1;MAPK14;EGFR;IGF1R;MAPK9;AKT2;AKT1;GRB2;KRAS;SOS1;MAPK3
KEGG_2019_Human	Hepatitis B	19/163	1.705473e-20	2.092047e-19	0	0	2.995291e+01	1.363392e+03	SMAD4;MAP3K1;YWHAB;SRC;STAT3;PIK3R2;MAPK14;MAPK9;YWHAQ;AKT2;AKT1;GRB2;KRAS;SOS1;JAK2;JAK3;IFNAR1;MAPK3;JAK1
KEGG_2019_Human	Prostate cancer	16/97	6.649172e-20	7.646548e-19	0	0	4.348532e+01	1.920190e+03	PDGFRB;PDGFRA;PDPK1;PIK3R2;IGF1;EGFR;IGF1R;AKT2;ERBB2;AKT1;GRB2;KRAS;SOS1;FGFR2;FGFR1;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	16/101	1.318177e-19	1.426733e-18	0	0	4.143059e+01	1.801106e+03	PDPK1;CBLB;PIK3R2;MAPK14;RHOA;CDC42;MAPK9;DLG1;TEC;LCK;AKT2;AKT1;GRB2;KRAS;SOS1;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	14/70	8.571503e-19	8.761981e-18	0	0	5.390761e+01	2.242593e+03	SRC;STAT3;PIK3R2;MAPK14;ESR1;MAPK9;AKT2;AKT1;KRAS;GRB2;JAK2;SOS1;SOCS6;MAPK3
