Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	37/530	2.935278e-24	5.987967e-22	0	0	1.161485e+01	6.293533e+02	CAMK2D;HSP90AB1;CTBP2;FLT3;HHIP;CUL2;PIK3R3;CXCR4;CSF2RB;EGFR;HSP90B1;IGF1R;MAPK9;ERBB2;ABL1;RAC2;MAPK1;SKP2;JAK2;IL6R;MAPK3;JAK1;HSP90AA1;SMAD3;STAT1;PTCH1;STAT2;STAT3;MTOR;MSH6;MSH2;IL2RB;MDM2;CTNNB1;GRB2;KRAS;IFNAR1
KEGG_2019_Human	Prostate cancer	17/97	2.555051e-18	2.606152e-16	0	0	2.895569e+01	1.172950e+03	HSP90AA1;HSP90AB1;PIK3R3;TMPRSS2;EGFR;MTOR;IGF1R;HSP90B1;CREB1;ERBB2;MDM2;MAPK1;CTNNB1;GRB2;KRAS;CREB5;MAPK3
KEGG_2019_Human	JAK-STAT signaling pathway	18/162	1.096162e-15	6.241355e-14	0	0	1.709549e+01	5.888876e+02	PIAS4;STAT1;STAT2;STAT3;PIK3R3;CSF2RB;EGFR;MTOR;PIAS1;SOCS3;IL2RB;GRB2;JAK2;IL6R;SOCS7;IFNAR1;SOCS5;JAK1
KEGG_2019_Human	Hepatitis B	18/163	1.223795e-15	6.241355e-14	0	0	1.697672e+01	5.829267e+02	MAP3K1;PCNA;SMAD3;STAT1;SRC;STAT2;STAT3;PIK3R3;MAPK9;CREB1;MAPK1;GRB2;KRAS;JAK2;IFNAR1;CREB5;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	14/85	6.843480e-15	2.792140e-13	0	0	2.633593e+01	8.589591e+02	CAMK2D;SRC;GAB1;PIK3R3;EGFR;MTOR;MAPK9;ERBB2;ABL1;ABL2;MAPK1;KRAS;GRB2;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	13/70	1.263162e-14	3.827177e-13	0	0	3.027823e+01	9.689812e+02	SRC;STAT1;STAT3;PIK3R3;SOCS3;MAPK9;MAPK1;KRAS;GRB2;JAK2;SOCS7;SOCS5;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	23/354	1.313247e-14	3.827177e-13	0	0	9.751592e+00	3.116969e+02	HSP90AA1;HSP90AB1;IRS1;FLT3;PIK3R3;BRCA1;EGFR;MTOR;HSP90B1;IGF1R;CREB1;ERBB2;IL2RB;MDM2;MAPK1;GRB2;KRAS;JAK2;IL6R;IFNAR1;CREB5;MAPK3;JAK1
KEGG_2019_Human	Pancreatic cancer	13/75	3.254112e-14	8.297986e-13	0	0	2.782940e+01	8.642774e+02	SMAD3;STAT1;STAT3;PIK3R3;EGFR;MTOR;MAPK9;ERBB2;RAC2;MAPK1;KRAS;JAK1;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	18/201	4.952287e-14	1.122518e-12	0	0	1.342555e+01	4.113096e+02	CAMK2D;SRC;CAV1;PTCH1;STAT3;GAB1;PIK3R3;EGFR;MTOR;IGF1R;PPP1CC;ERBB2;MDM2;CTNNB1;MAPK1;GRB2;KRAS;MAPK3
KEGG_2019_Human	Colorectal cancer	13/86	2.072603e-13	4.228111e-12	0	0	2.362278e+01	6.898986e+02	SMAD3;PIK3R3;EGFR;MTOR;MSH6;MAPK9;MSH2;RAC2;MAPK1;CTNNB1;KRAS;GRB2;MAPK3
KEGG_2019_Human	HIF-1 signaling pathway	13/100	1.536288e-12	2.849115e-11	0	0	1.980737e+01	5.387933e+02	CAMK2D;CUL2;STAT3;PIK3R3;EGFR;MTOR;IGF1R;LDHA;ERBB2;MAPK1;ALDOA;IL6R;MAPK3
KEGG_2019_Human	Hepatitis C	15/155	2.251615e-12	3.827746e-11	0	0	1.435714e+01	3.850496e+02	STAT1;STAT2;STAT3;PIK3R3;EGFR;PIAS1;SOCS3;MAPK1;CTNNB1;GRB2;KRAS;EIF3E;IFNAR1;JAK1;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	2.504025e-12	3.929393e-11	0	0	1.267881e+01	3.386905e+02	STAT1;SRC;STAT2;STAT3;PIK3R3;MTOR;HCK;MAPK9;CREB1;CTNNB1;MAPK1;KRAS;JAK2;IFNAR1;MAPK3;JAK1
KEGG_2019_Human	FoxO signaling pathway	14/132	3.558990e-12	5.069926e-11	0	0	1.580852e+01	4.167370e+02	SMAD3;IRS1;STAT3;PIK3R3;EGFR;IGF1R;MAPK9;MDM2;MAPK1;GRB2;ATM;KRAS;SKP2;MAPK3
KEGG_2019_Human	Th17 cell differentiation	13/107	3.727887e-12	5.069926e-11	0	0	1.832586e+01	4.822483e+02	HSP90AA1;SMAD3;HSP90AB1;STAT1;STAT3;MTOR;MAPK9;IL2RB;MAPK1;JAK2;IL6R;JAK1;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	17/225	4.106574e-12	5.235882e-11	0	0	1.106466e+01	2.900979e+02	SRC;STAT3;PIK3R3;CXCR4;EGFR;MTOR;CREB1;MDM2;RAC2;CTNNB1;MAPK1;GRB2;KRAS;IL6R;CREB5;MAPK3;JAK1
KEGG_2019_Human	Estrogen signaling pathway	14/137	5.943163e-12	7.131795e-11	0	0	1.516205e+01	3.919205e+02	HSP90AA1;HSP90AB1;HSPA1L;SRC;PIK3R3;EGFR;HSP90B1;CREB1;KRT18;MAPK1;GRB2;KRAS;CREB5;MAPK3
KEGG_2019_Human	Osteoclast differentiation	13/127	3.406450e-11	3.860643e-10	0	0	1.509549e+01	3.638431e+02	STAT1;STAT2;FHL2;PIK3R3;SOCS3;MAPK9;CREB1;MAPK1;GRB2;SQSTM1;IFNAR1;JAK1;MAPK3
