Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	29/134	5.934588e-37	9.495340e-35	0	0	5.628876e+01	4.695318e+03	DDX5;RBM25;SF3B3;DDX23;HNRNPU;SNU13;U2AF1;PRPF8;EFTUD2;SART1;SNRPD2;SNRPD1;SNRNP70;U2AF2;TRA2B;SF3B1;SF3A3;SF3A1;CDC5L;HNRNPM;HNRNPK;PRPF6;SNW1;SRSF2;SRSF3;SNRPA1;RP9;SRSF5;SRSF7
KEGG_2019_Human	Ubiquitin mediated proteolysis	8/137	2.514064e-06	2.011251e-04	0	0	1.037709e+01	1.337981e+02	FZR1;CUL7;HERC2;FBXW7;SMURF1;UBR5;WWP2;BRCA1
KEGG_2019_Human	Ribosome	8/153	5.719260e-06	3.050272e-04	0	0	9.224547e+00	1.113557e+02	RPS4X;RPS14;RPS7;RPL37A;RPL15;RPS2;RPS24;RPS13
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	6/101	4.311766e-05	1.724706e-03	0	0	1.041000e+01	1.046369e+02	NOP56;FBL;NOP58;SNU13;RIOK1;RAN
KEGG_2019_Human	Glioma	5/75	1.111499e-04	3.150982e-03	0	0	1.169067e+01	1.064393e+02	ARAF;PTEN;GRB2;CALM1;EGFR
KEGG_2019_Human	MicroRNAs in cancer	9/299	1.181618e-04	3.150982e-03	0	0	5.194695e+00	4.697799e+01	HNRNPK;ERBB3;PTEN;KIF23;GRB2;BRCA1;BMI1;EGFR;EZH2
KEGG_2019_Human	ErbB signaling pathway	5/85	2.009099e-04	4.592227e-03	0	0	1.022417e+01	8.703485e+01	ERBB3;SRC;ARAF;GRB2;EGFR
KEGG_2019_Human	Viral carcinogenesis	7/201	2.872097e-04	5.105950e-03	0	0	5.967253e+00	4.866473e+01	HNRNPK;SNW1;HIST4H4;SRC;GRB2;CHD4;HIST1H2BB
KEGG_2019_Human	Proteoglycans in cancer	7/201	2.872097e-04	5.105950e-03	0	0	5.967253e+00	4.866473e+01	DDX5;ERBB3;SRC;ARAF;FN1;GRB2;EGFR
KEGG_2019_Human	Endometrial cancer	4/58	4.897882e-04	7.836611e-03	0	0	1.203400e+01	9.171759e+01	ARAF;PTEN;GRB2;EGFR
KEGG_2019_Human	Alcoholism	6/180	9.869356e-04	1.435543e-02	0	0	5.660920e+00	3.917869e+01	HIST4H4;ARAF;HIST1H2AE;GRB2;CALM1;HIST1H2BB
KEGG_2019_Human	Adherens junction	4/72	1.109821e-03	1.479762e-02	0	0	9.549662e+00	6.497167e+01	SRC;SNAI1;FYN;EGFR
KEGG_2019_Human	Focal adhesion	6/199	1.649427e-03	2.030064e-02	0	0	5.098705e+00	3.266907e+01	SRC;FN1;PTEN;GRB2;FYN;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	8/354	1.829494e-03	2.090850e-02	0	0	3.826394e+00	2.412050e+01	CSF3R;ERBB3;FN1;PTEN;GRB2;BRCA1;JAK2;EGFR
KEGG_2019_Human	Bladder cancer	3/41	2.185268e-03	2.258934e-02	0	0	1.273171e+01	7.799465e+01	SRC;ARAF;EGFR
KEGG_2019_Human	Gap junction	4/88	2.328523e-03	2.258934e-02	0	0	7.724434e+00	4.682954e+01	TUBA1B;SRC;GRB2;EGFR
KEGG_2019_Human	Breast cancer	5/147	2.400117e-03	2.258934e-02	0	0	5.742056e+00	3.463744e+01	ARAF;PTEN;GRB2;BRCA1;EGFR
KEGG_2019_Human	GnRH signaling pathway	4/93	2.846104e-03	2.529870e-02	0	0	7.288635e+00	4.272455e+01	SRC;GRB2;CALM1;EGFR
KEGG_2019_Human	Prostate cancer	4/97	3.313031e-03	2.789921e-02	0	0	6.973735e+00	3.981927e+01	ARAF;PTEN;GRB2;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	5/168	4.252700e-03	3.402160e-02	0	0	4.996958e+00	2.728440e+01	ARAF;PTEN;GRB2;BRD7;EGFR
KEGG_2019_Human	Pathogenic Escherichia coli infection	3/55	5.045038e-03	3.843839e-02	0	0	9.297373e+00	4.917706e+01	TUBA1B;NCL;FYN
KEGG_2019_Human	Non-small cell lung cancer	3/66	8.370165e-03	6.087393e-02	0	0	7.669764e+00	3.668511e+01	ARAF;GRB2;EGFR
KEGG_2019_Human	FoxO signaling pathway	4/132	9.767664e-03	6.209283e-02	0	0	5.057889e+00	2.341134e+01	ARAF;PTEN;GRB2;EGFR
KEGG_2019_Human	Prolactin signaling pathway	3/70	9.832559e-03	6.209283e-02	0	0	7.210411e+00	3.332693e+01	SRC;GRB2;JAK2
KEGG_2019_Human	Systemic lupus erythematosus	4/133	1.002251e-02	6.209283e-02	0	0	5.018427e+00	2.309942e+01	SNRPD1;HIST4H4;HIST1H2AE;HIST1H2BB
KEGG_2019_Human	Melanoma	3/72	1.061597e-02	6.209283e-02	0	0	7.000707e+00	3.182098e+01	ARAF;PTEN;EGFR
KEGG_2019_Human	Estrogen signaling pathway	4/137	1.108498e-02	6.209283e-02	0	0	4.866511e+00	2.190983e+01	SRC;GRB2;CALM1;EGFR
KEGG_2019_Human	Insulin signaling pathway	4/137	1.108498e-02	6.209283e-02	0	0	4.866511e+00	2.190983e+01	ARAF;GRB2;CALM1;FBP1
KEGG_2019_Human	Bacterial invasion of epithelial cells	3/74	1.143460e-02	6.209283e-02	0	0	6.802817e+00	3.041615e+01	SRC;FN1;SEPT2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	4/139	1.164241e-02	6.209283e-02	0	0	4.793928e+00	2.134785e+01	SRC;SUMO3;CALM1;ASS1
KEGG_2019_Human	Hepatitis C	4/155	1.675557e-02	8.549234e-02	0	0	4.282488e+00	1.751120e+01	PSME3;ARAF;GRB2;EGFR
KEGG_2019_Human	Colorectal cancer	3/86	1.709847e-02	8.549234e-02	0	0	5.815751e+00	2.366293e+01	ARAF;GRB2;EGFR
KEGG_2019_Human	Pathways in cancer	8/530	1.908661e-02	9.035557e-02	0	0	2.513410e+00	9.950008e+00	CSF3R;ARAF;FN1;PTEN;GRB2;CALM1;JAK2;EGFR
KEGG_2019_Human	JAK-STAT signaling pathway	4/162	1.937205e-02	9.035557e-02	0	0	4.091305e+00	1.613580e+01	CSF3R;GRB2;JAK2;EGFR
KEGG_2019_Human	Hepatitis B	4/163	1.976528e-02	9.035557e-02	0	0	4.065368e+00	1.595180e+01	SRC;ARAF;GRB2;JAK2
KEGG_2019_Human	Homologous recombination	2/41	2.751339e-02	1.222817e-01	0	0	8.203060e+00	2.947427e+01	BARD1;BRCA1
KEGG_2019_Human	Notch signaling pathway	2/48	3.678811e-02	1.590837e-01	0	0	6.952314e+00	2.296058e+01	SNW1;CIR1
KEGG_2019_Human	Regulation of actin cytoskeleton	4/214	4.656283e-02	1.960540e-01	0	0	3.070101e+00	9.415856e+00	SRC;ARAF;FN1;EGFR
KEGG_2019_Human	Relaxin signaling pathway	3/130	4.907067e-02	1.999908e-01	0	0	3.792395e+00	1.143215e+01	SRC;GRB2;EGFR
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	3/131	4.999771e-02	1.999908e-01	0	0	3.762576e+00	1.127184e+01	ARAF;GRB2;FYN
KEGG_2019_Human	Human cytomegalovirus infection	4/225	5.411362e-02	2.111505e-01	0	0	2.915659e+00	8.504014e+00	SRC;GRB2;CALM1;EGFR
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	3/139	5.771883e-02	2.111505e-01	0	0	3.539813e+00	1.009616e+01	GRB2;BMI1;JAK2
KEGG_2019_Human	Human papillomavirus infection	5/330	5.791737e-02	2.111505e-01	0	0	2.485569e+00	7.080735e+00	FN1;PTEN;GRB2;CHD4;EGFR
KEGG_2019_Human	Central carbon metabolism in cancer	2/65	6.334302e-02	2.111505e-01	0	0	5.071941e+00	1.399445e+01	PTEN;EGFR
KEGG_2019_Human	Shigellosis	2/65	6.334302e-02	2.111505e-01	0	0	5.071941e+00	1.399445e+01	SRC;U2AF1
KEGG_2019_Human	Acute myeloid leukemia	2/66	6.506093e-02	2.111505e-01	0	0	4.992440e+00	1.364150e+01	ARAF;GRB2
KEGG_2019_Human	Long-term potentiation	2/67	6.679441e-02	2.111505e-01	0	0	4.915385e+00	1.330170e+01	ARAF;CALM1
KEGG_2019_Human	Phospholipase D signaling pathway	3/148	6.703650e-02	2.111505e-01	0	0	3.318587e+00	8.968541e+00	GRB2;FYN;EGFR
KEGG_2019_Human	Gastric cancer	3/149	6.811193e-02	2.111505e-01	0	0	3.295690e+00	8.854210e+00	ARAF;GRB2;EGFR
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	2/68	6.854321e-02	2.111505e-01	0	0	4.840665e+00	1.297439e+01	SRC;EGFR
KEGG_2019_Human	Fc epsilon RI signaling pathway	2/68	6.854321e-02	2.111505e-01	0	0	4.840665e+00	1.297439e+01	FYN;GRB2
KEGG_2019_Human	Endocytosis	4/244	6.862391e-02	2.111505e-01	0	0	2.682240e+00	7.186028e+00	SMURF1;SRC;AP2B1;EGFR
KEGG_2019_Human	Renal cell carcinoma	2/69	7.030707e-02	2.122478e-01	0	0	4.768175e+00	1.265895e+01	ARAF;GRB2
KEGG_2019_Human	Oxytocin signaling pathway	3/153	7.249198e-02	2.147910e-01	0	0	3.207154e+00	8.416469e+00	SRC;CALM1;EGFR
KEGG_2019_Human	Pancreatic cancer	2/75	8.119235e-02	2.361959e-01	0	0	4.374945e+00	1.098520e+01	ARAF;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	2/76	8.305461e-02	2.372989e-01	0	0	4.315606e+00	1.073834e+01	ARAF;GRB2
KEGG_2019_Human	RNA transport	3/165	8.636085e-02	2.424164e-01	0	0	2.967781e+00	7.268751e+00	SUMO3;SAP18;RAN
KEGG_2019_Human	Herpes simplex virus 1 infection	6/492	9.109034e-02	2.512837e-01	0	0	1.994650e+00	4.778989e+00	SRC;SRSF2;SRSF3;SRSF5;JAK2;SRSF7
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	2/85	1.003761e-01	2.722063e-01	0	0	3.845900e+00	8.841076e+00	ACTC1;EMD
KEGG_2019_Human	Tuberculosis	3/179	1.038396e-01	2.769056e-01	0	0	2.729767e+00	6.182672e+00	SRC;CALM1;JAK2
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	2/91	1.124312e-01	2.824973e-01	0	0	3.585538e+00	7.835885e+00	ACTC1;EMD
KEGG_2019_Human	Transcriptional misregulation in cancer	3/186	1.130645e-01	2.824973e-01	0	0	2.624417e+00	5.720696e+00	DDX5;EWSR1;BMI1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	3/186	1.130645e-01	2.824973e-01	0	0	2.624417e+00	5.720696e+00	SRC;CALM1;JAK2
KEGG_2019_Human	Calcium signaling pathway	3/188	1.157562e-01	2.824973e-01	0	0	2.595781e+00	5.597202e+00	ERBB3;CALM1;EGFR
KEGG_2019_Human	MAPK signaling pathway	4/295	1.162562e-01	2.824973e-01	0	0	2.206411e+00	4.748106e+00	ERBB3;ARAF;GRB2;EGFR
KEGG_2019_Human	Small cell lung cancer	2/93	1.165301e-01	2.824973e-01	0	0	3.506381e+00	7.537335e+00	PTEN;FN1
KEGG_2019_Human	Chemokine signaling pathway	3/190	1.184721e-01	2.829184e-01	0	0	2.567758e+00	5.477228e+00	SRC;GRB2;JAK2
KEGG_2019_Human	Arginine biosynthesis	1/21	1.243464e-01	2.874786e-01	0	0	7.941600e+00	1.655573e+01	ASS1
KEGG_2019_Human	Choline metabolism in cancer	2/99	1.290461e-01	2.874786e-01	0	0	3.288494e+00	6.733471e+00	GRB2;EGFR
KEGG_2019_Human	Phosphatidylinositol signaling system	2/99	1.290461e-01	2.874786e-01	0	0	3.288494e+00	6.733471e+00	PTEN;CALM1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	2/99	1.290461e-01	2.874786e-01	0	0	3.288494e+00	6.733471e+00	FZR1;ARAF
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	1.311621e-01	2.874786e-01	0	0	3.254773e+00	6.611490e+00	FN1;JAK2
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	2/100	1.311621e-01	2.874786e-01	0	0	3.254773e+00	6.611490e+00	SRC;CALM1
KEGG_2019_Human	T cell receptor signaling pathway	2/101	1.332861e-01	2.881862e-01	0	0	3.221733e+00	6.492622e+00	GRB2;FYN
KEGG_2019_Human	Glucagon signaling pathway	2/103	1.375575e-01	2.930280e-01	0	0	3.157617e+00	6.263806e+00	CALM1;FBP1
KEGG_2019_Human	C-type lectin receptor signaling pathway	2/104	1.397046e-01	2.930280e-01	0	0	3.126502e+00	6.153660e+00	SRC;CALM1
KEGG_2019_Human	Rap1 signaling pathway	3/206	1.410197e-01	2.930280e-01	0	0	2.363451e+00	4.629658e+00	SRC;CALM1;EGFR
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	2/106	1.440206e-01	2.954269e-01	0	0	3.066067e+00	5.941421e+00	ARAF;EGFR
KEGG_2019_Human	Cholinergic synapse	2/112	1.571308e-01	3.182395e-01	0	0	2.897947e+00	5.363164e+00	FYN;JAK2
KEGG_2019_Human	Phototransduction	1/28	1.622851e-01	3.245702e-01	0	0	5.880593e+00	1.069327e+01	CALM1
KEGG_2019_Human	Sphingolipid signaling pathway	2/119	1.726960e-01	3.331509e-01	0	0	2.723601e+00	4.783249e+00	PTEN;FYN
KEGG_2019_Human	Neurotrophin signaling pathway	2/119	1.726960e-01	3.331509e-01	0	0	2.723601e+00	4.783249e+00	GRB2;CALM1
KEGG_2019_Human	Pentose phosphate pathway	1/30	1.728220e-01	3.331509e-01	0	0	5.474483e+00	9.610416e+00	FBP1
KEGG_2019_Human	Ras signaling pathway	3/232	1.803598e-01	3.383244e-01	0	0	2.092342e+00	3.583767e+00	GRB2;CALM1;EGFR
KEGG_2019_Human	Lysosome	2/123	1.817014e-01	3.383244e-01	0	0	2.633031e+00	4.490346e+00	PSAP;AP1B1
KEGG_2019_Human	Cell cycle	2/124	1.839639e-01	3.383244e-01	0	0	2.611317e+00	4.421000e+00	FZR1;MCM5
KEGG_2019_Human	Platelet activation	2/124	1.839639e-01	3.383244e-01	0	0	2.611317e+00	4.421000e+00	SRC;FYN
KEGG_2019_Human	Fructose and mannose metabolism	1/33	1.883813e-01	3.425115e-01	0	0	4.960500e+00	8.280498e+00	FBP1
KEGG_2019_Human	Osteoclast differentiation	2/127	1.907758e-01	3.429677e-01	0	0	2.548258e+00	4.221588e+00	GRB2;FYN
KEGG_2019_Human	Alanine, aspartate and glutamate metabolism	1/35	1.985926e-01	3.491737e-01	0	0	4.668235e+00	7.546202e+00	ASS1
KEGG_2019_Human	Prion diseases	1/35	1.985926e-01	3.491737e-01	0	0	4.668235e+00	7.546202e+00	FYN
KEGG_2019_Human	Vascular smooth muscle contraction	2/132	2.022021e-01	3.503661e-01	0	0	2.449628e+00	3.915699e+00	ARAF;CALM1
KEGG_2019_Human	DNA replication	1/36	2.036503e-01	3.503661e-01	0	0	4.534629e+00	7.216186e+00	MCM5
KEGG_2019_Human	Glycine, serine and threonine metabolism	1/40	2.235664e-01	3.805386e-01	0	0	4.068718e+00	6.095130e+00	PHGDH
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	2/145	2.322327e-01	3.911287e-01	0	0	2.225468e+00	3.249218e+00	ACTC1;CALM1
KEGG_2019_Human	Proteasome	1/45	2.477680e-01	4.099400e-01	0	0	3.605455e+00	5.030556e+00	PSME3
KEGG_2019_Human	mTOR signaling pathway	2/152	2.485261e-01	4.099400e-01	0	0	2.120860e+00	2.952677e+00	PTEN;GRB2
KEGG_2019_Human	Cushing syndrome	2/155	2.555228e-01	4.157377e-01	0	0	2.078958e+00	2.836622e+00	WDR5;EGFR
KEGG_2019_Human	Hedgehog signaling pathway	1/47	2.572377e-01	4.157377e-01	0	0	3.448348e+00	4.682010e+00	SMURF1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	1/48	2.619281e-01	4.190850e-01	0	0	3.374809e+00	4.521181e+00	AP2B1
KEGG_2019_Human	Cellular senescence	2/160	2.671921e-01	4.232747e-01	0	0	2.012658e+00	2.656281e+00	PTEN;CALM1
KEGG_2019_Human	Necroptosis	2/162	2.718605e-01	4.264479e-01	0	0	1.987298e+00	2.588389e+00	HIST1H2AE;JAK2
KEGG_2019_Human	Fanconi anemia pathway	1/54	2.894599e-01	4.469536e-01	0	0	2.991849e+00	3.709111e+00	BRCA1
KEGG_2019_Human	Tight junction	2/170	2.905198e-01	4.469536e-01	0	0	1.891897e+00	2.338543e+00	TUBA1B;SRC
KEGG_2019_Human	VEGF signaling pathway	1/59	3.116229e-01	4.639675e-01	0	0	2.733241e+00	3.186854e+00	SRC
KEGG_2019_Human	Viral myocarditis	1/59	3.116229e-01	4.639675e-01	0	0	2.733241e+00	3.186854e+00	FYN
KEGG_2019_Human	Lysine degradation	1/59	3.116229e-01	4.639675e-01	0	0	2.733241e+00	3.186854e+00	EZH2
KEGG_2019_Human	Long-term depression	1/60	3.159725e-01	4.639675e-01	0	0	2.686780e+00	3.095439e+00	ARAF
KEGG_2019_Human	Axon guidance	2/181	3.160779e-01	4.639675e-01	0	0	1.774644e+00	2.043976e+00	SRC;FYN
KEGG_2019_Human	Mitophagy	1/65	3.373149e-01	4.906398e-01	0	0	2.476250e+00	2.691036e+00	SRC
KEGG_2019_Human	Amphetamine addiction	1/68	3.498018e-01	4.949372e-01	0	0	2.365015e+00	2.484185e+00	CALM1
KEGG_2019_Human	Glycolysis / Gluconeogenesis	1/68	3.498018e-01	4.949372e-01	0	0	2.365015e+00	2.484185e+00	FBP1
KEGG_2019_Human	Adipocytokine signaling pathway	1/69	3.539120e-01	4.949372e-01	0	0	2.330118e+00	2.420309e+00	JAK2
KEGG_2019_Human	Renin secretion	1/69	3.539120e-01	4.949372e-01	0	0	2.330118e+00	2.420309e+00	CALM1
KEGG_2019_Human	Epstein-Barr virus infection	2/201	3.619602e-01	4.949372e-01	0	0	1.594667e+00	1.620534e+00	SNW1;CIR1
KEGG_2019_Human	B cell receptor signaling pathway	1/71	3.620553e-01	4.949372e-01	0	0	2.263314e+00	2.299433e+00	GRB2
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	3.660886e-01	4.949372e-01	0	0	2.231324e+00	2.242212e+00	EMD
KEGG_2019_Human	p53 signaling pathway	1/72	3.660886e-01	4.949372e-01	0	0	2.231324e+00	2.242212e+00	PTEN
KEGG_2019_Human	Inositol phosphate metabolism	1/74	3.740796e-01	4.949372e-01	0	0	2.169973e+00	2.133705e+00	PTEN
KEGG_2019_Human	Leishmaniasis	1/74	3.740796e-01	4.949372e-01	0	0	2.169973e+00	2.133705e+00	JAK2
KEGG_2019_Human	Gastric acid secretion	1/75	3.780376e-01	4.949372e-01	0	0	2.140541e+00	2.082236e+00	CALM1
KEGG_2019_Human	Pertussis	1/76	3.819707e-01	4.949372e-01	0	0	2.111893e+00	2.032510e+00	CALM1
KEGG_2019_Human	Antigen processing and presentation	1/77	3.858791e-01	4.949372e-01	0	0	2.084000e+00	1.984450e+00	PSME3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	2/212	3.867253e-01	4.949372e-01	0	0	1.510292e+00	1.434839e+00	AP1B1;CALM1
KEGG_2019_Human	Synaptic vesicle cycle	1/78	3.897630e-01	4.949372e-01	0	0	2.056831e+00	1.937980e+00	AP2B1
KEGG_2019_Human	Cardiac muscle contraction	1/78	3.897630e-01	4.949372e-01	0	0	2.056831e+00	1.937980e+00	ACTC1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	2/219	4.022698e-01	5.063206e-01	0	0	1.461052e+00	1.330482e+00	PTEN;RAN
KEGG_2019_Human	ECM-receptor interaction	1/82	4.050565e-01	5.063206e-01	0	0	1.954864e+00	1.766667e+00	FN1
KEGG_2019_Human	GABAergic synapse	1/89	4.309105e-01	5.307014e-01	0	0	1.798727e+00	1.514267e+00	SRC
KEGG_2019_Human	TGF-beta signaling pathway	1/90	4.345118e-01	5.307014e-01	0	0	1.778427e+00	1.482376e+00	SMURF1
KEGG_2019_Human	Salivary secretion	1/90	4.345118e-01	5.307014e-01	0	0	1.778427e+00	1.482376e+00	CALM1
