Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	23/201	5.501028e-21	1.089204e-18	0	0	2.033717e+01	9.487157e+02	STAT5B;SYK;SRC;PXN;STAT3;PIK3R3;PIK3R1;RELA;HDAC6;CDC42;PIK3CA;HIST4H4;DNAJA3;IRF7;MAPK1;GRB2;HIST1H2BH;HIST1H2BG;IKBKG;TP53;JAK3;MAPK3;JAK1
KEGG_2019_Human	Hepatitis B	21/163	2.499949e-20	2.474950e-18	0	0	2.295165e+01	1.035932e+03	STAT5B;MAP3K1;SRC;STAT3;ARAF;PIK3R3;PIK3R1;TYK2;MAPK14;RELA;PIK3CA;MYC;IRF7;MAPK1;GRB2;IKBKG;JAK2;TP53;JAK3;MAPK3;JAK1
KEGG_2019_Human	Proteoglycans in cancer	21/201	2.102573e-18	1.387698e-16	0	0	1.807139e+01	7.355665e+02	SRC;PXN;STAT3;ARAF;PIK3R3;PTPN11;PIK3R1;MAPK14;EGFR;ACTB;ACTG1;CDC42;PIK3CA;ERBB3;CTSL;MYC;MAPK1;GRB2;TP53;EIF4B;MAPK3
KEGG_2019_Human	Hepatitis C	18/155	9.697326e-17	4.231288e-15	0	0	1.992532e+01	7.346884e+02	CD81;STAT3;ARAF;PIK3R3;PIK3R1;TYK2;RELA;EGFR;PIK3CA;MYC;IRF7;MAPK1;GRB2;RIPK1;IKBKG;TP53;MAPK3;JAK1
KEGG_2019_Human	Prolactin signaling pathway	14/70	1.068507e-16	4.231288e-15	0	0	3.693284e+01	1.358209e+03	STAT5B;SRC;STAT3;PIK3R3;PIK3R1;MAPK14;RELA;SOCS2;SOCS1;PIK3CA;MAPK1;GRB2;JAK2;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	13/66	1.704700e-15	4.936894e-14	0	0	3.597303e+01	1.223277e+03	ALK;STAT5B;STAT3;ARAF;PIK3R3;PIK3R1;EGFR;PIK3CA;MAPK1;GRB2;JAK3;TP53;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	23/354	1.745367e-15	4.936894e-14	0	0	1.085155e+01	3.687554e+02	NTRK1;HSP90AA1;HSP90AB1;SYK;IRS1;PIK3R3;PIK3R1;BRCA1;RELA;EGFR;PIK3CA;ERBB3;MYC;MAPK1;GRB2;IKBKG;JAK2;TP53;JAK3;EIF4B;EPHA2;MAPK3;JAK1
KEGG_2019_Human	Th17 cell differentiation	15/107	2.233139e-15	5.527018e-14	0	0	2.422360e+01	8.171922e+02	STAT5B;HSP90AA1;HSP90AB1;STAT3;TYK2;MAPK14;RELA;LCK;MAPK1;IKBKG;CD247;JAK2;JAK3;JAK1;MAPK3
KEGG_2019_Human	Apoptosis	16/143	9.702228e-15	1.972655e-13	0	0	1.882606e+01	6.074494e+02	NTRK1;PARP1;PIK3R3;PIK3R1;ACTB;TUBA4A;RELA;ACTG1;PIK3CA;CTSL;CAPN2;MAPK1;RIPK1;IKBKG;TP53;MAPK3
KEGG_2019_Human	Pancreatic cancer	13/75	9.973016e-15	1.972655e-13	0	0	3.073716e+01	9.909319e+02	STAT3;ARAF;PIK3R3;PIK3R1;RELA;EGFR;CDC42;PIK3CA;MAPK1;IKBKG;TP53;JAK1;MAPK3
