Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	17/134	9.857205e-17	1.774297e-14	0	0	2.258315e+01	8.323187e+02	SF3A3;HSPA8;DDX5;NCBP1;ALYREF;HNRNPU;CDC5L;PRPF19;PRPF8;EFTUD2;HNRNPM;PRPF6;PUF60;SNRNP70;PCBP1;HNRNPC;SF3B1
KEGG_2019_Human	Viral carcinogenesis	11/201	2.343867e-07	2.109480e-05	0	0	8.560586e+00	1.306884e+02	RB1;HDAC2;CREB1;DDX3X;HIST4H4;HDAC1;EP300;MAPK1;UBE3A;CHD4;RAC1
KEGG_2019_Human	Estrogen signaling pathway	8/137	6.793096e-06	3.050607e-04	0	0	8.995440e+00	1.070422e+02	HSPA8;KRT19;CREB1;KRT18;RARA;MAPK1;ESR1;KRT40
KEGG_2019_Human	Transcriptional misregulation in cancer	9/186	8.292396e-06	3.050607e-04	0	0	7.412053e+00	8.672229e+01	DDX5;HDAC2;HDAC1;LMO2;HIST3H3;RARA;PAX5;PML;MEN1
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	7/101	8.473910e-06	3.050607e-04	0	0	1.074189e+01	1.254493e+02	NOP56;FBL;NXF1;NOP58;GNL3L;DKC1;RAN
KEGG_2019_Human	Human papillomavirus infection	11/330	2.778065e-05	8.334196e-04	0	0	5.065336e+00	5.314130e+01	RB1;HES6;HDAC2;CREB1;ITGA4;HDAC1;EP300;MAPK1;TSC1;UBE3A;CHD4
KEGG_2019_Human	Influenza A	8/171	3.399901e-05	8.742603e-04	0	0	7.106821e+00	7.312335e+01	NXF1;HSPA8;HNRNPUL1;EP300;MAPK1;KPNA2;PML;KPNA1
KEGG_2019_Human	RNA transport	7/165	1.952597e-04	4.393344e-03	0	0	6.370045e+00	5.440770e+01	RANBP2;NXF1;UBE2I;NCBP1;ALYREF;RAN;KPNB1
KEGG_2019_Human	Notch signaling pathway	4/48	3.921263e-04	7.789295e-03	0	0	1.286494e+01	1.009116e+02	HDAC2;ADAM17;HDAC1;EP300
KEGG_2019_Human	Pathways in cancer	12/530	4.619383e-04	7.789295e-03	0	0	3.393822e+00	2.606482e+01	RB1;AR;HDAC2;HDAC1;CUL1;RARA;EP300;MAPK1;RAC1;ESR1;PML;BBC3
