Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	14/134	2.850394e-12	4.617638e-10	0	0	1.609103e+01	4.277568e+02	HSPA8;DDX5;HNRNPA3;SF3B3;SRSF1;CDC5L;PRPF40A;PRPF8;EFTUD2;HNRNPK;DDX39B;SNRNP70;SF3B1;SNRPA
KEGG_2019_Human	Viral carcinogenesis	13/201	6.914263e-09	5.600553e-07	0	0	9.438350e+00	1.773436e+02	RB1;HDAC2;TBP;HDAC3;HDAC1;CHD4;CDC42;HNRNPK;CREB1;HIST4H4;CHEK1;RAC1;TP53
KEGG_2019_Human	Pathways in cancer	19/530	3.766634e-08	2.033982e-06	0	0	5.208713e+00	8.904033e+01	RB1;TCF7L2;HDAC2;HSP90AB1;HDAC1;CUL1;ESR1;PML;HSP90B1;CDC42;AR;APC;CDH1;RARA;PPARG;VHL;RAC1;TP53;SKP1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	11/165	7.640239e-08	3.094297e-06	0	0	9.632583e+00	1.578516e+02	PRKN;HSPA8;HSP90AB1;RPN2;RPN1;CUL1;UBE2D1;STUB1;CKAP4;HSP90B1;SKP1
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	1.300973e-07	4.215154e-06	0	0	1.056082e+01	1.674417e+02	PRKN;ANAPC7;CUL1;UBE2N;UBE2D1;TRIP12;STUB1;VHL;PML;SKP1
KEGG_2019_Human	Cell cycle	9/124	5.911436e-07	1.596088e-05	0	0	1.043196e+01	1.496069e+02	RB1;HDAC2;ANAPC7;PRKDC;HDAC1;CHEK1;CUL1;TP53;SKP1
KEGG_2019_Human	Longevity regulating pathway	8/102	1.415839e-06	3.276657e-05	0	0	1.128031e+01	1.519208e+02	HSPA8;HDAC2;CREB1;HDAC1;EHMT2;EHMT1;PPARG;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	2.182529e-06	4.419621e-05	0	0	7.601654e+00	9.908776e+01	DDX5;HDAC2;HDAC1;SIN3A;LMO2;RARA;PPARG;TP53;PML;MEN1
KEGG_2019_Human	Prostate cancer	7/97	1.142050e-05	1.940616e-04	0	0	1.024230e+01	1.165584e+02	RB1;AR;TCF7L2;HSP90AB1;CREB1;TP53;HSP90B1
KEGG_2019_Human	Human papillomavirus infection	12/330	1.197911e-05	1.940616e-04	0	0	5.081327e+00	5.758336e+01	RB1;CDC42;HES6;TCF7L2;HDAC2;CREB1;TBP;APC;ITGA4;HDAC1;CHD4;TP53
KEGG_2019_Human	Wnt signaling pathway	8/158	3.587241e-05	5.283027e-04	0	0	7.048949e+00	7.214981e+01	RNF43;TCF7L2;APC;RUVBL1;CUL1;RAC1;TP53;SKP1
KEGG_2019_Human	Non-homologous end-joining	3/13	1.281040e-04	1.729404e-03	0	0	3.863571e+01	3.462791e+02	XRCC6;MRE11;PRKDC
KEGG_2019_Human	Huntington disease	8/193	1.459199e-04	1.818387e-03	0	0	5.705206e+00	5.039096e+01	HDAC2;CREB1;TBP;HDAC1;SIN3A;PPARG;TP53;AP2M1
KEGG_2019_Human	Thyroid cancer	4/37	1.972528e-04	2.282496e-03	0	0	1.569420e+01	1.338876e+02	TCF7L2;CDH1;PPARG;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	3.099693e-04	3.347669e-03	0	0	7.128116e+00	5.758831e+01	HDAC2;HDAC3;SIN3A;HDAC1;TP53;ESR1
KEGG_2019_Human	Estrogen signaling pathway	6/137	7.503725e-04	7.597522e-03	0	0	5.979071e+00	4.301906e+01	HSPA8;HSP90AB1;CREB1;RARA;ESR1;HSP90B1
KEGG_2019_Human	Epstein-Barr virus infection	7/201	1.067898e-03	1.003725e-02	0	0	4.726564e+00	3.233944e+01	RB1;HDAC2;IRAK1;HDAC1;SIN3A;RAC1;TP53
KEGG_2019_Human	Endometrial cancer	4/58	1.115250e-03	1.003725e-02	0	0	9.580731e+00	6.513629e+01	TCF7L2;APC;CDH1;TP53
