Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	12/85	3.273465e-13	6.317787e-11	0	0	2.734569e+01	7.861272e+02	JUN;PIK3CA;PRKCB;NCK2;ABL1;PLCG2;PIK3R3;ABL2;CBLB;GRB2;CBL;PAK4
KEGG_2019_Human	Cell cycle	13/124	1.650186e-12	1.592430e-10	0	0	1.961017e+01	5.320265e+02	YWHAE;CUL1;SMC3;YWHAZ;CCNE1;CHEK2;ABL1;MDM2;EP300;MCM4;TP53;YWHAG;MCM2
KEGG_2019_Human	Viral carcinogenesis	15/201	4.377099e-12	1.833283e-10	0	0	1.368395e+01	3.578988e+02	YWHAE;JUN;HDAC3;PIK3R3;YWHAZ;HNRNPK;PKM;PIK3CA;CCNE1;HIST4H4;MDM2;EP300;GRB2;TP53;YWHAG
KEGG_2019_Human	Spliceosome	13/134	4.501039e-12	1.833283e-10	0	0	1.798039e+01	4.697685e+02	SF3A3;TCERG1;SF3B2;SF3B3;EIF4A3;PRPF8;HNRNPM;HNRNPK;U2AF2;SRSF3;SRSF6;SF3B1;RBMX
KEGG_2019_Human	Pathways in cancer	22/530	4.749439e-12	1.833283e-10	0	0	7.692372e+00	2.005632e+02	NTRK1;JUN;PRKCB;CTBP1;CUL1;FN1;PIK3R3;CBL;ESR1;HSP90B1;AR;PIK3CA;CCNE1;KIT;MDM2;PLCG2;ABL1;EP300;GRB2;CALM1;JAK2;TP53
KEGG_2019_Human	Prostate cancer	10/97	7.969925e-10	2.563659e-08	0	0	1.879168e+01	3.936890e+02	AR;PIK3CA;CCNE1;MDM2;EP300;PIK3R3;GRB2;ERG;TP53;HSP90B1
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	4.655137e-09	1.283488e-07	0	0	1.540855e+01	2.956175e+02	HDAC3;PIK3CA;PRKCB;PLCG2;MDM2;PLCE1;EP300;PIK3R3;TP53;ESR1
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	5.972113e-09	1.440772e-07	0	0	1.498218e+01	2.837051e+02	YWHAE;NTRK1;JUN;PIK3CA;ABL1;PLCG2;PIK3R3;GRB2;CALM1;TP53
KEGG_2019_Human	Proteoglycans in cancer	12/201	8.521718e-09	1.827435e-07	0	0	1.050020e+01	1.951005e+02	PIK3CA;PRKCB;MDM2;PLCG2;FN1;PLCE1;PIK3R3;GRB2;CBL;TP53;ESR1;PPP1CA
KEGG_2019_Human	Hepatitis B	11/163	1.025763e-08	1.979723e-07	0	0	1.189073e+01	2.187330e+02	JUN;PIK3CA;DDX58;PRKCB;CCNE1;PIK3R3;EP300;GRB2;JAK2;TP53;YWHAZ
KEGG_2019_Human	PI3K-Akt signaling pathway	15/354	1.162715e-08	2.040037e-07	0	0	7.449649e+00	1.361045e+02	YWHAE;NTRK1;FN1;PIK3R3;BRCA1;YWHAZ;HSP90B1;PIK3CA;CCNE1;KIT;MDM2;GRB2;JAK2;TP53;YWHAG
KEGG_2019_Human	Glioma	8/75	3.188110e-08	5.127544e-07	0	0	1.922291e+01	3.318115e+02	PIK3CA;PRKCB;PLCG2;MDM2;PIK3R3;GRB2;CALM1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	8/76	3.543736e-08	5.261085e-07	0	0	1.893926e+01	3.249125e+02	PIK3CA;CTBP1;ABL1;MDM2;PIK3R3;GRB2;CBL;TP53
