Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Transcriptional misregulation in cancer	19/186	6.547199e-19	8.183998e-17	0	0	2.412588e+01	1.010152e+03	HDAC2;CCNT1;KMT2A;FUS;HDAC1;H3F3A;MLLT1;BMI1;KLF3;PML;CDK9;CCND2;HIST1H3A;TLX3;SIN3A;MYC;HIST3H3;HIST2H3C;MEN1
KEGG_2019_Human	Wnt signaling pathway	14/158	2.536810e-13	1.585506e-11	0	0	1.958730e+01	5.680846e+02	TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CTNNBIP1;CSNK2A2;NLK;CCND2;APC;CCND1;MYC;RUVBL1;PPARD
KEGG_2019_Human	Pathways in cancer	17/530	6.380024e-09	2.658344e-07	0	0	6.758490e+00	1.275333e+02	TCF7L2;CREBBP;HDAC2;CTBP2;CTBP1;HDAC1;PTEN;PML;AR;CCND2;APC;CCND1;MYC;CTNNA1;E2F3;SKP2;PPARD
KEGG_2019_Human	Cell cycle	9/124	3.243523e-08	1.013601e-06	0	0	1.502381e+01	2.590708e+02	CREBBP;HDAC2;CCND2;CCND1;HDAC1;MYC;E2F3;BUB3;SKP2
KEGG_2019_Human	Adherens junction	7/72	1.559579e-07	3.898947e-06	0	0	2.033128e+01	3.186660e+02	TCF7L2;AFDN;CREBBP;CSNK2A1;CSNK2A2;CTNNA1;NLK
KEGG_2019_Human	Chronic myeloid leukemia	7/76	2.272363e-07	4.734089e-06	0	0	1.914879e+01	2.929244e+02	HDAC2;CCND1;CTBP2;HDAC1;CTBP1;MYC;E2F3
KEGG_2019_Human	Hippo signaling pathway	9/160	2.912501e-07	5.200894e-06	0	0	1.142114e+01	1.718777e+02	SOX2;TCF7L2;CCND2;APC;CCND1;MYC;CTNNA1;TEAD1;SMAD7
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	4.315725e-07	6.113981e-06	0	0	9.231166e+00	1.352904e+02	CREBBP;CCND2;TBP;CCND1;MYC;SRF;PTEN;E2F3;BUB3;RAN
KEGG_2019_Human	Hepatocellular carcinoma	9/168	4.402066e-07	6.113981e-06	0	0	1.084210e+01	1.586851e+02	TCF7L2;SMARCB1;SMARCC2;APC;CCND1;MYC;PTEN;E2F3;SMARCA2
KEGG_2019_Human	Endometrial cancer	6/58	8.604878e-07	1.075610e-05	0	0	2.159216e+01	3.015511e+02	TCF7L2;CCND1;APC;MYC;PTEN;CTNNA1
