Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	26/354	1.494675e-21	2.765148e-19	0	0	1.722412e+01	8.259375e+02	FLT1;IRS1;FLT4;PIK3R3;FASLG;PIK3R1;RELA;ERBB3;KDR;JAK2;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDPK1;NFKB1;PTK2;PIK3CA;GNB1;IL3RA;KIT;GNB3;GRB2;PIK3AP1;TP53
KEGG_2019_Human	Pathways in cancer	27/530	2.933884e-18	2.713843e-16	0	0	1.168912e+01	4.718923e+02	NOTCH1;HDAC1;FLT4;PIK3R3;FASLG;PIK3R1;CBL;RELA;EP300;JAK2;MAPK3;JAK1;PDGFRB;NTRK1;SMAD3;ESR1;NFKB1;PTK2;PIK3CA;GNB1;IL3RA;KIT;GNB3;GRB2;ARHGEF1;TP53;CRK
KEGG_2019_Human	Proteoglycans in cancer	18/201	1.202311e-16	7.414251e-15	0	0	1.977350e+01	7.248396e+02	DDX5;PDPK1;CAV1;PIK3R3;FASLG;PIK3R1;CBL;ESR1;PTK2;MRAS;PIK3CA;ERBB3;KDR;FLNB;GRB2;ARHGEF1;TP53;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	13/76	4.736506e-16	2.190634e-14	0	0	3.970920e+01	1.401181e+03	SMAD3;HDAC1;PIK3R3;GAB2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;GRB2;TP53;CRK;MAPK3
KEGG_2019_Human	Ras signaling pathway	18/232	1.530758e-15	5.663805e-14	0	0	1.688251e+01	5.759133e+02	PDGFRB;NTRK1;FLT1;FLT4;PIK3R3;FASLG;PIK3R1;GAB2;RELA;NFKB1;MRAS;PIK3CA;GNB1;KIT;KDR;GNB3;GRB2;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	7.741253e-15	2.386886e-13	0	0	2.585490e+01	8.400830e+02	NTRK1;IRS1;PDPK1;PRKCD;PIK3R3;FASLG;PIK3R1;RELA;NFKB1;PIK3CA;GRB2;TP53;CRK;MAPK3
KEGG_2019_Human	MAPK signaling pathway	18/295	9.966687e-14	2.634053e-12	0	0	1.300103e+01	3.892111e+02	PDGFRB;NTRK1;FLT1;FLT4;FASLG;HSPA2;RELA;NFKB1;MRAS;ERBB3;KIT;KDR;FLNB;GRB2;TP53;CRK;HSPA1A;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	15/190	3.159061e-13	7.305328e-12	0	0	1.672617e+01	4.814348e+02	PRKCD;PIK3R3;PIK3R1;RELA;NFKB1;PTK2;FGR;HCK;PIK3CA;GNB1;GNB3;GRB2;JAK2;CRK;MAPK3
KEGG_2019_Human	Focal adhesion	15/199	6.220566e-13	1.278672e-11	0	0	1.590077e+01	4.469031e+02	PDGFRB;FLT1;PDPK1;CAV1;FLT4;ILK;PIK3R3;PIK3R1;PTK2;PIK3CA;KDR;FLNB;GRB2;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	15/225	3.695164e-12	6.836053e-11	0	0	1.391372e+01	3.662647e+02	PIK3R3;FASLG;PIK3R1;RELA;NFKB1;PTK2;PIK3CA;GNB1;GNB3;GRB2;ARHGEF1;TP53;CRK;MAPK3;JAK1
KEGG_2019_Human	Prostate cancer	11/97	1.008468e-11	1.696060e-10	0	0	2.411717e+01	6.106467e+02	PDGFRB;PIK3CA;PDPK1;EP300;PIK3R3;GRB2;PIK3R1;TP53;NFKB1;RELA;MAPK3
KEGG_2019_Human	Hepatitis B	13/163	1.150382e-11	1.773505e-10	0	0	1.660466e+01	4.182439e+02	SMAD3;PIK3R3;FASLG;PIK3R1;RELA;NFKB1;PIK3CA;EP300;GRB2;JAK2;TP53;MAPK3;JAK1
KEGG_2019_Human	Longevity regulating pathway	11/102	1.763126e-11	2.509063e-10	0	0	2.278629e+01	5.642193e+02	PIK3CA;IRS1;HDAC1;IRS4;PIK3R3;PIK3R1;HSPA2;TP53;NFKB1;RELA;HSPA1A
KEGG_2019_Human	Influenza A	13/171	2.112891e-11	2.792035e-10	0	0	1.575753e+01	3.873260e+02	PIK3R3;FASLG;PIK3R1;HSPA2;RELA;NFKB1;PIK3CA;EP300;KPNA2;JAK2;HSPA1A;MAPK3;JAK1
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	8/37	3.363670e-11	4.148526e-10	0	0	5.071520e+01	1.223017e+03	SLC9A3R2;PIK3CA;IRS1;PDPK1;NEDD4L;PIK3R3;PIK3R1;MAPK3
KEGG_2019_Human	Apoptosis	12/143	4.075679e-11	4.712504e-10	0	0	1.739841e+01	4.162292e+02	NTRK1;PIK3CA;PARP1;PDPK1;IL3RA;PIK3R3;FASLG;PIK3R1;TP53;RELA;NFKB1;MAPK3
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	6.095597e-11	6.141734e-10	0	0	1.438032e+01	3.382377e+02	NTRK1;DDX5;FLT1;KMT2A;HDAC1;RELA;NFKB1;PTK2;HIST1H3A;HIST3H3;TP53;HIST2H3C;MEN1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	13/186	6.095597e-11	6.141734e-10	0	0	1.438032e+01	3.382377e+02	PIK3R3;PIK3R1;RELA;NFKB1;HCK;PIK3CA;GNB1;GNB3;EP300;JAK2;TP53;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	10/85	6.307727e-11	6.141734e-10	0	0	2.491698e+01	5.852167e+02	PIK3CA;ERBB3;PIK3R3;GRB2;PIK3R1;CBL;CRK;PTK2;NCK1;MAPK3
KEGG_2019_Human	Human papillomavirus infection	16/330	8.221712e-11	7.605084e-10	0	0	9.971975e+00	2.315658e+02	PDGFRB;NOTCH1;HDAC1;PIK3R3;FASLG;PIK3R1;RELA;NFKB1;PTK2;PIK3CA;EP300;GRB2;TP53;ATR;MAPK3;JAK1
KEGG_2019_Human	Cellular senescence	12/160	1.522083e-10	1.340883e-09	0	0	1.538669e+01	3.478281e+02	SMAD3;MRAS;PIK3CA;PIK3R3;NBN;PIK3R1;SQSTM1;TP53;RELA;NFKB1;ATR;MAPK3
KEGG_2019_Human	Viral carcinogenesis	13/201	1.606016e-10	1.350513e-09	0	0	1.322289e+01	2.982038e+02	GSN;HDAC1;PIK3R3;PIK3R1;RELA;NFKB1;PIK3CA;EP300;GRB2;TP53;YWHAH;MAPK3;JAK1
KEGG_2019_Human	Osteoclast differentiation	11/127	1.950947e-10	1.569240e-09	0	0	1.785287e+01	3.991463e+02	PIK3CA;FHL2;PIK3R3;GRB2;PIK3R1;GAB2;SQSTM1;RELA;NFKB1;MAPK3;JAK1
KEGG_2019_Human	Prolactin signaling pathway	9/70	2.621573e-10	2.020796e-09	0	0	2.733369e+01	6.030380e+02	PIK3CA;PIK3R3;GRB2;PIK3R1;JAK2;ESR1;RELA;NFKB1;MAPK3
KEGG_2019_Human	FoxO signaling pathway	11/132	2.963204e-10	2.192771e-09	0	0	1.711082e+01	3.754043e+02	SMAD3;PIK3CA;IRS1;PDPK1;IRS4;PIK3R3;EP300;GRB2;FASLG;PIK3R1;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	4.642637e-10	3.265398e-09	0	0	1.205646e+01	2.591002e+02	SMAD3;PIK3R3;PIK3R1;RELA;NFKB1;PTTG1;PIK3CA;EP300;BUB3;TP53;ATR;MAPK3;JAK1
