Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	42/530	4.108390e-38	7.641605e-36	0	0	2.530328e+01	2.178238e+03	CAMK2B;CAMK2A;ARAF;FGF2;GNAI1;GNAI2;CASP9;FRAT1;NRAS;FRAT2;BCL2L11;CASP8;CDH1;CTNNA1;RAC2;AKT1;PMAIP1;EP300;MAPK1;RALGDS;HRAS;APPL1;JAK1;EGLN1;CREBBP;CHUK;BAD;AXIN1;ARNT;BRAF;ESR1;ESR2;AR;TRAF6;BAX;CTNNB1;KRAS;RAF1;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Colorectal cancer	19/86	6.332404e-26	5.889135e-24	0	0	6.316871e+01	3.665145e+03	BAD;ARAF;AXIN1;BRAF;CASP9;NRAS;BCL2L11;RAC2;AKT1;MAPK1;PMAIP1;BAX;CTNNB1;KRAS;RAF1;HRAS;SOS2;RALGDS;APPL1
KEGG_2019_Human	Endometrial cancer	17/58	1.243821e-25	7.711691e-24	0	0	9.044948e+01	5.186955e+03	BAD;ARAF;AXIN1;BRAF;FOXO3;CASP9;NRAS;CDH1;CTNNA1;AKT1;MAPK1;BAX;CTNNB1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Prostate cancer	18/97	4.098668e-23	1.905881e-21	0	0	5.015949e+01	2.585661e+03	CREBBP;CHUK;BAD;ARAF;BRAF;CASP9;AR;NRAS;CREB1;AKT1;EP300;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Breast cancer	19/147	3.295370e-21	1.225878e-19	0	0	3.296313e+01	1.554600e+03	ARAF;AXIN1;BRAF;BRCA1;ESR1;FGF2;ESR2;FRAT1;NRAS;FRAT2;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Hepatitis B	19/163	2.482012e-20	7.694238e-19	0	0	2.927684e+01	1.321634e+03	CREBBP;CHUK;BAD;ARAF;BRAF;CASP9;NRAS;CREB1;CASP8;TRAF6;BAX;AKT1;EP300;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Hepatitis C	18/155	2.840252e-19	7.546954e-18	0	0	2.883942e+01	1.231594e+03	CHUK;BAD;CD81;ARAF;BRAF;CASP9;NRAS;CASP8;TRAF6;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Renal cell carcinoma	14/69	9.056831e-19	2.105713e-17	0	0	5.371721e+01	2.231714e+03	EGLN1;CREBBP;BAD;ARAF;ARNT;BRAF;NRAS;AKT1;EP300;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Pancreatic cancer	14/75	3.198871e-18	6.611000e-17	0	0	4.841890e+01	1.950494e+03	CHUK;BAD;ARAF;BRAF;CASP9;RAC2;AKT1;MAPK1;BAX;KRAS;RAF1;RALGDS;JAK1;BCL2L1
KEGG_2019_Human	Gastric cancer	17/149	4.071832e-18	7.573607e-17	0	0	2.796537e+01	1.119802e+03	ARAF;AXIN1;BRAF;FGF2;FRAT1;NRAS;FRAT2;CDH1;CTNNA1;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	22/354	1.815335e-17	3.069566e-16	0	0	1.507145e+01	5.809693e+02	CHUK;BAD;BRCA1;FOXO3;FGF2;PIK3CG;CASP9;NRAS;BCL2L11;CREB1;ERBB3;AKT1;MAPK1;KRAS;RAF1;FGFR3;SOS2;EIF4E;HRAS;FGFR1;BCL2L1;JAK1
KEGG_2019_Human	Non-small cell lung cancer	13/66	2.539750e-17	3.936613e-16	0	0	5.122284e+01	1.957321e+03	BAD;ARAF;BRAF;FOXO3;CASP9;NRAS;AKT1;MAPK1;BAX;KRAS;RAF1;HRAS;SOS2
