Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	1.752831e-15	3.295322e-13	0	0	1.883331e+01	6.399098e+02	EGR1;CREBBP;CD40;CDKN1A;CHUK;PTEN;PIK3R1;PPP3CA;DLG1;CREB1;CHEK1;CDC27;E2F1;BAX;AKT1;BUB3;BCL2L1
KEGG_2019_Human	Pathways in cancer	22/530	4.206722e-14	3.954319e-12	0	0	1.011560e+01	3.115554e+02	CREBBP;CDKN1A;CHUK;NCOA3;CAMK2A;AXIN1;PTEN;ARNT;PIK3R1;CBL;AR;CASP8;CDH1;E2F1;DVL2;CTNNA1;BAX;AKT1;CTNNB1;BIRC2;BCL2L1;APPL1
KEGG_2019_Human	Cushing syndrome	13/155	1.652440e-12	1.035529e-10	0	0	1.965623e+01	5.332493e+02	USP8;KMT2D;CDKN1A;KMT2A;CAMK2A;AXIN1;ARNT;ASH2L;CREB1;RBBP5;E2F1;DVL2;CTNNB1
KEGG_2019_Human	Bacterial invasion of epithelial cells	10/74	5.577184e-12	2.621276e-10	0	0	3.261678e+01	8.451769e+02	CTTN;CDH1;CLTC;PXN;CTNNA1;CTNNB1;PIK3R1;CBL;ACTB;BCAR1
KEGG_2019_Human	Ubiquitin mediated proteolysis	12/137	7.425031e-12	2.791812e-10	0	0	2.040774e+01	5.229721e+02	CUL4A;FZR1;UBE2I;FBXW7;NEDD4;CDC27;TRIM37;BRCA1;CBL;BIRC2;UBE2L3;CUL4B
KEGG_2019_Human	Breast cancer	12/147	1.714668e-11	4.317134e-10	0	0	1.888650e+01	4.681815e+02	CDKN1A;CSNK1A1;NCOA3;E2F1;AXIN1;DVL2;PTEN;BAX;AKT1;CTNNB1;PIK3R1;BRCA1
KEGG_2019_Human	Human papillomavirus infection	16/330	1.744846e-11	4.317134e-10	0	0	1.121076e+01	2.777105e+02	CREBBP;CDKN1A;CHUK;CSNK1A1;PXN;AXIN1;PTEN;PIK3R1;DLG1;CREB1;CASP8;E2F1;DVL2;BAX;AKT1;CTNNB1
KEGG_2019_Human	Endometrial cancer	9/58	1.837078e-11	4.317134e-10	0	0	3.797066e+01	9.386447e+02	CDKN1A;CDH1;PTEN;AXIN1;CTNNA1;AKT1;BAX;CTNNB1;PIK3R1
KEGG_2019_Human	Hippo signaling pathway	12/160	4.657330e-11	9.728644e-10	0	0	1.721622e+01	4.095737e+02	LATS1;SMAD1;DLG1;CDH1;AXIN1;DVL2;CTNNA1;CTNNB1;AFP;ACTB;BIRC2;PPP1CA
KEGG_2019_Human	Hepatocellular carcinoma	12/168	8.248363e-11	1.510496e-09	0	0	1.632672e+01	3.790806e+02	CDKN1A;CSNK1A1;E2F1;AXIN1;DVL2;PTEN;BAX;AKT1;CTNNB1;PIK3R1;ACTB;BCL2L1
KEGG_2019_Human	Prostate cancer	10/97	8.838010e-11	1.510496e-09	0	0	2.396612e+01	5.548007e+02	AR;CREBBP;CDKN1A;CREB1;CHUK;PTEN;E2F1;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Gastric cancer	11/149	3.697241e-10	5.792344e-09	0	0	1.675355e+01	3.638579e+02	CDKN1A;CDH1;CSNK1A1;E2F1;AXIN1;DVL2;CTNNA1;BAX;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Proteoglycans in cancer	12/201	6.582337e-10	9.519072e-09	0	0	1.345349e+01	2.844264e+02	DDX5;CDKN1A;ERBB3;CTTN;PXN;CAMK2A;AKT1;CTNNB1;PIK3R1;CBL;ACTB;PPP1CA
KEGG_2019_Human	Small cell lung cancer	9/93	1.426022e-09	1.914944e-08	0	0	2.211049e+01	4.503548e+02	CDKN1A;CHUK;PTEN;E2F1;AKT1;BAX;PIK3R1;BIRC2;BCL2L1
KEGG_2019_Human	Human cytomegalovirus infection	12/225	2.382199e-09	2.985689e-08	0	0	1.192307e+01	2.367353e+02	PPP3CA;CDKN1A;CREB1;CASP8;CHUK;PXN;E2F1;BAX;AKT1;CTNNB1;PIK3R1;BCAR1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	11/186	3.901446e-09	4.584199e-08	0	0	1.318663e+01	2.553184e+02	PPP3CA;CREBBP;CDKN1A;CREB1;CASP8;CHUK;E2F1;BAX;AKT1;CTNNB1;PIK3R1
