Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	41/530	8.980343e-31	1.769128e-28	0	0	1.561283e+01	1.080175e+03	GSK3B;CDKN1A;NOTCH1;CDKN1B;PTEN;PIK3R3;XIAP;BRCA2;STK4;HIF1A;RELA;CASP8;CDH1;CTNNA1;AKT1;EP300;VHL;RAC1;HRAS;APPL1;NQO1;TCF7L2;CREBBP;HSP90AA1;CHUK;BAD;BRAF;ESR1;ESR2;PTK2;NFKBIA;AR;MSH2;TRAF4;MDM2;BAX;CTNNB1;RAF1;TP53;BIRC2;BCL2L1
KEGG_2019_Human	Prostate cancer	22/97	3.531364e-27	3.478394e-25	0	0	4.717182e+01	2.873146e+03	GSK3B;TCF7L2;CREBBP;CDKN1A;HSP90AA1;CDKN1B;CHUK;BAD;PTEN;PIK3R3;BRAF;RELA;NFKBIA;AR;CREB1;MDM2;AKT1;EP300;CTNNB1;RAF1;TP53;HRAS
KEGG_2019_Human	Endometrial cancer	16/58	1.535471e-21	1.008293e-19	0	0	5.851015e+01	2.804125e+03	GSK3B;TCF7L2;CDKN1A;BAD;PTEN;PIK3R3;BRAF;FOXO3;CDH1;CTNNA1;AKT1;BAX;CTNNB1;RAF1;HRAS;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	27/354	4.384712e-20	2.159471e-18	0	0	1.366444e+01	6.090729e+02	GSK3B;CDKN1A;CDKN1B;PTEN;PIK3R3;BRCA1;FOXO3;RELA;GYS2;STK11;YWHAQ;AKT1;RAC1;HRAS;YWHAG;NGFR;HSP90AA1;CHUK;BAD;YWHAZ;PTK2;CREB1;RHEB;MDM2;RAF1;TP53;BCL2L1
KEGG_2019_Human	Viral carcinogenesis	22/201	6.984743e-20	2.751989e-18	0	0	1.966081e+01	8.671984e+02	CREBBP;CDKN1A;CDKN1B;BAD;PIK3R3;YWHAZ;RELA;NFKBIA;KAT2B;CREB1;CASP8;PKM;YWHAQ;HIST4H4;CHEK1;MDM2;BAX;EP300;RAC1;TP53;HRAS;YWHAG
KEGG_2019_Human	Hepatitis C	20/155	1.340193e-19	4.400300e-18	0	0	2.337185e+01	1.015654e+03	GSK3B;CDKN1A;CHUK;BAD;PIK3R3;BRAF;YWHAZ;RELA;PIAS1;NFKBIA;TBK1;CASP8;YWHAQ;BAX;AKT1;CTNNB1;RAF1;TP53;HRAS;YWHAG
KEGG_2019_Human	Thyroid hormone signaling pathway	18/116	3.188634e-19	8.973726e-18	0	0	2.857352e+01	1.216933e+03	GSK3B;CREBBP;NOTCH1;BAD;PIK3R3;HIF1A;ESR1;ACTB;KAT2B;RHEB;SIN3A;MDM2;AKT1;EP300;CTNNB1;RAF1;TP53;HRAS
KEGG_2019_Human	Hepatitis B	20/163	3.731874e-19	9.189740e-18	0	0	2.205538e+01	9.358586e+02	CREBBP;CDKN1A;CHUK;BAD;PIK3R3;BRAF;YWHAZ;RELA;NFKBIA;CREB1;TBK1;CASP8;IRAK1;YWHAQ;BAX;AKT1;EP300;RAF1;TP53;HRAS
KEGG_2019_Human	Human papillomavirus infection	25/330	1.432063e-18	3.134628e-17	0	0	1.335383e+01	5.486742e+02	GSK3B;CDKN1A;NOTCH1;CDKN1B;PTEN;PIK3R3;RELA;TBK1;CASP8;AKT1;EP300;HRAS;TCF7L2;CREBBP;CHUK;BAD;PTK2;CREB1;PKM;RHEB;MDM2;BAX;CTNNB1;RAF1;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	20/186	5.323415e-18	1.048713e-16	0	0	1.897735e+01	7.548130e+02	GSK3B;CREBBP;CDKN1A;CHUK;PIK3R3;HIF1A;RELA;NFKBIA;CREB1;TBK1;CASP8;UBB;BAX;AKT1;CTNNB1;EP300;RAC1;RAF1;TP53;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	15/76	7.460306e-18	1.336073e-16	0	0	3.744136e+01	1.476573e+03	CDKN1A;CDKN1B;CHUK;BAD;PIK3R3;BRAF;RELA;NFKBIA;MDM2;AKT1;BAX;RAF1;HRAS;TP53;BCL2L1
KEGG_2019_Human	Colorectal cancer	15/86	5.381463e-17	8.834569e-16	0	0	3.215168e+01	1.204434e+03	GSK3B;TCF7L2;CDKN1A;BAD;PIK3R3;BRAF;MSH2;AKT1;BAX;CTNNB1;RAC1;RAF1;HRAS;TP53;APPL1
KEGG_2019_Human	Small cell lung cancer	15/93	1.848807e-16	2.801654e-15	0	0	2.925592e+01	1.059849e+03	CDKN1A;CDKN1B;CHUK;PTEN;PIK3R3;XIAP;RELA;PTK2;NFKBIA;TRAF4;AKT1;BAX;TP53;BIRC2;BCL2L1
KEGG_2019_Human	Apoptosis	17/143	3.402603e-16	4.787949e-15	0	0	2.079570e+01	7.406766e+02	NGFR;CHUK;BAD;PIK3R3;XIAP;ACTB;RELA;NFKBIA;CASP8;TUBA1A;AKT1;BAX;RAF1;TP53;HRAS;BIRC2;BCL2L1
KEGG_2019_Human	Breast cancer	17/147	5.458755e-16	7.169164e-15	0	0	2.015174e+01	7.082157e+02	GSK3B;TCF7L2;CDKN1A;NOTCH1;PTEN;PIK3R3;BRAF;BRCA1;BRCA2;ESR1;ESR2;BAX;AKT1;CTNNB1;RAF1;TP53;HRAS
KEGG_2019_Human	FoxO signaling pathway	16/132	1.926135e-15	2.371554e-14	0	0	2.110559e+01	7.151261e+02	CREBBP;CDKN1A;CDKN1B;CHUK;PTEN;PIK3R3;BRAF;SLC2A4;FOXO3;STK4;STK11;MDM2;AKT1;EP300;RAF1;HRAS
KEGG_2019_Human	Human cytomegalovirus infection	19/225	3.483254e-15	4.036477e-14	0	0	1.438323e+01	4.788292e+02	GSK3B;CDKN1A;CHUK;PIK3R3;RELA;PTK2;NFKBIA;CREB1;TBK1;CASP8;RHEB;MDM2;BAX;AKT1;CTNNB1;RAC1;RAF1;TP53;HRAS
KEGG_2019_Human	Measles	16/138	3.946910e-15	4.319674e-14	0	0	2.006151e+01	6.653568e+02	HSPA8;GSK3B;CDKN1B;CSNK2A1;CHUK;BAD;PIK3R3;RELA;NFKBIA;TBK1;CASP8;IRAK1;AKT1;BAX;TP53;BCL2L1
KEGG_2019_Human	Pancreatic cancer	13/75	7.620006e-15	7.900744e-14	0	0	3.144049e+01	1.022068e+03	CDKN1A;CHUK;BAD;PIK3R3;BRAF;BRCA2;RELA;AKT1;BAX;RAC1;RAF1;TP53;BCL2L1
KEGG_2019_Human	Neurotrophin signaling pathway	15/119	8.354389e-15	8.229074e-14	0	0	2.191309e+01	7.103345e+02	NGFR;GSK3B;BAD;PIK3R3;BRAF;FOXO3;RELA;NFKBIA;IRAK1;AKT1;BAX;RAC1;RAF1;TP53;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	3.107036e-14	2.914695e-13	0	0	1.385874e+01	4.310417e+02	CREBBP;CDKN1A;CHUK;PTEN;PIK3R3;XIAP;RELA;NFKBIA;KAT2B;CREB1;CHEK1;BAX;AKT1;EP300;BUB3;TP53;HRAS;BCL2L1
KEGG_2019_Human	Hippo signaling pathway	16/160	4.183906e-14	3.746498e-13	0	0	1.697761e+01	5.229942e+02	YAP1;GSK3B;TCF7L2;SERPINE1;YWHAZ;ACTB;PPP1CA;SMAD7;SOX2;YWHAQ;CDH1;CTNNA1;CTNNB1;NF2;BIRC2;YWHAG
KEGG_2019_Human	Renal cell carcinoma	12/69	8.219569e-14	7.040239e-13	0	0	3.133835e+01	9.442141e+02	CDKN1A;CREBBP;BAD;AKT1;EP300;PIK3R3;BRAF;RAC1;VHL;RAF1;HRAS;HIF1A
KEGG_2019_Human	Hepatocellular carcinoma	16/168	9.035100e-14	7.416312e-13	0	0	1.607752e+01	4.828895e+02	GSK3B;NQO1;TCF7L2;CDKN1A;BAD;PTEN;PIK3R3;BRAF;ACTB;BAX;AKT1;CTNNB1;RAF1;TP53;HRAS;BCL2L1
KEGG_2019_Human	Epstein-Barr virus infection	17/201	1.046347e-13	8.245215e-13	0	0	1.419867e+01	4.243740e+02	CDKN1A;CDKN1B;CHUK;PIK3R3;RELA;NFKBIA;NCOR2;PSMC5;TBK1;CASP8;IRAK1;SIN3A;MDM2;BAX;AKT1;RAC1;TP53
KEGG_2019_Human	Melanoma	12/72	1.406313e-13	1.065553e-12	0	0	2.976692e+01	8.808815e+02	CDKN1A;CDH1;BAD;PTEN;MDM2;AKT1;PIK3R3;BAX;BRAF;RAF1;HRAS;TP53
KEGG_2019_Human	Cellular senescence	15/160	7.032490e-13	5.131113e-12	0	0	1.568435e+01	4.388962e+02	CDKN1A;MRE11;SERPINE1;PTEN;PIK3R3;FOXO3;RELA;PPP1CA;RHEB;CHEK1;MDM2;AKT1;RAF1;TP53;HRAS
KEGG_2019_Human	Proteoglycans in cancer	16/201	1.473854e-12	1.027452e-11	0	0	1.318751e+01	3.592693e+02	DDX5;CDKN1A;PIK3R3;BRAF;ESR1;HIF1A;ACTB;PTK2;PPP1CA;MDM2;AKT1;CTNNB1;RAC1;RAF1;TP53;HRAS
KEGG_2019_Human	Non-small cell lung cancer	11/66	1.512492e-12	1.027452e-11	0	0	2.955224e+01	8.043310e+02	CDKN1A;BAD;AKT1;PIK3R3;BAX;BRAF;RAF1;FOXO3;STK4;HRAS;TP53
KEGG_2019_Human	Human immunodeficiency virus 1 infection	16/212	3.339020e-12	2.192623e-11	0	0	1.244044e+01	3.287428e+02	CHUK;BAD;PIK3R3;RELA;PTK2;NFKBIA;TBK1;CASP8;IRAK1;CHEK1;BAX;AKT1;RAC1;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Gastric cancer	14/149	4.125484e-12	2.621678e-11	0	0	1.561097e+01	4.092234e+02	GSK3B;TCF7L2;CDKN1A;CDKN1B;PIK3R3;BRAF;CDH1;CTNNA1;BAX;AKT1;CTNNB1;RAF1;TP53;HRAS
KEGG_2019_Human	Cell cycle	13/124	6.107788e-12	3.760107e-11	0	0	1.751788e+01	4.523372e+02	GSK3B;CREBBP;CDKN1A;CDKN1B;PRKDC;YWHAZ;YWHAQ;CHEK1;MDM2;EP300;BUB3;TP53;YWHAG
KEGG_2019_Human	Longevity regulating pathway	12/102	1.027961e-11	6.136618e-11	0	0	1.981454e+01	5.013248e+02	HSPA8;STK11;CREB1;RHEB;AKT1;PIK3R3;BAX;FOXO3;TP53;HRAS;RELA;APPL1
