Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	4.229294e-24	7.951072e-22	0	0	1.737582e+01	9.351668e+02	CDKN1A;PIK3R1;CDC42;RASSF1;BCL2L11;CASP8;TERT;CDH1;MYC;CTNNA1;AKT1;EP300;ITGAV;APPL1;CREBBP;SMAD4;HSP90AA1;SMAD3;CHUK;EGF;FN1;AXIN1;ARNT;ESR1;TGFBR2;AR;RPS6KB1;SP1;CTNNB1;BCL2L1
KEGG_2019_Human	TGF-beta signaling pathway	16/90	4.115073e-21	3.868168e-19	0	0	5.293026e+01	2.484527e+03	SMAD1;CREBBP;SMAD4;SMAD3;SMURF2;ZFYVE9;SMURF1;SMAD9;TGFBR2;SMAD7;PPP2R1B;RPS6KB1;SP1;MYC;EP300;BMPR1B
KEGG_2019_Human	Hippo signaling pathway	16/160	5.952215e-17	3.730055e-15	0	0	2.710425e+01	1.012620e+03	SMAD1;SMAD4;SMAD3;SERPINE1;AXIN1;ACTB;SMAD7;TGFBR2;PAK1;RASSF1;PPP2R1B;CDH1;MYC;CTNNA1;CTNNB1;BMPR1B
KEGG_2019_Human	Colorectal cancer	13/86	2.324935e-16	1.092720e-14	0	0	4.204012e+01	1.513346e+03	CDKN1A;SMAD4;SMAD3;EGF;AXIN1;PIK3R1;TGFBR2;BCL2L11;RPS6KB1;MYC;AKT1;CTNNB1;APPL1
KEGG_2019_Human	Adherens junction	12/72	1.014124e-15	3.813106e-14	0	0	4.668941e+01	1.611940e+03	CDC42;CREBBP;SMAD4;SMAD3;CDH1;CTNNA1;EP300;CTNNB1;IQGAP1;BAIAP2;ACTB;TGFBR2
KEGG_2019_Human	Pancreatic cancer	12/75	1.704200e-15	5.339827e-14	0	0	4.445938e+01	1.511872e+03	CDC42;CDKN1A;SMAD4;SMAD3;CHUK;RPS6KB1;EGF;AKT1;PIK3R1;TGFBR2;ARHGEF6;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	6.331029e-15	1.700334e-13	0	0	1.422855e+01	4.651784e+02	HSP90AA1;CDKN1A;CHUK;EGF;NOS3;FN1;PIK3R1;BRCA1;BCL2L11;CREB1;ERBB3;RPS6KB1;PPP2R1B;MYC;EIF4EBP1;AKT1;ITGAV;EIF4E;BCL2L1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	8.921129e-15	2.096465e-13	0	0	1.916925e+01	6.201321e+02	NRP1;CREBBP;SMAD4;CD40;CDKN1A;SMAD3;CHUK;PIK3R1;TGFBR2;CCNB2;CREB1;TERT;MYC;AKT1;EP300;BCL2L1
KEGG_2019_Human	Gastric cancer	14/149	1.434853e-14	2.997249e-13	0	0	2.469897e+01	7.872830e+02	SMAD4;CDKN1A;SMAD3;EGF;AXIN1;PIK3R1;TGFBR2;TERT;RPS6KB1;CDH1;MYC;CTNNA1;AKT1;CTNNB1
KEGG_2019_Human	Human papillomavirus infection	18/330	2.670518e-14	5.020575e-13	0	0	1.430696e+01	4.471486e+02	CREBBP;CDKN1A;CHUK;EGF;FN1;AXIN1;PIK3R1;CDC42;CREB1;CASP8;TERT;RPS6KB1;PPP2R1B;EIF4EBP1;AKT1;CTNNB1;EP300;ITGAV
KEGG_2019_Human	Proteoglycans in cancer	15/201	4.779940e-14	8.169352e-13	0	0	1.939123e+01	5.947631e+02	CDKN1A;CAV1;FN1;PIK3R1;IQGAP1;ESR1;ACTB;CDC42;PAK1;ERBB3;RPS6KB1;MYC;AKT1;CTNNB1;ITGAV
KEGG_2019_Human	HIF-1 signaling pathway	12/100	6.210377e-14	9.729591e-13	0	0	3.178877e+01	9.666955e+02	CREBBP;CDKN1A;RPS6KB1;EGF;NOS3;SERPINE1;EIF4EBP1;AKT1;ARNT;EP300;PIK3R1;EIF4E
KEGG_2019_Human	Hepatitis B	13/163	1.112996e-12	1.609563e-11	0	0	2.038008e+01	5.609406e+02	CREBBP;SMAD4;CDKN1A;SMAD3;CHUK;PIK3R1;TGFBR2;MAVS;CREB1;CASP8;MYC;AKT1;EP300
KEGG_2019_Human	Prostate cancer	11/97	1.375723e-12	1.847399e-11	0	0	2.947363e+01	8.049851e+02	AR;CREBBP;CDKN1A;HSP90AA1;CREB1;CHUK;EGF;AKT1;EP300;CTNNB1;PIK3R1
KEGG_2019_Human	Hepatocellular carcinoma	13/168	1.640858e-12	2.056542e-11	0	0	1.971767e+01	5.350547e+02	SMAD4;CDKN1A;SMAD3;AXIN1;PIK3R1;ACTB;TGFBR2;TERT;RPS6KB1;MYC;AKT1;CTNNB1;BCL2L1
KEGG_2019_Human	FoxO signaling pathway	12/132	1.818926e-12	2.137238e-11	0	0	2.327412e+01	6.291640e+02	CCNB2;CREBBP;SMAD4;CDKN1A;BCL2L11;SMAD3;CHUK;EGF;AKT1;EP300;PIK3R1;TGFBR2
KEGG_2019_Human	Endometrial cancer	9/58	8.892702e-12	9.834282e-11	0	0	4.143924e+01	1.054454e+03	CDKN1A;CDH1;EGF;MYC;AXIN1;CTNNA1;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Hepatitis C	12/155	1.234792e-11	1.255056e-10	0	0	1.950802e+01	4.899934e+02	MAVS;CDKN1A;CASP8;CHUK;PPP2R1B;EGF;CD81;MYC;AKT1;CTNNB1;RIPK1;PIK3R1
KEGG_2019_Human	Endocytosis	14/244	1.268408e-11	1.255056e-10	0	0	1.442755e+01	3.619970e+02	SMAD3;SMURF2;ZFYVE9;SMURF1;CAV1;CLTC;NEDD4L;AP2A1;ARRB2;TGFBR2;CDC42;AP2M1;SNX6;ARF6
KEGG_2019_Human	Human cytomegalovirus infection	13/225	6.616374e-11	6.219392e-10	0	0	1.437461e+01	3.369248e+02	CDKN1A;CHUK;PIK3R1;CREB1;CASP8;RPS6KB1;SP1;MYC;EIF4EBP1;AKT1;CTNNB1;RIPK1;ITGAV
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	7.317100e-11	6.550547e-10	0	0	1.976063e+01	4.611779e+02	CDH5;HSP90AA1;CHUK;NOS3;CAV1;AKT1;CTNNB1;ITGAV;PIK3R1;BMPR1B;ACTB
KEGG_2019_Human	Bacterial invasion of epithelial cells	9/74	8.662018e-11	7.402088e-10	0	0	3.121364e+01	7.232040e+02	CDC42;CDH1;CAV1;CLTC;CTNNA1;FN1;CTNNB1;PIK3R1;ACTB
KEGG_2019_Human	Chronic myeloid leukemia	9/76	1.107716e-10	9.054377e-10	0	0	3.027883e+01	6.940984e+02	CDKN1A;SMAD4;SMAD3;CHUK;MYC;AKT1;PIK3R1;TGFBR2;BCL2L1
KEGG_2019_Human	Breast cancer	11/147	1.341989e-10	1.051224e-09	0	0	1.859071e+01	4.225985e+02	CDKN1A;RPS6KB1;EGF;SP1;MYC;AXIN1;AKT1;CTNNB1;PIK3R1;BRCA1;ESR1
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	2.392347e-10	1.799045e-09	0	0	2.146714e+01	4.755740e+02	MED12;CREBBP;MYC;AKT1;CTNNB1;EP300;ITGAV;PIK3R1;ESR1;ACTB
KEGG_2019_Human	ErbB signaling pathway	9/85	3.089005e-10	2.233588e-09	0	0	2.668107e+01	5.842621e+02	CDKN1A;PAK1;ERBB3;RPS6KB1;EGF;MYC;EIF4EBP1;AKT1;PIK3R1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	9/100	1.344657e-09	9.362800e-09	0	0	2.226623e+01	4.548352e+02	CDC42;SMAD4;SMAD3;NOS3;SERPINE1;FN1;AKT1;PIK3R1;TGFBR2
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	10/139	1.425979e-09	9.574429e-09	0	0	1.761917e+01	3.588745e+02	SMAD1;SMAD4;SMAD3;MYC;AXIN1;AKT1;SMAD9;CTNNB1;PIK3R1;BMPR1B
KEGG_2019_Human	Renal cell carcinoma	8/69	1.496198e-09	9.699492e-09	0	0	2.923853e+01	5.941369e+02	CDC42;CDKN1A;PAK1;CREBBP;AKT1;EP300;ARNT;PIK3R1
KEGG_2019_Human	Regulation of actin cytoskeleton	11/214	7.236774e-09	4.535045e-08	0	0	1.241265e+01	2.326638e+02	CDC42;PAK1;EGF;FN1;ITGAV;PIK3R1;IQGAP1;BAIAP2;ARHGEF7;ACTB;ARHGEF6
KEGG_2019_Human	Small cell lung cancer	8/93	1.657073e-08	1.004935e-07	0	0	2.095757e+01	3.754680e+02	CDKN1A;CHUK;MYC;FN1;AKT1;ITGAV;PIK3R1;BCL2L1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	10/186	2.371757e-08	1.393407e-07	0	0	1.288336e+01	2.261938e+02	CREBBP;CDKN1A;CREB1;CASP8;CHUK;MYC;AKT1;CTNNB1;EP300;PIK3R1
KEGG_2019_Human	Apoptosis	9/143	3.176192e-08	1.809467e-07	0	0	1.508828e+01	2.604991e+02	DAXX;BCL2L11;CASP8;CHUK;AKT1;RIPK1;PIK3R1;ACTB;BCL2L1
