Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cellular senescence	10/160	2.981919e-09	2.803003e-07	0	0	1.626255e+01	3.192452e+02	PPP1CB;PPP1CC;CCNB1;CCND2;SMAD3;CDK4;MYC;KRAS;CALM1;BTRC
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	4.636920e-09	2.803003e-07	0	0	1.302350e+01	2.499107e+02	CREBBP;SMAD4;CCND2;SMAD3;XPO1;CDK4;TRRAP;MYC;EP300;KRAS;MAD1L1
KEGG_2019_Human	Cell cycle	9/124	5.158901e-09	2.803003e-07	0	0	1.889141e+01	3.604961e+02	CREBBP;SMAD4;CCNB1;CCND2;SMAD3;CDK4;MYC;EP300;MAD1L1
KEGG_2019_Human	Viral carcinogenesis	10/201	2.662256e-08	1.084869e-06	0	0	1.274514e+01	2.222944e+02	CREBBP;DDX3X;CCND2;CDK4;HIST4H4;DNAJA3;EP300;KRAS;SND1;MAD1L1
KEGG_2019_Human	Adherens junction	7/72	3.699077e-08	1.205899e-06	0	0	2.544103e+01	4.353620e+02	FARP2;CREBBP;SMAD4;SMAD3;CSNK2A1;CDH1;EP300
KEGG_2019_Human	Hippo signaling pathway	9/160	4.792487e-08	1.301959e-06	0	0	1.436133e+01	2.420406e+02	PPP1CB;PPP1CC;SMAD4;CCND2;SMAD3;CDH1;MYC;BTRC;TEAD1
KEGG_2019_Human	Pathways in cancer	14/530	1.167841e-07	2.719401e-06	0	0	6.833333e+00	1.090801e+02	CEBPA;HSP90AA1;CREBBP;SMAD4;SMAD3;HSP90AB1;MAX;CCND2;CDK4;CDH1;MYC;EP300;KRAS;CALM1
KEGG_2019_Human	Long-term potentiation	6/67	5.994800e-07	1.121687e-05	0	0	2.296779e+01	3.290642e+02	PPP1CB;PPP1CC;CREBBP;EP300;KRAS;CALM1
KEGG_2019_Human	Wnt signaling pathway	8/158	6.193362e-07	1.121687e-05	0	0	1.269655e+01	1.814923e+02	CREBBP;SMAD4;CCND2;SMAD3;CSNK2A1;MYC;EP300;BTRC
KEGG_2019_Human	FoxO signaling pathway	7/132	2.373524e-06	3.868844e-05	0	0	1.318933e+01	1.708168e+02	CREBBP;SMAD4;CCNB1;CCND2;SMAD3;EP300;KRAS
