Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cellular senescence	17/160	4.244491e-18	7.979644e-16	0	0	2.795971e+01	1.118414e+03	SMAD3;HLA-C;HLA-A;PPP1CA;PPP1CB;PPP1CC;CCNB2;CDK4;CHEK2;AKT2;CHEK1;CDK1;AKT1;ATM;KRAS;CALM1;BTRC
KEGG_2019_Human	Proteoglycans in cancer	14/201	1.620207e-12	1.522995e-10	0	0	1.696281e+01	4.605144e+02	HGF;FRS2;EGFR;PPP1CA;PPP1CB;CDC42;PPP1CC;AKT2;CASP3;ERBB2;AKT1;GRB2;KRAS;CD44
KEGG_2019_Human	Pathways in cancer	19/530	1.739631e-11	1.090169e-09	0	0	8.791275e+00	2.178018e+02	HSP90AA1;SMAD3;HSP90AB1;HGF;EGFR;CDC42;CDH1;CDK4;AKT2;CASP3;ERBB2;GNA12;GNAS;ABL1;BCL2;AKT1;GRB2;KRAS;CALM1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	13/212	5.300733e-11	2.491345e-09	0	0	1.462426e+01	3.460186e+02	HLA-C;HLA-A;CCNB2;AKT2;CASP3;CHEK1;BCL2;CDK1;AKT1;ATM;KRAS;CALM1;BTRC
KEGG_2019_Human	p53 signaling pathway	9/72	9.713764e-11	3.489081e-09	0	0	3.080124e+01	7.101193e+02	CCNB2;CDK4;CHEK2;CASP3;CHEK1;BCL2;CDK1;ATM;MDM4
KEGG_2019_Human	Human cytomegalovirus infection	13/225	1.113537e-10	3.489081e-09	0	0	1.371843e+01	3.144032e+02	HLA-C;HLA-A;EGFR;CDK4;AKT2;CASP3;CCL5;GNA12;GNAS;AKT1;GRB2;KRAS;CALM1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	12/219	1.112537e-09	2.987956e-08	0	0	1.282658e+01	2.644407e+02	CCNB2;SMAD3;CDK4;CHEK2;AKT2;CHEK1;CDC27;AKT1;HLA-C;ATM;KRAS;HLA-A
KEGG_2019_Human	Prostate cancer	9/97	1.470352e-09	3.455327e-08	0	0	2.202310e+01	4.479006e+02	HSP90AA1;HSP90AB1;AKT2;ERBB2;BCL2;AKT1;GRB2;KRAS;EGFR
KEGG_2019_Human	Estrogen signaling pathway	10/137	1.846874e-09	3.857915e-08	0	0	1.710825e+01	3.440429e+02	HSP90AA1;HSP90AB1;AKT2;GNAS;BCL2;AKT1;GRB2;KRAS;CALM1;EGFR
KEGG_2019_Human	Ras signaling pathway	12/232	2.143316e-09	4.029435e-08	0	0	1.206067e+01	2.407420e+02	CDC42;AKT2;HGF;ABL1;AKT1;ABL2;GRB2;KRAS;CALM1;EGFR;EPHA2;ARF6
