Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	mTOR signaling pathway	22/152	3.596329e-24	6.904952e-22	0	0	3.276109e+01	1.768513e+03	PRR5;PRKAA1;CHUK;IRS1;MTOR;TTI1;IKBKB;CLIP1;RRAGC;RPS6KB1;RHEB;AKT2;RRAGD;AKT1S1;EIF4EBP1;ULK1;LAMTOR2;KRAS;RICTOR;LAMTOR1;TELO2;LAMTOR5
KEGG_2019_Human	Autophagy	18/128	1.098337e-19	1.054403e-17	0	0	3.051355e+01	1.332079e+03	PRKAA1;IRS1;PRKCD;IRS2;HIF1A;MTOR;MAPK8;RRAGC;LAMP1;RPS6KB1;RHEB;AKT2;RRAGD;AKT1S1;BCL2;ULK1;KRAS;BCL2L1
KEGG_2019_Human	Pancreatic cancer	15/75	5.358643e-19	3.429532e-17	0	0	4.544954e+01	1.912081e+03	SMAD4;CHUK;STAT1;GADD45A;EGFR;MTOR;IKBKB;CDC42;MAPK8;RPS6KB1;CDK4;AKT2;KRAS;RAC1;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	6.728878e-13	3.229861e-11	0	0	1.055520e+01	2.958326e+02	PRKAA1;CHUK;IRS1;BRCA1;YWHAZ;EGFR;MTOR;IKBKB;YWHAQ;RPS6KB1;RHEB;CDK4;AKT2;CDC37;EIF4EBP1;BCL2;KRAS;RAC1;BCL2L1
KEGG_2019_Human	Pathways in cancer	22/530	1.506423e-12	5.784665e-11	0	0	8.223252e+00	2.238475e+02	SMAD4;CHUK;GADD45A;STAT1;CXCR4;TRAF2;HIF1A;PML;EGFR;MTOR;CDC42;IKBKB;MAPK8;RPS6KB1;CDH1;CDK4;AKT2;BCL2;KRAS;RAC1;CALM1;BCL2L1
KEGG_2019_Human	Insulin signaling pathway	13/137	2.944147e-12	9.421269e-11	0	0	1.865562e+01	4.953292e+02	PRKAA1;IRS1;IRS2;MTOR;IKBKB;MAPK8;RPS6KB1;RHEB;PRKAR1A;AKT2;EIF4EBP1;KRAS;CALM1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	15/212	4.204106e-12	1.153126e-10	0	0	1.374680e+01	3.600968e+02	CHUK;CXCR4;TRAF2;MTOR;IKBKB;MAPK8;RPS6KB1;AKT2;CDK1;BCL2;KRAS;RAC1;CALM1;BTRC;BCL2L1
KEGG_2019_Human	Human cytomegalovirus infection	15/225	9.892279e-12	2.374147e-10	0	0	1.288729e+01	3.265544e+02	CHUK;CXCR4;TRAF2;EGFR;MTOR;IKBKB;RPS6KB1;RHEB;CDK4;AKT2;EIF4EBP1;KRAS;RAC1;CALM1;BCAR1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	11/100	2.946651e-11	6.286189e-10	0	0	2.164234e+01	5.247784e+02	CDC42;DIAPH1;SMAD4;MAPK8;CDK4;STAT1;AKT2;PRKCD;BCL2;KRAS;RAC1
KEGG_2019_Human	Longevity regulating pathway	11/102	3.668195e-11	7.042934e-10	0	0	2.116454e+01	5.085572e+02	PRKAA1;RPS6KB1;IRS1;RHEB;AKT2;AKT1S1;EIF4EBP1;IRS2;ULK1;KRAS;MTOR
KEGG_2019_Human	Colorectal cancer	10/86	1.382079e-10	2.412355e-09	0	0	2.285319e+01	5.188190e+02	MAPK8;SMAD4;RPS6KB1;GADD45A;AKT2;BCL2;KRAS;RAC1;EGFR;MTOR
KEGG_2019_Human	AMPK signaling pathway	11/120	2.176418e-10	3.482268e-09	0	0	1.765341e+01	3.927560e+02	PRKAA1;RPS6KB1;IRS1;RHEB;AKT2;AKT1S1;EIF4EBP1;IRS2;ULK1;CFTR;MTOR
KEGG_2019_Human	Adipocytokine signaling pathway	9/69	4.181015e-10	6.175038e-09	0	0	2.584696e+01	5.581727e+02	IKBKB;PRKAA1;MAPK8;CHUK;IRS1;AKT2;IRS2;TRAF2;MTOR
KEGG_2019_Human	Choline metabolism in cancer	10/99	5.683704e-10	7.794795e-09	0	0	1.950227e+01	4.151691e+02	MAPK8;RPS6KB1;RHEB;AKT2;EIF4EBP1;KRAS;RAC1;HIF1A;EGFR;MTOR
KEGG_2019_Human	FoxO signaling pathway	11/132	6.097341e-10	7.804597e-09	0	0	1.589300e+01	3.372177e+02	IKBKB;PRKAA1;SMAD4;MAPK8;CHUK;GADD45A;IRS1;AKT2;IRS2;KRAS;EGFR
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	1.885727e-09	2.262872e-08	0	0	1.213177e+01	2.437146e+02	IKBKB;MAPK8;CHUK;CDK4;STAT1;AKT2;TRAF2;KRAS;RAC1;CALM1;HIF1A;MTOR
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	3.498433e-09	3.951171e-08	0	0	1.590777e+01	3.097395e+02	IKBKB;CDC42;MAPK8;IRS1;AKT2;PRKCD;BCL2;KRAS;RAC1;CALM1
KEGG_2019_Human	Cellular senescence	11/160	4.722902e-09	5.037762e-08	0	0	1.288810e+01	2.470758e+02	GADD45A;RHEB;CDK4;AKT2;EIF4EBP1;CDK1;KRAS;CALM1;BTRC;SQSTM1;MTOR
KEGG_2019_Human	Hepatitis B	11/163	5.741832e-09	5.802273e-08	0	0	1.263181e+01	2.396948e+02	IKBKB;SMAD4;MAPK8;PCNA;YWHAQ;CHUK;STAT1;AKT2;BCL2;KRAS;YWHAZ
KEGG_2019_Human	Shigellosis	8/65	6.526748e-09	6.265678e-08	0	0	2.397943e+01	4.519489e+02	IKBKB;CDC42;DIAPH1;MAPK8;CHUK;RAC1;BTRC;ACTG1
KEGG_2019_Human	Acute myeloid leukemia	8/66	7.388747e-09	6.755426e-08	0	0	2.356480e+01	4.412111e+02	IKBKB;CHUK;RPS6KB1;AKT2;EIF4EBP1;KRAS;PML;MTOR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	1.578632e-08	1.377715e-07	0	0	1.342785e+01	2.412196e+02	IKBKB;PRKAA1;MAPK8;CHUK;AKT2;BCL2;RAC1;CALM1;SQSTM1;ACTG1
KEGG_2019_Human	Human papillomavirus infection	14/330	1.788664e-08	1.493145e-07	0	0	7.878021e+00	1.405377e+02	BCAP31;CHUK;STAT1;EGFR;MTOR;CDC42;IKBKB;RPS6KB1;RHEB;CDK4;AKT2;EIF4EBP1;KRAS;LLGL2
KEGG_2019_Human	Apoptosis	10/143	2.072931e-08	1.658345e-07	0	0	1.302137e+01	2.303704e+02	IKBKB;MAPK8;CHUK;GADD45A;AKT2;BCL2;TRAF2;KRAS;BCL2L1;ACTG1
KEGG_2019_Human	Chronic myeloid leukemia	8/76	2.303656e-08	1.740803e-07	0	0	2.008925e+01	3.532932e+02	IKBKB;SMAD4;CHUK;GADD45A;CDK4;AKT2;KRAS;BCL2L1
