Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	1.568943e-19	3.122197e-17	0	0	1.106571e+01	4.791312e+02	RB1;NOTCH1;HSP90AB1;HDAC1;EGFR;IGF1R;CDC42;RXRA;GNG5;HEY1;CDH1;AKT2;ERBB2;EP300;NTRK1;CREBBP;MAP2K1;JUN;HSP90AA1;SMAD3;PRKCA;ESR1;MTOR;SP1;GNB2;CDK2;BCL2;GRB2;KRAS;CALM1
KEGG_2019_Human	Prostate cancer	15/97	1.200511e-16	1.194508e-14	0	0	3.015701e+01	1.105514e+03	RB1;MAP2K1;CREBBP;HSP90AA1;HSP90AB1;EGFR;MTOR;IGF1R;AKT2;CDK2;ERBB2;BCL2;EP300;GRB2;KRAS
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	4.623655e-14	3.067025e-12	0	0	2.241792e+01	6.883424e+02	MAP2K1;CREBBP;NOTCH1;HDAC1;PRKCA;ATP1A1;MED4;ESR1;MTOR;KAT2B;RXRA;AKT2;EP300;KRAS
KEGG_2019_Human	HIF-1 signaling pathway	13/100	1.446745e-13	7.197559e-12	0	0	2.422404e+01	7.161666e+02	MAP2K1;CREBBP;INSR;PRKCA;ENO1;EGFR;MTOR;IGF1R;AKT2;ERBB2;BCL2;EP300;GAPDH
KEGG_2019_Human	Breast cancer	14/147	1.275978e-12	5.078392e-11	0	0	1.716572e+01	4.701230e+02	RB1;MAP2K1;JUN;NOTCH1;ESR1;EGFR;MTOR;IGF1R;HEY1;SP1;AKT2;ERBB2;GRB2;KRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	3.210549e-12	1.064832e-10	0	0	9.548893e+00	2.527074e+02	NTRK1;MAP2K1;HSP90AA1;HSP90AB1;INSR;PRKCA;EGFR;MTOR;IGF1R;RXRA;GNG5;AKT2;GNB2;CDK2;ERBB2;BCL2;GRB2;KRAS;MCL1
KEGG_2019_Human	Estrogen signaling pathway	13/137	8.810180e-12	2.504608e-10	0	0	1.696411e+01	4.318232e+02	HSPA8;MAP2K1;JUN;HSP90AA1;HSP90AB1;ESR1;EGFR;SP1;AKT2;BCL2;GRB2;KRAS;CALM1
KEGG_2019_Human	MicroRNAs in cancer	17/299	1.953481e-11	4.859283e-10	0	0	1.000454e+01	2.467001e+02	CREBBP;MAP2K1;NOTCH1;BMPR2;HDAC1;PRKCA;EGFR;MTOR;HNRNPK;ERBB2;BCL2;EP300;GRB2;KRAS;CD44;EZH2;MCL1
KEGG_2019_Human	Gastric cancer	13/149	2.573500e-11	5.690294e-10	0	0	1.545787e+01	3.769119e+02	RB1;MAP2K1;SMAD3;EGFR;MTOR;RXRA;CDH1;AKT2;CDK2;ERBB2;BCL2;GRB2;KRAS
KEGG_2019_Human	Adherens junction	10/72	5.265728e-11	9.555790e-10	0	0	2.555226e+01	6.047508e+02	CDC42;CREBBP;SMAD3;CDH1;INSR;ERBB2;EP300;EGFR;NECTIN2;IGF1R
KEGG_2019_Human	Ras signaling pathway	15/232	5.282095e-11	9.555790e-10	0	0	1.131797e+01	2.678298e+02	NTRK1;MAP2K1;INSR;PRKCA;EGFR;IGF1R;CDC42;GNG5;AKT2;GNB2;GRB2;KRAS;CALM1;PAK2;ARF6
KEGG_2019_Human	Glioma	10/75	8.002365e-11	1.327059e-09	0	0	2.436923e+01	5.665529e+02	RB1;MAP2K1;AKT2;PRKCA;KRAS;GRB2;CALM1;EGFR;MTOR;IGF1R
KEGG_2019_Human	Viral carcinogenesis	14/201	8.936613e-11	1.357694e-09	0	0	1.217537e+01	2.817170e+02	RB1;LYN;CREBBP;JUN;HDAC1;CDC42;KAT2B;HNRNPK;DNAJA3;CDK2;CDK1;EP300;GRB2;KRAS
KEGG_2019_Human	FoxO signaling pathway	12/132	9.551614e-11	1.357694e-09	0	0	1.605285e+01	3.703669e+02	CCNB2;MAP2K1;CREBBP;SMAD3;AKT2;INSR;CDK2;EP300;GRB2;KRAS;EGFR;IGF1R
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	1.813984e-10	2.406552e-09	0	0	1.149253e+01	2.577812e+02	MAP2K1;JUN;PRKCA;MTOR;CCNB2;GNG5;AKT2;GNB2;CDK1;BCL2;KRAS;CALM1;BTRC;PAK2
KEGG_2019_Human	ErbB signaling pathway	10/85	2.853561e-10	3.549117e-09	0	0	2.110933e+01	4.639258e+02	MAP2K1;JUN;AKT2;ERBB2;PRKCA;KRAS;GRB2;PAK2;EGFR;MTOR
KEGG_2019_Human	Non-small cell lung cancer	9/66	5.938771e-10	6.951855e-09	0	0	2.482206e+01	5.273284e+02	RB1;MAP2K1;RXRA;AKT2;ERBB2;PRKCA;KRAS;GRB2;EGFR
KEGG_2019_Human	Human papillomavirus infection	16/330	8.226246e-10	9.094572e-09	0	0	8.371675e+00	1.751231e+02	RB1;BCAP31;CREBBP;MAP2K1;NOTCH1;HDAC1;EGFR;MTOR;CDC42;HEY1;AKT2;CDK2;EP300;GRB2;KRAS;LLGL2
KEGG_2019_Human	Renal cell carcinoma	9/69	8.939143e-10	9.362576e-09	0	0	2.357738e+01	4.912444e+02	CDC42;MAP2K1;JUN;CREBBP;AKT2;EP300;KRAS;GRB2;PAK2
KEGG_2019_Human	Proteoglycans in cancer	13/201	1.081052e-09	1.054147e-08	0	0	1.115282e+01	2.302536e+02	MAP2K1;CAV1;PRKCA;ESR1;EGFR;MTOR;IGF1R;CDC42;AKT2;ERBB2;GRB2;KRAS;CD44
KEGG_2019_Human	Hepatitis B	12/163	1.112416e-09	1.054147e-08	0	0	1.273720e+01	2.625994e+02	RB1;CREBBP;MAP2K1;JUN;SMAD3;AKT2;CDK2;BCL2;EP300;PRKCA;GRB2;KRAS
KEGG_2019_Human	Progesterone-mediated oocyte maturation	10/99	1.311802e-09	1.186584e-08	0	0	1.777618e+01	3.635560e+02	MOS;CCNB2;MAP2K1;HSP90AA1;HSP90AB1;AKT2;CDK2;CDK1;KRAS;IGF1R
KEGG_2019_Human	MAPK signaling pathway	15/295	1.500105e-09	1.297917e-08	0	0	8.743304e+00	1.776441e+02	NTRK1;HSPA8;MAP2K1;JUN;INSR;HSPB1;PRKCA;EGFR;IGF1R;CDC42;AKT2;ERBB2;GRB2;KRAS;PAK2
KEGG_2019_Human	Pancreatic cancer	9/75	1.914685e-09	1.587593e-08	0	0	2.142749e+01	4.301293e+02	RB1;CDC42;MAP2K1;SMAD3;AKT2;ERBB2;KRAS;EGFR;MTOR
KEGG_2019_Human	Apelin signaling pathway	11/137	2.256217e-09	1.795949e-08	0	0	1.389715e+01	2.766863e+02	MEF2A;MAP2K1;SMAD3;GNG5;CDH1;AKT2;GNB2;KRAS;CALM1;PPARGC1A;MTOR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	3.075688e-09	2.354084e-08	0	0	1.016899e+01	1.993095e+02	RB1;CREBBP;MAP2K1;JUN;SMAD3;CCNB2;KAT2B;KAT5;AKT2;CDK2;CANX;EP300;KRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	5.011233e-09	3.693465e-08	0	0	1.104065e+01	2.110043e+02	RB1;LYN;CREBBP;MAP2K1;JUN;GNG5;AKT2;GNB2;EP300;KRAS;CALM1;MTOR
KEGG_2019_Human	Colorectal cancer	9/86	6.585766e-09	4.680598e-08	0	0	1.835622e+01	3.458009e+02	MAP2K1;JUN;SMAD3;AKT2;BCL2;KRAS;GRB2;EGFR;MTOR
KEGG_2019_Human	Focal adhesion	12/199	1.072263e-08	7.357946e-08	0	0	1.026634e+01	1.883966e+02	CDC42;MAP2K1;JUN;AKT2;CAV1;ERBB2;BCL2;PRKCA;GRB2;PAK2;EGFR;IGF1R
KEGG_2019_Human	Cellular senescence	11/160	1.159085e-08	7.688594e-08	0	0	1.173826e+01	2.144937e+02	RB1;CCNB2;MAP2K1;SMAD3;AKT2;CDK2;CDK1;KRAS;CALM1;BTRC;MTOR
KEGG_2019_Human	Relaxin signaling pathway	10/130	1.880012e-08	1.198144e-07	0	0	1.316333e+01	2.341678e+02	MAP2K1;JUN;SMAD3;GNG5;AKT2;GNB2;PRKCA;GRB2;KRAS;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	11/168	1.926664e-08	1.198144e-07	0	0	1.113561e+01	1.978228e+02	RB1;MAP2K1;SMAD3;SMARCD3;AKT2;PRKCA;GRB2;KRAS;EGFR;MTOR;IGF1R
KEGG_2019_Human	Choline metabolism in cancer	9/99	2.302608e-08	1.388542e-07	0	0	1.569444e+01	2.760125e+02	MAP2K1;JUN;SP1;AKT2;PRKCA;GRB2;KRAS;EGFR;MTOR
KEGG_2019_Human	Human cytomegalovirus infection	12/225	4.198508e-08	2.457362e-07	0	0	9.001260e+00	1.528950e+02	RB1;MAP2K1;GNG5;SP1;AKT2;GNB2;PRKCA;GRB2;KRAS;CALM1;EGFR;MTOR
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	1.148475e-07	6.529903e-07	0	0	1.282792e+01	2.049858e+02	CDC42;NTRK1;MAP2K1;JUN;AKT2;BCL2;GRB2;KRAS;CALM1
KEGG_2019_Human	Endometrial cancer	7/58	1.232185e-07	6.811244e-07	0	0	2.124663e+01	3.380192e+02	MAP2K1;CDH1;AKT2;ERBB2;KRAS;GRB2;EGFR
KEGG_2019_Human	Cell cycle	9/124	1.637661e-07	8.807959e-07	0	0	1.226708e+01	1.916710e+02	RB1;CDKN1C;CCNB2;CREBBP;SMAD3;HDAC1;CDK2;CDK1;EP300
KEGG_2019_Human	GnRH signaling pathway	8/93	2.199531e-07	1.151860e-06	0	0	1.465864e+01	2.247147e+02	CDC42;MAP2K1;JUN;PRKCA;KRAS;GRB2;CALM1;EGFR
KEGG_2019_Human	Central carbon metabolism in cancer	7/65	2.743337e-07	1.399805e-06	0	0	1.867578e+01	2.821709e+02	NTRK1;MAP2K1;AKT2;ERBB2;KRAS;EGFR;MTOR
KEGG_2019_Human	Bladder cancer	6/41	3.132220e-07	1.558280e-06	0	0	2.635216e+01	3.946593e+02	RB1;MAP2K1;CDH1;ERBB2;KRAS;EGFR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	4.343165e-07	2.108024e-06	0	0	1.084341e+01	1.588504e+02	MEF2A;JUN;HSP90AA1;BMPR2;HSP90AB1;AKT2;CAV1;BCL2;CALM1
KEGG_2019_Human	Longevity regulating pathway	8/102	4.501566e-07	2.132885e-06	0	0	1.324912e+01	1.936183e+02	HSPA8;HDAC1;AKT2;INSR;KRAS;PPARGC1A;MTOR;IGF1R
KEGG_2019_Human	Melanoma	7/72	5.581649e-07	2.583135e-06	0	0	1.665865e+01	2.398615e+02	RB1;MAP2K1;CDH1;AKT2;KRAS;EGFR;IGF1R
KEGG_2019_Human	Phospholipase D signaling pathway	9/148	7.378503e-07	3.337096e-06	0	0	1.013669e+01	1.431253e+02	MAP2K1;AKT2;INSR;PRKCA;GRB2;KRAS;EGFR;MTOR;ARF6
KEGG_2019_Human	Chronic myeloid leukemia	7/76	8.100092e-07	3.557761e-06	0	0	1.568976e+01	2.200681e+02	RB1;MAP2K1;SMAD3;HDAC1;AKT2;KRAS;GRB2
KEGG_2019_Human	Notch signaling pathway	6/48	8.223969e-07	3.557761e-06	0	0	2.195238e+01	3.075757e+02	NCOR2;KAT2B;CREBBP;NOTCH1;HDAC1;EP300
KEGG_2019_Human	Hepatitis C	9/155	1.087187e-06	4.603197e-06	0	0	9.647260e+00	1.324754e+02	RB1;MAP2K1;RXRA;AKT2;CDK2;GRB2;KRAS;EIF3E;EGFR
KEGG_2019_Human	Epstein-Barr virus infection	10/201	1.112799e-06	4.613480e-06	0	0	8.240419e+00	1.129649e+02	RB1;LYN;NCOR2;JUN;PSMD4;HDAC1;AKT2;CDK2;BCL2;CD44
KEGG_2019_Human	Rap1 signaling pathway	10/206	1.390600e-06	5.647537e-06	0	0	8.028163e+00	1.082660e+02	CDC42;MAP2K1;CDH1;AKT2;INSR;PRKCA;KRAS;CALM1;EGFR;IGF1R
KEGG_2019_Human	Oocyte meiosis	8/125	2.120468e-06	8.439463e-06	0	0	1.063221e+01	1.388978e+02	MOS;CCNB2;MAP2K1;CDK2;CDK1;BTRC;CALM1;IGF1R
KEGG_2019_Human	TGF-beta signaling pathway	7/90	2.559643e-06	9.987626e-06	0	0	1.303407e+01	1.678221e+02	CREBBP;BMPR2;SMAD3;SP1;EP300;ID3;SMAD7
KEGG_2019_Human	VEGF signaling pathway	6/59	2.841572e-06	1.087448e-05	0	0	1.738657e+01	2.220466e+02	CDC42;MAP2K1;AKT2;HSPB1;PRKCA;KRAS
KEGG_2019_Human	Insulin signaling pathway	8/137	4.210970e-06	1.581100e-05	0	0	9.637307e+00	1.192888e+02	MAP2K1;AKT2;INSR;GRB2;KRAS;CALM1;PPARGC1A;MTOR
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	8/139	4.689898e-06	1.724560e-05	0	0	9.489211e+00	1.164336e+02	MAP2K1;SMAD3;BMPR2;AKT2;ID3;GRB2;KRAS;IGF1R
