Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ras signaling pathway	14/232	8.561807e-12	1.358434e-09	0	0	1.487113e+01	3.789715e+02	GAB2;EGFR;RHOA;CDC42;TIAM1;KIT;NF1;ABL2;KRAS;RAC1;RAF1;CALM1;HRAS;ARF6
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	1.677079e-11	1.358434e-09	0	0	2.290856e+01	5.683932e+02	CDC42;RPS6KA6;TRAF6;ARHGDIA;RPS6KA1;KRAS;RAC1;RAF1;CALM1;HRAS;RHOA
KEGG_2019_Human	Proteoglycans in cancer	12/201	3.285831e-10	1.412755e-08	0	0	1.438570e+01	3.141294e+02	SMAD2;CDC42;TIAM1;MYC;CAV1;KRAS;RAC1;RAF1;HRAS;EGFR;RHOA;CD44
KEGG_2019_Human	Colorectal cancer	9/86	4.133466e-10	1.412755e-08	0	0	2.574545e+01	5.562752e+02	SMAD2;SMAD3;MYC;KRAS;RAC1;RAF1;HRAS;RHOA;EGFR
KEGG_2019_Human	Rap1 signaling pathway	12/206	4.360355e-10	1.412755e-08	0	0	1.401138e+01	3.019914e+02	CDC42;TIAM1;CDH1;KIT;KRAS;RAC1;PFN1;RAF1;CALM1;HRAS;EGFR;RHOA
KEGG_2019_Human	Axon guidance	11/181	1.553165e-09	4.193546e-08	0	0	1.450809e+01	2.942671e+02	EFNB2;CDC42;EFNB1;BMPR2;SEMA4C;KRAS;RAC1;EPHA1;RAF1;HRAS;RHOA
KEGG_2019_Human	MAPK signaling pathway	13/295	2.392234e-09	5.048139e-08	0	0	1.051653e+01	2.087641e+02	EGFR;CDC25B;CDC42;RPS6KA6;MYC;TRAF6;KIT;RPS6KA1;NF1;KRAS;RAC1;RAF1;HRAS
KEGG_2019_Human	Adherens junction	8/72	2.492908e-09	5.048139e-08	0	0	2.724863e+01	5.397903e+02	CDC42;SMAD2;SMAD3;CDH1;RAC1;BAIAP2;RHOA;EGFR
KEGG_2019_Human	Pathways in cancer	16/530	7.027135e-09	1.264884e-07	0	0	7.270920e+00	1.365005e+02	SMAD2;SMAD3;PML;EGFR;ESR2;RHOA;CDC42;CDH1;MYC;TRAF6;KIT;KRAS;RAC1;RAF1;CALM1;HRAS
KEGG_2019_Human	Endocytosis	11/244	3.486099e-08	5.647481e-07	0	0	1.055150e+01	1.811893e+02	SMAD2;CDC42;SMAD3;TRAF6;CAV1;AGAP1;HRAS;PML;EGFR;RHOA;ARF6
KEGG_2019_Human	Bladder cancer	6/41	4.932014e-08	7.263511e-07	0	0	3.661935e+01	6.161182e+02	CDH1;MYC;KRAS;RAF1;HRAS;EGFR
KEGG_2019_Human	Gastric cancer	9/149	5.426791e-08	7.326167e-07	0	0	1.411500e+01	2.361345e+02	SMAD2;SMAD3;ABCB1;CDH1;MYC;KRAS;RAF1;HRAS;EGFR
KEGG_2019_Human	Pancreatic cancer	7/75	8.852950e-08	1.103214e-06	0	0	2.219166e+01	3.603909e+02	CDC42;SMAD2;SMAD3;KRAS;RAC1;RAF1;EGFR
KEGG_2019_Human	Cellular senescence	9/160	1.002396e-07	1.159915e-06	0	0	1.307947e+01	2.107849e+02	SMAD2;CCNB2;SMAD3;MYC;KRAS;RAF1;CALM1;BTRC;HRAS
KEGG_2019_Human	Regulation of actin cytoskeleton	10/214	1.083692e-07	1.170388e-06	0	0	1.084876e+01	1.739893e+02	CDC42;TIAM1;KRAS;RAC1;PFN1;RAF1;BAIAP2;HRAS;EGFR;RHOA
KEGG_2019_Human	Hepatitis B	9/163	1.175498e-07	1.190192e-06	0	0	1.282273e+01	2.046046e+02	SMAD2;SMAD3;YWHAB;MYC;TRAF6;KRAS;RAF1;HRAS;TIRAP
KEGG_2019_Human	Cell cycle	8/124	1.857510e-07	1.770098e-06	0	0	1.499432e+01	2.323948e+02	SMAD2;CCNB2;SMAD3;YWHAB;MYC;CDC25C;CDC25B;YWHAH
KEGG_2019_Human	Oocyte meiosis	8/125	1.976499e-07	1.778849e-06	0	0	1.486541e+01	2.294739e+02	CCNB2;RPS6KA6;YWHAB;RPS6KA1;CDC25C;CALM1;BTRC;YWHAH
KEGG_2019_Human	MicroRNAs in cancer	11/299	2.722484e-07	2.321276e-06	0	0	8.512587e+00	1.286810e+02	ABCB1;BMPR2;MYC;KRAS;CDC25C;RAF1;HRAS;EGFR;RHOA;CD44;CDC25B
KEGG_2019_Human	Endometrial cancer	6/58	4.148807e-07	3.360534e-06	0	0	2.462655e+01	3.618939e+02	CDH1;MYC;KRAS;RAF1;HRAS;EGFR
