Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Fluid shear stress and atherosclerosis	16/139	7.602799e-16	1.459737e-13	0	0	2.253259e+01	7.844236e+02	NQO1;JUN;NCF1;CAV1;KEAP1;RELA;ACTG1;SUMO1;AKT2;SUMO3;SUMO2;BCL2;CALM1;SQSTM1;MAP2K6;NFE2L2
KEGG_2019_Human	Hepatitis B	15/163	1.822820e-13	1.367328e-11	0	0	1.738132e+01	5.098500e+02	PRKCG;JUN;CDKN1A;DDX3X;STAT3;PRKCA;RELA;CREB3;MYC;AKT2;CASP3;BCL2;GRB2;KRAS;MAP2K6
KEGG_2019_Human	Viral carcinogenesis	16/201	2.641570e-13	1.367328e-11	0	0	1.493409e+01	4.325246e+02	JUN;CDKN1A;DDX3X;TBP;STAT3;RELA;CDC42;CREB3;DLG1;CDK4;HIST4H4;CASP3;CDK1;REL;GRB2;KRAS
KEGG_2019_Human	Hepatocellular carcinoma	15/168	2.848600e-13	1.367328e-11	0	0	1.680904e+01	4.855589e+02	PRKCG;NQO1;CDKN1A;CSNK1A1;KEAP1;PRKCA;EGFR;SMARCA4;ACTG1;CDK4;MYC;AKT2;GRB2;KRAS;NFE2L2
KEGG_2019_Human	Pathways in cancer	23/530	4.953570e-13	1.902171e-11	0	0	8.209349e+00	2.325996e+02	PRKCG;NQO1;JUN;CDKN1A;STAT3;KEAP1;PRKCA;RELA;EGFR;CDC42;CASP7;CDH1;CDK4;MYC;AKT2;CASP3;ERBB2;BCL2;GRB2;PPARG;KRAS;CALM1;NFE2L2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	16/212	6.031473e-13	1.930071e-11	0	0	1.408808e+01	3.963908e+02	PRKCG;JUN;FBXW11;PRKCA;RELA;DCAF1;CCNB2;AKT2;CASP3;CDK1;BCL2;ATM;KRAS;CALM1;BTRC;MAP2K6
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	12/100	2.194619e-12	5.831248e-11	0	0	2.286055e+01	6.136919e+02	CDC42;JUN;CDK4;AKT2;CASP3;PRKCD;STAT3;BCL2;PRKCA;KRAS;AGER;RELA
KEGG_2019_Human	Cellular senescence	14/160	2.429687e-12	5.831248e-11	0	0	1.630468e+01	4.360402e+02	CDKN1A;FBXW11;RELA;CCNB2;CDK4;MYC;AKT2;CDK1;ATM;KRAS;CALM1;BTRC;SQSTM1;MAP2K6
KEGG_2019_Human	Non-small cell lung cancer	10/66	1.468940e-11	3.133739e-10	0	0	2.948512e+01	7.354737e+02	PRKCG;CDKN1A;CDK4;AKT2;ERBB2;STAT3;PRKCA;KRAS;GRB2;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	15/225	1.975620e-11	3.793191e-10	0	0	1.221118e+01	3.009757e+02	PRKCG;CDKN1A;STAT3;PRKCA;RELA;EGFR;CREB3;CDK4;MYC;AKT2;CASP3;GRB2;KRAS;CALM1;MAP2K6
KEGG_2019_Human	Proteoglycans in cancer	14/201	5.353911e-11	9.345009e-10	0	0	1.270339e+01	3.004430e+02	PRKCG;CDKN1A;CAV1;STAT3;PRKCA;EGFR;ACTG1;CDC42;MYC;AKT2;CASP3;ERBB2;GRB2;KRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.676520e-10	2.682432e-09	0	0	1.157738e+01	2.605967e+02	JUN;CDKN1A;TBP;RELA;CREB3;CCNB2;DLG1;CDK4;MYC;AKT2;CDC27;CANX;ATM;KRAS
KEGG_2019_Human	ErbB signaling pathway	10/85	1.963651e-10	2.900161e-09	0	0	2.199444e+01	4.915988e+02	PRKCG;CDKN1A;JUN;MYC;AKT2;ERBB2;PRKCA;KRAS;GRB2;EGFR
KEGG_2019_Human	Hepatitis C	12/155	4.011518e-10	5.501510e-09	0	0	1.402892e+01	3.035393e+02	CDKN1A;CDK4;MYC;AKT2;CASP3;STAT3;EIF2AK3;GRB2;KRAS;EIF3E;RELA;EGFR
KEGG_2019_Human	HIF-1 signaling pathway	10/100	1.000718e-09	1.280920e-08	0	0	1.831481e+01	3.795296e+02	PRKCG;CDKN1A;AKT2;ERBB2;STAT3;BCL2;PRKCA;ENO1;RELA;EGFR
KEGG_2019_Human	Glioma	9/75	1.368987e-09	1.546150e-08	0	0	2.231856e+01	4.555038e+02	PRKCG;CDKN1A;CDK4;AKT2;PRKCA;KRAS;GRB2;CALM1;EGFR
KEGG_2019_Human	Pancreatic cancer	9/75	1.368987e-09	1.546150e-08	0	0	2.231856e+01	4.555038e+02	CDC42;CDKN1A;CDK4;AKT2;ERBB2;STAT3;KRAS;RELA;EGFR
KEGG_2019_Human	Breast cancer	11/147	3.189720e-09	3.402368e-08	0	0	1.341288e+01	2.624006e+02	JUN;CDKN1A;CSNK1A1;CDK4;MYC;AKT2;ERBB2;GRB2;KRAS;BRCA1;EGFR
