Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis B	21/163	8.343394e-24	1.585245e-21	0	0	3.562822e+01	1.893304e+03	JUN;MAP3K1;STAT1;SRC;PRKCA;PIK3R1;RELA;NFKB1;NFKBIA;IKBKB;TBK1;IRAK1;AKT2;AKT1;EP300;KRAS;JAK2;TP53;MAP3K7;MYD88;MAPK3
KEGG_2019_Human	Epstein-Barr virus infection	22/201	2.587015e-23	2.457664e-21	0	0	2.991903e+01	1.556057e+03	JUN;HDAC2;STAT1;HDAC1;EIF2AK2;PIK3R1;RELA;NFKB1;NFKBIA;IKBKB;TBK1;CCND1;IRAK1;CDK4;AKT2;BTK;AKT1;VIM;TP53;MAP3K7;MYD88;CD44
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	21/186	1.448604e-22	9.174495e-21	0	0	3.062616e+01	1.540076e+03	JUN;STAT1;SRC;EIF2AK2;PIK3R1;RELA;NFKB1;MTOR;NFKBIA;IKBKB;TBK1;CCND1;CDK4;AKT2;AKT1;EP300;KRAS;CALM1;JAK2;TP53;MAPK3
KEGG_2019_Human	Measles	19/138	3.634126e-22	1.726210e-20	0	0	3.759324e+01	1.855847e+03	JUN;CSNK2A1;STAT1;EIF2AK2;PIK3R1;RELA;NFKB1;NFKBIA;IKBKB;TBK1;CCND1;IRAK1;CDK4;AKT2;CSNK2B;AKT1;TP53;MAP3K7;MYD88
KEGG_2019_Human	Neurotrophin signaling pathway	18/119	8.286143e-22	3.148734e-20	0	0	4.150588e+01	2.014790e+03	JUN;MAP3K1;PIK3R1;RELA;NFKB1;NFKBIA;CDC42;IKBKB;RPS6KA3;IRAK1;AKT2;RPS6KA1;ABL1;AKT1;KRAS;CALM1;TP53;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	15/76	3.610816e-20	1.143425e-18	0	0	5.542846e+01	2.481409e+03	HDAC2;HDAC1;PIK3R1;RELA;NFKB1;IKBKB;NFKBIA;CCND1;CDK4;AKT2;ABL1;AKT1;KRAS;TP53;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	20/212	6.163870e-20	1.673050e-18	0	0	2.473017e+01	1.093890e+03	JUN;PRKCA;PIK3R1;RELA;NFKB1;MTOR;RBX1;NFKBIA;IKBKB;TBK1;IRAK1;AKT2;CDK1;AKT1;KRAS;CALM1;BTRC;MAP3K7;MYD88;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	20/219	1.183408e-19	2.810595e-18	0	0	2.385179e+01	1.039478e+03	JUN;MAP3K1;PIK3R1;RELA;NFKB1;NFKBIA;IKBKB;XPO1;CCND1;CDK4;LCK;AKT2;CDC27;AKT1;EP300;KRAS;SLC25A5;TP53;RAN;MAPK3
KEGG_2019_Human	Influenza A	18/171	7.020247e-19	1.482052e-17	0	0	2.732734e+01	1.142291e+03	JUN;STAT1;EIF2AK2;PRKCA;PIK3R1;RELA;NFKB1;NFKBIA;IKBKB;SOCS3;TBK1;XPO1;AKT2;AKT1;EP300;JAK2;MYD88;MAPK3
KEGG_2019_Human	Pathways in cancer	26/530	1.398487e-18	2.657126e-17	0	0	1.299263e+01	5.341419e+02	HDAC2;HDAC1;PIK3R1;RELA;CDC42;IKBKB;CCND1;CDH1;AKT2;ABL1;AKT1;EP300;JAK2;MAPK3;JUN;EGLN3;STAT1;PRKCA;NFKB1;MTOR;RBX1;NFKBIA;CDK4;KRAS;CALM1;TP53
