Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	25/530	1.428993e-13	2.757956e-11	0	0	7.786766e+00	2.303064e+02	NOTCH1;CTBP1;HDAC1;CRKL;CDH1;ABL1;AKT1;EP300;IKBKG;PDGFRB;NCOA1;NTRK1;CREBBP;EGLN3;JUP;PML;MTOR;MSH2;GNAQ;RARA;KRAS;SOS1;TP53;SOS2;CRK
KEGG_2019_Human	Chronic myeloid leukemia	12/76	3.545317e-13	3.421231e-11	0	0	2.728125e+01	7.820983e+02	SHC1;HDAC1;CTBP1;ABL1;AKT1;KRAS;IKBKG;SOS1;SOS2;TP53;CRK;CRKL
KEGG_2019_Human	ErbB signaling pathway	12/85	1.420717e-12	9.139946e-11	0	0	2.390693e+01	6.521777e+02	SHC1;SRC;ABL1;AKT1;KRAS;SOS1;SOS2;CRK;PAK2;MTOR;CRKL;NCK1
KEGG_2019_Human	Estrogen signaling pathway	13/137	2.849778e-11	1.100014e-09	0	0	1.532043e+01	3.719984e+02	NCOA1;HSPA8;NCOA2;SHC1;SRC;KRT34;KRT31;GNAQ;RARA;AKT1;KRAS;SOS1;SOS2
KEGG_2019_Human	Insulin signaling pathway	13/137	2.849778e-11	1.100014e-09	0	0	1.532043e+01	3.719984e+02	PTPN1;SHC1;INPPL1;SORBS1;MTOR;CRKL;SOCS3;AKT1;FLOT2;KRAS;SOS1;SOS2;CRK
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	6.109225e-11	1.818736e-09	0	0	1.675452e+01	3.940436e+02	NCOA1;NCOA2;CREBBP;KAT2A;NOTCH1;SRC;HDAC1;AKT1;EP300;KRAS;TP53;MTOR
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	11/91	7.135018e-11	1.818736e-09	0	0	1.984416e+01	4.636275e+02	LYN;HCK;INPPL1;AKT1;ASAP1;WASF1;CRK;WASF2;VAV1;CRKL;ARF6
KEGG_2019_Human	Neurotrophin signaling pathway	12/119	8.270087e-11	1.818736e-09	0	0	1.628230e+01	3.780064e+02	NTRK1;MAP3K3;SHC1;RPS6KA1;ABL1;AKT1;KRAS;SOS1;TP53;SOS2;CRK;CRKL
KEGG_2019_Human	Renal cell carcinoma	10/69	8.481150e-11	1.818736e-09	0	0	2.430975e+01	5.637575e+02	CREBBP;EGLN3;AKT1;EP300;KRAS;SOS1;SOS2;CRK;PAK2;CRKL
KEGG_2019_Human	Adherens junction	10/72	1.312432e-10	2.532993e-09	0	0	2.312997e+01	5.262986e+02	PTPN1;CREBBP;CDH1;SRC;EP300;FYN;SORBS1;WASF1;MAP3K7;WASF2
KEGG_2019_Human	Viral carcinogenesis	14/201	3.076853e-10	5.398478e-09	0	0	1.098691e+01	2.406347e+02	LYN;USP7;CREBBP;YWHAB;SRC;HDAC1;PXN;KAT2A;CDK1;EP300;KRAS;IKBKG;TP53;YWHAG
KEGG_2019_Human	MAPK signaling pathway	16/295	6.362772e-10	1.023346e-08	0	0	8.503530e+00	1.800655e+02	PDGFRB;NTRK1;MAP3K3;HSPA8;HSPB1;CRKL;RPS6KA1;AKT1;KRAS;IKBKG;SOS1;TP53;PAK2;MAP3K7;SOS2;CRK
KEGG_2019_Human	Regulation of actin cytoskeleton	14/214	7.016132e-10	1.041626e-08	0	0	1.026597e+01	2.163824e+02	PDGFRB;SRC;PXN;VAV1;CRKL;ENAH;ABI2;KRAS;SOS1;WASF1;PAK2;SOS2;WASF2;CRK
KEGG_2019_Human	Acute myeloid leukemia	9/66	1.346210e-09	1.855847e-08	0	0	2.248580e+01	4.592943e+02	JUP;RARA;AKT1;KRAS;IKBKG;SOS1;SOS2;PML;MTOR
