Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Neurotrophin signaling pathway	18/119	4.099103e-21	7.378385e-19	0	0	3.751485e+01	1.761079e+03	SHC4;NTRK2;SHC2;SHC3;KIDINS220;GAB1;FRS2;PTPN11;CDC42;AKT2;ARHGDIA;ABL1;BCL2;GRB2;KRAS;PLCG1;CALM1;SH2B1
KEGG_2019_Human	ErbB signaling pathway	15/85	8.220499e-19	7.398449e-17	0	0	4.378056e+01	1.823131e+03	SHC4;SHC2;SHC3;EGF;GAB1;EGFR;AKT2;ERBB2;NCK2;ABL1;ABL2;KRAS;GRB2;PLCG1;NCK1
KEGG_2019_Human	Ras signaling pathway	20/232	2.163589e-18	1.298153e-16	0	0	2.017637e+01	8.206692e+02	SHC4;NTRK2;SHC2;SHC3;EGF;GAB1;PTPN11;GAB2;EGFR;IGF1R;CDC42;AFDN;AKT2;ABL1;ABL2;GRB2;KRAS;PLCG1;CALM1;ARF6
KEGG_2019_Human	Phospholipase D signaling pathway	16/148	1.832689e-16	8.247099e-15	0	0	2.494444e+01	9.038763e+02	SHC4;SHC2;ARF1;SHC3;EGF;GAB1;PTPN11;GAB2;EGFR;AKT2;GNA12;GNAS;GRB2;KRAS;PLCG1;ARF6
KEGG_2019_Human	Glioma	12/75	1.010716e-14	3.638577e-13	0	0	3.776190e+01	1.216897e+03	SHC4;SHC2;SHC3;EGF;CDK4;AKT2;KRAS;GRB2;PLCG1;CALM1;EGFR;IGF1R
KEGG_2019_Human	Estrogen signaling pathway	14/137	3.453515e-14	1.036055e-12	0	0	2.295587e+01	7.115583e+02	SHC4;HSPA8;HSP90AA1;SHC2;SHC3;HSP90AB1;EGFR;CREB1;AKT2;GNAS;BCL2;GRB2;KRAS;CALM1
KEGG_2019_Human	Gastric cancer	13/149	2.312408e-12	5.946192e-11	0	0	1.907130e+01	5.109723e+02	SHC4;SHC2;SHC3;EGF;CSNK1A1;GAB1;EGFR;CDH1;AKT2;ERBB2;BCL2;GRB2;KRAS
KEGG_2019_Human	Prostate cancer	11/97	6.839998e-12	1.378095e-10	0	0	2.507737e+01	6.446948e+02	HSP90AA1;HSP90AB1;CREB1;EGF;AKT2;ERBB2;BCL2;GRB2;KRAS;EGFR;IGF1R
KEGG_2019_Human	Proteoglycans in cancer	14/201	6.890475e-12	1.378095e-10	0	0	1.505042e+01	3.868091e+02	CAV1;GAB1;FRS2;PTPN11;IQGAP1;EGFR;IGF1R;CDC42;AKT2;ERBB2;GRB2;KRAS;PLCG1;CD44
KEGG_2019_Human	Chronic myeloid leukemia	10/76	1.411142e-11	2.540055e-10	0	0	2.944444e+01	7.356411e+02	SHC4;SHC2;SHC3;CDK4;AKT2;ABL1;PTPN11;KRAS;GRB2;GAB2
KEGG_2019_Human	Breast cancer	12/147	3.714320e-11	6.077979e-10	0	0	1.755822e+01	4.216825e+02	SHC4;SHC2;SHC3;EGF;CSNK1A1;CDK4;AKT2;ERBB2;GRB2;KRAS;EGFR;IGF1R
KEGG_2019_Human	Pathways in cancer	19/530	1.143177e-10	1.714766e-09	0	0	7.747049e+00	1.773457e+02	HSP90AA1;HSP90AB1;EGF;EGFR;IGF1R;CDC42;CDH1;CDK4;AKT2;ERBB2;GNA12;GNAS;ABL1;BCL2;GRB2;KRAS;PLCG1;IL6ST;CALM1
KEGG_2019_Human	Hepatocellular carcinoma	12/168	1.774638e-10	2.457192e-09	0	0	1.517846e+01	3.407907e+02	SHC4;SHC2;SHC3;CSNK1A1;CDK4;AKT2;GAB1;GRB2;KRAS;PLCG1;EGFR;IGF1R
KEGG_2019_Human	Focal adhesion	12/199	1.249980e-09	1.607118e-08	0	0	1.264235e+01	2.591700e+02	SHC4;CDC42;SHC2;SHC3;EGF;AKT2;CAV1;ERBB2;BCL2;GRB2;EGFR;IGF1R
KEGG_2019_Human	Non-small cell lung cancer	8/66	3.291800e-09	3.950160e-08	0	0	2.629973e+01	5.136820e+02	EGF;CDK4;AKT2;ERBB2;KRAS;GRB2;PLCG1;EGFR
KEGG_2019_Human	Adherens junction	8/72	6.671892e-09	7.505878e-08	0	0	2.382692e+01	4.485505e+02	CDC42;AFDN;CDH1;ERBB2;IQGAP1;BAIAP2;EGFR;IGF1R
KEGG_2019_Human	Endocytosis	12/244	1.247711e-08	1.321106e-07	0	0	1.016690e+01	1.850311e+02	CDC42;USP8;HSPA8;ARF1;CAV1;GRK6;AGAP1;VPS35;HLA-A;EGFR;IGF1R;ARF6
KEGG_2019_Human	Rap1 signaling pathway	11/206	2.242450e-08	2.242450e-07	0	0	1.099888e+01	1.937246e+02	CDC42;AFDN;EGF;CDH1;AKT2;GNAS;KRAS;PLCG1;CALM1;EGFR;IGF1R
