Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ras signaling pathway	20/232	3.392878e-20	5.022367e-18	0	0	2.580713e+01	1.156934e+03	NTRK1;PDGFRA;HGF;GAB1;PTPN11;GAB2;IGF1;PIK3R1;FGF2;EGFR;VEGFA;CDC42;AFDN;PDGFC;ABL2;KRAS;RAF1;CALM1;EPHA2;ARF6
KEGG_2019_Human	Proteoglycans in cancer	19/201	5.580408e-20	5.022367e-18	0	0	2.820969e+01	1.250605e+03	CAV1;HGF;STAT3;GAB1;PTPN11;FRS2;IGF1;PIK3R1;CBL;FGF2;EGFR;VEGFA;CDC42;ERBB2;KRAS;ITGAV;RAF1;TP53;CD44
KEGG_2019_Human	Endocytosis	19/244	2.238579e-18	1.343148e-16	0	0	2.276877e+01	9.253384e+02	PDGFRA;SMURF1;CAV1;NEDD4L;CBL;EPN1;EGFR;EPN2;DNM2;TGFBR2;CDC42;EHD1;SNX4;ITCH;SNX2;NEDD4;AP2M1;SNX6;ARF6
KEGG_2019_Human	Rap1 signaling pathway	17/206	6.064844e-17	2.729180e-15	0	0	2.364889e+01	8.830835e+02	PDGFRA;HGF;IGF1;PIK3R1;FGF2;EGFR;GNAI1;VEGFA;CRKL;CDC42;AFDN;CDH1;PDGFC;KRAS;RAF1;CALM1;EPHA2
KEGG_2019_Human	Pathways in cancer	22/530	2.194658e-15	7.900767e-14	0	0	1.200225e+01	4.051089e+02	NTRK1;PDGFRA;HGF;STAT3;IGF1;PIK3R1;CBL;FGF2;EGFR;GNAI1;TGFBR2;VEGFA;CRKL;CDC42;CDH1;ERBB2;KRAS;ITGAV;RAF1;CALM1;TP53;JAK1
KEGG_2019_Human	Melanoma	11/72	2.528719e-14	7.586156e-13	0	0	4.418478e+01	1.383358e+03	PDGFRA;CDH1;HGF;PDGFC;KRAS;PIK3R1;IGF1;RAF1;FGF2;TP53;EGFR
KEGG_2019_Human	Pancreatic cancer	11/75	4.052804e-14	1.042150e-12	0	0	4.210725e+01	1.298452e+03	CDC42;ERBB2;STAT3;KRAS;PIK3R1;RAF1;TP53;EGFR;JAK1;TGFBR2;VEGFA
KEGG_2019_Human	MAPK signaling pathway	16/295	3.849667e-13	8.661752e-12	0	0	1.481154e+01	4.233972e+02	NTRK1;PDGFRA;HGF;IGF1;FGF2;EGFR;TGFBR2;VEGFA;CRKL;CDC42;ERBB2;PDGFC;KRAS;RAF1;TP53;EPHA2
KEGG_2019_Human	Gastric cancer	12/149	4.062193e-12	8.124385e-11	0	0	2.164708e+01	5.677877e+02	ABCB1;CDH1;HGF;ERBB2;GAB1;KRAS;PIK3R1;RAF1;TP53;FGF2;EGFR;TGFBR2
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	6.164962e-12	1.109693e-10	0	0	1.218935e+01	3.146332e+02	NTRK1;PDGFRA;HGF;IGF1;PIK3R1;FGF2;EGFR;VEGFA;ERBB2;PDGFC;KRAS;ITGAV;RAF1;TP53;EPHA2;JAK1
KEGG_2019_Human	Focal adhesion	13/199	7.086356e-12	1.110696e-10	0	0	1.744835e+01	4.479488e+02	PDGFRA;CAV1;HGF;IGF1;PIK3R1;EGFR;VEGFA;CRKL;CDC42;ERBB2;PDGFC;ITGAV;RAF1
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	7.404640e-12	1.110696e-10	0	0	2.489712e+01	6.380861e+02	NTRK1;CDC42;GAB1;PTPN11;FRS2;KRAS;PIK3R1;RAF1;CALM1;TP53;CRKL
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	1.598363e-11	2.213119e-10	0	0	3.843976e+01	9.555915e+02	NTRK1;PDGFRA;PKM;ERBB2;KRAS;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Renal cell carcinoma	9/69	2.791553e-11	3.589139e-10	0	0	3.586988e+01	8.717040e+02	CDC42;HGF;GAB1;PTPN11;KRAS;PIK3R1;RAF1;CRKL;VEGFA
KEGG_2019_Human	Human cytomegalovirus infection	13/225	3.330144e-11	3.996173e-10	0	0	1.528827e+01	3.688360e+02	PDGFRA;STAT3;PIK3R1;EGFR;GNAI1;VEGFA;CRKL;KRAS;ITGAV;RAF1;CALM1;TP53;JAK1
KEGG_2019_Human	Chronic myeloid leukemia	9/76	6.836171e-11	7.690692e-10	0	0	3.211095e+01	7.515956e+02	PTPN11;KRAS;GAB2;PIK3R1;RAF1;CBL;TP53;CRKL;TGFBR2
KEGG_2019_Human	Phospholipase D signaling pathway	11/148	8.053077e-11	8.526788e-10	0	0	1.959818e+01	4.555084e+02	PDGFRA;PDGFC;GAB1;PTPN11;KRAS;GAB2;PIK3R1;RAF1;EGFR;DNM2;ARF6
KEGG_2019_Human	ErbB signaling pathway	9/85	1.910224e-10	1.910224e-09	0	0	2.829550e+01	6.332145e+02	ERBB2;GAB1;ABL2;KRAS;PIK3R1;RAF1;CBL;EGFR;CRKL
KEGG_2019_Human	Prostate cancer	9/97	6.339220e-10	6.005577e-09	0	0	2.442223e+01	5.172408e+02	PDGFRA;ERBB2;PDGFC;KRAS;IGF1;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Bladder cancer	7/41	6.838016e-10	6.154214e-09	0	0	4.813772e+01	1.015867e+03	CDH1;ERBB2;KRAS;RAF1;TP53;EGFR;VEGFA
KEGG_2019_Human	Bacterial invasion of epithelial cells	8/74	1.728125e-09	1.481250e-08	0	0	2.863203e+01	5.776865e+02	CDC42;CDH1;CAV1;GAB1;PIK3R1;CBL;CRKL;DNM2
KEGG_2019_Human	Glioma	8/75	1.927249e-09	1.576840e-08	0	0	2.820327e+01	5.659599e+02	PDGFRA;KRAS;PIK3R1;IGF1;RAF1;CALM1;TP53;EGFR
KEGG_2019_Human	Endometrial cancer	7/58	8.584497e-09	6.718302e-08	0	0	3.206436e+01	5.955412e+02	CDH1;ERBB2;KRAS;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Axon guidance	10/181	1.090623e-08	8.179674e-08	0	0	1.407574e+01	2.580636e+02	CDC42;EPHA4;EFNB1;BMPR2;PTPN11;KRAS;PIK3R1;RAF1;GNAI1;EPHA2
KEGG_2019_Human	MicroRNAs in cancer	12/299	1.249563e-08	8.996851e-08	0	0	1.025488e+01	1.866171e+02	PDGFRA;BMPR2;ABCB1;ERBB2;STAT3;KRAS;RAF1;TP53;EGFR;CD44;VEGFA;CRKL
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	10/186	1.415456e-08	9.799308e-08	0	0	1.367239e+01	2.471043e+02	BECN1;STAT3;KRAS;PIK3R1;RAF1;CALM1;TP53;FGF2;VEGFA;JAK1
KEGG_2019_Human	Non-small cell lung cancer	7/66	2.158283e-08	1.438855e-07	0	0	2.770548e+01	4.890397e+02	ERBB2;STAT3;KRAS;PIK3R1;RAF1;TP53;EGFR
KEGG_2019_Human	Human papillomavirus infection	12/330	3.714839e-08	2.388111e-07	0	0	9.240566e+00	1.580908e+02	BCAP31;CDC42;SLC9A3R1;PKM;KRAS;ITGAV;PIK3R1;RAF1;TP53;EGFR;VEGFA;JAK1
KEGG_2019_Human	Regulation of actin cytoskeleton	10/214	5.352717e-08	3.322376e-07	0	0	1.177905e+01	1.972176e+02	CDC42;PDGFRA;PDGFC;KRAS;ITGAV;PIK3R1;RAF1;FGF2;EGFR;CRKL
KEGG_2019_Human	Gap junction	7/88	1.621039e-07	9.726235e-07	0	0	2.015817e+01	3.151736e+02	PDGFRA;PDGFC;CDK1;KRAS;RAF1;EGFR;GNAI1
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	7/91	2.043848e-07	1.186750e-06	0	0	1.943529e+01	2.993669e+02	CDC42;GAB2;PIK3R1;RAF1;CRKL;DNM2;ARF6
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	8/139	2.531410e-07	1.423918e-06	0	0	1.437804e+01	2.183927e+02	BMPR2;STAT3;KRAS;IGF1;PIK3R1;RAF1;FGF2;JAK1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	7/99	3.648950e-07	1.990337e-06	0	0	1.773811e+01	2.629436e+02	FZR1;CDK1;KRAS;IGF1;PIK3R1;RAF1;GNAI1
KEGG_2019_Human	Breast cancer	8/147	3.888007e-07	2.058357e-06	0	0	1.354505e+01	1.999276e+02	ERBB2;KRAS;IGF1;PIK3R1;RAF1;TP53;FGF2;EGFR
KEGG_2019_Human	Cellular senescence	8/160	7.412917e-07	3.812357e-06	0	0	1.237845e+01	1.747202e+02	CDK1;KRAS;PIK3R1;RAF1;CALM1;BTRC;TP53;TGFBR2
KEGG_2019_Human	Adherens junction	6/72	9.831180e-07	4.915590e-06	0	0	2.097463e+01	2.901323e+02	CDC42;AFDN;CDH1;ERBB2;EGFR;TGFBR2
KEGG_2019_Human	Hepatocellular carcinoma	8/168	1.072132e-06	5.215777e-06	0	0	1.175476e+01	1.615793e+02	HGF;GAB1;KRAS;PIK3R1;RAF1;TP53;EGFR;TGFBR2
KEGG_2019_Human	Relaxin signaling pathway	7/130	2.307310e-06	1.092936e-05	0	0	1.324677e+01	1.719355e+02	KRAS;PIK3R1;RAF1;EGFR;GNAI1;TGFBR2;VEGFA
