Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	2.071277e-09	2.671076e-07	0	0	6.692995e+00	1.338271e+02	YWHAE;MAGI1;NTRK1;HSP90AA1;HSP90AB1;ITGA4;YWHAB;TSC1;YWHAZ;EGFR;CDK4;ERBB4;GRB2;KRAS;RAC1;MET;YWHAG;MCL1
KEGG_2019_Human	Ubiquitin mediated proteolysis	12/137	2.782371e-09	2.671076e-07	0	0	1.167467e+01	2.299905e+02	UBE2B;UBE2C;UBE2D2;CUL3;NEDD4;KEAP1;UBE2D1;CBLB;BTRC;PML;UBE2L3;SKP1
KEGG_2019_Human	Pathogenic Escherichia coli infection	8/55	2.400149e-08	1.536095e-06	0	0	2.028095e+01	3.558324e+02	CDC42;OCLN;TUBB;ABL1;FYN;TUBB4B;YWHAZ;NCK1
KEGG_2019_Human	Cell cycle	10/124	1.330863e-07	5.707596e-06	0	0	1.054343e+01	1.669264e+02	YWHAE;CDK4;YWHAB;PLK1;ABL1;CDK1;SFN;YWHAZ;YWHAG;SKP1
KEGG_2019_Human	Renal cell carcinoma	8/69	1.486353e-07	5.707596e-06	0	0	1.561525e+01	2.454993e+02	CDC42;EGLN3;SLC2A1;KRAS;GRB2;RAC1;MET;PAK2
KEGG_2019_Human	Viral carcinogenesis	12/201	2.011132e-07	6.435624e-06	0	0	7.696257e+00	1.186716e+02	LYN;YWHAE;CDC42;DDX3X;CDK4;YWHAB;CDK1;GRB2;KRAS;RAC1;YWHAZ;YWHAG
KEGG_2019_Human	T cell receptor signaling pathway	9/101	2.440013e-07	6.692608e-06	0	0	1.170000e+01	1.781453e+02	CDC42;CDK4;CBLB;GRB2;FYN;KRAS;PAK2;VAV1;NCK1
KEGG_2019_Human	ErbB signaling pathway	8/85	7.601958e-07	1.733455e-05	0	0	1.236051e+01	1.741557e+02	ERBB4;ABL1;CBLB;KRAS;GRB2;PAK2;EGFR;NCK1
KEGG_2019_Human	Pathways in cancer	18/530	9.169375e-07	1.733455e-05	0	0	4.352614e+00	6.051103e+01	NTRK1;HSP90AA1;EGLN3;HSP90AB1;SLC2A1;GNAI3;KEAP1;PML;EGFR;CDC42;CDK4;ABL1;GRB2;KRAS;RAC1;CALM1;MET;SKP1
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	9.886825e-07	1.733455e-05	0	0	9.776529e+00	1.351790e+02	YWHAE;CDC42;NTRK1;ABL1;GRB2;KRAS;PSEN1;RAC1;CALM1
