Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	16/201	2.028515e-12	4.138170e-10	0	0	1.288583e+01	3.469345e+02	HDAC5;YWHAB;HLA-B;YWHAZ;RELA;NFKB1;RHOA;CDC42;YWHAQ;HIST4H4;MDM2;EP300;GRB2;KRAS;PRKACB;YWHAG
KEGG_2019_Human	Colorectal cancer	11/86	3.806405e-11	3.882533e-09	0	0	2.117246e+01	5.079643e+02	MSH6;TGFB1;MYC;AKT2;AKT1;BIRC5;CTNNB1;KRAS;GRB2;RHOA;EGFR
KEGG_2019_Human	Pathways in cancer	22/530	5.741543e-11	3.904249e-09	0	0	6.648669e+00	1.567803e+02	NTRK1;TGFB1;NOTCH1;HSP90AB1;CUL1;ESR1;RELA;EGFR;NFKB1;RHOA;MSH6;CDC42;MYC;AKT2;MDM2;AKT1;BIRC5;CTNNB1;EP300;GRB2;KRAS;PRKACB
KEGG_2019_Human	Hepatitis C	13/155	1.358249e-10	5.891564e-09	0	0	1.336620e+01	3.036754e+02	YWHAB;YWHAZ;RELA;EGFR;NFKB1;YWHAQ;MYC;AKT2;AKT1;CTNNB1;GRB2;KRAS;YWHAG
KEGG_2019_Human	Prostate cancer	11/97	1.444011e-10	5.891564e-09	0	0	1.845408e+01	4.181405e+02	HSP90AB1;AKT2;MDM2;AKT1;EP300;CTNNB1;GRB2;KRAS;NFKB1;RELA;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	10/76	2.278257e-10	7.431386e-09	0	0	2.172376e+01	4.823205e+02	TGFB1;SHC1;MYC;AKT2;MDM2;AKT1;KRAS;GRB2;RELA;NFKB1
KEGG_2019_Human	Hepatitis B	13/163	2.549985e-10	7.431386e-09	0	0	1.264820e+01	2.793957e+02	TGFB1;YWHAB;YWHAZ;RELA;NFKB1;YWHAQ;MYC;AKT2;AKT1;BIRC5;EP300;GRB2;KRAS
KEGG_2019_Human	Proteoglycans in cancer	14/201	3.076853e-10	7.845975e-09	0	0	1.098691e+01	2.406347e+02	DDX5;TGFB1;ESR1;EGFR;RHOA;CDC42;MYC;AKT2;MDM2;AKT1;CTNNB1;GRB2;KRAS;PRKACB
KEGG_2019_Human	Endocytosis	15/244	3.996379e-10	9.058459e-09	0	0	9.664281e+00	2.091395e+02	HSPA8;ARF1;HLA-B;AGAP1;EGFR;ARFGAP1;RHOA;EHD1;CDC42;GRK6;MDM2;CHMP4B;RAB5A;AP2M1;ARF6
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	1.332441e-09	2.718180e-08	0	0	1.467856e+01	2.999748e+02	CDC42;NTRK1;MAP3K3;SHC1;AKT2;AKT1;GRB2;KRAS;NFKB1;RHOA;RELA
KEGG_2019_Human	Ras signaling pathway	14/232	2.008362e-09	3.520712e-08	0	0	9.409695e+00	1.884380e+02	NTRK1;SHC1;RELA;EGFR;NFKB1;RHOA;CDC42;AKT2;AKT1;GRB2;KRAS;RAB5A;PRKACB;ARF6
