Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	18/85	1.496716e-24	1.854946e-22	0	0	6.194412e+01	3.398178e+03	MAP2K1;PRKCB;SHC1;SRC;CBLB;PRKCA;PIK3R2;PIK3CB;PTK2;CRKL;PIK3CA;ERBB3;ERBB4;ERBB2;PLCG2;ABL2;KRAS;CRK
KEGG_2019_Human	Rap1 signaling pathway	23/206	1.873683e-24	1.854946e-22	0	0	3.058753e+01	1.671123e+03	MAP2K1;PRKCB;SRC;ITGB3;PRKCA;PIK3R2;PIK3CB;GRIN2B;RHOA;CRKL;GNAO1;CDC42;PIK3CA;CDH1;KDR;KRAS;CALM1;FGFR4;CRK;FGFR2;BCAR1;EPHA2;FGFR1
KEGG_2019_Human	Ras signaling pathway	23/232	3.019590e-23	1.610204e-21	0	0	2.674706e+01	1.386951e+03	MAP2K1;PRKCB;SHC1;FLT3;PRKCA;PTPN11;PIK3R2;PIK3CB;GRIN2B;RHOA;CDC42;PIK3CA;KDR;PLCG2;NF1;ABL2;KRAS;CALM1;FGFR4;FGFR2;EPHA2;FGFR1;ARF6
KEGG_2019_Human	Proteoglycans in cancer	22/201	3.252938e-23	1.610204e-21	0	0	2.955266e+01	1.530234e+03	MAP2K1;PRKCB;SRC;CAV1;ITGB3;PXN;PRKCA;PTPN11;PIK3R2;PIK3CB;PTK2;RHOA;CDC42;PIK3CA;ERBB3;ERBB4;ERBB2;KDR;PLCG2;KRAS;CD44;FGFR1
KEGG_2019_Human	Focal adhesion	20/199	2.111458e-20	8.361372e-19	0	0	2.622639e+01	1.188169e+03	MAP2K1;PRKCB;SHC1;SRC;CAV1;ITGB3;PXN;PRKCA;PIK3R2;ACTN4;PIK3CB;PTK2;RHOA;CRKL;CDC42;PIK3CA;ERBB2;KDR;CRK;BCAR1
KEGG_2019_Human	Bacterial invasion of epithelial cells	15/74	2.724217e-20	8.989917e-19	0	0	5.666635e+01	2.552792e+03	SHC1;SRC;CAV1;PXN;PIK3R2;PIK3CB;RHOA;PTK2;CRKL;DNM2;CDC42;PIK3CA;CDH1;CRK;BCAR1
KEGG_2019_Human	Regulation of actin cytoskeleton	19/214	2.177127e-18	6.158161e-17	0	0	2.258335e+01	9.184315e+02	MAP2K1;SRC;ITGB3;PXN;CXCR4;PIK3R2;ACTN4;PIK3CB;PTK2;RHOA;CRKL;CDC42;PIK3CA;KRAS;FGFR4;CRK;FGFR2;BCAR1;FGFR1
KEGG_2019_Human	VEGF signaling pathway	13/59	3.106506e-18	7.688601e-17	0	0	6.164596e+01	2.485136e+03	MAP2K1;PRKCB;SRC;PXN;PRKCA;PIK3R2;PIK3CB;PTK2;CDC42;PIK3CA;KDR;PLCG2;KRAS
KEGG_2019_Human	Human cytomegalovirus infection	19/225	5.623414e-18	1.237151e-16	0	0	2.136551e+01	8.486292e+02	MAP2K1;PRKCB;SRC;ITGB3;PXN;CXCR4;PRKCA;PIK3R2;PIK3CB;PTK2;RHOA;CRKL;GNAO1;PIK3CA;E2F1;KRAS;CALM1;CRK;BCAR1
KEGG_2019_Human	Leukocyte transendothelial migration	15/112	1.999571e-17	3.959151e-16	0	0	3.440114e+01	1.322759e+03	PRKCB;PXN;CXCR4;PRKCA;PTPN11;PIK3R2;ACTN4;PIK3CB;CLDN1;PTK2;RHOA;CDC42;PIK3CA;PLCG2;BCAR1
