Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	22/354	4.023878e-16	8.651339e-14	0	0	1.269691e+01	4.500941e+02	PDGFRA;HSP90AA1;HSP90AB1;INSR;TSC1;EGFR;IGF1R;GNG2;RPS6KB1;RHEB;CDK4;AKT2;ERBB2;BCL2;AKT1;ITGB8;GRB2;KRAS;RAC1;FGFR3;EIF4E;EPHA2
KEGG_2019_Human	Human cytomegalovirus infection	18/225	3.008142e-15	3.233752e-13	0	0	1.613536e+01	5.395253e+02	PDGFRA;ADCY3;TSC1;TNF;EGFR;ADCY9;GNG2;RPS6KB1;RHEB;CDK4;AKT2;GNA12;GNAS;AKT1;GRB2;KRAS;RAC1;CALM1
KEGG_2019_Human	Pathways in cancer	24/530	1.904741e-14	1.365064e-12	0	0	9.187352e+00	2.902454e+02	PDGFRA;HSP90AA1;HSP90AB1;ADCY3;EGFR;IGF1R;CDC42;ADCY9;GNG2;MECOM;RPS6KB1;CDH1;CDK4;AKT2;ERBB2;GNA12;GNAS;BCL2;AKT1;GRB2;KRAS;RAC1;CALM1;FGFR3
KEGG_2019_Human	Rap1 signaling pathway	16/206	1.825800e-13	9.813674e-12	0	0	1.534971e+01	4.502313e+02	PDGFRA;INSR;ADCY3;EGFR;IGF1R;CDC42;ADCY9;CDH1;AKT2;GNAS;AKT1;KRAS;RAC1;CALM1;FGFR3;EPHA2
KEGG_2019_Human	Phospholipase D signaling pathway	14/148	4.284178e-13	1.842197e-11	0	0	1.875088e+01	5.340003e+02	PDGFRA;INSR;ADCY3;TSC1;EGFR;ADCY9;RHEB;AKT2;GNA12;GNAS;AKT1;GRB2;KRAS;ARF6
KEGG_2019_Human	Human papillomavirus infection	18/330	2.182356e-12	7.820111e-11	0	0	1.064804e+01	2.859064e+02	BCAP31;TSC1;PSEN1;TNF;EGFR;CDC42;DLG3;RPS6KB1;RHEB;CDK4;AKT2;GNAS;AKT1;ITGB8;GRB2;ATM;KRAS;ATR
KEGG_2019_Human	MAPK signaling pathway	17/295	3.904797e-12	1.199330e-10	0	0	1.120036e+01	2.942203e+02	PDGFRA;INSR;HSPB1;TNF;EGFR;IGF1R;CDC42;MECOM;AKT2;ERBB2;GNA12;AKT1;GRB2;KRAS;RAC1;FGFR3;EPHA2
KEGG_2019_Human	Ras signaling pathway	15/232	1.533205e-11	4.120488e-10	0	0	1.246713e+01	3.104449e+02	PDGFRA;INSR;EGFR;IGF1R;CDC42;GNG2;AKT2;AKT1;GRB2;KRAS;RAC1;CALM1;FGFR3;EPHA2;ARF6
KEGG_2019_Human	Prostate cancer	11/97	2.101987e-11	5.021414e-10	0	0	2.240070e+01	5.507336e+02	PDGFRA;HSP90AA1;HSP90AB1;AKT2;ERBB2;BCL2;AKT1;GRB2;KRAS;EGFR;IGF1R
KEGG_2019_Human	Proteoglycans in cancer	14/201	2.807928e-11	6.037045e-10	0	0	1.340039e+01	3.255757e+02	CAV1;IQGAP1;TNF;EGFR;IGF1R;CDC42;RPS6KB1;AKT2;ERBB2;AKT1;GRB2;KRAS;RAC1;CD44
KEGG_2019_Human	Longevity regulating pathway	11/102	3.668195e-11	7.169654e-10	0	0	2.116454e+01	5.085572e+02	ADCY9;RPS6KB1;RHEB;AKT2;INSR;AKT1;ADCY3;TSC1;KRAS;EIF4E;IGF1R
KEGG_2019_Human	Estrogen signaling pathway	12/137	5.427078e-11	9.723515e-10	0	0	1.692943e+01	4.001615e+02	HSP90AA1;ADCY9;HSP90AB1;AKT2;GNAS;BCL2;ADCY3;AKT1;GRB2;KRAS;CALM1;EGFR
KEGG_2019_Human	Choline metabolism in cancer	10/99	5.683704e-10	9.399973e-09	0	0	1.950227e+01	4.151691e+02	PDGFRA;RPS6KB1;RHEB;AKT2;AKT1;TSC1;GRB2;KRAS;RAC1;EGFR
KEGG_2019_Human	Glioma	9/75	8.982045e-10	1.287426e-08	0	0	2.349012e+01	4.893138e+02	PDGFRA;CDK4;AKT2;AKT1;KRAS;GRB2;CALM1;EGFR;IGF1R
KEGG_2019_Human	Pancreatic cancer	9/75	8.982045e-10	1.287426e-08	0	0	2.349012e+01	4.893138e+02	CDC42;RPS6KB1;CDK4;AKT2;ERBB2;AKT1;KRAS;RAC1;EGFR
KEGG_2019_Human	mTOR signaling pathway	11/152	2.747931e-09	3.692533e-08	0	0	1.362487e+01	2.685791e+02	RPS6KB1;RHEB;AKT2;INSR;AKT1;TSC1;GRB2;KRAS;TNF;EIF4E;IGF1R
KEGG_2019_Human	Endocytosis	13/244	3.986283e-09	4.851456e-08	0	0	9.960025e+00	1.926309e+02	PDGFRA;CAV1;VPS4A;EGFR;ARFGAP1;EPN1;IGF1R;EPN2;CDC42;GRK6;CHMP7;FGFR3;ARF6
KEGG_2019_Human	Focal adhesion	12/199	4.061684e-09	4.851456e-08	0	0	1.128094e+01	2.179666e+02	CDC42;PDGFRA;AKT2;CAV1;ERBB2;BCL2;AKT1;ITGB8;GRB2;RAC1;EGFR;IGF1R
KEGG_2019_Human	HIF-1 signaling pathway	9/100	1.194997e-08	1.352234e-07	0	0	1.701529e+01	3.104020e+02	RPS6KB1;AKT2;INSR;ERBB2;BCL2;AKT1;EIF4E;EGFR;IGF1R
KEGG_2019_Human	Insulin signaling pathway	10/137	1.373095e-08	1.458854e-07	0	0	1.364070e+01	2.469459e+02	RPS6KB1;RHEB;AKT2;INSR;AKT1;TSC1;GRB2;KRAS;CALM1;EIF4E
KEGG_2019_Human	Adherens junction	8/72	1.492781e-08	1.458854e-07	0	0	2.134914e+01	3.847123e+02	CDC42;CDH1;INSR;ERBB2;RAC1;IQGAP1;EGFR;IGF1R
KEGG_2019_Human	Melanoma	8/72	1.492781e-08	1.458854e-07	0	0	2.134914e+01	3.847123e+02	PDGFRA;CDH1;CDK4;AKT2;AKT1;KRAS;EGFR;IGF1R
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	1.578632e-08	1.475678e-07	0	0	1.342785e+01	2.412196e+02	HSP90AA1;HSP90AB1;AKT2;CAV1;BCL2;AKT1;RAC1;CALM1;SQSTM1;TNF
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	5.506246e-08	4.902319e-07	0	0	1.406277e+01	2.350563e+02	CDC42;AKT2;BCL2;AKT1;GRB2;KRAS;PSEN1;RAC1;CALM1
