Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Neurotrophin signaling pathway	17/119	2.632327e-16	5.343623e-14	0	0	2.121075e+01	7.609038e+02	NTRK1;MAP3K3;MAP2K1;PSEN1;RHOA;MAPK13;CDC42;RPS6KA3;AKT2;RPS6KA2;RPS6KA1;MAPK1;GRB2;KRAS;RAC1;CALM1;TP53
KEGG_2019_Human	MAPK signaling pathway	22/295	1.078294e-14	1.094468e-12	0	0	1.050574e+01	3.378731e+02	PDGFRB;NTRK1;MAP3K3;HSPA8;MAP2K1;HSPB1;EGFR;MAPK13;IGF1R;CDC42;RPS6KA3;AKT2;RPS6KA2;RPS6KA1;GNA12;MAPK1;GRB2;KRAS;RAC1;PRKACA;TP53;MAP4K4
KEGG_2019_Human	Pathways in cancer	27/530	9.538932e-14	5.801280e-12	0	0	7.153973e+00	2.144819e+02	NOTCH1;HSP90AB1;EGFR;IGF1R;CDC42;GNA13;CDH1;AKT2;GNA12;CTNNA1;MAPK1;RAC1;PRKACA;PDGFRB;NTRK1;TCF7L2;RALBP1;MAP2K1;HSP90AA1;PML;RHOA;MTOR;CDK4;GRB2;KRAS;CALM1;TP53
KEGG_2019_Human	Proteoglycans in cancer	18/201	1.414985e-13	5.801280e-12	0	0	1.254737e+01	3.712326e+02	MAP2K1;SRC;CAV1;IQGAP1;EGFR;RHOA;MTOR;MAPK13;IGF1R;CDC42;PPP1CC;AKT2;MAPK1;GRB2;KRAS;RAC1;PRKACA;TP53
KEGG_2019_Human	Progesterone-mediated oocyte maturation	14/99	1.428887e-13	5.801280e-12	0	0	2.058094e+01	6.087165e+02	MAP2K1;HSP90AA1;HSP90AB1;IGF1R;MAPK13;RPS6KA3;AKT2;RPS6KA2;CDC27;RPS6KA1;CDK1;MAPK1;KRAS;PRKACA
KEGG_2019_Human	Oocyte meiosis	15/125	2.241639e-13	7.584213e-12	0	0	1.712623e+01	4.988254e+02	MAP2K1;YWHAB;YWHAZ;IGF1R;PPP1CC;RPS6KA3;RPS6KA2;CDC27;RPS6KA1;CDK1;MAPK1;FBXO5;BTRC;PRKACA;CALM1
KEGG_2019_Human	Human cytomegalovirus infection	18/225	9.842303e-13	2.769439e-11	0	0	1.107905e+01	3.063016e+02	MAP2K1;SRC;EGFR;RHOA;MTOR;MAPK13;GNA13;CDK4;AKT2;CCL5;GNA12;MAPK1;GRB2;KRAS;RAC1;CALM1;PRKACA;TP53
KEGG_2019_Human	Adherens junction	12/72	1.091405e-12	2.769439e-11	0	0	2.471000e+01	6.806013e+02	CDC42;TCF7L2;CDH1;SRC;CTNNA1;MAPK1;FYN;RAC1;IQGAP1;RHOA;EGFR;IGF1R
KEGG_2019_Human	Glioma	12/75	1.815023e-12	4.093884e-11	0	0	2.352976e+01	6.361253e+02	PDGFRB;MAP2K1;CDK4;AKT2;MAPK1;KRAS;GRB2;CALM1;TP53;EGFR;MTOR;IGF1R
KEGG_2019_Human	Prostate cancer	13/97	2.218380e-12	4.503312e-11	0	0	1.921773e+01	5.156932e+02	PDGFRB;TCF7L2;MAP2K1;HSP90AA1;HSP90AB1;EGFR;MTOR;IGF1R;AKT2;MAPK1;GRB2;KRAS;TP53
KEGG_2019_Human	Human papillomavirus infection	20/330	8.718708e-12	1.608998e-10	0	0	8.284380e+00	2.109663e+02	PDGFRB;MAGI1;BCAP31;TCF7L2;MAP2K1;NOTCH1;CSNK1A1;SCRIB;PSEN1;TUBG1;EGFR;MTOR;CDC42;CDK4;AKT2;MAPK1;GRB2;KRAS;PRKACA;TP53
KEGG_2019_Human	Viral carcinogenesis	16/201	2.054223e-11	3.475060e-10	0	0	1.089009e+01	2.679892e+02	LYN;YWHAB;SRC;SCRIB;YWHAZ;RHOA;CDC42;HNRNPK;CDK4;CDK1;MAPK1;GRB2;KRAS;RAC1;PRKACA;TP53
