Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	15/116	1.868956e-14	3.887428e-12	0	0	2.064775e+01	6.526921e+02	GSK3B;MAP2K1;CREBBP;NOTCH1;SRC;SLC2A1;PIK3R1;ATP1A1;MTOR;SLC9A1;PIK3CA;EP300;MAPK1;KRAS;PRKACA
KEGG_2019_Human	Insulin signaling pathway	15/137	2.289912e-13	2.381508e-11	0	0	1.707544e+01	4.969824e+02	GSK3B;PTPN1;PRKCI;MAP2K1;PIK3R1;MTOR;PPP1CB;PPP1CC;PIK3CA;PRKAR1A;PRKAR2A;MAPK1;KRAS;PRKACA;CALM1
KEGG_2019_Human	Proteoglycans in cancer	17/201	3.932857e-13	2.726781e-11	0	0	1.297372e+01	3.705844e+02	SMAD2;MAP2K1;ROCK2;SRC;CAV1;RRAS2;PIK3R1;EGFR;MTOR;SLC9A1;PPP1CB;PPP1CC;PIK3CA;MAPK1;KRAS;PRKACA;CD44
KEGG_2019_Human	Pathways in cancer	25/530	5.706231e-13	2.855511e-11	0	0	7.252475e+00	2.044621e+02	GSK3B;NOTCH1;HSP90AB1;ROCK2;SLC2A1;PIK3R1;EGFR;CDH1;EP300;MAPK1;PRKACA;SMAD2;NTRK1;CREBBP;SMAD4;MAP2K1;HSP90AA1;SMAD3;PML;MTOR;PIK3CA;CDK4;BCL2;KRAS;CALM1
KEGG_2019_Human	Prostate cancer	13/97	6.864208e-13	2.855511e-11	0	0	2.123570e+01	5.947543e+02	GSK3B;MAP2K1;CREBBP;HSP90AA1;HSP90AB1;PIK3R1;EGFR;MTOR;PIK3CA;BCL2;EP300;MAPK1;KRAS
KEGG_2019_Human	Human papillomavirus infection	20/330	1.567308e-12	5.433335e-11	0	0	9.198493e+00	2.500303e+02	ATP6V1A;GSK3B;CREBBP;PRKCI;MAP2K1;NOTCH1;CSNK1A1;PIK3R1;TUBG1;EGFR;MTOR;PIK3CA;CDK4;PARD3;ATP6V1H;EP300;MAPK1;KRAS;PRKACA;ATP6V1F
KEGG_2019_Human	Cellular senescence	15/160	2.265354e-12	6.731337e-11	0	0	1.435017e+01	3.847753e+02	SMAD2;MAP2K1;SMAD3;RRAS2;PIK3R1;MTOR;PPP1CB;PPP1CC;PIK3CA;CDK4;CDK1;MAPK1;KRAS;CALM1;SQSTM1
KEGG_2019_Human	Colorectal cancer	12/86	3.318697e-12	8.628613e-11	0	0	2.210885e+01	5.843690e+02	SMAD2;GSK3B;MAP2K1;SMAD4;SMAD3;PIK3CA;BCL2;MAPK1;KRAS;PIK3R1;EGFR;MTOR
KEGG_2019_Human	Viral carcinogenesis	16/201	5.067467e-12	1.171148e-10	0	0	1.205781e+01	3.136017e+02	LYN;YWHAE;CREBBP;YWHAB;SRC;PIK3R1;YWHAZ;HDAC6;HNRNPK;PIK3CA;CDK4;CDK1;EP300;MAPK1;KRAS;PRKACA
KEGG_2019_Human	Adherens junction	11/72	9.802831e-12	2.038989e-10	0	0	2.443319e+01	6.193411e+02	SMAD2;PTPN1;CREBBP;SMAD4;SMAD3;CDH1;SRC;PARD3;EP300;MAPK1;EGFR
KEGG_2019_Human	Gastric cancer	14/149	1.224783e-11	2.315954e-10	0	0	1.429226e+01	3.591025e+02	SMAD2;GSK3B;MAP2K1;SMAD4;SMAD3;CSNK1A1;PIK3R1;EGFR;MTOR;PIK3CA;CDH1;BCL2;MAPK1;KRAS
KEGG_2019_Human	Pancreatic cancer	11/75	1.557072e-11	2.696623e-10	0	0	2.328435e+01	5.794458e+02	SMAD2;MAP2K1;SMAD4;SMAD3;PIK3CA;CDK4;MAPK1;KRAS;PIK3R1;EGFR;MTOR
KEGG_2019_Human	Cell cycle	13/124	1.685390e-11	2.696623e-10	0	0	1.604830e+01	3.981011e+02	SMAD2;YWHAE;GSK3B;CREBBP;SMAD4;SMAD3;YWHAB;PLK1;SMC1A;YWHAZ;CDK4;CDK1;EP300
KEGG_2019_Human	Oocyte meiosis	13/125	1.868421e-11	2.775940e-10	0	0	1.590420e+01	3.928870e+02	YWHAE;MAP2K1;YWHAB;PLK1;SMC1A;YWHAZ;PPP1CB;PPP1CC;RPS6KA1;CDK1;MAPK1;PRKACA;CALM1
KEGG_2019_Human	HIF-1 signaling pathway	12/100	2.075245e-11	2.877674e-10	0	0	1.857837e+01	4.569974e+02	MAP2K1;CREBBP;PIK3CA;BCL2;SLC2A1;EP300;MAPK1;ENO1;PIK3R1;GAPDH;EGFR;MTOR
KEGG_2019_Human	FoxO signaling pathway	13/132	3.750245e-11	4.875319e-10	0	0	1.496335e+01	3.592194e+02	SMAD2;MAP2K1;CREBBP;SMAD4;SMAD3;PLK1;PIK3R1;EGFR;STK11;PIK3CA;EP300;MAPK1;KRAS
KEGG_2019_Human	Hepatitis B	14/163	4.144335e-11	5.070715e-10	0	0	1.294016e+01	3.093565e+02	SMAD2;CREBBP;SMAD4;MAP2K1;SMAD3;YWHAB;SRC;PIK3R1;YWHAZ;PIK3CA;BCL2;EP300;MAPK1;KRAS
KEGG_2019_Human	Estrogen signaling pathway	13/137	6.016815e-11	6.952764e-10	0	0	1.435635e+01	3.378606e+02	HSPA8;MAP2K1;HSP90AA1;HSP90AB1;SRC;PIK3R1;EGFR;PIK3CA;BCL2;MAPK1;KRAS;PRKACA;CALM1
