Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	15/201	4.251130e-13	7.737056e-11	0	0	1.638011e+01	4.666108e+02	USP7;HDAC2;HDAC3;STAT3;RELA;CDC42;DLG1;CREB1;CDK4;MDM2;CDK1;GRB2;KRAS;HIST1H2BG;TP53
KEGG_2019_Human	Prostate cancer	10/97	1.686330e-10	1.534561e-08	0	0	2.231350e+01	5.021273e+02	CREB1;AKT2;ERBB2;MDM2;BCL2;GRB2;KRAS;TP53;RELA;EGFR
KEGG_2019_Human	Pancreatic cancer	9/75	3.604707e-10	2.186856e-08	0	0	2.624272e+01	5.706114e+02	CDC42;CDK4;AKT2;ERBB2;STAT3;KRAS;TP53;RELA;EGFR
KEGG_2019_Human	Breast cancer	11/147	6.446124e-10	2.932986e-08	0	0	1.581771e+01	3.347402e+02	CSNK1A1;CDK4;AKT2;ERBB2;GRB2;KRAS;BRCA1;TP53;ESR1;EGFR;ESR2
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	1.001285e-09	3.644677e-08	0	0	1.829634e+01	3.791364e+02	HDAC2;HDAC3;SIN3A;AKT2;MDM2;KRAS;ATP1A1;TP53;ESR1;ACTG1
KEGG_2019_Human	Proteoglycans in cancer	12/201	1.401126e-09	4.137064e-08	0	0	1.250730e+01	2.549737e+02	CDC42;AKT2;CAV1;ERBB2;STAT3;MDM2;GRB2;KRAS;TP53;ESR1;EGFR;ACTG1
KEGG_2019_Human	Cellular senescence	11/160	1.591179e-09	4.137064e-08	0	0	1.442813e+01	2.922966e+02	CCNB2;FBXW11;CDK4;AKT2;MDM2;CDK1;MYBL2;KRAS;BTRC;TP53;RELA
KEGG_2019_Human	Non-small cell lung cancer	8/66	3.291800e-09	7.488846e-08	0	0	2.629973e+01	5.136820e+02	CDK4;AKT2;ERBB2;STAT3;KRAS;GRB2;TP53;EGFR
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	5.104728e-09	1.032289e-07	0	0	1.525475e+01	2.912604e+02	CUL4A;UBE2I;FBXW11;CUL3;MDM2;ELOB;BRCA1;BTRC;PML;CUL4B
KEGG_2019_Human	Pathways in cancer	17/530	6.380024e-09	1.161164e-07	0	0	6.758490e+00	1.275333e+02	HDAC2;STAT3;ESR1;PML;RELA;EGFR;ESR2;CDC42;CDK4;AKT2;ERBB2;MDM2;BCL2;GRB2;KRAS;ELOB;TP53
KEGG_2019_Human	Chronic myeloid leukemia	8/76	1.031804e-08	1.707166e-07	0	0	2.242081e+01	4.123047e+02	HDAC2;CDK4;AKT2;MDM2;KRAS;GRB2;TP53;RELA
KEGG_2019_Human	Epstein-Barr virus infection	11/201	1.739616e-08	2.638417e-07	0	0	1.129119e+01	2.017399e+02	USP7;HDAC2;CDK4;SIN3A;AKT2;STAT3;BTK;MDM2;BCL2;TP53;RELA
KEGG_2019_Human	Human immunodeficiency virus 1 infection	11/212	3.014062e-08	4.219686e-07	0	0	1.066731e+01	1.847299e+02	CUL4A;CCNB2;FBXW11;AKT2;BCL2;CDK1;KRAS;ELOB;BTRC;RELA;CUL4B
KEGG_2019_Human	Human papillomavirus infection	13/330	4.162099e-08	5.410729e-07	0	0	8.107032e+00	1.377763e+02	HDAC2;CSNK1A1;RELA;EGFR;CDC42;DLG1;CREB1;CDK4;AKT2;MDM2;GRB2;KRAS;TP53
KEGG_2019_Human	HIF-1 signaling pathway	8/100	9.112418e-08	1.044125e-06	0	0	1.655184e+01	2.683226e+02	AKT2;ERBB2;STAT3;BCL2;ELOB;ENO1;RELA;EGFR
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	9.463837e-08	1.044125e-06	0	0	1.098039e+01	1.775881e+02	SS18;HDAC2;EWSR1;SIN3A;HIST3H3;H3F3A;MDM2;TP53;PML;RELA
KEGG_2019_Human	T cell receptor signaling pathway	8/101	9.850598e-08	1.044125e-06	0	0	1.637304e+01	2.641486e+02	CDC42;DLG1;CDK4;AKT2;GRB2;KRAS;VAV1;RELA
KEGG_2019_Human	Bladder cancer	6/41	1.032651e-07	1.044125e-06	0	0	3.210728e+01	5.164766e+02	CDK4;ERBB2;MDM2;KRAS;TP53;EGFR
KEGG_2019_Human	MicroRNAs in cancer	12/299	1.166062e-07	1.116965e-06	0	0	8.195540e+00	1.308374e+02	UBE2I;ERBB2;STAT3;MDM2;DNMT3B;BCL2;GRB2;KRAS;BRCA1;TP53;EGFR;EZH2
KEGG_2019_Human	Prolactin signaling pathway	7/70	1.280859e-07	1.165581e-06	0	0	2.097884e+01	3.329460e+02	AKT2;STAT3;KRAS;GRB2;ESR1;RELA;ESR2
KEGG_2019_Human	Glioma	7/75	2.072567e-07	1.796225e-06	0	0	1.943137e+01	2.990354e+02	CDK4;AKT2;MDM2;KRAS;GRB2;TP53;EGFR
KEGG_2019_Human	Hepatitis C	9/155	2.223234e-07	1.839221e-06	0	0	1.181527e+01	1.809997e+02	CDK4;AKT2;STAT3;GRB2;KRAS;TP53;CLDN1;RELA;EGFR
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	3.517162e-07	2.783146e-06	0	0	1.370547e+01	2.036694e+02	CDC42;AKT2;ARHGDIA;BCL2;GRB2;KRAS;TP53;RELA
KEGG_2019_Human	Human cytomegalovirus infection	10/225	5.530503e-07	4.193965e-06	0	0	8.970816e+00	1.292499e+02	CREB1;CDK4;AKT2;STAT3;MDM2;GRB2;KRAS;TP53;RELA;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	12/354	7.093599e-07	5.164140e-06	0	0	6.858246e+00	9.710523e+01	CREB1;CDK4;AKT2;ERBB2;MDM2;BCL2;GRB2;KRAS;BRCA1;TP53;RELA;EGFR
KEGG_2019_Human	FoxO signaling pathway	8/132	7.776432e-07	5.299667e-06	0	0	1.226055e+01	1.724691e+02	CCNB2;USP7;AKT2;STAT3;MDM2;GRB2;KRAS;EGFR
KEGG_2019_Human	Alcoholism	9/180	7.862144e-07	5.299667e-06	0	0	1.007511e+01	1.416162e+02	HDAC2;CREB1;HDAC3;HIST3H3;H3F3A;H2AFX;GRB2;KRAS;HIST1H2BG
KEGG_2019_Human	Endometrial cancer	6/58	8.604878e-07	5.593171e-06	0	0	2.159216e+01	3.015511e+02	AKT2;ERBB2;KRAS;GRB2;TP53;EGFR
