Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Human papillomavirus infection	19/330	9.854378e-15	1.852623e-12	0	0	1.375160e+01	4.435009e+02	BCAP31;PATJ;CSNK1A1;AXIN1;TSC2;TSC1;UBE3A;EGFR;PPP2CA;CDC42;CCND3;CCND2;TBK1;CDK4;AKT2;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	5.986999e-14	5.627779e-12	0	0	2.609495e+01	7.945025e+02	YWHAE;NTRK1;PTPN11;CDC42;RPS6KA6;RAP1A;AKT2;MAPKAPK2;AKT1;MAPK1;KRAS;CALM1;MAPK3
KEGG_2019_Human	Cellular senescence	14/160	1.384733e-13	8.677662e-12	0	0	2.058309e+01	6.094260e+02	TSC2;TSC1;CCND3;CCND2;CDK4;AKT2;MAPKAPK2;CDK1;AKT1;MAPK1;KRAS;CALM1;BTRC;MAPK3
KEGG_2019_Human	Viral carcinogenesis	15/201	1.850764e-13	8.698589e-12	0	0	1.746544e+01	5.120518e+02	YWHAE;YWHAB;UBE3A;YWHAZ;CDC42;CCND3;CCND2;CDK4;DNAJA3;MAPKAPK2;CDK1;MAPK1;KRAS;YWHAG;MAPK3
KEGG_2019_Human	Ras signaling pathway	15/232	1.498185e-12	5.633175e-11	0	0	1.494683e+01	4.069538e+02	NTRK1;RALA;PTPN11;EGFR;CDC42;AFDN;TBK1;RAP1A;AKT2;AKT1;MAPK1;KRAS;CALM1;ARF6;MAPK3
KEGG_2019_Human	Hepatitis C	13/155	1.870994e-12	5.862449e-11	0	0	1.944389e+01	5.250735e+02	YWHAE;YWHAB;YWHAZ;EGFR;PPP2CA;TBK1;CDK4;AKT2;AKT1;MAPK1;KRAS;YWHAG;MAPK3
KEGG_2019_Human	Oocyte meiosis	12/125	2.779719e-12	7.465531e-11	0	0	2.234720e+01	5.946294e+02	YWHAE;PPP2CA;RPS6KA6;YWHAB;PLK1;CDK1;MAPK1;CALM1;BTRC;YWHAZ;YWHAG;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	17/354	5.235342e-12	1.230305e-10	0	0	1.108489e+01	2.879365e+02	YWHAE;NTRK1;YWHAB;TSC2;TSC1;YWHAZ;EGFR;PPP2CA;CCND3;CCND2;CDK4;AKT2;AKT1;MAPK1;KRAS;YWHAG;MAPK3
KEGG_2019_Human	Pancreatic cancer	9/75	2.193225e-10	4.581403e-09	0	0	2.787441e+01	6.199403e+02	CDC42;RALA;CDK4;AKT2;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Pathways in cancer	18/530	3.479065e-10	6.517200e-09	0	0	7.743164e+00	1.686390e+02	NTRK1;RALA;DAPK1;AXIN1;CBL;ESR1;EGFR;CDC42;CCND3;CCND2;CDH1;CDK4;AKT2;AKT1;MAPK1;KRAS;CALM1;MAPK3
KEGG_2019_Human	Phospholipase D signaling pathway	11/148	3.813255e-10	6.517200e-09	0	0	1.669819e+01	3.621399e+02	RALA;AKT2;TSC2;AKT1;MAPK1;TSC1;PTPN11;KRAS;EGFR;ARF6;MAPK3
KEGG_2019_Human	Endometrial cancer	8/58	7.327808e-10	1.064068e-08	0	0	3.239837e+01	6.814729e+02	CDH1;AKT2;AXIN1;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	12/201	7.357920e-10	1.064068e-08	0	0	1.330969e+01	2.799038e+02	CDC42;AKT2;CAV1;AKT1;MAPK1;PTPN11;KRAS;CBL;ESR1;EGFR;CD44;MAPK3
KEGG_2019_Human	Hippo signaling pathway	11/160	8.782739e-10	1.179396e-08	0	0	1.534405e+01	3.199704e+02	YWHAE;PPP2CA;CCND3;PATJ;CCND2;CDH1;YWHAB;AXIN1;BTRC;YWHAZ;YWHAG
KEGG_2019_Human	Rap1 signaling pathway	12/206	9.748276e-10	1.221784e-08	0	0	1.296337e+01	2.689738e+02	CDC42;AFDN;RALA;RAP1A;CDH1;AKT2;AKT1;MAPK1;KRAS;CALM1;EGFR;MAPK3
KEGG_2019_Human	Cell cycle	10/124	1.120584e-09	1.316686e-08	0	0	1.807383e+01	3.724911e+02	YWHAE;CCND3;CCND2;CDK4;YWHAB;PLK1;CDK1;SFN;YWHAZ;YWHAG
KEGG_2019_Human	Autophagy	10/128	1.530770e-09	1.692852e-08	0	0	1.745763e+01	3.543461e+02	PPP2CA;DAPK1;AKT2;LAMP2;TSC2;AKT1;MAPK1;TSC1;KRAS;MAPK3
KEGG_2019_Human	Bladder cancer	7/41	1.862914e-09	1.945710e-08	0	0	4.130125e+01	8.302015e+02	CDH1;DAPK1;CDK4;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Renal cell carcinoma	8/69	3.046793e-09	3.014721e-08	0	0	2.654132e+01	5.204534e+02	CDC42;RAP1A;AKT2;AKT1;MAPK1;PTPN11;KRAS;MAPK3
KEGG_2019_Human	Melanoma	8/72	4.304640e-09	4.046361e-08	0	0	2.529337e+01	4.872406e+02	CDH1;CDK4;AKT2;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Breast cancer	10/147	5.895956e-09	5.117679e-08	0	0	1.502205e+01	2.846528e+02	CSNK1A1;CDK4;AKT2;AXIN1;AKT1;MAPK1;KRAS;ESR1;EGFR;MAPK3
KEGG_2019_Human	Glioma	8/75	5.988773e-09	5.117679e-08	0	0	2.415717e+01	4.573769e+02	CDK4;AKT2;AKT1;MAPK1;KRAS;CALM1;EGFR;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	8/76	6.664205e-09	5.447263e-08	0	0	2.380072e+01	4.480846e+02	CDK4;AKT2;AKT1;MAPK1;PTPN11;KRAS;CBL;MAPK3
KEGG_2019_Human	Colorectal cancer	8/86	1.795271e-08	1.406296e-07	0	0	2.073888e+01	3.698888e+02	RALA;AKT2;AXIN1;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	VEGF signaling pathway	7/59	2.614673e-08	1.966234e-07	0	0	2.698019e+01	4.710617e+02	CDC42;AKT2;MAPKAPK2;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	11/225	3.116065e-08	2.253155e-07	0	0	1.064830e+01	1.840464e+02	TBK1;CDK4;AKT2;TSC2;AKT1;MAPK1;TSC1;KRAS;CALM1;EGFR;MAPK3
KEGG_2019_Human	Insulin signaling pathway	9/137	4.769589e-08	3.321047e-07	0	0	1.432780e+01	2.415441e+02	AKT2;TSC2;AKT1;MAPK1;TSC1;KRAS;CALM1;CBL;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	7/65	5.198850e-08	3.429891e-07	0	0	2.418182e+01	4.055833e+02	NTRK1;AKT2;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Choline metabolism in cancer	8/99	5.473230e-08	3.429891e-07	0	0	1.776452e+01	2.970372e+02	AKT2;AKT1;TSC2;MAPK1;TSC1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Progesterone-mediated oocyte maturation	8/99	5.473230e-08	3.429891e-07	0	0	1.776452e+01	2.970372e+02	RPS6KA6;AKT2;PLK1;CDK1;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	7/66	5.790513e-08	3.511666e-07	0	0	2.377076e+01	3.961268e+02	CDK4;AKT2;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	C-type lectin receptor signaling pathway	8/104	8.056995e-08	4.733485e-07	0	0	1.683503e+01	2.749858e+02	AKT2;MAPKAPK2;AKT1;MAPK1;PTPN11;KRAS;CALM1;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	7/70	8.760046e-08	4.990572e-07	0	0	2.225701e+01	3.616872e+02	CCND2;AKT2;AKT1;MAPK1;KRAS;ESR1;MAPK3
KEGG_2019_Human	Gastric cancer	9/149	9.850215e-08	5.446589e-07	0	0	1.309175e+01	2.112117e+02	CDH1;CSNK1A1;AKT2;AXIN1;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Focal adhesion	10/199	1.054651e-07	5.664985e-07	0	0	1.086034e+01	1.744701e+02	CDC42;CCND3;CCND2;RAP1A;AKT2;CAV1;AKT1;MAPK1;EGFR;MAPK3
KEGG_2019_Human	mTOR signaling pathway	9/152	1.168999e-07	6.104774e-07	0	0	1.281515e+01	2.045548e+02	RPS6KA6;AKT2;TSC2;AKT1;MAPK1;TSC1;KRAS;LAMTOR1;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	1.885920e-07	9.582511e-07	0	0	1.495540e+01	2.315647e+02	AKT2;TSC2;AKT1;MAPK1;KRAS;ATP1A1;ESR1;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	9/168	2.746412e-07	1.358751e-06	0	0	1.151624e+01	1.739851e+02	CSNK1A1;CDK4;AKT2;AXIN1;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	ErbB signaling pathway	7/85	3.379915e-07	1.629292e-06	0	0	1.796322e+01	2.676564e+02	AKT2;AKT1;MAPK1;KRAS;CBL;EGFR;MAPK3
KEGG_2019_Human	MAPK signaling pathway	11/295	4.790832e-07	2.251691e-06	0	0	7.995182e+00	1.163410e+02	NTRK1;CDC42;RPS6KA6;RAP1A;AKT2;MAPKAPK2;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	FoxO signaling pathway	8/132	5.098035e-07	2.337636e-06	0	0	1.301514e+01	1.885795e+02	CCND2;AKT2;PLK1;AKT1;MAPK1;KRAS;EGFR;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	6.481995e-07	2.901465e-06	0	0	1.033566e+01	1.472736e+02	TBK1;CDK4;AKT2;MAPKAPK2;AKT1;MAPK1;KRAS;CALM1;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	8/137	6.770225e-07	2.960005e-06	0	0	1.250751e+01	1.776763e+02	AKT2;AKT1;MAPK1;KRAS;CALM1;ESR1;EGFR;MAPK3
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	7/100	1.027200e-06	4.388945e-06	0	0	1.505452e+01	2.075819e+02	CDC42;CDK4;AKT2;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	7/101	1.098925e-06	4.591064e-06	0	0	1.489362e+01	2.043580e+02	CDC42;CDK4;AKT2;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	5/37	1.448197e-06	5.777915e-06	0	0	3.072710e+01	4.131318e+02	MAPK1;SFN;KRAS;ATP1A1;MAPK3
KEGG_2019_Human	Thyroid cancer	5/37	1.448197e-06	5.777915e-06	0	0	3.072710e+01	4.131318e+02	NTRK1;CDH1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Long-term potentiation	6/67	1.475212e-06	5.777915e-06	0	0	1.950787e+01	2.619265e+02	RPS6KA6;RAP1A;MAPK1;KRAS;CALM1;MAPK3
KEGG_2019_Human	Fc epsilon RI signaling pathway	6/68	1.611061e-06	6.181213e-06	0	0	1.919226e+01	2.559982e+02	AKT2;BTK;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	cAMP signaling pathway	9/212	1.924595e-06	7.094585e-06	0	0	9.000000e+00	1.184472e+02	AFDN;RAP1A;AKT2;AKT1;MAPK1;ATP1A1;CALM1;CFTR;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	9/212	1.924595e-06	7.094585e-06	0	0	9.000000e+00	1.184472e+02	TBK1;AKT2;CDK1;AKT1;MAPK1;KRAS;CALM1;BTRC;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	6/71	2.081156e-06	7.524180e-06	0	0	1.830369e+01	2.394596e+02	AKT2;BTK;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Adherens junction	6/72	2.260653e-06	7.870420e-06	0	0	1.802545e+01	2.343283e+02	CDC42;AFDN;CDH1;MAPK1;EGFR;MAPK3
KEGG_2019_Human	p53 signaling pathway	6/72	2.260653e-06	7.870420e-06	0	0	1.802545e+01	2.343283e+02	CCND3;CCND2;CDK4;CDK1;TSC2;SFN
KEGG_2019_Human	Hepatitis B	8/163	2.510631e-06	8.441288e-06	0	0	1.039579e+01	1.340534e+02	TBK1;YWHAB;AKT2;AKT1;MAPK1;KRAS;YWHAZ;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	2.514426e-06	8.441288e-06	0	0	8.696907e+00	1.121333e+02	CCND3;CCND2;CDK4;AKT2;CANX;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Axon guidance	8/181	5.461320e-06	1.801278e-05	0	0	9.305651e+00	1.127642e+02	EFNB2;CDC42;EFNB1;SEMA4C;MAPK1;PTPN11;KRAS;MAPK3
KEGG_2019_Human	Apelin signaling pathway	7/137	8.409130e-06	2.725718e-05	0	0	1.074965e+01	1.256225e+02	CDH1;AKT2;AKT1;MAPK1;KRAS;CALM1;MAPK3
KEGG_2019_Human	Measles	7/138	8.820240e-06	2.785997e-05	0	0	1.066705e+01	1.241481e+02	CCND3;CCND2;TBK1;CDK4;AKT2;AKT1;RAB9A
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	6/91	8.891481e-06	2.785997e-05	0	0	1.398282e+01	1.626261e+02	CDC42;AKT2;AKT1;MAPK1;ARF6;MAPK3
