Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	28/134	9.356369e-36	1.347317e-33	0	0	5.616190e+01	4.529851e+03	DDX5;SF3B3;SF3B6;DDX23;HNRNPU;SNU13;U2AF1;PRPF8;SNRPD2;SNRPD1;SNRNP70;U2AF2;TRA2B;SF3B1;BCAS2;SF3A3;SF3A1;SF3A2;CDC5L;HNRNPM;HNRNPK;PRPF6;SRSF2;SRSF3;ACIN1;SNRPA1;SRSF5;SRSF7
KEGG_2019_Human	Ribosome	8/153	4.231325e-06	3.046554e-04	0	0	9.635154e+00	1.192157e+02	RPS4X;RPS14;RPS7;RPL37A;RPL15;RPS2;RPS24;RPS13
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	6/101	3.433640e-05	1.648147e-03	0	0	1.086535e+01	1.116883e+02	RRP7A;NOP56;FBL;NXF1;NOP58;SNU13
KEGG_2019_Human	Ubiquitin mediated proteolysis	6/137	1.866235e-04	6.718446e-03	0	0	7.865118e+00	6.753318e+01	FZR1;HERC2;CUL3;UBR5;CUL1;BTRC
KEGG_2019_Human	Gap junction	4/88	2.009488e-03	5.451385e-02	0	0	8.056573e+00	5.003031e+01	TUBA1B;SRC;KRAS;ADCY6
KEGG_2019_Human	mRNA surveillance pathway	4/91	2.271411e-03	5.451385e-02	0	0	7.777581e+00	4.734489e+01	NXF1;ACIN1;RNPS1;SMG7
KEGG_2019_Human	Hedgehog signaling pathway	3/47	2.884812e-03	5.934471e-02	0	0	1.146090e+01	6.702674e+01	CUL3;CUL1;BTRC
KEGG_2019_Human	RNA transport	5/165	3.314185e-03	5.965534e-02	0	0	5.312231e+00	3.033041e+01	NXF1;SUMO3;ACIN1;RNPS1;THOC6
KEGG_2019_Human	Mitophagy	3/65	7.182838e-03	1.034329e-01	0	0	8.126162e+00	4.011123e+01	CALCOCO2;SRC;KRAS
KEGG_2019_Human	Shigellosis	3/65	7.182838e-03	1.034329e-01	0	0	8.126162e+00	4.011123e+01	SRC;U2AF1;BTRC
KEGG_2019_Human	Circadian rhythm	2/31	1.505361e-02	1.970655e-01	0	0	1.150391e+01	4.827199e+01	CUL1;BTRC
KEGG_2019_Human	GnRH signaling pathway	3/93	1.889469e-02	2.192900e-01	0	0	5.590113e+00	2.218646e+01	SRC;KRAS;ADCY6
KEGG_2019_Human	Thyroid cancer	2/37	2.105997e-02	2.192900e-01	0	0	9.528932e+00	3.678531e+01	NTRK1;KRAS
KEGG_2019_Human	Progesterone-mediated oocyte maturation	3/99	2.225333e-02	2.192900e-01	0	0	5.239142e+00	1.993632e+01	FZR1;KRAS;ADCY6
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	3/100	2.284271e-02	2.192900e-01	0	0	5.184868e+00	1.959426e+01	NTRK1;SRC;ADCY6
KEGG_2019_Human	Bladder cancer	2/41	2.552765e-02	2.248460e-01	0	0	8.549881e+00	3.136091e+01	SRC;KRAS
KEGG_2019_Human	Transcriptional misregulation in cancer	4/186	2.654432e-02	2.248460e-01	0	0	3.700009e+00	1.342711e+01	NTRK1;DDX5;EWSR1;BMI1
KEGG_2019_Human	Chemokine signaling pathway	4/190	2.840190e-02	2.272152e-01	0	0	3.619704e+00	1.289085e+01	GSK3A;SRC;KRAS;ADCY6
KEGG_2019_Human	Herpes simplex virus 1 infection	7/492	3.006718e-02	2.278776e-01	0	0	2.455381e+00	8.604442e+00	NXF1;SRC;SRSF2;SRSF3;SRSF5;SRSF7;SRPK1
KEGG_2019_Human	Viral carcinogenesis	4/201	3.390204e-02	2.315486e-01	0	0	3.415680e+00	1.155962e+01	HNRNPK;HIST4H4;SRC;KRAS
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	2/48	3.417129e-02	2.315486e-01	0	0	7.246255e+00	2.446603e+01	AP2B1;ADCY6
