Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis B	20/163	2.855733e-20	5.368777e-18	0	0	2.554908e+01	1.149769e+03	SMAD2;MAP2K4;MAP2K1;MAP3K1;PCNA;MAP2K2;DDX3X;YWHAB;SRC;STAT3;PIK3R1;MAPK14;YWHAZ;NFKB1;NRAS;PIK3CA;YWHAQ;TRAF6;EP300;TLR2
KEGG_2019_Human	Adherens junction	14/72	2.036281e-17	1.914104e-15	0	0	4.195342e+01	1.612388e+03	SMAD2;CSNK2A1;SRC;PTPRJ;IQGAP1;IGF1R;CDC42;AFDN;CDH1;CSNK2B;CTNNA1;EP300;CTNNB1;RAC1
KEGG_2019_Human	Viral carcinogenesis	18/201	7.303628e-16	3.432705e-14	0	0	1.760566e+01	6.136100e+02	YWHAE;DDX3X;YWHAB;SRC;STAT3;HLA-B;PIK3R1;YWHAZ;NFKB1;CDC42;NRAS;HNRNPK;PKM;PIK3CA;YWHAQ;MDM2;EP300;RAC1
KEGG_2019_Human	Proteoglycans in cancer	18/201	7.303628e-16	3.432705e-14	0	0	1.760566e+01	6.136100e+02	SMAD2;MAP2K1;MAP2K2;SRC;STAT3;PIK3R1;IQGAP1;MAPK14;ESR1;IGF1R;CDC42;NRAS;PIK3CA;MDM2;FLNA;CTNNB1;RAC1;TLR2
KEGG_2019_Human	Hepatitis C	16/155	3.414748e-15	1.283945e-13	0	0	2.028058e+01	6.755596e+02	YWHAE;GSK3B;MAP2K1;MAP2K2;YWHAB;STAT3;PIK3R1;YWHAZ;NFKB1;PPP2CA;PPP2CB;NRAS;PIK3CA;YWHAQ;TRAF6;CTNNB1
KEGG_2019_Human	Pathways in cancer	25/530	4.326502e-15	1.355637e-13	0	0	9.308373e+00	3.078653e+02	GSK3B;HSP90AB1;PIK3R1;IGF1R;CDC42;NRAS;CDH1;RASSF5;CTNNA1;DVL3;EP300;RAC1;SMAD2;MAP2K1;HSP90AA1;MAP2K2;STAT3;ESR1;NFKB1;ESR2;APC;PIK3CA;TRAF6;MDM2;CTNNB1
KEGG_2019_Human	Hippo signaling pathway	16/160	5.671526e-15	1.523210e-13	0	0	1.957143e+01	6.420078e+02	SMAD2;YWHAE;GSK3B;YWHAB;CSNK1D;YWHAZ;PPP2CA;PPP2CB;APC;YWHAQ;CDH1;CTNNA1;DVL3;CTNNB1;BTRC;BMPR1A
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	15/139	1.337150e-14	3.142303e-13	0	0	2.114045e+01	6.753455e+02	ACVR1;SMAD2;GSK3B;MAP2K1;MAP2K2;STAT3;PIK3R1;MAPK14;IGF1R;NRAS;APC;PIK3CA;DVL3;CTNNB1;BMPR1A
KEGG_2019_Human	Prolactin signaling pathway	12/70	2.167553e-14	4.527777e-13	0	0	3.534007e+01	1.111890e+03	GSK3B;MAP2K1;NRAS;MAP2K2;PIK3CA;SRC;STAT3;PIK3R1;MAPK14;ESR1;NFKB1;ESR2
KEGG_2019_Human	Prostate cancer	13/97	4.797604e-14	9.019495e-13	0	0	2.662981e+01	8.166851e+02	GSK3B;MAP2K1;HSP90AA1;MAP2K2;HSP90AB1;PIK3R1;NFKB1;IGF1R;NRAS;PIK3CA;MDM2;EP300;CTNNB1
