Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis B	23/163	7.112039e-22	1.365511e-19	0	0	2.246721e+01	1.094043e+03	RB1;MAP2K1;JUN;MAP3K1;CHUK;YWHAB;SRC;PRKCA;YWHAZ;RELA;MAPK13;CASP9;MAPK11;MAPK8;CASP8;TRAF6;AKT1;EP300;MAPK1;BAX;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	2.736966e-19	1.514133e-17	0	0	2.533291e+01	1.082786e+03	GSK3B;MAP2K1;JUN;MAP3K1;RELA;MAPK13;CDC42;RPS6KA3;MAPK11;MAPK8;RPS6KA2;TRAF6;RPS6KA1;AKT1;MAPK1;BAX;TP53;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	22/186	2.971134e-19	1.514133e-17	0	0	1.819672e+01	7.762752e+02	RB1;GSK3B;MAP2K1;JUN;CHUK;SRC;EIF2AK2;HIF1A;RELA;MAPK13;CASP9;MAPK11;MAPK8;CASP8;UBB;BAX;AKT1;EP300;MAPK1;TP53;HRAS;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	23/212	3.154444e-19	1.514133e-17	0	0	1.660097e+01	7.072064e+02	MAP2K1;JUN;CHUK;PXN;PRKCA;RELA;MAPK13;CASP9;MAPK11;MAPK8;CASP8;TRAF6;CHEK1;CDK1;BAX;AKT1;MAPK1;BTRC;HRAS;PAK5;BCL2L1;CUL4B;MAPK3
KEGG_2019_Human	Viral carcinogenesis	22/201	1.628702e-18	6.254214e-17	0	0	1.665914e+01	6.823376e+02	RB1;JUN;YWHAB;SRC;PXN;EIF2AK2;YWHAZ;RELA;CDC42;HNRNPK;CASP8;PKM;CHEK1;CDK1;REL;BAX;EP300;MAPK1;TP53;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Hepatitis C	20/155	2.366669e-18	7.573340e-17	0	0	1.985185e+01	8.056884e+02	RB1;GSK3B;MAP2K1;CHUK;YWHAB;EIF2AK2;YWHAZ;RELA;PIAS1;CASP9;PPP2CA;CASP8;TRAF6;AKT1;MAPK1;BAX;TP53;HRAS;YWHAG;MAPK3
KEGG_2019_Human	IL-17 signaling pathway	16/93	5.874209e-17	1.611212e-15	0	0	2.718638e+01	1.016047e+03	GSK3B;JUN;HSP90AB1;CHUK;SRSF1;ELAVL1;RELA;HSP90B1;MAPK13;MAPK11;MAPK8;CASP8;TRAF6;MAPK1;MAPK6;MAPK3
KEGG_2019_Human	Apoptosis	18/143	1.996059e-16	4.790542e-15	0	0	1.904666e+01	6.885402e+02	MAP2K1;JUN;CHUK;GADD45A;RELA;CASP9;MAPK8;CASP8;AKT1;MAPK1;BAX;CAPN1;TP53;HRAS;MCL1;BCL2L1;BIRC3;MAPK3
KEGG_2019_Human	Pancreatic cancer	14/75	1.662262e-15	3.546158e-14	0	0	2.965906e+01	1.009316e+03	RB1;MAP2K1;CHUK;GADD45A;RELA;CASP9;CDC42;MAPK8;AKT1;MAPK1;BAX;TP53;MAPK3;BCL2L1
KEGG_2019_Human	Prostate cancer	15/97	3.024199e-15	5.806462e-14	0	0	2.376966e+01	7.946703e+02	RB1;GSK3B;MAP2K1;HSP90AB1;CHUK;RELA;IGF1R;HSP90B1;CASP9;AKT1;EP300;MAPK1;TP53;HRAS;MAPK3
