Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Neurotrophin signaling pathway	28/119	4.834567e-38	9.185677e-36	0	0	7.000531e+01	6.015027e+03	IRS1;FASLG;PIK3R2;PIK3R1;RELA;MAPK9;NRAS;MAPK8;AKT3;MAPK1;HRAS;MAP3K5;MAPK3;NTRK1;NGFR;MAP2K1;JUN;PRKCD;GAB1;MAPK14;MAPK12;NFKB1;MAPK10;PIK3CA;GRB2;KRAS;TP53;CRK
KEGG_2019_Human	MAPK signaling pathway	35/295	1.448066e-36	1.375662e-34	0	0	3.302284e+01	2.725138e+03	TRADD;FASLG;RELA;MAPK9;NRAS;MAPK8;AKT3;KDR;FLNA;MAPK1;FLNB;MAP3K8;FLNC;HRAS;MAP3K5;MAPK3;NTRK1;PDGFRA;MAP2K4;NGFR;MAP2K1;JUN;TRAF2;MAPK14;MAPK12;NFKB1;TNFRSF1A;MAPK10;PPM1A;KIT;GRB2;KRAS;TP53;MAP3K14;CRK
KEGG_2019_Human	Pathways in cancer	39/530	9.505813e-33	6.020348e-31	0	0	2.026921e+01	1.494518e+03	NOTCH1;ROCK2;HDAC1;FASLG;PIK3R2;PIK3R1;CBL;RELA;MAPK9;NRAS;MAPK8;AKT3;CTNNA1;MAPK1;JAK2;HRAS;JAK3;MAPK3;APPL1;JAK1;NTRK1;PDGFRA;SMAD4;MAP2K1;JUN;TRAF2;ESR1;PML;NFKB1;PTK2;MAPK10;PIK3CA;GNB1;KIT;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	Sphingolipid signaling pathway	25/119	1.304524e-32	6.196489e-31	0	0	5.848404e+01	4.293716e+03	ROCK2;TRADD;PIK3R2;PIK3R1;PRKCZ;RELA;MAPK9;NRAS;MAPK8;AKT3;MAPK1;HRAS;MAP3K5;MAPK3;MAP2K1;TRAF2;GAB2;MAPK14;MAPK12;NFKB1;TNFRSF1A;MAPK10;PIK3CA;KRAS;TP53
KEGG_2019_Human	Hepatitis B	26/163	1.470423e-30	5.587606e-29	0	0	4.211006e+01	2.892625e+03	FASLG;PIK3R2;PIK3R1;RELA;MAPK9;NRAS;MAPK8;AKT3;MAPK1;JAK2;HRAS;JAK3;MAPK3;JAK1;MAP2K4;SMAD4;MAP2K1;JUN;MAPK14;MAPK12;NFKB1;MAPK10;PIK3CA;GRB2;KRAS;TP53
KEGG_2019_Human	Apoptosis	25/143	1.886230e-30	5.973061e-29	0	0	4.653249e+01	3.184822e+03	TRADD;FASLG;PIK3R2;PIK3R1;RELA;MAPK9;NRAS;MAPK8;AKT3;MAPK1;HRAS;MAP3K5;MAPK3;NTRK1;NGFR;MAP2K1;JUN;TRAF2;NFKB1;TNFRSF1A;MAPK10;PIK3CA;KRAS;TP53;MAP3K14
KEGG_2019_Human	TNF signaling pathway	23/110	5.616003e-30	1.524344e-28	0	0	5.689080e+01	3.831706e+03	MAP2K4;MAP2K1;JUN;TRADD;PIK3R2;TRAF2;PIK3R1;MAPK14;NFKB1;RELA;MAPK12;TNFRSF1A;MAPK10;MAPK9;MAPK8;ITCH;PIK3CA;AKT3;MAPK1;MAP3K8;MAP3K14;MAP3K5;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	27/201	1.285271e-29	3.052519e-28	0	0	3.475686e+01	2.312165e+03	DDX5;ROCK2;FASLG;PIK3R2;PIK3R1;CBL;NRAS;AKT3;KDR;FLNA;MAPK1;FLNB;FLNC;HRAS;MAPK3;MAP2K1;CAV1;GAB1;MAPK14;ESR1;MAPK12;PTK2;PIK3CA;GRB2;ARHGEF1;KRAS;TP53
KEGG_2019_Human	Prolactin signaling pathway	20/70	3.509433e-29	7.408804e-28	0	0	8.351579e+01	5.471914e+03	MAP2K1;PIK3R2;PIK3R1;MAPK14;ESR1;RELA;MAPK12;NFKB1;MAPK10;MAPK9;NRAS;MAPK8;PIK3CA;AKT3;MAPK1;KRAS;GRB2;JAK2;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	21/85	4.212982e-29	8.004667e-28	0	0	6.918900e+01	4.520587e+03	MAP2K4;MAP2K1;JUN;GAB1;PIK3R2;PIK3R1;CBL;PTK2;MAPK10;MAPK9;NRAS;MAPK8;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;CRK;PAK5;MAPK3
