Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	38/530	1.014749e-34	1.826548e-32	0	0	2.541057e+01	1.988968e+03	NOTCH1;HDAC1;PIK3R3;PIK3R2;PIK3R1;CBL;ETS1;RELA;IGF1R;CCND1;MAPK1;HRAS;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;CREBBP;MAP2K1;CDKN2A;FOS;ESR1;GNG11;NFKB1;ESR2;PTK2;EPOR;AR;PIK3CA;GNAQ;GNB1;KIT;GNB3;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	PI3K-Akt signaling pathway	32/354	3.301213e-32	2.971092e-30	0	0	2.993751e+01	2.170123e+03	FLT1;IRS1;PIK3R3;PIK3R2;PIK3R1;RELA;IGF1R;CCND1;ERBB3;CD19;KDR;MAPK1;HRAS;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;GNG11;NFKB1;PTK2;EPOR;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS;TP53
KEGG_2019_Human	Ras signaling pathway	26/232	1.548283e-28	9.289697e-27	0	0	3.501449e+01	2.242161e+03	FLT1;PIK3R3;PIK3R2;PIK3R1;ETS1;RELA;IGF1R;KDR;MAPK1;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;GAB1;GAB2;GNG11;NFKB1;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS
KEGG_2019_Human	Chronic myeloid leukemia	19/76	5.046268e-28	2.270821e-26	0	0	8.481197e+01	5.330749e+03	MAP2K1;HDAC1;CDKN2A;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;RELA;NFKB1;CCND1;PIK3CA;MAPK1;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	25/225	2.431565e-27	8.753635e-26	0	0	3.420660e+01	2.096223e+03	PIK3R3;PIK3R2;PIK3R1;RELA;CCND1;MAPK1;HRAS;MAPK3;JAK1;PDGFRA;MAP2K1;CDKN2A;GNG11;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNAQ;GNB1;GNB3;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	MAPK signaling pathway	27/295	3.181986e-27	9.545959e-26	0	0	2.825933e+01	1.724166e+03	FLT1;ARRB1;ARRB2;DUSP16;RELA;IGF1R;ERBB3;KDR;MAPK1;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;DUSP5;MAP2K1;DUSP2;FOS;NFKB1;DUSP6;TNFRSF1A;KIT;GRB2;KRAS;TP53;CRK
KEGG_2019_Human	Prostate cancer	19/97	8.522671e-26	2.191544e-24	0	0	6.191239e+01	3.573861e+03	PDGFRB;PDGFRA;MAP2K1;CREBBP;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IGF1R;AR;CCND1;PIK3CA;MAPK1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	20/119	1.085797e-25	2.443043e-24	0	0	5.195855e+01	2.986697e+03	NTRK1;NGFR;MAP2K1;IRS1;PRKCD;GAB1;PIK3R3;FRS2;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;MAPK1;GRB2;KRAS;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	23/201	1.826135e-25	3.652270e-24	0	0	3.444238e+01	1.961921e+03	MAP2K1;DDX5;CAV1;GAB1;PIK3R3;FRS2;PIK3R2;PIK3R1;CBL;ESR1;PTK2;IGF1R;CCND1;PIK3CA;ERBB3;KDR;MAPK1;GRB2;ARHGEF1;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	21/186	3.720285e-23	6.696513e-22	0	0	3.305407e+01	1.707099e+03	CREBBP;MAP2K1;PIK3R3;PIK3R2;PIK3R1;FOS;GNG11;RELA;NFKB1;TNFRSF1A;HCK;CCND1;PIK3CA;GNB1;GNB3;MAPK1;KRAS;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Prolactin signaling pathway	16/70	5.131687e-23	8.397305e-22	0	0	7.260722e+01	3.726495e+03	MAP2K1;PIK3R3;PIK3R2;FOS;PIK3R1;ESR1;RELA;NFKB1;ESR2;CCND1;PIK3CA;MAPK1;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	21/190	5.880556e-23	8.820834e-22	0	0	3.226518e+01	1.651584e+03	MAP2K1;PRKCD;PIK3R3;PIK3R2;ARRB1;PIK3R1;ARRB2;GNG11;RELA;NFKB1;PTK2;HCK;PIK3CA;GNB1;GNB3;MAPK1;GRB2;KRAS;CRK;HRAS;MAPK3
KEGG_2019_Human	Glioma	16/75	1.735687e-22	2.403259e-21	0	0	6.643733e+01	3.328874e+03	PDGFRB;PDGFRA;MAP2K1;CDKN2A;PIK3R3;PIK3R2;PIK3R1;IGF1R;CCND1;PIK3CA;MAPK1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	15/66	1.366989e-21	1.663341e-20	0	0	7.120516e+01	3.420816e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;DUSP6;RELA;NFKB1;CCND1;PIK3CA;KIT;MAPK1;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Relaxin signaling pathway	18/130	1.386118e-21	1.663341e-20	0	0	4.026198e+01	1.933694e+03	MAP2K1;PIK3R3;PIK3R2;ARRB1;PIK3R1;FOS;ARRB2;GNG11;RELA;NFKB1;PIK3CA;GNB1;GNB3;MAPK1;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	15/71	4.570577e-21	5.061744e-20	0	0	6.483123e+01	3.036348e+03	MAP2K1;PIK3R3;PIK3R2;FOS;PIK3R1;RELA;NFKB1;PIK3CA;CD19;MAPK1;KRAS;GRB2;FCGR2B;HRAS;MAPK3
KEGG_2019_Human	Focal adhesion	20/199	4.780536e-21	5.061744e-20	0	0	2.862076e+01	1.339158e+03	PDGFRB;PDGFRA;MAP2K1;FLT1;CAV1;ILK;PIK3R3;PIK3R2;PIK3R1;PTK2;IGF1R;CCND1;PIK3CA;KDR;CAPN2;MAPK1;GRB2;CRK;HRAS;MAPK3
KEGG_2019_Human	Melanoma	15/72	5.751172e-21	5.751172e-20	0	0	6.369063e+01	2.968294e+03	PDGFRB;PDGFRA;MAP2K1;CDKN2A;PIK3R3;PIK3R2;PIK3R1;IGF1R;CCND1;PIK3CA;MAPK1;KRAS;HRAS;TP53;MAPK3
KEGG_2019_Human	Breast cancer	18/147	1.378436e-20	1.305886e-19	0	0	3.492611e+01	1.597197e+03	MAP2K1;NOTCH1;PIK3R3;PIK3R2;PIK3R1;FOS;ESR1;ESR2;IGF1R;CCND1;PIK3CA;KIT;MAPK1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	20/212	1.719515e-20	1.490570e-19	0	0	2.666531e+01	1.213529e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;FOS;GNG11;RELA;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNAQ;GNB1;GNB3;MAPK1;KRAS;CRK;HRAS;ATR;MAPK3
KEGG_2019_Human	Human papillomavirus infection	23/330	1.738998e-20	1.490570e-19	0	0	1.983925e+01	9.026538e+02	PDGFRB;CREBBP;MAP2K1;NOTCH1;HDAC1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;TNFRSF1A;SLC9A3R1;CCND1;PIK3CA;MAPK1;GRB2;KRAS;TP53;HRAS;ATR;MAPK3;JAK1
