Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	7.132621e-12	1.376596e-09	0	0	1.730178e+01	4.440734e+02	HDAC2;THRB;SRC;PIK3R1;ATP1A1;MED4;ESR1;ACTB;NRAS;PIK3CA;MDM2;CTNNB1;TP53
KEGG_2019_Human	Viral carcinogenesis	15/201	6.073335e-11	5.860768e-09	0	0	1.116368e+01	2.626202e+02	HDAC4;JUN;HDAC2;GSN;DDX3X;CDKN2A;SRC;HLA-B;CHD4;PIK3R1;NRAS;PIK3CA;MDM2;HIST1H2BG;TP53
KEGG_2019_Human	Chronic myeloid leukemia	9/76	8.174215e-09	5.258745e-07	0	0	1.794917e+01	3.342545e+02	BCR;HDAC2;NRAS;MECOM;PIK3CA;CDKN2A;MDM2;PIK3R1;TP53
KEGG_2019_Human	Estrogen signaling pathway	11/137	1.109907e-08	5.355300e-07	0	0	1.178990e+01	2.159486e+02	HSPA8;JUN;NRAS;PIK3CA;KRT17;SRC;PIK3R1;KRT10;ESR1;ESR2;KRT9
KEGG_2019_Human	Adherens junction	8/72	9.426225e-08	3.638523e-06	0	0	1.659312e+01	2.684300e+02	AFDN;CSNK2A1;CDH1;SRC;CSNK2B;CTNNB1;IQGAP1;ACTB
KEGG_2019_Human	Breast cancer	10/147	2.519568e-07	8.104610e-06	0	0	9.784994e+00	1.486733e+02	JUN;NRAS;PIK3CA;APC;DVL2;CTNNB1;PIK3R1;TP53;ESR1;ESR2
KEGG_2019_Human	Endometrial cancer	7/58	3.451677e-07	9.516766e-06	0	0	1.811033e+01	2.694678e+02	NRAS;PIK3CA;APC;CDH1;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Bladder cancer	6/41	7.617641e-07	1.636923e-05	0	0	2.248780e+01	3.167997e+02	NRAS;SRC;CDH1;CDKN2A;MDM2;TP53
KEGG_2019_Human	Mitophagy	7/65	7.633320e-07	1.636923e-05	0	0	1.591897e+01	2.242277e+02	NRAS;JUN;CSNK2A1;SRC;CSNK2B;SQSTM1;TP53
KEGG_2019_Human	Pathways in cancer	17/530	9.692244e-07	1.870603e-05	0	0	4.575466e+00	6.335543e+01	JUN;HDAC2;CDKN2A;PIK3R1;ESR1;ESR2;BCR;NRAS;APC;PIK3CA;MECOM;CDH1;RASSF5;MDM2;DVL2;CTNNB1;TP53
KEGG_2019_Human	Melanoma	7/72	1.542697e-06	2.484464e-05	0	0	1.419959e+01	1.900186e+02	NRAS;PIK3CA;CDH1;CDKN2A;MDM2;PIK3R1;TP53
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	1.544745e-06	2.484464e-05	0	0	9.221258e+00	1.233864e+02	ACVR1;JUN;PIK3CA;SRC;CTNNB1;PIK3R1;SQSTM1;TP53;ACTB
KEGG_2019_Human	Bacterial invasion of epithelial cells	7/74	1.860035e-06	2.761436e-05	0	0	1.377433e+01	1.817511e+02	PIK3CA;CDH1;SRC;CTNNB1;PIK3R1;ACTB;CD2AP
KEGG_2019_Human	Human papillomavirus infection	13/330	2.139428e-06	2.949354e-05	0	0	5.560769e+00	7.259569e+01	HDAC2;HLA-B;CHD4;PIK3R1;PPP2CA;PPP2CB;NRAS;APC;PIK3CA;MDM2;DVL2;CTNNB1;TP53
KEGG_2019_Human	Proteoglycans in cancer	10/201	4.368562e-06	5.372798e-05	0	0	6.999323e+00	8.637919e+01	NRAS;PIK3CA;SRC;MDM2;CTNNB1;PIK3R1;IQGAP1;TP53;ESR1;ACTB
KEGG_2019_Human	Wnt signaling pathway	9/158	4.454133e-06	5.372798e-05	0	0	8.037638e+00	9.903719e+01	SFRP4;JUN;APC;CSNK2A1;RUVBL1;CSNK2B;DVL2;CTNNB1;TP53
KEGG_2019_Human	Cellular senescence	9/160	4.936633e-06	5.504422e-05	0	0	7.930374e+00	9.689987e+01	NRAS;PIK3CA;CDKN2A;RASSF5;HLA-B;MDM2;PIK3R1;SQSTM1;TP53
KEGG_2019_Human	Colorectal cancer	7/86	5.133658e-06	5.504422e-05	0	0	1.167494e+01	1.421971e+02	NRAS;JUN;PIK3CA;APC;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	9/168	7.342333e-06	7.426474e-05	0	0	7.528302e+00	8.899848e+01	NRAS;APC;PIK3CA;CDKN2A;DVL2;CTNNB1;PIK3R1;TP53;ACTB
KEGG_2019_Human	Autophagy	8/128	7.772122e-06	7.426474e-05	0	0	8.824609e+00	1.038212e+02	SH3GLB1;PPP2CA;PPP2CB;NRAS;LAMP1;PIK3CA;STX17;PIK3R1
KEGG_2019_Human	Tight junction	9/170	8.080619e-06	7.426474e-05	0	0	7.434027e+00	8.717172e+01	PPP2CA;ACTR2;AFDN;PPP2CB;JUN;TUBA1A;SRC;ACTB;AMOT
KEGG_2019_Human	Non-small cell lung cancer	6/66	1.309626e-05	1.148899e-04	0	0	1.310132e+01	1.473006e+02	NRAS;PIK3CA;CDKN2A;RASSF5;PIK3R1;TP53
KEGG_2019_Human	Prolactin signaling pathway	6/70	1.841721e-05	1.545444e-04	0	0	1.228001e+01	1.338794e+02	NRAS;PIK3CA;SRC;PIK3R1;ESR1;ESR2
KEGG_2019_Human	Gastric cancer	8/149	2.355000e-05	1.893812e-04	0	0	7.502309e+00	7.994749e+01	NRAS;PIK3CA;APC;CDH1;DVL2;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Glioma	6/75	2.738620e-05	2.114214e-04	0	0	1.138727e+01	1.196287e+02	NRAS;PIK3CA;CDKN2A;MDM2;PIK3R1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	9/201	3.071016e-05	2.279639e-04	0	0	6.223923e+00	6.467227e+01	NCOR2;PSMC5;JUN;HDAC2;PIK3CA;HLA-B;MDM2;PIK3R1;TP53
KEGG_2019_Human	Rap1 signaling pathway	9/206	3.722508e-05	2.660904e-04	0	0	6.064412e+00	6.184808e+01	AFDN;NRAS;PIK3CA;CDH1;SRC;RASSF5;CTNNB1;PIK3R1;ACTB
KEGG_2019_Human	Hippo signaling pathway	8/160	3.923962e-05	2.704731e-04	0	0	6.955493e+00	7.056920e+01	PPP2CA;PPP2CB;APC;CDH1;DVL2;CTNNB1;ACTB;AMOT
KEGG_2019_Human	Regulation of actin cytoskeleton	9/214	5.007147e-05	3.332343e-04	0	0	5.825379e+00	5.768325e+01	CYFIP1;NRAS;GSN;APC;PIK3CA;SRC;PIK3R1;IQGAP1;ACTB
KEGG_2019_Human	Human cytomegalovirus infection	9/225	7.369745e-05	4.741203e-04	0	0	5.525619e+00	5.257926e+01	NRAS;PIK3CA;CDKN2A;SRC;HLA-B;MDM2;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Ras signaling pathway	9/232	9.314764e-05	5.799192e-04	0	0	5.350261e+00	4.965751e+01	AFDN;NRAS;PIK3CA;RASSF5;NF1;SHOC2;PIK3R1;RIN1;RGL2
KEGG_2019_Human	VEGF signaling pathway	5/59	9.946569e-05	5.999025e-04	0	0	1.205470e+01	1.110925e+02	NRAS;PIK3CA;MAPKAPK3;SRC;PIK3R1
KEGG_2019_Human	Measles	7/138	1.101793e-04	6.253113e-04	0	0	7.022087e+00	6.399509e+01	HSPA8;JUN;CSNK2A1;PIK3CA;CSNK2B;PIK3R1;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	1.130711e-04	6.253113e-04	0	0	5.931679e+00	5.390410e+01	NRAS;JUN;PIK3CA;SRC;HLA-B;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	7/139	1.152675e-04	6.253113e-04	0	0	6.968535e+00	6.319245e+01	ACVR1;NRAS;PIK3CA;APC;DVL2;CTNNB1;PIK3R1
KEGG_2019_Human	Prostate cancer	6/97	1.166384e-04	6.253113e-04	0	0	8.624700e+00	7.810901e+01	NRAS;PIK3CA;MDM2;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Endocytosis	9/244	1.364910e-04	6.986984e-04	0	0	5.073951e+00	4.515436e+01	SH3GLB1;HSPA8;ITCH;SRC;CAPZA2;HLA-B;MDM2;AP2M1;EPN1
KEGG_2019_Human	Apoptosis	7/143	1.375676e-04	6.986984e-04	0	0	6.762206e+00	6.012545e+01	JUN;NRAS;TUBA1A;PIK3CA;PIK3R1;TP53;ACTB
KEGG_2019_Human	Longevity regulating pathway	6/102	1.539085e-04	7.616496e-04	0	0	8.173427e+00	7.175576e+01	HSPA8;HDAC2;NRAS;PIK3CA;PIK3R1;TP53
KEGG_2019_Human	C-type lectin receptor signaling pathway	6/104	1.712183e-04	8.261283e-04	0	0	8.005812e+00	6.943097e+01	JUN;NRAS;PIK3CA;SRC;MDM2;PIK3R1
KEGG_2019_Human	Thyroid cancer	4/37	1.972528e-04	9.285314e-04	0	0	1.569420e+01	1.338876e+02	NRAS;CDH1;CTNNB1;TP53
KEGG_2019_Human	Hepatitis C	7/155	2.262529e-04	1.039686e-03	0	0	6.210135e+00	5.212699e+01	PPP2CA;PPP2CB;NRAS;PIK3CA;CTNNB1;PIK3R1;TP53
KEGG_2019_Human	Leukocyte transendothelial migration	6/112	2.564264e-04	1.150937e-03	0	0	7.398601e+00	6.117658e+01	AFDN;PIK3CA;RASSF5;CTNNB1;PIK3R1;ACTB
KEGG_2019_Human	Hepatitis B	7/163	3.075542e-04	1.349045e-03	0	0	5.889274e+00	4.762573e+01	NRAS;JUN;DDX3X;PIK3CA;SRC;PIK3R1;TP53
KEGG_2019_Human	Sphingolipid signaling pathway	6/119	3.555906e-04	1.525089e-03	0	0	6.937819e+00	5.509829e+01	PPP2CA;PPP2CB;NRAS;PIK3CA;PIK3R1;TP53
KEGG_2019_Human	Notch signaling pathway	4/48	5.435016e-04	2.272270e-03	0	0	1.176411e+01	8.843645e+01	NCOR2;HDAC2;DVL2;NUMB
KEGG_2019_Human	ErbB signaling pathway	5/85	5.533507e-04	2.272270e-03	0	0	8.126234e+00	6.094284e+01	NRAS;JUN;PIK3CA;SRC;PIK3R1
KEGG_2019_Human	Pathogenic Escherichia coli infection	4/55	9.129767e-04	3.670927e-03	0	0	1.014584e+01	7.100872e+01	TUBA1A;CDH1;CTNNB1;ACTB
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	5/101	1.208675e-03	4.760698e-03	0	0	6.766379e+00	4.545810e+01	CSNK2A1;CSNK2B;NAT10;GNL2;GNL3
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	5/103	1.319201e-03	5.092115e-03	0	0	6.627618e+00	4.394594e+01	PPP2CA;PPP2CB;JUN;PIK3CA;PIK3R1
KEGG_2019_Human	Basal cell carcinoma	4/63	1.519040e-03	5.748524e-03	0	0	8.766589e+00	5.689233e+01	APC;DVL2;CTNNB1;TP53
KEGG_2019_Human	Central carbon metabolism in cancer	4/65	1.705771e-03	6.331035e-03	0	0	8.478303e+00	5.403848e+01	NRAS;PIK3CA;PIK3R1;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	7/219	1.747361e-03	6.363032e-03	0	0	4.321289e+00	2.743867e+01	NRAS;JUN;PIK3CA;CDKN2A;HLA-B;PIK3R1;TP53
KEGG_2019_Human	Renal cell carcinoma	4/69	2.125975e-03	7.598391e-03	0	0	7.954952e+00	4.895100e+01	NRAS;JUN;PIK3CA;PIK3R1
KEGG_2019_Human	MAPK signaling pathway	8/295	2.342635e-03	8.136018e-03	0	0	3.658490e+00	2.215757e+01	HSPA8;NRAS;JUN;MAPKAPK3;MECOM;NF1;MAPT;TP53
KEGG_2019_Human	B cell receptor signaling pathway	4/71	2.360710e-03	8.136018e-03	0	0	7.716711e+00	4.667678e+01	NRAS;JUN;PIK3CA;PIK3R1
KEGG_2019_Human	Neurotrophin signaling pathway	5/119	2.490289e-03	8.432030e-03	0	0	5.692809e+00	3.413042e+01	JUN;NRAS;PIK3CA;PIK3R1;TP53
KEGG_2019_Human	AMPK signaling pathway	5/120	2.582392e-03	8.593133e-03	0	0	5.643021e+00	3.362698e+01	PPP2CA;PPP2CB;PIK3CA;PIK3R1;ELAVL1
KEGG_2019_Human	Pancreatic cancer	4/75	2.882559e-03	9.429387e-03	0	0	7.280493e+00	4.258417e+01	PIK3CA;CDKN2A;PIK3R1;TP53
KEGG_2019_Human	Cell cycle	5/124	2.975656e-03	9.437927e-03	0	0	5.452234e+00	3.171723e+01	HDAC2;PRKDC;CDKN2A;MDM2;TP53
KEGG_2019_Human	Alcoholism	6/180	3.012562e-03	9.437927e-03	0	0	4.491665e+00	2.607395e+01	HDAC4;NRAS;HDAC2;HIST1H3A;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	3/37	3.031873e-03	9.437927e-03	0	0	1.134969e+01	6.581205e+01	PIK3CA;PIK3R1;ATP1A1
KEGG_2019_Human	Axon guidance	6/181	3.096067e-03	9.484775e-03	0	0	4.465771e+00	2.580154e+01	NRAS;ABLIM2;ABLIM3;PIK3CA;SRC;PIK3R1
KEGG_2019_Human	Relaxin signaling pathway	5/130	3.644207e-03	1.098956e-02	0	0	5.188947e+00	2.913395e+01	JUN;NRAS;PIK3CA;SRC;PIK3R1
KEGG_2019_Human	Focal adhesion	6/199	4.914135e-03	1.451936e-02	0	0	4.045568e+00	2.150478e+01	JUN;PIK3CA;SRC;CTNNB1;PIK3R1;ACTB
KEGG_2019_Human	Carbohydrate digestion and absorption	3/44	4.965170e-03	1.451936e-02	0	0	9.408616e+00	4.991560e+01	PIK3CA;PIK3R1;ATP1A1
KEGG_2019_Human	Nucleotide excision repair	3/47	5.975845e-03	1.721400e-02	0	0	8.765791e+00	4.488111e+01	RFC1;XPA;RPA1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	3/48	6.338003e-03	1.798874e-02	0	0	8.570563e+00	4.337726e+01	ATP1A1;ESR1;AP2M1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	6/212	6.645804e-03	1.858899e-02	0	0	3.787758e+00	1.899095e+01	NRAS;JUN;PIK3CA;HLA-B;PIK3R1;SAMHD1
KEGG_2019_Human	Ribosome	5/153	7.217237e-03	1.989895e-02	0	0	4.377445e+00	2.158642e+01	RPS15;RPL5;RPS7;RPS20;RPS27A
KEGG_2019_Human	Choline metabolism in cancer	4/99	7.726161e-03	2.100210e-02	0	0	5.434606e+00	2.642927e+01	JUN;NRAS;PIK3CA;PIK3R1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	4/100	7.999916e-03	2.144422e-02	0	0	5.377723e+00	2.596539e+01	JUN;NRAS;PIK3CA;PIK3R1
KEGG_2019_Human	T cell receptor signaling pathway	4/101	8.279968e-03	2.189088e-02	0	0	5.322013e+00	2.551329e+01	JUN;NRAS;PIK3CA;PIK3R1
KEGG_2019_Human	Regulation of lipolysis in adipocytes	3/55	9.238141e-03	2.409407e-02	0	0	7.414211e+00	3.473124e+01	PIK3CA;ABHD5;PIK3R1
KEGG_2019_Human	MicroRNAs in cancer	7/299	9.464986e-03	2.435656e-02	0	0	3.124589e+00	1.456107e+01	HDAC4;NRAS;APC;PIK3CA;CDKN2A;MDM2;TP53
KEGG_2019_Human	TNF signaling pathway	4/110	1.109292e-02	2.817017e-02	0	0	4.867925e+00	2.191271e+01	JUN;ITCH;PIK3CA;PIK3R1
KEGG_2019_Human	Influenza A	5/171	1.133761e-02	2.841763e-02	0	0	3.899215e+00	1.746704e+01	HSPA8;JUN;PIK3CA;PIK3R1;ACTB
KEGG_2019_Human	Long-term depression	3/60	1.171258e-02	2.898112e-02	0	0	6.762133e+00	3.007183e+01	PPP2CA;PPP2CB;NRAS
KEGG_2019_Human	Mismatch repair	2/23	1.390422e-02	3.396853e-02	0	0	1.217942e+01	5.207386e+01	RFC1;RPA1
