Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	14/158	5.773351e-11	1.137350e-08	0	0	1.259412e+01	2.969086e+02	RNF43;TCF7L2;JUN;CSNK2A1;CHD8;CACYBP;CCND2;CCND1;APC;RUVBL1;CSNK2B;CTNNB1;PRKACA;TP53
KEGG_2019_Human	Protein processing in endoplasmic reticulum	11/165	1.350081e-07	1.329830e-05	0	0	9.069124e+00	1.434548e+02	BCAP31;HSPA8;LMAN1;RPN2;BAG2;RPN1;UBE2D1;SSR1;STUB1;CKAP4;UBE2J1
KEGG_2019_Human	Endometrial cancer	7/58	5.034821e-07	2.282856e-05	0	0	1.707744e+01	2.476523e+02	TCF7L2;CCND1;APC;CDH1;CTNNB1;RAF1;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	5.366180e-07	2.282856e-05	0	0	1.056866e+01	1.525902e+02	HDAC2;NCOR1;CCND1;RHEB;CTNNB1;PRKACA;RAF1;TP53;ACTB
KEGG_2019_Human	Colorectal cancer	8/86	5.823605e-07	2.282856e-05	0	0	1.282441e+01	1.841095e+02	TCF7L2;JUN;CCND1;APC;CASP3;CTNNB1;RAF1;TP53
KEGG_2019_Human	Human papillomavirus infection	14/330	6.952861e-07	2.282856e-05	0	0	5.688957e+00	8.066340e+01	BCAP31;TCF7L2;HDAC2;CHD4;PPP2CA;CCND2;APC;CCND1;RHEB;CASP3;CTNNB1;RAF1;PRKACA;TP53
KEGG_2019_Human	Adherens junction	7/72	2.237942e-06	6.298208e-05	0	0	1.338974e+01	1.741999e+02	TCF7L2;CSNK2A1;CDH1;CSNK2B;CTNNB1;IQGAP1;ACTB
KEGG_2019_Human	Thyroid cancer	5/37	1.303825e-05	3.210669e-04	0	0	1.921778e+01	2.161543e+02	TCF7L2;CCND1;CDH1;CTNNB1;TP53
KEGG_2019_Human	Measles	8/138	2.022137e-05	4.426233e-04	0	0	7.674391e+00	8.295074e+01	HSPA8;JUN;CCND2;CCND1;CSNK2A1;CASP3;CSNK2B;TP53
KEGG_2019_Human	Chronic myeloid leukemia	6/76	4.039192e-05	7.805229e-04	0	0	1.058786e+01	1.071161e+02	BCR;HDAC2;MECOM;CCND1;RAF1;TP53
KEGG_2019_Human	Proteoglycans in cancer	9/201	4.754454e-05	7.805229e-04	0	0	5.864451e+00	5.837382e+01	DDX5;CCND1;CASP3;CTNNB1;IQGAP1;RAF1;PRKACA;TP53;ACTB
KEGG_2019_Human	Viral carcinogenesis	9/201	4.754454e-05	7.805229e-04	0	0	5.864451e+00	5.837382e+01	JUN;HDAC2;CCND2;CCND1;CASP3;CHD4;HIST1H2BG;PRKACA;TP53
KEGG_2019_Human	Hippo signaling pathway	8/160	5.826691e-05	8.829678e-04	0	0	6.556296e+00	6.392701e+01	PPP2CA;TCF7L2;CCND2;CCND1;APC;CDH1;CTNNB1;ACTB
KEGG_2019_Human	Cell cycle	7/124	7.973462e-05	1.121980e-03	0	0	7.419180e+00	7.001336e+01	HDAC2;CCND2;CCND1;MCM7;PRKDC;TP53;MCM2
KEGG_2019_Human	Tight junction	8/170	8.918781e-05	1.135842e-03	0	0	6.148461e+00	5.733296e+01	ACTR3;PPP2CA;ACTR2;JUN;TUBA1A;CCND1;PRKACA;ACTB
KEGG_2019_Human	Pathogenic Escherichia coli infection	5/55	9.225109e-05	1.135842e-03	0	0	1.228820e+01	1.141696e+02	TUBA1A;CDH1;CTNNB1;ARPC5;ACTB
KEGG_2019_Human	Pathways in cancer	14/530	1.407341e-04	1.630860e-03	0	0	3.448235e+00	3.058115e+01	TCF7L2;JUN;HDAC2;BCR;CCND2;APC;CCND1;MECOM;CDH1;CASP3;CTNNB1;RAF1;PRKACA;TP53
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	6/101	1.974459e-04	2.124469e-03	0	0	7.791711e+00	6.646365e+01	GNL3L;XPO1;CSNK2A1;CSNK2B;NAT10;GNL3
KEGG_2019_Human	Mitophagy	5/65	2.048981e-04	2.124469e-03	0	0	1.023499e+01	8.692575e+01	JUN;CSNK2A1;UBB;CSNK2B;TP53
KEGG_2019_Human	Breast cancer	7/147	2.300142e-04	2.265640e-03	0	0	6.193082e+00	5.188174e+01	TCF7L2;JUN;CCND1;APC;CTNNB1;RAF1;TP53
KEGG_2019_Human	Gastric cancer	7/149	2.498602e-04	2.343927e-03	0	0	6.105235e+00	5.064054e+01	TCF7L2;CCND1;APC;CDH1;CTNNB1;RAF1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	8/201	2.816034e-04	2.521631e-03	0	0	5.152751e+00	4.212380e+01	NCOR2;PSMC5;JUN;HDAC2;CCND2;CCND1;CASP3;TP53
KEGG_2019_Human	Bladder cancer	4/41	3.648031e-04	3.124618e-03	0	0	1.321121e+01	1.045820e+02	CCND1;CDH1;RAF1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	7/168	5.161214e-04	4.236496e-03	0	0	5.379546e+00	4.071869e+01	TCF7L2;APC;CCND1;CTNNB1;RAF1;TP53;ACTB
KEGG_2019_Human	Influenza A	7/171	5.735329e-04	4.519439e-03	0	0	5.280334e+00	3.941081e+01	HSPA8;JUN;XPO1;FURIN;RAF1;KPNA2;ACTB
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	7/186	9.413053e-04	7.132198e-03	0	0	4.834159e+00	3.368559e+01	JUN;CCND1;UBB;CASP3;CTNNB1;RAF1;TP53
KEGG_2019_Human	Estrogen signaling pathway	6/137	1.002563e-03	7.314999e-03	0	0	5.640172e+00	3.894649e+01	HSPA8;JUN;KRT17;PRKCD;PRKACA;RAF1
KEGG_2019_Human	Apoptosis	6/143	1.250824e-03	8.778400e-03	0	0	5.391515e+00	3.603663e+01	JUN;TUBA1A;CASP3;RAF1;TP53;ACTB
KEGG_2019_Human	Prostate cancer	5/97	1.292252e-03	8.778400e-03	0	0	6.664191e+00	4.432599e+01	TCF7L2;CCND1;CTNNB1;RAF1;TP53
KEGG_2019_Human	Longevity regulating pathway	5/102	1.615700e-03	1.060976e-02	0	0	6.319075e+00	4.061894e+01	HSPA8;HDAC2;RHEB;PRKACA;TP53
