Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	15/137	3.029890e-13	5.726491e-11	0	0	1.671962e+01	4.819443e+02	PIAS4;PRKN;ANAPC7;CUL3;UBE2D1;CBL;PML;PIAS1;CDC23;UBR5;UBE2N;BIRC6;TRIP12;BIRC2;SKP1
KEGG_2019_Human	Wnt signaling pathway	15/158	2.485914e-12	2.349189e-10	0	0	1.424910e+01	3.807413e+02	RNF43;TCF7L2;JUN;CTBP2;CHD8;CSNK2A2;CSNK1E;MAPK9;TBL1XR1;RUVBL1;CSNK2B;EP300;PRKACA;TP53;SKP1
KEGG_2019_Human	Viral carcinogenesis	15/201	7.963491e-11	5.017000e-09	0	0	1.093103e+01	2.541856e+02	RB1;HDAC5;USP7;JUN;HDAC2;TBP;CHD4;SNW1;HIST4H4;EP300;MAPK1;GRB2;PRKACA;TP53;MAPK3
KEGG_2019_Human	Pathways in cancer	20/530	9.437144e-09	3.646825e-07	0	0	5.414566e+00	1.000537e+02	RB1;TCF7L2;JUN;HDAC2;CTBP2;MAX;CBL;PML;BCR;MAPK9;MSH2;CDH1;EP300;MAPK1;GRB2;PRKACA;TP53;BIRC2;SKP1;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	9/76	9.647685e-09	3.646825e-07	0	0	1.758990e+01	3.246488e+02	RB1;BCR;HDAC2;CTBP2;MAPK1;GRB2;CBL;TP53;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	2.423622e-08	7.634411e-07	0	0	8.428836e+00	1.478032e+02	RB1;JUN;TBP;ANAPC7;RELB;MAPK9;CDC23;XPO1;EP300;MAPK1;PRKACA;TP53;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	3.932602e-07	1.039619e-05	0	0	1.099195e+01	1.621181e+02	MED1;HDAC2;NCOR1;SIN3A;EP300;MAPK1;PRKACA;TP53;MAPK3
KEGG_2019_Human	Colorectal cancer	8/86	4.400503e-07	1.039619e-05	0	0	1.333468e+01	1.951714e+02	MAPK9;TCF7L2;JUN;MSH2;MAPK1;GRB2;TP53;MAPK3
KEGG_2019_Human	Mitophagy	7/65	8.670894e-07	1.820888e-05	0	0	1.560446e+01	2.178090e+02	PRKN;MAPK9;JUN;UBB;CSNK2A2;CSNK2B;TP53
KEGG_2019_Human	Adherens junction	7/72	1.750788e-06	3.308990e-05	0	0	1.391905e+01	1.845033e+02	TCF7L2;CDH1;CSNK2A2;CSNK2B;EP300;MAPK1;MAPK3
KEGG_2019_Human	Human papillomavirus infection	13/330	2.643764e-06	4.542467e-05	0	0	5.446447e+00	6.995040e+01	RB1;TCF7L2;HDAC2;TBP;CHD4;PPP2CA;TADA3;EP300;MAPK1;GRB2;PRKACA;TP53;MAPK3
KEGG_2019_Human	Endometrial cancer	6/58	6.848928e-06	1.012061e-04	0	0	1.482617e+01	1.763042e+02	TCF7L2;CDH1;MAPK1;GRB2;TP53;MAPK3
KEGG_2019_Human	Cell cycle	8/124	7.064434e-06	1.012061e-04	0	0	8.949183e+00	1.061412e+02	RB1;HDAC2;CDC23;ANAPC7;PRKDC;EP300;TP53;SKP1
KEGG_2019_Human	Oocyte meiosis	8/125	7.496746e-06	1.012061e-04	0	0	8.872245e+00	1.047017e+02	PPP2CA;CDC23;ANAPC7;MAPK1;PRKACA;SKP1;MAPK3;PPP1CA
KEGG_2019_Human	Thyroid cancer	5/37	1.090832e-05	1.322507e-04	0	0	1.996774e+01	2.281511e+02	TCF7L2;CDH1;MAPK1;TP53;MAPK3
KEGG_2019_Human	FoxO signaling pathway	8/132	1.119583e-05	1.322507e-04	0	0	8.368421e+00	9.539974e+01	MAPK9;USP7;EP300;MAPK1;GRB2;CSNK1E;SIRT1;MAPK3
KEGG_2019_Human	Prostate cancer	7/97	1.291884e-05	1.436271e-04	0	0	1.003994e+01	1.130179e+02	RB1;TCF7L2;EP300;MAPK1;GRB2;TP53;MAPK3
KEGG_2019_Human	Alcoholism	9/180	1.489917e-05	1.564413e-04	0	0	6.855699e+00	7.619564e+01	HDAC5;H2AFB1;HDAC2;HIST4H4;MAPK1;GRB2;PRKACA;PPP1CA;MAPK3
KEGG_2019_Human	Bladder cancer	5/41	1.827621e-05	1.818002e-04	0	0	1.774552e+01	1.936020e+02	RB1;CDH1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Apoptosis	8/143	2.005926e-05	1.895600e-04	0	0	7.682261e+00	8.309763e+01	MAPK9;JUN;TUBA1A;MAPK1;BIRC6;TP53;BIRC2;MAPK3
KEGG_2019_Human	Epstein-Barr virus infection	9/201	3.564361e-05	3.091952e-04	0	0	6.099338e+00	6.246906e+01	RB1;MAPK9;USP7;JUN;HDAC2;SNW1;SIN3A;TP53;RELB
KEGG_2019_Human	Hedgehog signaling pathway	5/47	3.599098e-05	3.091952e-04	0	0	1.520584e+01	1.555898e+02	CUL3;BOC;ARRB2;CSNK1E;PRKACA
KEGG_2019_Human	Notch signaling pathway	5/48	3.991810e-05	3.280227e-04	0	0	1.485146e+01	1.504257e+02	HDAC2;SNW1;CTBP2;NUMB;EP300
KEGG_2019_Human	Hepatitis B	8/163	5.121935e-05	4.033523e-04	0	0	6.684211e+00	6.603594e+01	RB1;MAPK9;JUN;EP300;MAPK1;GRB2;TP53;MAPK3
KEGG_2019_Human	ErbB signaling pathway	6/85	6.196075e-05	4.684233e-04	0	0	9.745685e+00	9.442603e+01	MAPK9;JUN;MAPK1;GRB2;CBL;MAPK3
