Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	17/201	3.537841e-13	6.261979e-11	0	0	1.306772e+01	3.746527e+02	RB1;HDAC5;USP7;JUN;TBP;YWHAB;CDKN2A;YWHAZ;HNRNPK;CASP8;PKM;CHEK1;EP300;MAPK1;TP53;YWHAG;MAPK3
KEGG_2019_Human	Hepatitis C	13/155	2.627829e-10	2.176576e-08	0	0	1.261332e+01	2.782459e+02	RB1;YWHAB;ARAF;YWHAZ;PIAS1;PPP2CA;CASP8;MYC;AKT1;MAPK1;TP53;YWHAG;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	10/76	3.826757e-10	2.176576e-08	0	0	2.052511e+01	4.450632e+02	RB1;BCR;CDKN2A;MYC;ARAF;AKT1;MAPK1;TP53;CRK;MAPK3
KEGG_2019_Human	Hepatitis B	13/163	4.918817e-10	2.176576e-08	0	0	1.193576e+01	2.558165e+02	RB1;JUN;YWHAB;ARAF;YWHAZ;MAPK9;CASP8;MYC;AKT1;EP300;MAPK1;TP53;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.898795e-09	6.721734e-08	0	0	9.445070e+00	1.896763e+02	RB1;JUN;TBP;TRRAP;CDKN2A;MAPK9;MYC;CHEK1;AKT1;EP300;MAPK1;TP53;ATR;MAPK3
KEGG_2019_Human	Cell cycle	11/124	3.616483e-09	1.066863e-07	0	0	1.324632e+01	2.574789e+02	RB1;PRKDC;YWHAB;CDKN2A;MYC;CHEK1;EP300;TP53;YWHAZ;YWHAG;ATR
KEGG_2019_Human	Colorectal cancer	9/86	2.334821e-08	5.430252e-07	0	0	1.571720e+01	2.761944e+02	MAPK9;JUN;MSH2;MYC;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	2.571067e-08	5.430252e-07	0	0	9.420498e+00	1.646360e+02	RB1;BECN1;MAPK9;JUN;CASP8;UBB;MYC;AKT1;EP300;MAPK1;TP53;MAPK3
KEGG_2019_Human	Bladder cancer	7/41	2.761145e-08	5.430252e-07	0	0	2.737268e+01	4.764225e+02	RB1;CDKN2A;MYC;ARAF;MAPK1;TP53;MAPK3
KEGG_2019_Human	Mitophagy	8/65	3.961746e-08	7.012291e-07	0	0	1.876434e+01	3.198194e+02	PRKN;BECN1;MAPK9;JUN;CSNK2A1;UBB;CSNK2B;TP53
KEGG_2019_Human	Prostate cancer	9/97	6.746209e-08	1.085526e-06	0	0	1.374490e+01	2.269516e+02	RB1;HSP90AB1;ARAF;AKT1;EP300;MAPK1;TP53;HSP90B1;MAPK3
KEGG_2019_Human	Pancreatic cancer	8/75	1.239853e-07	1.828783e-06	0	0	1.595563e+01	2.537440e+02	RB1;MAPK9;CDKN2A;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Pathways in cancer	18/530	1.787713e-07	2.434040e-06	0	0	4.924932e+00	7.651945e+01	RB1;JUN;HSP90AB1;MAX;CDKN2A;ARAF;HSP90B1;BCR;MAPK9;CASP8;MSH2;MYC;AKT1;EP300;MAPK1;TP53;CRK;MAPK3
KEGG_2019_Human	ErbB signaling pathway	8/85	3.311413e-07	4.186572e-06	0	0	1.387645e+01	2.070466e+02	MAPK9;JUN;MYC;ARAF;AKT1;MAPK1;CRK;MAPK3
KEGG_2019_Human	Cellular senescence	10/160	5.214611e-07	6.153240e-06	0	0	8.992694e+00	1.300940e+02	RB1;MRE11;CDKN2A;MYC;CHEK1;AKT1;MAPK1;TP53;ATR;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	7/66	8.125887e-07	8.989263e-06	0	0	1.575418e+01	2.209215e+02	RB1;CDKN2A;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Renal cell carcinoma	7/69	1.103930e-06	1.149386e-05	0	0	1.498961e+01	2.056070e+02	JUN;ARAF;AKT1;EP300;MAPK1;CRK;MAPK3
KEGG_2019_Human	Melanoma	7/72	1.478116e-06	1.453481e-05	0	0	1.429561e+01	1.919149e+02	RB1;CDKN2A;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Apoptosis	9/143	1.855404e-06	1.728439e-05	0	0	9.005483e+00	1.188490e+02	BECN1;MAPK9;DAXX;JUN;CASP8;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Glioma	7/75	1.953038e-06	1.728439e-05	0	0	1.366285e+01	1.796135e+02	RB1;CDKN2A;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	3.565369e-06	3.005096e-05	0	0	9.877878e+00	1.239105e+02	MED1;SIN3A;MYC;AKT1;EP300;MAPK1;TP53;MAPK3
KEGG_2019_Human	Epstein-Barr virus infection	10/201	4.125961e-06	3.252977e-05	0	0	7.047622e+00	8.737791e+01	RB1;NCOR2;MAPK9;USP7;JUN;CASP8;SIN3A;MYC;AKT1;TP53
KEGG_2019_Human	Wnt signaling pathway	9/158	4.227032e-06	3.252977e-05	0	0	8.092727e+00	1.001395e+02	MAPK9;JUN;CSNK2A1;MYC;CHD8;CSNK2B;EP300;CSNK1E;TP53
KEGG_2019_Human	Endometrial cancer	6/58	5.921815e-06	4.367338e-05	0	0	1.522462e+01	1.832567e+02	MYC;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	9/168	6.971078e-06	4.935523e-05	0	0	7.579900e+00	9.000177e+01	RB1;CDKN2A;MYC;ARAF;AKT1;MAPK1;TP53;SMARCA4;MAPK3
KEGG_2019_Human	IL-17 signaling pathway	7/93	8.291306e-06	5.644466e-05	0	0	1.079335e+01	1.262855e+02	MAPK9;JUN;HSP90AB1;CASP8;MAPK1;HSP90B1;MAPK3
KEGG_2019_Human	FoxO signaling pathway	8/132	9.303369e-06	6.098875e-05	0	0	8.596338e+00	9.958973e+01	MAPK9;USP7;ARAF;AKT1;EP300;MAPK1;CSNK1E;MAPK3
KEGG_2019_Human	Human papillomavirus infection	12/330	1.122703e-05	7.051942e-05	0	0	5.116876e+00	5.831799e+01	RB1;PPP2CA;CASP8;TBP;PKM;TADA3;AKT1;EP300;MAPK1;TP53;ATR;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	1.155403e-05	7.051942e-05	0	0	1.341356e+01	1.524917e+02	PKM;MYC;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	7/103	1.624908e-05	9.586959e-05	0	0	9.664150e+00	1.065712e+02	PPP2CA;MAPK9;JUN;CASP8;AKT1;MAPK1;MAPK3
KEGG_2019_Human	C-type lectin receptor signaling pathway	7/104	1.730883e-05	9.882782e-05	0	0	9.564035e+00	1.048629e+02	MAPK9;JUN;CASP8;KSR1;AKT1;MAPK1;MAPK3
KEGG_2019_Human	Breast cancer	8/147	2.039805e-05	1.088298e-04	0	0	7.662843e+00	8.275925e+01	RB1;JUN;MYC;ARAF;AKT1;MAPK1;TP53;MAPK3
KEGG_2019_Human	Adherens junction	6/72	2.089572e-05	1.088298e-04	0	0	1.198667e+01	1.291679e+02	CSNK2A1;CSNK2B;EP300;MAPK1;SSX2IP;MAPK3
KEGG_2019_Human	MAPK signaling pathway	11/295	2.090516e-05	1.088298e-04	0	0	5.224866e+00	5.630062e+01	MAPK9;DAXX;JUN;MAX;MYC;ARAF;AKT1;MAPK1;TP53;CRK;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	7/119	4.140485e-05	2.093902e-04	0	0	8.276846e+00	8.353086e+01	MAPK9;JUN;AKT1;MAPK1;TP53;CRK;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	9/212	4.428581e-05	2.177386e-04	0	0	5.923696e+00	5.938414e+01	MAPK9;JUN;CASP8;CHEK1;AKT1;MAPK1;CRK;ATR;MAPK3
