Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	16/116	1.214407e-17	2.283085e-15	0	0	3.013943e+01	1.173921e+03	MED1;NCOA2;MAP2K1;CREBBP;HDAC3;STAT1;NCOA3;SLC2A1;PRKCA;MED14;NCOR1;EP300;MAPK1;CTNNB1;RAF1;TP53
KEGG_2019_Human	Pathways in cancer	26/530	1.031530e-16	9.696383e-15	0	0	1.052109e+01	3.872848e+02	HSP90AB1;CUL2;SLC2A1;RELA;MAPK8;DVL1;EP300;MAPK1;VHL;CREBBP;MAP2K1;JUP;STAT1;NCOA3;STAT3;PRKCA;PML;NFKB1;MSH6;MSH2;MSH3;CTNNB1;PPARG;RAF1;FGFR4;TP53
KEGG_2019_Human	Hepatitis B	14/163	1.155979e-12	7.244133e-11	0	0	1.732547e+01	4.762092e+02	CREBBP;MAP2K1;PCNA;YWHAB;STAT1;STAT3;PRKCA;RELA;NFKB1;MAPK8;EP300;MAPK1;RAF1;TP53
KEGG_2019_Human	Influenza A	14/171	2.232565e-12	1.049306e-10	0	0	1.643598e+01	4.409423e+02	CREBBP;MAP2K1;CIITA;STAT1;PRKCA;PML;RELA;NFKB1;MAPK8;XPO1;HNRNPUL1;EP300;MAPK1;RAF1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	4.676479e-12	1.758356e-10	0	0	1.364803e+01	3.560563e+02	CREBBP;MAP2K1;RANBP3;MSX2;SLC2A1;RELA;NFKB1;MAPK8;XPO1;CHEK1;EP300;MAPK1;ATM;TP53;ATR
KEGG_2019_Human	Cell cycle	12/124	1.241615e-11	3.890393e-10	0	0	1.943021e+01	4.879319e+02	CREBBP;PCNA;PRKDC;YWHAB;RAD21;CHEK1;EP300;ATM;TP53;YWHAG;CDC14B;ATR
KEGG_2019_Human	HIF-1 signaling pathway	11/100	2.252149e-11	6.048628e-10	0	0	2.223596e+01	5.451489e+02	MAP2K1;CREBBP;CUL2;STAT3;SLC2A1;EP300;MAPK1;PRKCA;VHL;NFKB1;RELA
KEGG_2019_Human	Prostate cancer	10/97	3.637814e-10	8.548863e-09	0	0	2.049498e+01	4.454474e+02	MAP2K1;CREBBP;HSP90AB1;EP300;MAPK1;CTNNB1;RAF1;TP53;NFKB1;RELA
KEGG_2019_Human	Pancreatic cancer	9/75	7.215247e-10	1.507185e-08	0	0	2.412297e+01	5.077802e+02	MAP2K1;MAPK8;STAT1;STAT3;MAPK1;RAF1;TP53;RELA;NFKB1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	1.419807e-09	2.669238e-08	0	0	1.246757e+01	2.539987e+02	CREBBP;MAP2K1;MAPK8;STAT1;STAT3;CTNNB1;EP300;MAPK1;RAF1;TP53;RELA;NFKB1
KEGG_2019_Human	Colorectal cancer	9/86	2.499040e-09	4.076851e-08	0	0	2.066535e+01	4.093261e+02	MSH6;MAP2K1;MAPK8;MSH2;MSH3;MAPK1;CTNNB1;RAF1;TP53
KEGG_2019_Human	Hepatitis C	11/155	2.602245e-09	4.076851e-08	0	0	1.370486e+01	2.709025e+02	MAP2K1;YWHAB;STAT1;STAT3;CTNNB1;MAPK1;RAF1;TP53;RELA;NFKB1;YWHAG
KEGG_2019_Human	Viral carcinogenesis	12/201	3.431250e-09	4.962115e-08	0	0	1.146935e+01	2.235415e+02	CREBBP;HDAC3;YWHAB;CHEK1;STAT3;EP300;MAPK1;TP53;HDAC9;RELA;NFKB1;YWHAG
KEGG_2019_Human	Mismatch repair	6/23	4.015407e-09	5.392118e-08	0	0	6.095754e+01	1.178500e+03	MSH6;PCNA;RFC1;MSH2;MSH3;RPA1
KEGG_2019_Human	Acute myeloid leukemia	8/66	6.085721e-09	7.627438e-08	0	0	2.419408e+01	4.576872e+02	MAP2K1;JUP;STAT3;MAPK1;RAF1;RELA;PML;NFKB1
KEGG_2019_Human	FoxO signaling pathway	10/132	7.561454e-09	8.884708e-08	0	0	1.458943e+01	2.728252e+02	CREBBP;MAP2K1;MAPK8;STAT3;EP300;MAPK1;ATM;RAF1;NLK;SIRT1
KEGG_2019_Human	Renal cell carcinoma	8/69	8.726896e-09	9.650921e-08	0	0	2.300073e+01	4.268212e+02	MAP2K1;CREBBP;CUL2;SLC2A1;EP300;MAPK1;VHL;RAF1
